 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0004087550623430771 1.010560665969292e-06 -5.511996562042224e-06 -7.413627175026876e-07 -3.2533634957828e-07 -1.6464427820578346e-06 3.1301599110927307e-07 1.0269386642782966e-06 -8.970814361604093e-07 1.2801827900267932e-06 -1.6490372735248873e-07 -8.841089055987084e-07 1.9285743471897806e-07 -8.699353602781021e-08 -5.721865776063153e-07 -1.3459911674040908e-06 -1.4256507978868813e-06 3.382706698856607e-08 2.2878048691756856e-07 1.000480295390076e-06 3.2289284653571377e-07 -2.969316012954702e-05 2.7958347907327858e-05 3.2060210681732905e-05
PC1 1.0105606659692922e-06 1.296703880579845e-06 -1.0831521635011319e-06 1.0484296047207308e-07 -5.0727662730259676e-08 -5.112342680684544e-08 -3.5314167685047714e-08 8.358873718633251e-08 1.2972994055207464e-07 -4.8466852072226856e-08 8.109059562382687e-08 -7.617336461611202e-08 3.176221815305189e-07 4.2123321809190625e-08 -1.8995903038746169e-07 -2.523278484889084e-07 -1.767750762019934e-07 -2.4582645077112498e-08 7.87440621802071e-08 2.74351527024262e-08 2.3801394176117197e-08 7.431580479047514e-07 2.4833251886614276e-06 2.5810504182964315e-06
PC2 -5.511996562042227e-06 -1.083152163501132e-06 2.8197635975491933e-05 4.746100832194921e-07 7.957345786207219e-07 -2.7331576602547463e-07 -5.386999650517556e-07 9.380332157452835e-08 2.8911171749855317e-07 -2.6782933937997924e-08 -2.1064099873765506e-07 2.3862946868840844e-07 -1.8196142608514585e-07 -9.181189983781844e-08 1.9597436293160762e-07 6.394073120016259e-08 -2.6633131860729355e-07 2.166139773970504e-07 9.798235770608981e-08 -2.664859481235441e-07 -9.427785597878844e-08 -3.624521814749886e-06 2.870925260498925e-06 7.949336574377997e-07
PC3 -7.413627175026882e-07 1.0484296047207304e-07 4.746100832194921e-07 2.6778066583364248e-06 6.039102389175226e-08 3.557647833439658e-07 -1.0923362801425146e-07 1.2539827869187814e-07 -6.150629113170311e-08 -4.5601082266414597e-07 4.054112504789673e-08 2.464429072737721e-07 6.975043868406256e-08 -2.0523691344593916e-07 -4.863867373904247e-08 6.105271032527596e-08 3.268082956575328e-08 -1.5507156127143774e-07 -1.2454387962285328e-07 1.1441796814542528e-07 1.0701216754766873e-07 -2.314504325621732e-08 2.2091613062340907e-06 1.859904397803276e-06
PC4 -3.253363495782804e-07 -5.072766273025964e-08 7.957345786207214e-07 6.039102389175227e-08 4.399795871346007e-06 4.842764138056057e-07 -2.980624823587034e-07 -8.838552175089761e-08 -4.059354373389894e-07 3.504387532538283e-07 1.5638197934713274e-07 2.228143973614439e-07 -2.683436932782709e-07 1.1272504516350698e-07 -1.261925833214443e-07 -2.9204320909291676e-08 1.0281516190410976e-07 -5.047202237466251e-08 -1.6325317852364408e-07 -8.148593954815616e-08 -2.775500340726552e-08 -5.587298693263063e-07 5.3709734041737056e-08 3.981171870141481e-07
PC5 -1.6464427820578354e-06 -5.1123426806845486e-08 -2.733157660254746e-07 3.557647833439659e-07 4.842764138056055e-07 7.1504667592731425e-06 6.086920806718607e-10 6.061266410486477e-07 2.6687803982206453e-07 -1.3318489096498828e-07 -3.50103969174093e-09 -3.266913210464622e-07 3.216710790386316e-07 -2.280147659825329e-07 -8.007582461967386e-08 1.822981651244109e-07 -1.3165990151551686e-08 2.7281852075439217e-07 -1.4378454367755002e-07 2.847427610969647e-08 2.4382735364309014e-07 1.5561999287166015e-06 -2.1363079467701224e-06 -2.036508546015567e-06
PC6 3.1301599110927365e-07 -3.5314167685047734e-08 -5.386999650517556e-07 -1.0923362801425146e-07 -2.980624823587033e-07 6.086920806720039e-10 8.838071181247407e-06 2.5967880864508867e-07 7.96950597737941e-08 2.9692804267942275e-07 2.0285729085860116e-07 -2.7096199594598754e-07 -1.1261142285879807e-08 -2.960877071377473e-07 -1.738198288165798e-07 -1.864760134669175e-09 -7.182347957833709e-08 2.615834344362142e-07 -5.685173401958108e-08 5.680692622114309e-08 -1.5447897865377387e-07 -1.7349629953630394e-06 8.81092671072894e-07 5.071410327176903e-07
PC7 1.0269386642782973e-06 8.35887371863325e-08 9.380332157452824e-08 1.2539827869187816e-07 -8.838552175089741e-08 6.061266410486476e-07 2.5967880864508867e-07 7.377150700724467e-06 3.7261130080123e-07 -7.087489306179246e-08 -6.781544109836317e-08 5.089244555026873e-07 2.5677419223683885e-08 3.975774335716795e-07 -5.333083613309108e-08 -2.7701419198402435e-07 -5.5210082845710824e-08 -1.6254089155398133e-07 2.904046265399319e-08 1.278886572330386e-08 -1.1959089107918244e-07 1.3240657288002896e-06 -1.590377817482429e-06 8.851930012718255e-07
PC8 -8.970814361604085e-07 1.297299405520746e-07 2.891117174985532e-07 -6.150629113170308e-08 -4.059354373389895e-07 2.668780398220643e-07 7.969505977379406e-08 3.7261130080123e-07 7.243643069356138e-06 -1.147285256926475e-07 1.8854039806344992e-07 -3.194314560126231e-07 3.278042350168276e-07 -1.3254780429173364e-07 9.828164392227363e-08 -2.0785782728010786e-07 1.0906516216453945e-07 2.444445003586956e-07 8.745781360370594e-08 -2.2933870989417405e-07 1.3344897421090036e-07 6.482989227837955e-07 1.5783968682565576e-07 -1.956471304968488e-06
PC9 1.2801827900267936e-06 -4.8466852072226856e-08 -2.6782933937998083e-08 -4.5601082266414597e-07 3.504387532538283e-07 -1.3318489096498817e-07 2.96928042679423e-07 -7.08748930617926e-08 -1.1472852569264737e-07 7.134422767045252e-06 -1.614778217453157e-08 -2.1877601229122598e-07 -6.387904911989822e-08 -2.601890920276406e-07 6.155015739391289e-08 -5.6573482878183015e-08 1.9506516888419875e-07 1.4952969621137487e-07 -2.2181293006625422e-07 -1.455237912724156e-07 -1.6662233462995168e-07 -6.654947076155432e-07 3.7831214925095285e-07 7.342712366659993e-07
PC10 -1.6490372735248913e-07 8.10905956238269e-08 -2.1064099873765524e-07 4.054112504789684e-08 1.563819793471328e-07 -3.5010396917409093e-09 2.0285729085860098e-07 -6.78154410983631e-08 1.8854039806344987e-07 -1.614778217453159e-08 6.311217777934348e-06 -3.708609847029546e-07 1.4932321615161967e-07 -1.881083063203986e-07 -2.783553699494918e-07 -8.192009724323556e-08 -2.6514637368492645e-07 1.2979403534384093e-07 3.0325612123558764e-07 2.019697617182151e-07 1.5841824995660827e-08 1.2528064692967304e-06 -1.2389174912223154e-06 -7.678487255827193e-08
PC11 -8.841089055987102e-07 -7.617336461611209e-08 2.386294686884086e-07 2.4644290727377215e-07 2.2281439736144403e-07 -3.2669132104646187e-07 -2.709619959459879e-07 5.089244555026874e-07 -3.1943145601262305e-07 -2.1877601229122614e-07 -3.7086098470295476e-07 6.455239825997986e-06 -1.2250475664058168e-07 -8.803766889526673e-08 -9.181862951344014e-08 2.1506185523357876e-07 7.417348633244758e-08 3.3517374800529326e-07 -1.0054209988885892e-07 1.277808518310181e-07 3.348397949009557e-07 7.232666755178852e-07 -1.1205451389193596e-06 5.733435670336468e-07
PC12 1.928574347189781e-07 3.1762218153051895e-07 -1.8196142608514548e-07 6.975043868406254e-08 -2.6834369327827085e-07 3.216710790386317e-07 -1.1261142285879754e-08 2.5677419223683902e-08 3.2780423501682744e-07 -6.387904911989822e-08 1.4932321615161986e-07 -1.225047566405817e-07 6.234656476758034e-06 4.309654056138427e-08 -1.275834922830525e-07 -1.6944000267441972e-07 -2.452351871047709e-07 -1.241060463369191e-07 9.002787621722122e-08 -1.5753541304171e-07 -9.019287892513838e-08 1.144809179851178e-06 -6.907178425022455e-07 1.6522157433283586e-07
PC13 -8.699353602781009e-08 4.212332180919056e-08 -9.181189983781847e-08 -2.0523691344593926e-07 1.1272504516350714e-07 -2.280147659825328e-07 -2.9608770713774756e-07 3.975774335716796e-07 -1.3254780429173388e-07 -2.601890920276407e-07 -1.8810830632039874e-07 -8.803766889526664e-08 4.3096540561384226e-08 5.7735383776784374e-06 -8.304442504036844e-08 2.671717409158923e-07 6.217368233270756e-08 9.282264575904758e-09 -2.216652132917817e-07 1.5341471570043272e-07 1.1256607558848984e-08 -3.824567737714346e-07 1.712596673454531e-06 -3.513334724633873e-07
PC14 -5.721865776063142e-07 -1.8995903038746174e-07 1.9597436293160773e-07 -4.863867373904248e-08 -1.2619258332144434e-07 -8.007582461967404e-08 -1.7381982881657985e-07 -5.3330836133090995e-08 9.828164392227356e-08 6.155015739391285e-08 -2.7835536994949185e-07 -9.181862951344014e-08 -1.2758349228305247e-07 -8.304442504036835e-08 6.473000251320364e-06 -4.000099330663068e-08 -2.8256379891730257e-08 1.3117388976759716e-08 1.955943696719744e-07 1.8103078536472682e-07 8.872544993355473e-08 -6.783614380021757e-07 -2.6677322051632384e-07 8.265897251356388e-07
