 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.00047955270651913807 1.2024798964944085e-06 6.045914514004052e-07 1.4269091930929108e-07 1.0245471784661582e-06 -2.0951950698945194e-06 1.9011075121129472e-07 1.589868930054176e-06 -2.4816646473802395e-07 1.6339933226284697e-06 7.124042668768858e-08 7.839961027230304e-07 -2.1260505837520148e-06 1.6093137266050854e-06 -1.7881414672291775e-06 -1.433646321188767e-06 -6.06622826568418e-07 1.502135349179829e-07 -4.774831529403483e-07 1.7873778301467288e-06 1.109915304651982e-06 1.3202828781767465e-05 -0.00011033722772953061 0.0001800073295459119 -4.405665816484178e-06
PC1 1.2024798964944077e-06 1.6396133031615311e-06 -1.2152004410154332e-06 -1.011652751037841e-07 -8.039319724564597e-08 -2.0263730770759125e-07 -6.63758511524695e-09 5.154736101965114e-08 5.313919178126197e-08 8.570618569526696e-09 -3.029736469917425e-09 -1.2260197475202498e-07 4.474986666799875e-07 2.6961978564650063e-08 -2.728906386689318e-07 -4.2941296290552923e-07 -3.750351530638288e-07 7.843283271488233e-08 9.624414873957205e-09 1.0214657266523279e-07 -2.4168178620399745e-08 1.9437592878812685e-06 6.515441816133368e-07 3.435917762173477e-06 2.1389301076138927e-06
PC2 6.045914514004074e-07 -1.215200441015433e-06 3.220011920713697e-05 4.912544517595895e-07 1.0208104963849792e-06 -6.4794361838579e-07 -2.2116636665820475e-07 -1.5869274831198075e-07 8.60559967652412e-07 -2.411879880232833e-07 2.003300941574936e-07 -2.8827689925733795e-08 -4.2132553101986643e-07 1.7247288080498443e-07 -1.600747560545065e-07 1.1174360488199977e-07 -1.270625862594491e-07 3.7531241580625786e-07 -1.0496831669768003e-07 -2.4787942746265316e-07 -1.3926934552344718e-07 -2.063565976535916e-06 2.4247582168145858e-06 -1.4342829991650774e-06 6.44117994364671e-07
PC3 1.4269091930929174e-07 -1.0116527510378409e-07 4.912544517595895e-07 3.222222069170616e-06 7.412333884111059e-08 7.624267436456438e-07 5.428219161804566e-08 2.7095638792765366e-07 -1.4220565347250977e-07 -6.835091998634407e-07 1.3291899345073646e-07 2.465250498345591e-07 4.873051066154588e-08 -2.8862074656608933e-07 1.5897969463721292e-07 -1.3672182237831052e-07 -2.6462741337725698e-08 -1.5760480556013544e-07 -2.1453433101200528e-07 2.1868880076247216e-07 1.0777663691419681e-07 7.845896832161358e-07 2.1176723693019415e-06 -6.429873251222994e-06 7.641825085205177e-06
PC4 1.0245471784661588e-06 -8.039319724564592e-08 1.020810496384979e-06 7.41233388411106e-08 6.047231909844939e-06 1.1803107936732807e-06 -1.4572700594718383e-07 9.331563353062673e-08 -5.68982121713451e-07 4.527971905592275e-07 1.2766009197796341e-07 2.1639535832283835e-07 -5.538323152128277e-07 -9.577229488962464e-08 -1.1175473763197185e-07 -5.997060437746863e-08 1.4683437762717744e-07 -6.467459086259708e-08 -1.7211828720872442e-07 -8.578646064997288e-08 -2.0923493465343827e-08 -1.2852412512580192e-06 3.509417434874338e-06 -3.6859142824678807e-06 1.9087785483358227e-06
PC5 -2.095195069894521e-06 -2.0263730770759112e-07 -6.479436183857901e-07 7.624267436456437e-07 1.1803107936732803e-06 1.1108278765313157e-05 3.051482364772833e-07 7.5799575882235e-07 -3.2807885253583757e-07 -3.070118160633037e-07 -1.9093705914950511e-07 -6.828236642027971e-07 4.3027858097200567e-07 -8.694153893912829e-07 4.1904583094150004e-07 -6.389125912058815e-08 -5.815253139858721e-08 4.876008671879356e-07 -2.2737676674177477e-07 7.758642645490873e-08 -4.442931010675059e-08 -5.879067691896315e-07 1.0480790168805438e-06 -4.097221324460006e-06 -1.7688593328956628e-06
PC6 1.901107512112933e-07 -6.637585115247011e-09 -2.2116636665820475e-07 5.42821916180457e-08 -1.457270059471842e-07 3.0514823647728285e-07 1.0468998339303286e-05 7.046995761596739e-08 5.689397588437543e-08 2.218519616105462e-07 9.776823920210374e-08 -3.0327038394770816e-07 -6.634125973861843e-08 -2.618351143725139e-07 -1.1690936307758767e-07 -4.622991893117323e-08 -1.1285114313513946e-07 3.583336948743289e-07 -2.727652800876209e-07 -3.850679385589535e-08 -2.4912303306348373e-07 -4.1957289737818715e-08 4.767978778622406e-07 -6.112783734718429e-06 5.272952358825475e-06
PC7 1.5898689300541747e-06 5.1547361019651235e-08 -1.5869274831198054e-07 2.709563879276535e-07 9.33156335306268e-08 7.579957588223503e-07 7.046995761596692e-08 8.51043739354021e-06 3.300996348358342e-07 -2.644676600387439e-07 -1.6757735982406035e-07 6.244893189361205e-07 8.449947216719562e-08 5.400407798531959e-07 -1.4854865922437037e-07 -2.3350454152352142e-07 -2.7897493581087726e-07 -1.7727777560245161e-07 1.3687100537005864e-07 4.754001956206955e-08 -1.2696173472116e-07 -1.5686009082665823e-07 -3.7937575933909402e-06 2.3251161376764007e-06 6.4406608441581706e-06
PC8 -2.481664647380234e-07 5.3139191781261985e-08 8.605599676524124e-07 -1.422056534725098e-07 -5.689821217134511e-07 -3.2807885253583757e-07 5.689397588437534e-08 3.3009963483583434e-07 9.087543837338584e-06 2.884803792317539e-07 7.542656760905918e-08 -5.530447594423306e-07 3.060918770758906e-08 1.312532690543534e-07 -1.1869947545946058e-08 -1.9251726265373624e-07 1.4602649442857223e-07 7.49163244671395e-08 -2.5238946175968067e-07 -2.7666596283199744e-07 2.682212090199218e-07 6.36586367381485e-08 5.923899666250152e-07 5.568355390490759e-07 4.179545806688307e-07
PC9 1.6339933226284704e-06 8.570618569526736e-09 -2.411879880232834e-07 -6.835091998634407e-07 4.527971905592272e-07 -3.0701181606330377e-07 2.2185196161054615e-07 -2.644676600387437e-07 2.8848037923175414e-07 8.198451956229477e-06 -2.7607888923328607e-07 -1.264393675840212e-07 -1.288156849283192e-07 -1.8614347528909126e-07 -3.227353945154991e-07 4.0884568821313824e-08 2.1290632981265367e-07 1.8869052506644145e-07 -4.432111763025862e-07 -2.1019160869622992e-07 -2.785002357639829e-07 -7.757683075071412e-07 3.336507690000045e-06 2.4493392963862197e-06 -4.379781783657033e-06
