 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.00029407886393510404 7.141312916696126e-07 -1.9512200278716502e-06 -3.6557184606156594e-07 2.5528955598294476e-07 -3.2855190641657466e-07 -4.229122452215923e-07 8.336089209500957e-07 2.255063773335457e-08 8.490735929031731e-07 -1.3227912184898216e-07 -1.5996705473205596e-07 5.41817960036937e-08 7.877706041969574e-08 1.9957462014384955e-07 -5.614239813129478e-07 -1.2538896312797719e-07 3.38206428354044e-07 -1.293994105277592e-07 5.651312118838653e-07 2.751781515225411e-07 -1.1679746410777734e-05 1.8427261723878875e-05 2.2182619224959132e-05
PC1 7.141312916696129e-07 9.58228432552418e-07 -6.117668914877711e-07 8.216581785358399e-08 -5.371929863078466e-08 -5.95331009462177e-08 -6.1043068094452485e-09 4.9294857063840215e-08 9.683949973672159e-08 -2.399543912421658e-08 4.608623844160052e-08 -4.2043712920227086e-08 2.2527439706546894e-07 5.044211249272356e-09 -9.435063120162916e-08 -1.8953185020139737e-07 -1.5488263698508873e-07 2.2520598648792156e-08 5.175616169383575e-08 2.564019372185424e-08 1.5769543858290076e-08 3.8751319747187995e-07 2.2442181310005813e-06 1.8100495541706558e-06
PC2 -1.951220027871651e-06 -6.117668914877712e-07 1.734774705241573e-05 1.9336018305211847e-07 5.635238749983068e-07 -2.1812604364987102e-07 -2.8905958762815996e-08 -1.8658957699052067e-09 1.2221884448329371e-07 1.0627288457568465e-07 1.558474744124033e-09 4.584482167327536e-08 -8.684279357385508e-08 7.02342725557949e-08 -2.1328113974331103e-07 1.1939602826205872e-07 -1.4971825091776067e-07 1.3940835283393544e-07 -2.6985732470062233e-08 6.008407165923505e-09 -8.724546256927668e-09 -1.4964239740488403e-06 1.915022609417603e-06 -1.6795521618434913e-09
PC3 -3.6557184606156583e-07 8.2165817853584e-08 1.933601830521185e-07 1.9594267843775675e-06 1.576657558886814e-08 2.69135770663744e-07 2.5108834386343665e-08 6.086276174478477e-08 -6.019354874367634e-08 -3.096512383990301e-07 3.082743718652298e-08 1.2032081045126785e-07 7.354574151984456e-08 -1.5620212828629271e-07 3.804418101661961e-09 -2.8359063031821595e-08 9.415318357564004e-09 -1.0387166411309542e-07 -1.332804176011912e-07 1.1155329936185245e-07 3.805311419196256e-08 1.3038647345682817e-07 1.8899997278024308e-06 1.3122486407756606e-06
PC4 2.5528955598294423e-07 -5.371929863078467e-08 5.635238749983066e-07 1.5766575588868133e-08 3.2923022137395323e-06 4.027435466199159e-07 -2.076591324566678e-07 -1.5098714704989476e-08 -3.259836869059789e-07 2.2090516352481157e-07 9.691259859677708e-08 8.716721296142412e-08 -2.143338681305779e-07 1.8812885854845556e-08 -6.962210807053887e-08 -3.560226776743899e-08 4.51850854547046e-08 9.52697037297281e-10 -7.78284732393154e-08 -6.429535009027814e-08 -3.055480729645137e-08 -3.649259968572796e-07 3.9584897393727734e-07 3.886222671653003e-07
PC5 -3.2855190641657466e-07 -5.953310094621777e-08 -2.1812604364987078e-07 2.6913577066374396e-07 4.027435466199158e-07 5.29410045916734e-06 3.509237967270906e-08 4.4504669220819746e-07 1.6712260950629442e-08 -7.024947683892688e-08 -7.949481384366772e-08 -2.8054926271277243e-07 1.5915010720456622e-07 -2.2824514063722087e-07 4.164041484634554e-08 6.33020154733269e-08 -3.149965324722604e-08 2.1694424570090992e-07 -1.0056792423691019e-07 7.414867134985843e-08 6.872550512371606e-08 -1.220177616992165e-07 -1.1662443828286462e-06 -2.612426772199961e-07
PC6 -4.229122452215921e-07 -6.104306809445284e-09 -2.890595876281609e-08 2.5108834386343665e-08 -2.076591324566679e-07 3.509237967270901e-08 5.931783731173948e-06 -1.1477655837347216e-08 4.871331052773737e-09 4.737051362678866e-08 5.02800597877027e-09 -1.4204959810627458e-07 8.651171699368177e-09 -1.4074888780995508e-07 -2.7101035905729376e-08 -2.2831835207722297e-09 -1.886318197345422e-08 2.2609585603813895e-07 -4.655848323818408e-08 -1.8455465151595817e-08 -1.0255330229399159e-07 -5.889239134795403e-07 9.928643974058863e-09 4.773424150134748e-07
PC7 8.336089209500958e-07 4.929485706384018e-08 -1.865895769905114e-09 6.086276174478476e-08 -1.5098714704989522e-08 4.4504669220819746e-07 -1.1477655837347191e-08 4.979216889951465e-06 1.9603074508761822e-07 -9.68896188935491e-08 -3.400832188394717e-08 3.102949083387941e-07 6.821075673255782e-08 2.4248587009250727e-07 -5.581280145377012e-09 -1.4713743118182897e-07 -8.626660821723156e-08 -4.099626254271227e-08 6.769341526850072e-08 -2.7751678529484103e-08 -1.1561841292165832e-07 5.698849012337955e-07 -6.616200800253312e-07 7.410332895225156e-07
PC8 2.255063773335396e-08 9.683949973672159e-08 1.2221884448329363e-07 -6.019354874367638e-08 -3.259836869059792e-07 1.6712260950629475e-08 4.8713310527737036e-09 1.960307450876181e-07 5.012356227180695e-06 8.776066811293341e-09 1.1050526029160258e-07 -2.054213326590791e-07 1.0828421293005877e-07 -5.994562268125708e-08 4.1386509832165095e-08 -8.870318706852027e-08 4.85826310544976e-08 6.363376389376233e-08 -3.979996836905431e-08 -5.2111377151550255e-08 9.059313127310785e-08 5.784829766496669e-07 2.3225207068100498e-07 -1.2326924788577728e-06
PC9 8.490735929031726e-07 -2.3995439124216616e-08 1.0627288457568465e-07 -3.0965123839903025e-07 2.209051635248114e-07 -7.024947683892692e-08 4.737051362678881e-08 -9.688961889354913e-08 8.776066811293337e-09 4.695984840900696e-06 -2.655767659396646e-08 -1.3033250505708815e-07 -2.486234778463617e-08 -1.0848804028739837e-07 -3.6920756788355526e-08 4.538775476811935e-08 1.1261608561540301e-07 1.2437669623462536e-07 -1.652455188152399e-07 -7.060410131050962e-08 -8.011563136206307e-08 -2.3700495878939948e-07 6.157543477194505e-07 5.657267834084693e-07
