 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.00047696033496050103 1.232679422812586e-06 1.281405186657566e-07 1.371414734969494e-07 9.924345176179378e-07 -2.194169007668019e-06 3.136573508382297e-07 1.627799834621342e-06 -3.354692638020813e-07 1.6019862878568875e-06 5.8962589673533436e-08 9.660285755393128e-07 -2.1520485715373835e-06 1.6043141280638155e-06 -1.8773547762208065e-06 -1.56844938336213e-06 -6.559370426177616e-07 4.4259227572056746e-08 -5.291389446159915e-07 1.8612747077034184e-06 1.0895836350516664e-06 1.2981755461055756e-05 -0.0001122290852526599 0.00018008063647000536 -1.7541573316519396e-06
PC1 1.2326794228125847e-06 1.6401462993346459e-06 -1.2244584974309884e-06 -1.0792794306962644e-07 -7.465488798568692e-08 -1.9951068722362792e-07 -4.959895767627994e-09 5.143117926790451e-08 5.9273188830514585e-08 1.4473671472882309e-08 -8.454387999048263e-09 -1.242968273358873e-07 4.53002349577152e-07 2.798778499325897e-08 -2.737287681119351e-07 -4.3173963238157454e-07 -3.9397381058243735e-07 8.042508057106553e-08 -5.371274422207513e-10 1.0017557313795865e-07 -2.597228314087755e-08 1.9822450891511605e-06 6.967139419403754e-07 3.4568940532244186e-06 2.1434220669623907e-06
PC2 1.281405186657575e-07 -1.224458497430988e-06 3.23514976725739e-05 5.000957090636946e-07 1.0256821405149748e-06 -6.480874202009214e-07 -2.0138259435780536e-07 -1.852596166820374e-07 8.45439782407289e-07 -2.1056836938993252e-07 1.7201425141013108e-07 -4.017597307963538e-08 -4.059432304985702e-07 2.183855779488407e-07 -1.8124444062631637e-07 1.340813143416678e-07 -1.498570179729299e-07 3.5329864137245247e-07 -1.187252161135863e-07 -2.2984992639089316e-07 -1.5218680923913845e-07 -1.8227660600269507e-06 1.8985006317088393e-06 -8.396419050663765e-07 4.982397902431213e-07
PC3 1.3714147349694962e-07 -1.0792794306962635e-07 5.000957090636947e-07 3.2081970322739625e-06 7.356433251689918e-08 7.772765580965058e-07 6.035145297900363e-08 2.7916547880610695e-07 -1.3368088181027183e-07 -6.930020572722531e-07 1.3604470324300193e-07 2.4241614495545545e-07 5.353718998272638e-08 -2.9851991466994844e-07 1.5051847029086064e-07 -1.370194037445334e-07 -1.8473093982058654e-08 -1.608758945470707e-07 -2.2056592596207528e-07 2.244539879849903e-07 1.1370563061486457e-07 7.754628094793208e-07 2.2284108379276764e-06 -6.671638867456614e-06 7.762109663911005e-06
PC4 9.924345176179382e-07 -7.465488798568694e-08 1.025682140514975e-06 7.356433251689909e-08 6.05888717698582e-06 1.1999996604900793e-06 -1.3582775254996498e-07 1.0386575270710015e-07 -5.892811379518791e-07 4.419442282668096e-07 1.2652680939213637e-07 2.2257201275043827e-07 -5.6155947007685e-07 -1.1065998249823146e-07 -1.1680472176959308e-07 -7.574509151082289e-08 1.454309981671321e-07 -6.355136806941061e-08 -1.9334945914831467e-07 -8.647904969788127e-08 -1.702775038612465e-08 -1.2653086836622839e-06 3.5633471186637976e-06 -3.5434536458127373e-06 1.9027188657795748e-06
PC5 -2.1941690076680185e-06 -1.9951068722362792e-07 -6.480874202009211e-07 7.772765580965056e-07 1.1999996604900801e-06 1.1151031303431742e-05 3.25779948702153e-07 7.691094631158142e-07 -3.744364835528789e-07 -3.2435347297453863e-07 -2.1370246589779493e-07 -6.845351443664979e-07 4.3463537967992907e-07 -8.809974688982821e-07 4.189232175346161e-07 -4.8828451971524834e-08 -4.7330251839678105e-08 4.769275422189869e-07 -2.1657755370469622e-07 1.0633307374250574e-07 -4.438591884373409e-08 -4.2473411978639685e-07 9.295170779063503e-07 -4.171006455581063e-06 -1.7172402272041584e-06
PC6 3.136573508382302e-07 -4.959895767628089e-09 -2.013825943578053e-07 6.03514529790037e-08 -1.3582775254996493e-07 3.257799487021531e-07 1.0494868051265384e-05 5.104892785680849e-08 5.5155487359561e-08 2.407670836198978e-07 9.20120317270328e-08 -3.024582174887463e-07 -5.838283173311354e-08 -2.3809000111074438e-07 -1.183444584933287e-07 -2.4474593238851954e-08 -1.4157135870549747e-07 3.792124993340364e-07 -2.605206281461472e-07 -4.544761997889405e-08 -2.4679567050179166e-07 8.405496025978342e-08 7.200353156151272e-07 -6.552292538157036e-06 5.301652227557854e-06
PC7 1.6277998346213412e-06 5.1431179267904504e-08 -1.852596166820373e-07 2.791654788061069e-07 1.0386575270710062e-07 7.691094631158147e-07 5.1048927856808325e-08 8.578125711394082e-06 3.3732617748326715e-07 -2.589846994916396e-07 -1.487869493294358e-07 6.348828696730306e-07 8.072713161740587e-08 5.273269278743604e-07 -1.6036748766040193e-07 -2.3848481663646585e-07 -2.8507896023765833e-07 -1.7218807090033032e-07 1.5521814931614368e-07 5.07899352541225e-08 -1.3356999361263685e-07 -3.1222927299955186e-07 -3.6389613975907143e-06 1.9527241163897387e-06 6.725294760797457e-06
PC8 -3.354692638020803e-07 5.927318883051452e-08 8.454397824072891e-07 -1.336808818102718e-07 -5.892811379518792e-07 -3.744364835528789e-07 5.5155487359560873e-08 3.3732617748326736e-07 9.131955746831086e-06 2.875449585983865e-07 8.124652565716118e-08 -5.579817352637246e-07 2.519755723540579e-08 1.283208128298484e-07 -2.0044722441689274e-08 -1.9499452014329176e-07 1.5316677194221235e-07 7.291986641128696e-08 -2.4008466716216727e-07 -2.5015073330176593e-07 2.7546262205337074e-07 6.158089562877498e-08 4.388752317057729e-07 6.993690251373092e-07 6.58376891289587e-07
PC9 1.6019862878568875e-06 1.4473671472882224e-08 -2.1056836938993246e-07 -6.930020572722531e-07 4.4194422826680954e-07 -3.243534729745388e-07 2.4076708361989784e-07 -2.589846994916396e-07 2.875449585983865e-07 8.23872244611799e-06 -2.87083966652195e-07 -1.2785635391707666e-07 -1.3159443430219726e-07 -1.8458324182315914e-07 -3.2215823357532724e-07 3.613940688805719e-08 2.115464497119594e-07 1.93666238656401e-07 -4.376310271102019e-07 -2.0776495712086285e-07 -2.8330419667694664e-07 -6.634628441637978e-07 3.016575969854103e-06 2.7594730420623842e-06 -4.322126524065362e-06
