 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.0004224043756371241 9.608460075311713e-07 -2.0814020140665972e-07 3.1470239626984324e-07 7.284481761862883e-07 -1.7523090347084826e-06 9.078896885120597e-07 1.1019704494797714e-06 -2.173436717038924e-07 1.5008020594776047e-06 3.290448740645606e-07 1.3982891334922037e-06 -2.213232628634072e-06 1.5226971530186438e-06 -1.8974797527197947e-06 -1.5097167668740797e-06 -8.975829888712703e-07 2.8791944029875728e-08 -5.016435909307359e-07 1.9867609416614754e-06 9.139480640435703e-07 -4.1299222348002895e-06 4.535322658398621e-05 -4.416510486135256e-05 -7.295277029658383e-07
PC1 9.608460075311715e-07 1.465645391713666e-06 -1.2319690602315153e-06 -1.3550908176541113e-07 -5.829553345061372e-08 -1.5312667667278822e-07 7.960122188376783e-09 4.334554309069949e-08 4.8864864767553944e-08 7.308772208504096e-09 -7.498049140542404e-09 -9.757952582222448e-08 4.372954882135412e-07 -4.380333181991749e-09 -2.6958758673267143e-07 -4.367497294562606e-07 -4.064083790221637e-07 1.0943705393532598e-07 1.5155548021355694e-08 1.0697054468061665e-07 -3.27492284085776e-08 -5.762889268976438e-07 3.3688084022278694e-07 -2.9459401481400984e-06 -1.965057812159874e-06
PC2 -2.0814020140666179e-07 -1.2319690602315153e-06 3.275255915319741e-05 5.318722728493033e-07 1.0636251468533728e-06 -6.872960613964126e-07 -2.3486912602449878e-07 -2.3245739845839813e-07 9.124988316702385e-07 -2.552448555523594e-07 1.5143581439043655e-07 -5.619931535983307e-08 -4.869360057070919e-07 1.6787639431009668e-07 -1.9239349710792875e-07 7.259622040733216e-08 -1.372856278589821e-07 3.578201582060345e-07 -1.850732764167097e-07 -2.668454913763421e-07 -1.696082318664187e-07 2.3615509105831703e-06 -6.2459349475688e-06 1.6765912262888957e-06 5.070183052074001e-06
PC3 3.1470239626984277e-07 -1.3550908176541113e-07 5.318722728493033e-07 2.927401259421456e-06 5.6955685544576295e-08 7.966957196419473e-07 6.29032451613662e-08 2.809465537865424e-07 -1.277755661790249e-07 -7.013877785495031e-07 1.608992398905143e-07 2.5552753472601286e-07 6.870823811684187e-08 -3.3648372178851245e-07 1.5949479729223276e-07 -1.287006319513402e-07 -8.275256722521622e-09 -1.8572000851239514e-07 -2.449641484278309e-07 2.5338677967978516e-07 1.0813398498325046e-07 -1.174078088458884e-06 -8.863473942493524e-07 2.614700198444305e-06 9.971690724174092e-07
PC4 7.284481761862873e-07 -5.82955334506137e-08 1.0636251468533722e-06 5.6955685544576275e-08 5.744768536423608e-06 1.265342990333374e-06 -1.2642878039115738e-07 1.0356976705268763e-07 -6.129943420170288e-07 4.3553390185394574e-07 1.141662740269919e-07 2.399277113987848e-07 -5.947102633334382e-07 -1.2273193487006847e-07 -1.297807374352197e-07 -7.852864242786233e-08 1.6202427418272206e-07 -3.35508596240209e-08 -2.2803588380830582e-07 -1.2201987334944783e-07 -1.4239865410985121e-08 -1.2207497800435116e-06 1.099495915775194e-06 -4.606992108943694e-06 -5.078801505788544e-06
PC5 -1.752309034708484e-06 -1.5312667667278827e-07 -6.872960613964126e-07 7.96695719641947e-07 1.2653429903333734e-06 1.1051953986009602e-05 3.45389872068452e-07 8.520853205819993e-07 -4.2024382027315e-07 -3.395269130730201e-07 -2.3136489083851072e-07 -7.387652004349513e-07 4.0675707743741783e-07 -9.078228330222067e-07 4.3385110943248373e-07 -4.783187850456772e-08 -5.5052740787493426e-08 5.188179152936322e-07 -2.5004832023467613e-07 1.3822375565548414e-07 -3.808225526777534e-08 -1.0859258017893252e-06 5.078116621645373e-06 -6.804199172913276e-06 -6.716206256667783e-07
PC6 9.078896885120608e-07 7.960122188376742e-09 -2.3486912602449902e-07 6.290324516136616e-08 -1.264287803911574e-07 3.4538987206845213e-07 1.0484191001610986e-05 5.151812320812809e-08 6.490491908886733e-08 2.6236238416303097e-07 9.083368992916447e-08 -2.9724570020828314e-07 -9.593551912735901e-08 -2.732716732088221e-07 -1.0718323700578494e-07 -4.454371274755295e-08 -1.3490262202676135e-07 3.817846838876152e-07 -2.7801003038349003e-07 -7.790451461800263e-08 -2.5257401795668364e-07 -1.3838309605858383e-06 -7.750993908427017e-07 -3.6933185137478627e-06 5.541846106833253e-06
PC7 1.1019704494797703e-06 4.3345543090699474e-08 -2.324573984583985e-07 2.8094655378654243e-07 1.0356976705268775e-07 8.520853205819996e-07 5.1518123208128424e-08 8.529369335712527e-06 3.5404427859535253e-07 -2.5787606208367054e-07 -1.1146587536967028e-07 7.01682339949525e-07 1.0393821499498353e-07 5.378748194025178e-07 -1.7411102648249972e-07 -2.2291904967795835e-07 -3.3600463518695777e-07 -1.8338706501164779e-07 1.5153950120104344e-07 5.3886700293889895e-08 -1.5514219798201697e-07 -2.7594795400729e-06 2.6924357824556095e-06 7.553483764430567e-07 -1.1725011441006914e-06
PC8 -2.173436717038928e-07 4.886486476755387e-08 9.124988316702384e-07 -1.2777556617902468e-07 -6.12994342017029e-07 -4.2024382027314986e-07 6.490491908886721e-08 3.5404427859535264e-07 9.156708794509815e-06 2.8830117360710433e-07 1.319032426079174e-07 -5.644977660118035e-07 -1.2187673816917e-08 1.386395097564131e-07 -1.3963388939576232e-08 -1.953931191365455e-07 1.4753921823738935e-07 9.118603854708214e-08 -2.5109044158224327e-07 -2.428277450593759e-07 2.9829628325713954e-07 6.631485831922055e-08 1.5620027914912818e-06 -2.6590743490637304e-06 8.226531447584015e-07
PC9 1.5008020594776055e-06 7.308772208504137e-09 -2.5524485555235954e-07 -7.013877785495027e-07 4.3553390185394574e-07 -3.395269130730197e-07 2.623623841630307e-07 -2.5787606208367064e-07 2.883011736071045e-07 8.207614653021373e-06 -3.1462606889266683e-07 -1.2841599497105025e-07 -1.5114736406042052e-07 -2.1056781396653182e-07 -3.391512895774203e-07 3.152071014823014e-08 1.7791742005564382e-07 1.9654014029978552e-07 -4.0759131255806724e-07 -1.98364223863476e-07 -2.9601231502751544e-07 7.118429097674294e-07 -4.0346353593385557e-07 3.1098770287093466e-06 -3.1268227711856213e-06
PC10 3.2904487406456094e-07 -7.49804914054242e-09 1.514358143904363e-07 1.608992398905142e-07 1.1416627402699186e-07 -2.3136489083851087e-07 9.083368992916444e-08 -1.1146587536967023e-07 1.3190324260791747e-07 -3.146260688926665e-07 8.551248185597533e-06 -2.5412034665062177e-07 1.3238318112930265e-07 -2.262113855162285e-07 -1.8374635100868205e-07 2.6615651550620167e-07 -8.230325685917534e-08 -1.272467399443106e-07 2.3322348635241945e-07 3.3938933973033564e-07 -1.6818317844849118e-08 -2.964790363869209e-07 6.8900409268926115e-06 -2.5768258560400204e-06 -3.7720949931341253e-06
PC11 1.3982891334922029e-06 -9.757952582222444e-08 -5.619931535983335e-08 2.555275347260127e-07 2.3992771139878487e-07 -7.387652004349519e-07 -2.972457002082832e-07 7.01682339949525e-07 -5.644977660118034e-07 -1.284159949710503e-07 -2.541203466506218e-07 7.900515247176937e-06 -1.722178041681098e-07 -5.881715891469006e-08 -1.8263979959445028e-07 1.5103895369356473e-07 -2.830051382089468e-08 1.8851782562140192e-07 -3.56729243841368e-08 1.7995908269241959e-07 2.977775760718865e-07 -2.6515487383157835e-06 6.300409504615289e-06 -6.09380357230805e-06 -1.0777491973617687e-06
