 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.0004643963179677227 9.702569315279904e-07 3.097233004177342e-07 3.8230744806745045e-07 1.3255812469511136e-06 -1.6924462298444615e-06 4.115312138945545e-07 1.536201435128158e-06 -2.5450341931382933e-07 1.5158049513295488e-06 1.3944222644542412e-07 7.563394745419236e-07 -1.9239499356890527e-06 1.178456321364077e-06 -1.6791921950736255e-06 -1.2437131784506948e-06 -5.538186694635129e-07 3.583403679029872e-07 -3.6993058207556886e-07 1.7203791241393417e-06 1.0616522486345767e-06 -4.352323446906475e-06 4.524526143372346e-05 -4.673395713766154e-05 1.9157657261101832e-06
PC1 9.702569315279904e-07 1.5826489131728747e-06 -1.1515988178400402e-06 -1.3605489829191393e-07 -3.837528692604967e-08 -1.6461685041493956e-07 6.425319204336919e-10 2.720213432007973e-08 4.526415964081114e-08 -1.5501374466698625e-09 -8.21663741994237e-09 -9.22133969497202e-08 4.0074937886839237e-07 -1.2727086332833207e-08 -2.32079266812215e-07 -3.88767102587575e-07 -3.526444443482491e-07 7.894470707684822e-08 1.4697154964219757e-08 1.0049097771618186e-07 -2.1977829249015294e-08 -5.671890422373138e-07 3.86453620810942e-07 -3.077102838405874e-06 -2.2748968397527557e-06
PC2 3.0972330041773145e-07 -1.1515988178400406e-06 3.013310295624024e-05 4.3236900088742046e-07 9.21437593562357e-07 -6.078758208849711e-07 -2.0625314694589616e-07 -1.5824165171526035e-07 7.518070164689404e-07 -2.0485625672905232e-07 1.5889844814046721e-07 -7.590283882499039e-08 -3.491928351282315e-07 2.422985433113372e-07 -2.446169323158303e-07 1.8727799867514679e-07 -8.711527279398099e-08 3.031973826182649e-07 -1.238524353077018e-07 -1.9333812627245833e-07 -1.6543114731154952e-07 1.955878980028239e-06 -5.861099781813875e-06 6.683598238032545e-07 5.796922062481684e-06
PC3 3.823074480674507e-07 -1.360548982919139e-07 4.3236900088742035e-07 3.1172075783635433e-06 3.9144546501780047e-08 7.286746878458638e-07 4.1888339255692674e-08 2.581993940770491e-07 -1.3657794956066158e-07 -6.420075938320306e-07 1.4029141171664356e-07 2.255032414754286e-07 5.91421144285263e-08 -2.865644744387646e-07 1.7922034317614793e-07 -1.2323730525081665e-07 -2.118942667703853e-09 -1.4770596430986574e-07 -1.9047952643070527e-07 2.1370242327550902e-07 9.452962522065374e-08 -1.0508194473170276e-06 -1.1227727162817666e-06 2.5989453368404764e-06 1.0615211916143376e-06
PC4 1.3255812469511153e-06 -3.837528692604967e-08 9.214375935623573e-07 3.914454650178004e-08 5.914997500062845e-06 1.1018370410030804e-06 -1.4947665906647514e-07 9.034935921174576e-08 -5.300188409247537e-07 4.051374245290208e-07 1.1418620209457244e-07 2.338097352618731e-07 -5.616748242500415e-07 -9.329089699403398e-08 -9.116681153930184e-08 -5.090882497971719e-08 1.2545891669201255e-07 -6.982547357844936e-08 -1.7108694607443786e-07 -8.094412871705198e-08 -2.879753105818739e-08 -8.405406949918628e-07 1.316828580671812e-06 -5.0808233683834905e-06 -5.087379995765596e-06
PC5 -1.6924462298444605e-06 -1.6461685041493959e-07 -6.078758208849718e-07 7.286746878458639e-07 1.1018370410030813e-06 1.0478297103522633e-05 2.791668944414633e-07 7.275434082926968e-07 -3.045568350284704e-07 -3.073236162193783e-07 -1.665866423121747e-07 -6.120767568928171e-07 3.8004448557021466e-07 -7.34763620927194e-07 3.589110146276692e-07 -2.5250730607655718e-08 -3.880148560353235e-08 4.211116851554978e-07 -1.9801164942934002e-07 5.7949537056375086e-08 -3.9857581921190325e-08 -4.546735131239145e-07 4.8852920610867924e-06 -6.0720496246753886e-06 -1.356739755006074e-06
PC6 4.1153121389455365e-07 6.425319204336274e-10 -2.0625314694589613e-07 4.188833925569269e-08 -1.49476659066475e-07 2.791668944414634e-07 9.807550783587602e-06 4.0422636422664346e-08 4.9493790144671274e-08 2.1435538674530692e-07 1.1466075715600145e-07 -2.7256625948163897e-07 -6.832749964750199e-08 -2.287362169651022e-07 -1.060329795576654e-07 -1.2101700477456063e-08 -1.2863451018978484e-07 3.436527898104631e-07 -2.4170899477812927e-07 -2.8721719252860415e-08 -2.4592015052579224e-07 -1.1697013814352807e-06 -4.4844057752147174e-07 -2.8572649481235517e-06 4.200327012168213e-06
PC7 1.536201435128158e-06 2.7202134320079673e-08 -1.5824165171526024e-07 2.581993940770491e-07 9.034935921174583e-08 7.27543408292697e-07 4.04226364226642e-08 8.039758997906458e-06 2.8334154883248526e-07 -2.648112289558819e-07 -1.1769529235657884e-07 5.560134667127747e-07 8.05624595292966e-08 4.6290196633114767e-07 -9.707873727611943e-08 -1.8516353234509096e-07 -2.5596963360155695e-07 -1.4023364863814928e-07 1.4974576090433782e-07 2.7145036423772493e-08 -1.1893851128256352e-07 -2.922544344220937e-06 2.708253840077801e-06 4.930785048206328e-07 -1.2369699687989603e-06
PC8 -2.545034193138302e-07 4.5264159640811224e-08 7.518070164689402e-07 -1.365779495606616e-07 -5.300188409247538e-07 -3.0455683502847024e-07 4.949379014467119e-08 2.833415488324854e-07 8.528855262771014e-06 2.5972390374059423e-07 5.103867186321781e-08 -4.7585054588822965e-07 5.306647546271401e-08 1.2193318921015783e-07 -1.845809478964836e-08 -1.9134347347497798e-07 1.704911632171544e-07 8.3574802635014e-08 -2.3043209379747737e-07 -2.0763270653848858e-07 2.4398334905436794e-07 -1.6863550564376813e-07 1.5733906290106178e-06 -2.555410859483528e-06 8.70565012111275e-07
PC9 1.5158049513295498e-06 -1.5501374466698372e-09 -2.0485625672905242e-07 -6.420075938320303e-07 4.051374245290205e-07 -3.073236162193781e-07 2.1435538674530706e-07 -2.64811228955882e-07 2.5972390374059423e-07 7.704603033610309e-06 -2.560025712188938e-07 -9.518084810327621e-08 -1.0128250917782164e-07 -1.896549023790122e-07 -2.944923155441634e-07 2.691478146623292e-08 2.0461648008778946e-07 1.6577280495385586e-07 -3.9185719816316567e-07 -1.7192986238354518e-07 -2.5010288047954226e-07 8.018510560407567e-07 -1.2335259431067738e-07 2.724764470699547e-06 -2.758154710894603e-06
PC10 1.3944222644542372e-07 -8.21663741994237e-09 1.588984481404671e-07 1.4029141171664358e-07 1.1418620209457227e-07 -1.6658664231217466e-07 1.1466075715600142e-07 -1.1769529235657879e-07 5.1038671863217956e-08 -2.5600257121889377e-07 7.857428373376047e-06 -2.363598721860838e-07 6.599863895033845e-08 -2.053749111779602e-07 -1.3641271149800265e-07 2.0533500334632667e-07 -7.116537330666528e-08 -1.7672335932835067e-07 2.003310357451309e-07 2.9571903633024915e-07 -5.992881765830881e-08 8.947154220574751e-08 6.304718472398795e-06 -3.1197110702874924e-06 -3.1443463189669027e-06
PC11 7.563394745419249e-07 -9.221339694972018e-08 -7.590283882499042e-08 2.2550324147542867e-07 2.3380973526187296e-07 -6.120767568928177e-07 -2.725662594816392e-07 5.560134667127749e-07 -4.758505458882297e-07 -9.518084810327631e-08 -2.3635987218608363e-07 7.4082378543335336e-06 -1.357493152847489e-07 -4.966766426512687e-08 -1.2631966267060281e-07 1.185459749620988e-07 -2.799338645218497e-09 1.6278291595882194e-07 -2.722340767503378e-08 1.6088203237802578e-07 2.998369986643204e-07 -2.451132714302243e-06 5.884519973541671e-06 -5.643484001373295e-06 -1.1050038634132895e-06
PC12 -1.9239499356890536e-06 4.007493788683924e-07 -3.4919283512823134e-07 5.914211442852639e-08 -5.616748242500414e-07 3.800444855702149e-07 -6.832749964750204e-08 8.056245952929668e-08 5.3066475462714144e-08 -1.0128250917782172e-07 6.599863895033853e-08 -1.357493152847488e-07 7.0038203221934475e-06 7.468357878819818e-08 -4.0853979260250264e-08 -3.9072160145307266e-07 -1.5099789832860295e-07 7.675759419008349e-08 -9.64421118413382e-08 1.1072949351750178e-07 -8.053466211305173e-08 -1.0376543266542353e-06 -8.628346357246683e-07 6.469788194840281e-06 -3.200059081540288e-07
PC13 1.1784563213640769e-06 -1.2727086332833225e-08 2.422985433113374e-07 -2.8656447443876473e-07 -9.329089699403422e-08 -7.347636209271941e-07 -2.2873621696510228e-07 4.629019663311476e-07 1.219331892101577e-07 -1.8965490237901215e-07 -2.0537491117796026e-07 -4.9667664265126915e-08 7.468357878819825e-08 6.5896443593029024e-06 -3.397067549544247e-07 4.6578554473263726e-07 1.2999407855092377e-07 7.88509840574625e-08 -1.5071571553201166e-07 2.5753220416654626e-08 1.0588739911053357e-07 1.1436988078295872e-06 3.7345313256903386e-06 -4.699744675288732e-06 -2.7217475264939116e-06
