 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.000265573450090031 4.929998218446464e-07 -2.1740590233592175e-06 -4.393009701067084e-07 4.969144461129905e-08 -3.197914678973794e-07 -3.331936558151151e-07 7.133938394852055e-07 3.7831050888866686e-08 8.018591536622457e-07 -8.127358145061013e-08 -7.926495861529886e-08 -8.777937304881374e-09 1.0682010332790724e-07 1.491018421596599e-07 -4.788791034838613e-07 -2.352671943080163e-07 2.8490052444004575e-07 -1.4544500741028644e-07 6.212538407829607e-07 2.5988267872688677e-07 1.3828491873415022e-06 -7.559895026460056e-06 -5.106032441769291e-06
PC1 4.929998218446464e-07 8.581275565974615e-07 -6.262586765946842e-07 5.746381385126371e-08 -5.1769981546723064e-08 -4.739359903025183e-08 -9.777268581574727e-09 5.060405965285812e-08 9.700199852911176e-08 -3.252600611146115e-08 3.965590851626649e-08 -3.442526495481283e-08 2.1725237792622808e-07 -4.335954759494599e-09 -9.672305478509529e-08 -1.825964203513377e-07 -1.6193719484382155e-07 3.57193786513911e-08 5.15486890910759e-08 2.309738273147588e-08 1.5250236348300735e-08 -2.069531277179478e-07 -1.4299055325747034e-06 -9.247877191215698e-07
PC2 -2.1740590233592167e-06 -6.262586765946843e-07 1.7627626692264078e-05 2.0359500219964466e-07 5.815038986772182e-07 -2.1372910262647438e-07 -4.9618412864489946e-08 4.491972400833729e-09 1.1438812953305529e-07 6.488657097154293e-08 -7.962707717636177e-09 6.652974609882315e-08 -1.3239039611845138e-07 4.6009944212026265e-08 -1.8013607128311837e-07 1.1041343210501893e-07 -1.6827118671966844e-07 1.4828977260534941e-07 -8.101375497357414e-09 -8.042850912361323e-09 -4.99736273259073e-09 1.4361499316527686e-06 -1.2525947949995176e-06 -2.98552017261688e-07
PC3 -4.3930097010670846e-07 5.746381385126369e-08 2.0359500219964466e-07 1.8045154756620274e-06 2.3217800896329844e-08 2.670947935482897e-07 1.9155480458581933e-08 6.126689738495019e-08 -6.099340178342291e-08 -3.2788663052184806e-07 3.3375637275918614e-08 1.3521683425887187e-07 6.728222874103358e-08 -1.724263569167442e-07 4.002485498339035e-09 -1.0006053159511914e-08 2.002863515757949e-09 -9.773437246048314e-08 -1.373829161938929e-07 1.0928765972139141e-07 3.84824902760107e-08 -2.522144579338513e-07 -9.189878865000101e-08 -1.0091985080697264e-06
PC4 4.969144461129929e-08 -5.176998154672306e-08 5.815038986772183e-07 2.321780089632988e-08 3.114717822562281e-06 4.159900596380411e-07 -2.1118341122244263e-07 -1.3135634476232386e-08 -3.48663813296264e-07 2.306418760430106e-07 9.232555011312547e-08 1.0284619043717863e-07 -2.155570979305386e-07 1.867790275965878e-08 -8.662738987457471e-08 -3.296924900765759e-08 4.9608397721198944e-08 1.0796797503718561e-08 -7.853143452531835e-08 -7.282747785310908e-08 -2.637224051172832e-08 -3.5316028191576764e-07 -1.2549077945602294e-06 -6.33704450595065e-07
PC5 -3.1979146789737996e-07 -4.739359903025186e-08 -2.1372910262647448e-07 2.670947935482897e-07 4.1599005963804087e-07 5.202934727109542e-06 3.589978774854763e-08 4.777917973144434e-07 2.183155383496717e-08 -5.1593974546572736e-08 -7.874151519277655e-08 -3.005070862846448e-07 1.7839422723800165e-07 -2.378367961367409e-07 3.07511017645237e-08 6.35544761668079e-08 -4.575815233213229e-08 2.3057217026716088e-07 -1.0318668557648244e-07 8.569439078299265e-08 7.256457186005051e-08 -8.242051142952274e-08 1.0884319298237606e-06 1.922741895576548e-07
PC6 -3.331936558151154e-07 -9.777268581574775e-09 -4.9618412864489734e-08 1.915548045858195e-08 -2.1118341122244263e-07 3.589978774854739e-08 5.990235355598407e-06 9.697957561536442e-09 7.292057037803238e-09 7.763185681465495e-08 3.4574227562024405e-10 -1.4334841479965978e-07 2.3769518428206848e-08 -1.5271913535284975e-07 -2.7095023753256857e-08 -2.0067839723143314e-08 -2.290433359575396e-08 2.4056748049606035e-07 -6.19493324523853e-08 -2.653443672440868e-08 -9.940375638766573e-08 -2.3355845872247614e-07 5.118633747326681e-07 1.757402912781086e-07
PC7 7.133938394852052e-07 5.060405965285809e-08 4.4919724008337915e-09 6.126689738495018e-08 -1.3135634476232428e-08 4.777917973144433e-07 9.69795756153639e-09 5.011912742349616e-06 2.2352700978306732e-07 -8.325708026370975e-08 -3.410027826517751e-08 3.5395130364163876e-07 7.252227393922224e-08 2.6367343303013493e-07 -2.1468698660383078e-08 -1.668503593916292e-07 -1.1158364027750106e-07 -2.5136993823030296e-08 7.009038545422049e-08 -3.523679323633291e-08 -1.1844077087964149e-07 -1.6242925490119654e-06 1.6473122356976156e-06 -8.173043522671252e-07
PC8 3.7831050888865985e-08 9.700199852911173e-08 1.1438812953305555e-07 -6.099340178342291e-08 -3.486638132962639e-07 2.1831553834966996e-08 7.292057037803238e-09 2.2352700978306732e-07 5.035353531816304e-06 8.41894760740133e-09 1.3744156744943921e-07 -2.2509589771293163e-07 9.742518224636659e-08 -6.330630255048717e-08 5.5861562186926255e-08 -9.064334180068475e-08 3.903332364992982e-08 6.800222001990147e-08 -4.123531462329422e-08 -5.329375798177174e-08 8.689762191126413e-08 -6.713907993264833e-07 4.4833833424760657e-07 8.334673953064467e-07
PC9 8.018591536622454e-07 -3.252600611146118e-08 6.488657097154292e-08 -3.27886630521848e-07 2.306418760430105e-07 -5.1593974546572855e-08 7.76318568146549e-08 -8.325708026370972e-08 8.418947607401346e-09 4.75209723470526e-06 -3.576526129455613e-08 -1.4755408989877957e-07 -4.055893585899024e-08 -1.2558277027697573e-07 -5.6209308008981146e-08 3.3972002283176576e-08 1.175733146415074e-07 1.2795199524375312e-07 -1.636952998453195e-07 -7.684636848855261e-08 -8.166251062627867e-08 5.6985841690401954e-08 3.6848110486320054e-07 7.012060562614158e-07
PC10 -8.127358145060997e-08 3.965590851626647e-08 -7.962707717636059e-09 3.337563727591863e-08 9.232555011312551e-08 -7.874151519277668e-08 3.457422756202446e-10 -3.4100278265177366e-08 1.3744156744943913e-07 -3.576526129455618e-08 4.392790942491949e-06 -2.0437189852560827e-07 1.3959310147013393e-07 -1.954519238293355e-07 -1.0364642730191743e-07 -7.657547653400378e-08 -1.5336735418173323e-07 2.4535647074714568e-08 1.7102920758228414e-07 1.428511408539795e-07 4.209813693302054e-08 2.1308620662013112e-07 1.3210361333897423e-06 -9.852217190437135e-07
PC11 -7.926495861529815e-08 -3.4425264954812765e-08 6.652974609882296e-08 1.3521683425887182e-07 1.0284619043717859e-07 -3.0050708628464436e-07 -1.4334841479965978e-07 3.5395130364163887e-07 -2.250958977129317e-07 -1.4755408989877962e-07 -2.0437189852560832e-07 4.322173995115528e-06 -6.79562769672083e-08 -5.2847079207494086e-08 -9.914022501532905e-08 9.169443309164966e-08 1.100819198898617e-08 1.7182117756743028e-07 -1.9693489769582084e-08 7.257084977498192e-08 1.576613316082386e-07 -6.084891894108129e-07 -3.764831459238046e-07 -6.338438412045979e-07
PC12 -8.77793730488162e-09 2.1725237792622816e-07 -1.3239039611845125e-07 6.728222874103355e-08 -2.1555709793053852e-07 1.783942272380016e-07 2.376951842820676e-08 7.25222739392223e-08 9.742518224636653e-08 -4.0558935858990196e-08 1.3959310147013396e-07 -6.795627696720833e-08 4.1899128385390785e-06 1.869997641621049e-08 -1.8891269454366727e-08 -8.988524145544214e-08 -9.230952645230822e-08 -2.1763625740332007e-08 4.997321037717746e-08 -6.151596836930322e-08 -7.705942662333574e-08 -2.864288586206729e-07 1.7391354609427736e-06 6.210998626720064e-08
PC13 1.0682010332790746e-07 -4.335954759494602e-09 4.6009944212026305e-08 -1.724263569167441e-07 1.8677902759658778e-08 -2.3783679613674102e-07 -1.5271913535284967e-07 2.6367343303013483e-07 -6.330630255048717e-08 -1.2558277027697562e-07 -1.9545192382933558e-07 -5.2847079207493954e-08 1.8699976416210485e-08 3.991026444681645e-06 -7.591349449492276e-08 1.913119624799556e-07 6.779165123872048e-08 1.8338485833884545e-08 -1.1737693660424976e-07 4.8755453048449124e-08 3.075102553442255e-08 3.295536206086776e-07 6.884948709912296e-08 6.850926730035824e-07
PC14 1.4910184215965956e-07 -9.672305478509527e-08 -1.8013607128311852e-07 4.002485498339021e-09 -8.662738987457476e-08 3.0751101764523624e-08 -2.7095023753256854e-08 -2.1468698660383065e-08 5.5861562186926335e-08 -5.620930800898117e-08 -1.036464273019175e-07 -9.914022501532896e-08 -1.889126945436674e-08 -7.591349449492273e-08 4.328855068593808e-06 -2.0267581007503122e-08 -8.184972170418741e-08 -1.842757037514236e-08 8.258838952806118e-08 1.1266053146912459e-07 -1.346717518821116e-08 1.5993318785790445e-07 -2.884079143767782e-07 -1.2298461564223156e-06
PC15 -4.78879103483861e-07 -1.825964203513377e-07 1.1041343210501883e-07 -1.0006053159511879e-08 -3.296924900765759e-08 6.355447616680782e-08 -2.0067839723143354e-08 -1.6685035939162928e-07 -9.064334180068478e-08 3.3972002283176576e-08 -7.657547653400376e-08 9.169443309164974e-08 -8.988524145544213e-08 1.9131196247995545e-07 -2.026758100750313e-08 4.079101375173916e-06 1.3680235280966274e-07 -1.6389472237935265e-07 -9.232472704773718e-08 9.882100005055911e-08 8.345457510648307e-08 1.5912683338905806e-07 4.426151785083205e-08 2.793865173043227e-07
PC16 -2.3526719430801601e-07 -1.619371948438216e-07 -1.6827118671966825e-07 2.002863515757905e-09 4.960839772119897e-08 -4.575815233213239e-08 -2.2904333595754004e-08 -1.1158364027750102e-07 3.903332364992974e-08 1.1757331464150747e-07 -1.5336735418173318e-07 1.1008191988986203e-08 -9.230952645230815e-08 6.779165123872048e-08 -8.184972170418727e-08 1.3680235280966266e-07 4.215775333976729e-06 -1.6325107441642472e-08 -5.4464273101097394e-08 -1.0970635433152204e-07 -6.803803021136445e-08 8.244610677726045e-07 2.1437910458415053e-07 1.6424599540807068e-07
