 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.0004606953122689489 8.576166499901811e-07 -2.6281956151553704e-07 5.263079116523519e-07 4.5438467165825405e-07 -1.9290815519133984e-06 1.3308611793104553e-06 1.1400055347903214e-06 -1.058969020647211e-07 1.8964395641609262e-06 2.469695516803756e-07 2.0667206314457363e-06 -2.672847642980403e-06 2.2516899110974976e-06 -2.536290744033709e-06 -2.4360879068508245e-06 -1.2204412876109284e-06 -2.6374583093946513e-07 -5.316283232948963e-07 2.403783406407062e-06 7.975606872419841e-07 1.1356720144295605e-05 4.541712777376222e-05 -0.00010412551253632485 2.099817810478702e-06
PC1 8.576166499901806e-07 1.6599502426200863e-06 -1.4548583050748378e-06 -1.9784666482564831e-07 -9.522802653572804e-08 -1.9725404986833373e-07 5.96650801368175e-08 1.677087651450501e-08 4.580170767912432e-08 1.8115425371167174e-08 1.2070463666813683e-08 -1.1130498227883945e-07 5.686369823868648e-07 -2.165843158107572e-08 -3.2543898237034424e-07 -4.694030935053279e-07 -4.879902664292798e-07 1.38112879586335e-07 1.87101330283034e-10 1.3686584840663178e-07 -9.542295728443785e-09 1.8985309438029299e-06 -7.188885053761899e-07 5.290265535014826e-06 2.9978516590130483e-06
PC2 -2.628195615155351e-07 -1.4548583050748378e-06 3.990216224112652e-05 6.46007227109511e-07 1.3751744376254372e-06 -8.995571608594076e-07 -3.5225434960760336e-07 -2.952118764420395e-07 1.1850764026319626e-06 -3.422155912649716e-07 2.0861173436966744e-07 -1.198172367121951e-08 -7.132551409350646e-07 8.103250261444424e-08 -2.0510956365629385e-07 2.1519934866266662e-08 -1.9532752288143453e-07 5.050925058531163e-07 -3.2787828504506805e-07 -3.920967818953331e-07 -2.161173133400326e-07 2.2984732276625535e-06 2.564825995794651e-06 -6.329584524396658e-06 3.9958381108524306e-06
PC3 5.263079116523521e-07 -1.9784666482564845e-07 6.460072271095109e-07 3.3278309755943532e-06 5.833342382585435e-08 9.881993697410556e-07 6.558111805249135e-08 3.897690706886908e-07 -1.2043749457038198e-07 -8.526388715515849e-07 1.9229245525139098e-07 3.0624566600922094e-07 5.4992252808785527e-08 -3.809036162322411e-07 1.4846065723319439e-07 -2.0963349637935022e-07 -9.815217373070007e-09 -2.621937804702577e-07 -2.9616540575442196e-07 3.5240065967005924e-07 1.0578098383021992e-07 -2.7447699657922534e-06 2.56023876635598e-06 -3.3741848255147607e-06 -5.779121954780744e-06
PC4 4.543846716582544e-07 -9.522802653572805e-08 1.3751744376254376e-06 5.8333423825854274e-08 6.385374649146982e-06 1.5655628990371825e-06 -1.1189454567073095e-07 1.2418461334002377e-07 -7.637565808843959e-07 5.124320254788515e-07 1.4260435118861542e-07 2.5701504540513187e-07 -6.757653915473467e-07 -1.6183058627469492e-07 -1.7770085195821116e-07 -7.34653987807534e-08 2.4035249704777913e-07 -8.583528987109588e-09 -3.3885957441899956e-07 -1.5386972460125442e-07 2.3678225653640877e-08 3.3026770195658e-06 -7.759310012699053e-07 2.194292530925522e-06 -7.863958335900341e-07
PC5 -1.929081551913398e-06 -1.9725404986833362e-07 -8.995571608594081e-07 9.881993697410552e-07 1.5655628990371831e-06 1.3164490843292773e-05 4.3982443073407073e-07 1.1139478550417853e-06 -6.109034357431264e-07 -4.343677609986493e-07 -3.4462770854735124e-07 -9.86976985094375e-07 4.693096918400483e-07 -1.1852558759050084e-06 5.403966342266881e-07 -1.0579027086796252e-07 -7.694053053314558e-08 6.743006226282817e-07 -3.219799009138222e-07 2.4306620114998926e-07 -3.1908787227672464e-08 -2.6792424620630203e-06 1.9239906129055773e-06 -1.895118914185427e-07 -3.803053968472155e-06
PC6 1.3308611793104564e-06 5.96650801368175e-08 -3.5225434960760325e-07 6.558111805249149e-08 -1.1189454567073107e-07 4.398244307340711e-07 1.2588523185725746e-05 2.171166799784449e-08 8.291878932646113e-08 3.3236486277533283e-07 1.1976184769951494e-07 -3.713391519886161e-07 -1.4555444509383482e-07 -4.2360625693720563e-07 -1.0758807866613305e-07 -2.7533709209932692e-08 -1.8542222162474147e-07 4.3014767488381223e-07 -3.457297306315267e-07 -1.388116422332614e-07 -2.7319180184137106e-07 6.673759192599714e-07 -2.692719690307863e-06 9.637754215209153e-06 -1.8260445313537329e-06
PC7 1.1400055347903197e-06 1.677087651450502e-08 -2.952118764420398e-07 3.8976907068869077e-07 1.2418461334002396e-07 1.113947855041786e-06 2.1711667997844542e-08 1.0240556906877298e-05 4.913454421131713e-07 -3.268908418791293e-07 -1.411553948023562e-07 9.005438360296008e-07 1.2644253252698132e-07 7.247761008788999e-07 -3.173325535125546e-07 -3.2136295306107963e-07 -4.1958906430064583e-07 -2.4202288064317e-07 1.8780153216556545e-07 6.439637762476227e-08 -1.879129833824255e-07 8.433184627209506e-07 2.6064580431911596e-06 -6.052236227561229e-06 -1.896021647170883e-06
PC8 -1.0589690206472224e-07 4.580170767912431e-08 1.1850764026319624e-06 -1.2043749457038196e-07 -7.637565808843957e-07 -6.10903435743126e-07 8.291878932646106e-08 4.913454421131713e-07 1.1085798743053127e-05 3.179520777626271e-07 2.27741754753797e-07 -7.200211579243338e-07 -5.071037129765172e-08 1.5288316814266164e-07 -1.3473277036375947e-08 -2.71217771934781e-07 1.606722568106731e-07 1.1826363880229677e-07 -3.0212248292625256e-07 -2.7973063516873807e-07 4.1059248047915237e-07 2.9217379402002084e-06 -3.1051614801285863e-06 3.931712097959427e-06 -2.2163703535831445e-06
PC9 1.8964395641609254e-06 1.8115425371167207e-08 -3.422155912649716e-07 -8.526388715515852e-07 5.124320254788512e-07 -4.3436776099864953e-07 3.3236486277533283e-07 -3.2689084187912916e-07 3.1795207776262736e-07 9.8480770487848e-06 -4.5172344252508617e-07 -1.10623371128726e-07 -2.269931081266712e-07 -2.6809953948866077e-07 -4.2818603468226305e-07 2.031469234609748e-08 1.550472455696404e-07 2.74205201539707e-07 -4.7436865651784913e-07 -2.1996118443438668e-07 -3.705568911656605e-07 -1.9605366549950883e-06 4.225814963786608e-06 -7.909850899069115e-06 2.6783220266890748e-06
