 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.0005105999838856623 9.71904545334027e-07 5.176783861362868e-07 5.612630271246726e-07 1.358794343441246e-06 -2.149231285963677e-06 3.108496653535265e-07 1.719224801872996e-06 -4.2221659026289764e-07 1.9075375426659042e-06 -1.0591465408890808e-07 7.803341784640098e-07 -2.2200804569830605e-06 1.540132013526098e-06 -1.9994574908467096e-06 -1.887086224448413e-06 -7.742268141574352e-07 3.6349915568884017e-07 -1.8846129162805405e-07 2.0030945378375986e-06 1.2121171753335215e-06 5.726607308637584e-06 4.8489228755415736e-05 -0.00010180841183447421 3.17557441544184e-06
PC1 9.71904545334027e-07 1.7858559188033558e-06 -1.2968476184956781e-06 -2.0785700798632837e-07 -5.995822270494413e-08 -2.0453476783589002e-07 2.47507599024449e-08 1.4112998103218245e-08 4.422399646148923e-08 -1.6654548970925005e-09 1.3029842794305708e-08 -1.1085558735974672e-07 4.845069632709957e-07 -4.1183616763782496e-08 -2.591102435272978e-07 -4.0089552340570195e-07 -3.8804306239126264e-07 8.620867896981474e-08 -4.918796491777297e-09 1.1255610517039798e-07 -7.523285244793447e-09 1.5668895258863999e-06 -1.620703513952383e-07 5.469064142757586e-06 2.7784588319803733e-06
PC2 5.176783861362915e-07 -1.2968476184956788e-06 3.454316356699373e-05 5.085928234348651e-07 1.0809425955073909e-06 -7.071184617817345e-07 -2.2694079350538134e-07 -1.8583131987949084e-07 8.850256408817194e-07 -2.1813013682221882e-07 2.076201167054966e-07 -3.380303990257111e-08 -4.187711887456856e-07 2.259872922215415e-07 -1.8817225124690866e-07 1.5352857795081722e-07 -1.47411782870592e-07 3.727709986892537e-07 -1.1189138334320419e-07 -2.472756957447791e-07 -1.5998852212050053e-07 2.681102791831035e-07 2.5746422012477838e-06 -6.130589446796848e-06 4.11310128101206e-06
PC3 5.612630271246728e-07 -2.0785700798632831e-07 5.085928234348654e-07 3.4891261444094093e-06 2.7549850347914317e-08 8.653281069372737e-07 1.69837221187387e-08 2.9871602955039355e-07 -1.5774116909938096e-07 -7.374596212516031e-07 1.5702297752258276e-07 2.722192590267057e-07 4.5458660438332815e-08 -3.105377461454996e-07 1.5679662683375715e-07 -1.7737134780466867e-07 -1.7193073358886027e-08 -1.7009896364013027e-07 -2.0762547049515002e-07 2.5882207528030315e-07 8.91679861147152e-08 -2.2191545812684245e-06 1.945269342124411e-06 -3.365338353334777e-06 -5.308414097949176e-06
PC4 1.3587943434412471e-06 -5.995822270494417e-08 1.0809425955073917e-06 2.754985034791435e-08 6.549829911870946e-06 1.2657284072228466e-06 -1.3596462021502803e-07 9.997401693253434e-08 -6.225211327301817e-07 4.6307182602766006e-07 1.5794330036914099e-07 2.402777376444672e-07 -5.891145331344608e-07 -1.3309034038371614e-07 -1.1398874935734036e-07 -4.099993743197649e-08 1.6785322860122197e-07 -8.535899860171797e-08 -2.049002114235133e-07 -9.920122616752103e-08 -2.1897976621368717e-08 2.6568428940741057e-06 -3.6515138727088226e-07 2.235693216138009e-06 -2.924009382841728e-07
PC5 -2.1492312859636766e-06 -2.0453476783589e-07 -7.071184617817341e-07 8.653281069372745e-07 1.2657284072228472e-06 1.1934386918262405e-05 3.348054713214764e-07 8.288344707032704e-07 -3.8029253577417547e-07 -3.34985924227446e-07 -2.410570699839641e-07 -7.256540384442493e-07 4.5896244635011594e-07 -8.958124450736456e-07 4.246463459575146e-07 -7.064236439075216e-08 -6.145464028096736e-08 5.010357618947878e-07 -2.3115249697913904e-07 1.1185469055140667e-07 -5.459271911870006e-08 -1.9107893290543216e-06 1.1289544173000953e-06 9.396292866641654e-07 -3.6501886623458448e-06
PC6 3.108496653535273e-07 2.4750759902444903e-08 -2.2694079350538137e-07 1.698372211873861e-08 -1.3596462021502798e-07 3.3480547132147584e-07 1.1238719970075757e-05 3.5034643166101623e-08 6.799095436700075e-08 2.4959338198769614e-07 1.1442985568588035e-07 -3.248631032022473e-07 -5.375239730630265e-08 -2.7005510476478853e-07 -1.2006127140800096e-07 7.403855589718842e-09 -1.39295105771881e-07 3.9449589741339076e-07 -3.058556083224133e-07 -4.947339787000226e-08 -2.5758183463379917e-07 1.1543366308109244e-06 -2.504361139305471e-06 8.343659388916429e-06 -1.8461367439729609e-06
PC7 1.7192248018729956e-06 1.411299810321803e-08 -1.858313198794901e-07 2.9871602955039355e-07 9.997401693253421e-08 8.288344707032705e-07 3.503464316610175e-08 9.16482952778169e-06 3.55539136803221e-07 -2.6811106940523157e-07 -1.4885617452546683e-07 6.631979973023433e-07 9.518233358234566e-08 5.544338349513035e-07 -1.6915540706939683e-07 -2.650820137050203e-07 -2.957584118556405e-07 -1.7705144008511836e-07 1.8296881713915303e-07 5.547637035062167e-08 -1.5379633897607714e-07 3.3141042069433754e-07 2.580375895344597e-06 -4.908251322702215e-06 -2.372776827564534e-06
PC8 -4.2221659026289684e-07 4.422399646148925e-08 8.850256408817197e-07 -1.5774116909938104e-07 -6.225211327301819e-07 -3.8029253577417563e-07 6.799095436700076e-08 3.555391368032207e-07 9.77166206762544e-06 2.8759050980070934e-07 8.492634986223823e-08 -5.986035563529059e-07 3.697546845123852e-08 1.1996821504752796e-07 -1.4735855594751073e-08 -1.9698400621185457e-07 1.573644162103297e-07 7.253836834610524e-08 -2.540810557072961e-07 -2.6989682657611494e-07 2.882092516763018e-07 2.0821041543357854e-06 -2.2404360048894785e-06 3.1266639747425498e-06 -2.7919241975709734e-06
PC9 1.907537542665904e-06 -1.6654548970925424e-09 -2.1813013682221896e-07 -7.374596212516032e-07 4.6307182602766006e-07 -3.349859242274463e-07 2.49593381987696e-07 -2.681110694052315e-07 2.8759050980070913e-07 8.81406318424886e-06 -3.0215521327789796e-07 -1.177220595733462e-07 -1.401796712434471e-07 -2.053570396053673e-07 -3.4000857935284536e-07 3.4062063307112595e-08 2.3617774882812548e-07 2.064710000813134e-07 -4.5446015235855315e-07 -2.1489849091332286e-07 -3.021976282725212e-07 -1.30194499146819e-06 2.951728289810383e-06 -5.757106995833085e-06 2.941975500285488e-06
PC10 -1.0591465408890795e-07 1.302984279430568e-08 2.0762011670549583e-07 1.5702297752258265e-07 1.5794330036914083e-07 -2.4105706998396395e-07 1.1442985568588047e-07 -1.4885617452546675e-07 8.49263498622383e-08 -3.021552132778976e-07 9.015824332803585e-06 -2.8674342909074913e-07 1.0141525860088171e-07 -2.4806497678347907e-07 -1.4369059490822046e-07 2.2186397513117726e-07 -8.221531860573667e-08 -1.7825230225160485e-07 2.1551964701798532e-07 3.283107582454344e-07 -4.9286226833011516e-08 1.1068847065503376e-06 -3.0481462899594954e-06 -3.809119820534785e-08 4.4407178793731e-06
PC11 7.803341784640098e-07 -1.1085558735974676e-07 -3.3803039902571194e-08 2.7221925902670594e-07 2.4027773764446706e-07 -7.256540384442491e-07 -3.248631032022474e-07 6.63197997302343e-07 -5.986035563529059e-07 -1.1772205957334636e-07 -2.867434290907488e-07 8.441373154096521e-06 -1.6755324678481863e-07 -5.824876736712416e-08 -1.654640012131134e-07 1.4280445931922955e-07 -4.009239128163516e-09 1.7466184759403604e-07 -1.4970339742475915e-08 1.8602424326921294e-07 3.5008474170954845e-07 -1.2985146882197261e-06 1.4317110283748137e-06 -1.0186399565873728e-06 1.1381214937468032e-06
PC12 -2.2200804569830596e-06 4.845069632709958e-07 -4.1877118874568504e-07 4.545866043833276e-08 -5.891145331344609e-07 4.589624463501156e-07 -5.3752397306302315e-08 9.518233358234558e-08 3.6975468451238514e-08 -1.4017967124344674e-07 1.0141525860088186e-07 -1.675532467848187e-07 7.952306090091349e-06 1.0345626982583122e-07 -3.717097000998104e-08 -4.2312799612578036e-07 -1.9461320786352506e-07 9.640834283220857e-08 -1.251593744524877e-07 1.1350699972993114e-07 -8.761369432768523e-08 1.0709950313807378e-06 -1.1076331021479646e-06 4.776167313970577e-07 8.870191885268452e-07
PC13 1.5401320135261e-06 -4.1183616763782476e-08 2.2598729222154144e-07 -3.105377461454996e-07 -1.3309034038371617e-07 -8.958124450736455e-07 -2.700551047647888e-07 5.544338349513037e-07 1.1996821504752802e-07 -2.0535703960536726e-07 -2.4806497678347907e-07 -5.824876736712416e-08 1.0345626982583131e-07 7.5097545573656166e-06 -3.640035094247383e-07 4.939584179791526e-07 1.1832845435069654e-07 9.743631592619251e-08 -1.8677795277588786e-07 3.672584240285668e-08 9.449753820915567e-08 -5.972263951437939e-07 1.0606841877737432e-06 -6.692384158970723e-06 1.8918169020705025e-06
PC14 -1.999457490846711e-06 -2.591102435272977e-07 -1.8817225124690898e-07 1.5679662683375726e-07 -1.1398874935734042e-07 4.246463459575145e-07 -1.2006127140800077e-07 -1.6915540706939704e-07 -1.4735855594751004e-08 -3.400085793528453e-07 -1.4369059490822043e-07 -1.6546400121311363e-07 -3.7170970009980867e-08 -3.640035094247383e-07 8.258198809015147e-06 4.933188210413175e-08 1.2769281674853813e-07 -2.4111301117196216e-08 9.427043785731986e-08 7.353908303369827e-08 -5.6504223937005405e-08 7.677844335675062e-07 -4.945675470704369e-06 2.915059897426973e-06 5.535736775626776e-06
PC15 -1.8870862244484136e-06 -4.0089552340570206e-07 1.5352857795081746e-07 -1.773713478046687e-07 -4.0999937431976393e-08 -7.064236439075209e-08 7.403855589718888e-09 -2.650820137050204e-07 -1.969840062118545e-07 3.4062063307112866e-08 2.2186397513117734e-07 1.428044593192294e-07 -4.231279961257804e-07 4.939584179791529e-07 4.93318821041319e-08 8.105710476254183e-06 2.709508370985345e-07 -5.044361888162566e-07 -1.2858879622310812e-07 -9.827269527387134e-08 2.3810100530846734e-07 8.656341733945923e-07 -1.7332684902279756e-06 8.561150404943974e-06 -2.1230006848078516e-07
PC16 -7.742268141574365e-07 -3.8804306239126253e-07 -1.4741178287059245e-07 -1.7193073358885964e-08 1.6785322860122215e-07 -6.145464028096695e-08 -1.3929510577188094e-07 -2.957584118556403e-07 1.5736441621032964e-07 2.3617774882812534e-07 -8.22153186057366e-08 -4.009239128163547e-09 -1.9461320786352495e-07 1.1832845435069655e-07 1.2769281674853826e-07 2.7095083709853454e-07 8.244843117328787e-06 -2.6540512257154626e-07 3.0959487234820673e-08 -4.70609735026527e-07 7.45092719671236e-08 7.66074206462507e-09 -2.8540034462801657e-07 -2.675482645199227e-06 5.614845200902621e-06
PC17 3.63499155688842e-07 8.62086789698147e-08 3.727709986892538e-07 -1.700989636401302e-07 -8.535899860171783e-08 5.010357618947878e-07 3.9449589741339087e-07 -1.7705144008511836e-07 7.2538368346105e-08 2.0647100008131339e-07 -1.7825230225160474e-07 1.7466184759403615e-07 9.64083428322085e-08 9.743631592619238e-08 -2.4111301117196163e-08 -5.044361888162565e-07 -2.654051225715463e-07 7.477247363632639e-06 1.3458329546065862e-07 -1.4264070872487617e-07 4.0911231242180655e-08 -2.086129339644715e-08 5.939483828444555e-07 -2.3351934662159476e-06 8.133271559699144e-07
PC18 -1.8846129162805463e-07 -4.91879649177729e-09 -1.1189138334320451e-07 -2.0762547049515012e-07 -2.0490021142351336e-07 -2.3115249697913896e-07 -3.058556083224133e-07 1.8296881713915311e-07 -2.540810557072962e-07 -4.544601523585531e-07 2.155196470179855e-07 -1.497033974247587e-08 -1.251593744524876e-07 -1.8677795277588802e-07 9.427043785731981e-08 -1.285887962231083e-07 3.0959487234820766e-08 1.3458329546065868e-07 7.516303822992744e-06 -1.0953974047321827e-07 1.1833197177804757e-07 -1.1508689898885915e-06 4.8987540248269046e-06 -4.424374818869356e-06 -4.569454478240424e-06
PC19 2.003094537837599e-06 1.1255610517039794e-07 -2.472756957447791e-07 2.5882207528030315e-07 -9.9201226167521e-08 1.1185469055140658e-07 -4.9473397870002416e-08 5.547637035062175e-08 -2.6989682657611515e-07 -2.1489849091332267e-07 3.2831075824543473e-07 1.8602424326921294e-07 1.1350699972993105e-07 3.672584240285672e-08 7.353908303369812e-08 -9.827269527387132e-08 -4.7060973502652695e-07 -1.4264070872487646e-07 -1.0953974047321826e-07 7.498562384226194e-06 3.646168190504631e-07 -1.877825796236594e-06 2.5615516010459776e-06 8.592120919126226e-07 -4.126692571338107e-06
PC20 1.2121171753335228e-06 -7.523285244793449e-09 -1.5998852212050074e-07 8.916798611471527e-08 -2.189797662136873e-08 -5.459271911870002e-08 -2.5758183463379896e-07 -1.5379633897607698e-07 2.8820925167630186e-07 -3.021976282725212e-07 -4.9286226833011456e-08 3.500847417095484e-07 -8.761369432768517e-08 9.449753820915566e-08 -5.650422393700549e-08 2.3810100530846728e-07 7.45092719671234e-08 4.091123124218068e-08 1.183319717780475e-07 3.646168190504632e-07 6.8678563694184025e-06 7.716815841241783e-07 -2.315509018681973e-06 1.2872010957138971e-06 4.717721097286827e-06
proband 5.726607308637589e-06 1.566889525886399e-06 2.681102791830989e-07 -2.2191545812684232e-06 2.6568428940741074e-06 -1.9107893290543208e-06 1.1543366308109237e-06 3.3141042069433696e-07 2.0821041543357846e-06 -1.3019449914681888e-06 1.1068847065503384e-06 -1.2985146882197253e-06 1.070995031380738e-06 -5.972263951437937e-07 7.677844335675084e-07 8.656341733945956e-07 7.660742064626674e-09 -2.0861293396446887e-08 -1.1508689898885913e-06 -1.8778257962365937e-06 7.716815841241781e-07 0.00048345466060717847 -0.0002684471333158795 3.175653098721334e-05 1.2601953032971261e-05
paternal 4.848922875541575e-05 -1.620703513952336e-07 2.5746422012477702e-06 1.9452693421243993e-06 -3.651513872708864e-07 1.1289544173000886e-06 -2.504361139305474e-06 2.5803758953445986e-06 -2.2404360048894785e-06 2.9517282898103853e-06 -3.0481462899594967e-06 1.4317110283748171e-06 -1.1076331021479667e-06 1.060684187773744e-06 -4.945675470704371e-06 -1.733268490227984e-06 -2.854003446280103e-07 5.939483828444571e-07 4.89875402482691e-06 2.561551601045979e-06 -2.31550901868197e-06 -0.00026844713331587966 0.0019411161918180089 -0.00137131810640725 -0.0012002222727157724
