(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband
(Intercept) 0.00174462210673821 -1.74340062429618 -0.0815796774237015 0.0807930801893619 3.45656444091388 -1.71369932596612 5.68943558114667e-05 -7.96701766178552e-06 -0.000195831661301727 1.35302919530497e-05 -5.49989208381314e-05 4.59511151832958e-05 -4.52648959920448e-05 -4.40848675686722e-05 -9.4747594687384e-06 5.35772195732368e-05 1.04116610561298e-05 4.915577019714e-05 3.43638002211459e-05 8.40587407412412e-05 4.40793782316757e-05 3.54475711281763e-05 -2.69816621254061e-05 5.8831362340017e-05 3.92574192154379e-05 -2.41195769115993e-05 -1.75845579338371e-05
covarSEX -1.74340062429618 352921.540660887 7026.53827523327 -7017.51925735088 -705718.298690712 352848.23250854 0.379220104783865 0.13970099360119 -0.391132631094193 -0.016048566557236 -0.253561734944106 0.294878060611089 -0.37368045981982 0.0779153253887452 -0.370555020787403 0.423414195563721 0.0676610623214269 0.202486723865995 -0.167421985868981 -0.421406564120511 -0.364898763110069 -0.412362442017171 0.0737405041365228 -0.141756652461379 0.212722930074633 0.361186446272696 0.364127052286296
covarYOB -0.0815796774237015 7026.53827523327 230.951362304615 -230.657069879506 -14045.9897392671 7020.49032594303 -0.0010149027489175 -0.00365245720864778 0.00174360826226406 -0.00860524079149582 0.000656981993404644 0.0105128094401821 -0.00171148135750809 0.00553819477148429 -0.000592547375577428 0.00387429332679637 0.00544966889638444 0.0055033101279217 -0.00178768378252485 -0.00211641706945343 -0.0161712625382095 -0.0179831416924079 0.00916980754849162 0.00501320629938635 0.00374874513604422 -0.00179613970260326 -0.000135140615057938
covarYOBsq 0.0807930801893619 -7017.51925735088 -230.657069879506 230.367816470643 14028.2438643775 -7011.76156580062 0.000877365200720222 0.00373068647825288 -0.0015855670759563 0.00865490839932114 -0.00065566256485679 -0.0105796080729664 0.0017320881425686 -0.00552685871733172 0.000655546604463215 -0.00383585416536139 -0.00542676514940275 -0.00552455075881967 0.00182063615699736 0.00202094821195017 0.0161586817282984 0.0180088948019948 -0.00921191110972842 -0.00501224655098002 -0.00379563111538098 0.00182472827593476 0.000162481282857552
covarSEX_YOB 3.45656444091388 -705718.298690712 -14045.9897392671 14028.2438643775 1411215.43799028 -705600.02083016 -0.7614959795261 -0.277489215268159 0.784265054918964 0.0341007130592313 0.509787718308715 -0.592990121738646 0.749113115502297 -0.156802077467764 0.744299726292265 -0.842712981582766 -0.136207738734592 -0.40169159527213 0.3375334916572 0.839653596796831 0.730044312175519 0.822919075383661 -0.146571739623346 0.281839775925883 -0.428093597604935 -0.722501891580923 -0.725355980573606
covarSEX_YOBsq -1.71369932596612 352848.23250854 7020.49032594303 -7011.76156580062 -705600.02083016 352803.204489366 0.382255452848788 0.137809298646772 -0.393189322630343 -0.0180319317776978 -0.256259191649223 0.298181455087933 -0.375489463554057 0.078905776604986 -0.373813744780592 0.419378102489066 0.0685918847939404 0.199254270133707 -0.170127161280253 -0.418330761504652 -0.365180216120447 -0.410607090801736 0.0728845844771376 -0.140080309274242 0.215404809422216 0.361331125743868 0.36126611696419
covarPC1 5.68943558114667e-05 0.379220104783865 -0.0010149027489175 0.000877365200720222 -0.7614959795261 0.382255452848788 0.00188005055575077 -0.000310482727000319 0.000303831641512589 -6.04568539379953e-05 -5.23607437743265e-05 1.05562993477076e-05 3.95238060246668e-05 9.42525653565331e-05 -2.24295823766074e-05 3.31703871636131e-05 -4.9177014537149e-05 0.00024876847422329 -5.69109695165242e-06 -0.000107760710992782 -0.000174062583964288 -0.000188599028930135 3.32627533632474e-05 7.01727603391597e-05 2.49826296620283e-05 3.74980610404969e-05 0.000227317728323268
covarPC2 -7.96701766178552e-06 0.13970099360119 -0.00365245720864778 0.00373068647825288 -0.277489215268159 0.137809298646772 -0.000310482727000319 0.00174968811176393 6.73046159762107e-05 0.000179368516088327 -2.91234595677616e-05 -3.5179349449199e-05 5.85063740353981e-06 1.39510448069752e-05 -4.27606130095277e-06 -3.0195855062024e-06 2.41221318126639e-05 -6.03394514028819e-05 -1.09791759137398e-05 -3.6713951989754e-05 6.094108035762e-06 -3.2653836600999e-05 5.52900420189989e-05 6.26498038575004e-08 -1.25203639805295e-05 9.1499028701372e-06 5.73691525387164e-06
covarPC3 -0.000195831661301727 -0.391132631094193 0.00174360826226406 -0.0015855670759563 0.784265054918964 -0.393189322630343 0.000303831641512589 6.73046159762107e-05 0.00196840782997503 9.17097473516447e-06 0.00017153137344721 9.66859604423151e-06 6.7378020941559e-05 -3.83627020894072e-05 -0.000209461982365972 3.07458285967857e-05 9.35199676253608e-05 3.10598136475749e-05 -0.000126723532140727 -3.01366662369824e-05 -1.17251217912966e-05 6.63675598240264e-06 -9.95912153807882e-05 -0.000114790145214915 7.65293163730569e-05 1.54314267593216e-05 -0.000140010139908701
covarPC4 1.35302919530497e-05 -0.016048566557236 -0.00860524079149582 0.00865490839932114 0.0341007130592313 -0.0180319317776978 -6.04568539379953e-05 0.000179368516088327 9.17097473516447e-06 0.00175100498002966 0.00021829629685691 -0.000101207982109068 1.65667407500067e-05 -0.000210320887246508 0.000109241374654347 3.37122294912493e-05 3.76439286627832e-05 -0.000114028748960457 1.07918423300058e-05 -6.76970535017102e-05 1.05530867823798e-06 6.00882083640889e-05 1.75918515198915e-05 -6.763280657256e-05 -3.91902212978396e-05 1.21666962860963e-05 8.97310335192783e-05
