 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
intercept 0.00037781281382641185 5.732846023711924e-07 -3.201488597097533e-06 -6.942745920602052e-07 8.9887234189585e-07 -3.0451201770112435e-07 1.5849059453539872e-07 1.5901202541942007e-06 7.963408526484109e-07 4.522340537774165e-07 -4.008524314345086e-07 5.015914271943765e-07 -3.518239482654072e-07 7.202666070035074e-07 1.8606951392698235e-07 -7.948993934250334e-07 -4.391935399253058e-07 -4.854748501020315e-07 4.94649901423263e-07 1.095557952429257e-06 4.0387903424432054e-07 4.311363493458066e-06 3.0057047596630383e-05 -8.633820100417482e-05 3.1858205633294605e-05
PC1 5.73284602371192e-07 1.3493983604949253e-06 -1.0215973359982627e-06 -5.801884279872862e-08 -5.1461289729845584e-08 -2.0438482027629997e-07 3.029006182743224e-08 1.4179749157930835e-07 1.5534458594370066e-07 -6.522546909152332e-08 1.4100849104038504e-07 -8.878583174608324e-08 3.3922487113237323e-07 -1.001042954581785e-07 -1.397529594424991e-07 -3.1600451719938213e-07 -2.429455828463191e-07 2.037177278046294e-09 -2.8686885159091495e-08 9.330308613420129e-08 2.3572960240445382e-08 2.2837723394178517e-06 -2.6856399720946846e-06 5.551977271593684e-06 2.434258198247544e-06
PC2 -3.201488597097533e-06 -1.0215973359982627e-06 2.7319931690162812e-05 4.2864311006633063e-07 9.63832617994687e-07 -1.2418649106584954e-07 -4.621920684291898e-08 -2.0042215612716215e-07 2.71006718420468e-07 4.846569706947065e-09 -4.832179898895543e-08 -8.507277779835066e-08 -2.4117938739849993e-07 2.743783992176044e-07 -3.7357097376222807e-07 2.6382920231279277e-07 -1.2183651847589393e-07 6.491155827234463e-07 7.690334798140955e-08 -2.9728477406076035e-07 1.0292351583426704e-07 -6.506364099313068e-07 -9.916397449075839e-07 7.242603180197697e-06 -4.2066634516705014e-07
PC3 -6.942745920602055e-07 -5.801884279872849e-08 4.286431100663305e-07 2.711973265306257e-06 2.6261556635699555e-08 5.557211814001846e-07 1.950844589023254e-08 1.0292715677746477e-07 -1.0621704446243047e-07 -4.913552228180235e-07 1.575067295612968e-08 1.7091196193407784e-07 1.0204955047556996e-07 -3.9694486194215084e-07 -7.256186524700825e-08 -7.1546359891884905e-09 1.9895687405931833e-08 -1.3853066371479375e-07 -3.146043414328044e-07 2.054599568509857e-07 6.289355742007086e-08 -1.7211738855212977e-06 -4.4817196705354594e-07 -2.438652788692359e-06 -2.1619901491380185e-06
PC4 8.988723418958489e-07 -5.1461289729845624e-08 9.638326179946871e-07 2.6261556635699615e-08 4.74779033791511e-06 1.022395939490157e-06 -3.159746640617512e-07 9.640441539953548e-08 -7.95900266414367e-07 1.654393554144431e-07 1.6791474706622552e-07 1.4974979602355668e-09 -4.0836206769487647e-07 -2.1651267565585424e-07 -8.236785574675575e-08 -3.8441628575474576e-08 7.460961550867895e-08 1.397001539574958e-07 -1.7329827330051027e-07 -1.1649203937757589e-07 2.9580008298037076e-08 1.4567806036641016e-06 -3.390502849470317e-07 1.8034235424571655e-06 4.598223610135866e-07
PC5 -3.045120177011243e-07 -2.043848202762999e-07 -1.2418649106584962e-07 5.557211814001846e-07 1.0223959394901563e-06 8.975829329310807e-06 1.5197189239043715e-07 7.825543721157862e-07 -5.054633736625024e-07 -1.783338872671e-07 -2.3788943918046087e-07 -6.369772880674007e-07 3.495158703979455e-07 -5.50972224948011e-07 2.42278344781329e-07 -1.7655436541754787e-08 -1.0035388159917253e-07 4.1716532658033066e-07 -1.4223165634046582e-07 3.1675582145653077e-07 1.0940454981261156e-07 3.6571263807082164e-07 -7.344830953182115e-07 4.947675950972754e-06 -6.7887377967153416e-06
PC6 1.5849059453539835e-07 3.029006182743222e-08 -4.621920684291888e-08 1.950844589023241e-08 -3.159746640617509e-07 1.5197189239043704e-07 8.812185055424848e-06 1.0880822674350077e-08 8.08489526182466e-08 2.9187575152011017e-08 3.95545333520976e-08 -1.4631526007065492e-07 1.134173180627418e-07 -2.4425807050471446e-07 -3.6803223480694596e-08 3.085712601742883e-08 -2.5670146847327646e-08 2.7626280439972964e-07 -9.951218000633427e-08 -1.6197844136800325e-08 -2.403763685562934e-07 1.278039234314329e-06 -3.7169332857041117e-06 1.6019023078435515e-06 2.544134646926761e-06
PC7 1.5901202541942005e-06 1.4179749157930843e-07 -2.0042215612716196e-07 1.0292715677746466e-07 9.640441539953563e-08 7.825543721157866e-07 1.0880822674350155e-08 7.2423060049069794e-06 4.136146622942641e-07 -1.4465086804630058e-07 -8.28385808240323e-08 5.887932406729607e-07 1.027062822586179e-07 2.9660558412053515e-07 -5.652267831203912e-08 -3.5884578207770666e-07 -1.936443389967735e-08 -4.163983754609674e-08 5.1149917072555275e-08 1.2026774950399873e-08 -1.7043681086271458e-07 2.4572641529184937e-07 -6.323121434619212e-07 4.839872826492304e-06 -3.7447444007129244e-06
PC8 7.963408526484109e-07 1.553445859437005e-07 2.7100671842046816e-07 -1.0621704446243052e-07 -7.959002664143671e-07 -5.054633736625025e-07 8.084895261824676e-08 4.1361466229426394e-07 7.820101640709722e-06 1.503022132873065e-07 2.0461572232195585e-07 -2.3482444869336137e-07 2.3226115497445827e-07 -1.0607659849330968e-08 -5.6772965383172176e-08 -1.915599114810609e-07 9.439603171320669e-08 8.241759155265504e-08 -1.4971009190660482e-07 -2.2649181480316035e-07 1.6747470554538035e-07 -1.6709821542706725e-07 1.1276761604817944e-06 -1.829237163441707e-06 1.4737481535086272e-06
PC9 4.5223405377741706e-07 -6.522546909152328e-08 4.846569706946906e-09 -4.913552228180236e-07 1.6543935541444305e-07 -1.7833388726709988e-07 2.918757515201084e-08 -1.446508680463004e-07 1.503022132873066e-07 7.0293273320818295e-06 -7.052848711439848e-08 -1.6612231053973183e-07 -1.4354507167450125e-07 -1.0038176233717267e-08 -2.6797854905892064e-07 1.3927276377419028e-07 2.97385618409834e-07 2.894558860099642e-07 -1.823014891087945e-07 -1.6200802208485764e-07 -2.203278099937088e-07 -9.301774359476151e-07 3.2513351899566815e-08 9.990672280888921e-08 5.868348278629866e-07
PC10 -4.0085243143451024e-07 1.4100849104038515e-07 -4.832179898895542e-08 1.575067295612973e-08 1.6791474706622552e-07 -2.3788943918046116e-07 3.955453335209757e-08 -8.283858082403235e-08 2.0461572232195601e-07 -7.05284871143986e-08 6.699318617121999e-06 -1.8846045573802877e-07 2.2073219510072025e-07 -3.203924650977242e-07 -5.4093537892799106e-08 -1.1061776991392351e-07 -3.4135972915894775e-07 1.7203944293492488e-07 2.135543293721285e-07 2.1609901826827317e-07 -1.31671619720985e-08 1.7271104534562224e-06 -1.6540555851262294e-06 -2.0754438289316356e-07 -8.64158066051785e-08
PC11 5.015914271943769e-07 -8.878583174608324e-08 -8.507277779835064e-08 1.7091196193407774e-07 1.4974979602355737e-09 -6.369772880674003e-07 -1.4631526007065492e-07 5.887932406729611e-07 -2.3482444869336124e-07 -1.6612231053973188e-07 -1.884604557380288e-07 6.595311195078708e-06 -1.725282795660984e-07 3.193011051162104e-08 -2.7109641816517737e-07 1.6326463631181385e-07 1.6254772738436764e-07 1.4798327991569298e-07 -1.2705067365901283e-08 2.7396031763765803e-07 1.9903830669164455e-07 2.7154962196703504e-07 -2.187761719519254e-06 4.3044123651110084e-06 -2.3388576081722807e-06
PC12 -3.518239482654078e-07 3.392248711323731e-07 -2.411793873984996e-07 1.0204955047557001e-07 -4.083620676948765e-07 3.4951587039794584e-07 1.1341731806274197e-07 1.0270628225861791e-07 2.3226115497445827e-07 -1.435450716745013e-07 2.2073219510072062e-07 -1.725282795660985e-07 6.178227670890994e-06 -9.229225836855127e-09 -6.84448895545682e-08 -1.6948372669825073e-07 1.9072271964337297e-08 -7.159216928776551e-08 -2.2939665559802465e-08 5.41106031473826e-08 -8.681963940555888e-08 7.902967925484138e-07 -1.7955447785523894e-06 2.0251801140660785e-06 3.650055576198145e-06
PC13 7.202666070035061e-07 -1.0010429545817858e-07 2.743783992176042e-07 -3.9694486194215095e-07 -2.1651267565585442e-07 -5.509722249480111e-07 -2.4425807050471467e-07 2.9660558412053536e-07 -1.0607659849331037e-08 -1.0038176233717285e-08 -3.203924650977242e-07 3.193011051162111e-08 -9.229225836855028e-09 6.207310891601794e-06 -2.0574532198140135e-07 4.477168158136382e-07 2.4444493976683423e-07 6.0041873860112e-08 -2.4063052631772082e-08 -5.148717483484806e-10 2.853988100376213e-08 -1.3541553870609029e-06 -3.6055946458127055e-06 3.2064535923541063e-06 1.6222334271351949e-06
