 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.00021473333827977666 3.313256203264411e-07 -2.296935027617468e-06 -3.8654462126909003e-07 -2.9211281314254604e-07 -1.851516247645787e-07 4.5566974702027265e-08 5.006442044455138e-07 6.891781924103756e-08 7.588503212313422e-07 8.045039803566266e-08 2.3941288775441724e-07 -5.440681214062705e-08 2.437800206646028e-07 -5.09949759178936e-08 -4.5751662168131885e-07 -2.909113780227212e-07 1.2860547668342502e-07 -2.190045966229061e-07 6.62778668674322e-07 4.3000688304992204e-09 7.185987246723485e-06 -4.763786890725769e-06 -8.674929905607568e-06
PC1 3.313256203264409e-07 6.982928710320244e-07 -6.123640159459783e-07 4.4235056662613496e-08 -6.843020650442202e-08 -2.848119627668755e-08 3.975834653999074e-09 3.412680016540764e-08 9.038119936804504e-08 -1.6968204361137985e-08 4.1553713158003746e-08 -3.7838858907827824e-08 2.2187683638738275e-07 5.59746820345939e-09 -1.0114792620759783e-07 -1.7592723486639997e-07 -1.556936710248364e-07 2.914969512373049e-08 5.498507222235815e-08 2.627396967046165e-08 1.432200414796902e-08 5.7313422389004123e-08 1.351195419132049e-07 4.120649864328696e-07
PC2 -2.296935027617468e-06 -6.123640159459783e-07 1.7119795618545594e-05 2.1099983671769833e-07 5.864192660076892e-07 -1.8097588956310482e-07 -9.634613172117999e-08 1.990302354164983e-08 9.85702352358752e-08 5.266844747136454e-09 -1.7511663821556704e-08 5.5145089816531384e-08 -2.0154723375785644e-07 1.200367789850198e-08 -1.664886230885136e-07 8.213357126659261e-08 -1.6842220865853086e-07 1.829631610435006e-07 -1.5156760371170113e-08 -1.1265187969363142e-08 -2.047661502627611e-08 -1.1693570486900924e-06 5.59194485213536e-07 7.77269825611258e-07
PC3 -3.8654462126908977e-07 4.4235056662613496e-08 2.1099983671769836e-07 1.5309146121502224e-06 2.9697109506480498e-08 2.544644753563264e-07 1.409879275666142e-08 6.602592211380078e-08 -5.789143467519237e-08 -3.274209434299617e-07 3.88675303286365e-08 1.4392444581381622e-07 5.9390288503047246e-08 -1.7072695922059962e-07 -5.431948713569031e-09 4.2444061117329385e-09 8.137265936040578e-09 -1.1549959941699097e-07 -1.451966915229342e-07 1.1834496827304975e-07 3.105889016359747e-08 -8.61791123975179e-07 -9.8058651754317e-07 -4.946093336563754e-07
PC4 -2.9211281314254593e-07 -6.843020650442206e-08 5.864192660076893e-07 2.969710950648049e-08 2.6640300668192323e-06 4.377345289171362e-07 -2.049250196901038e-07 -1.5942857775840023e-08 -3.766958286737286e-07 2.3539867739589719e-07 8.509898975023552e-08 1.0256543007007861e-07 -1.994150616880365e-07 2.3846409623787695e-08 -1.1084682379073542e-07 -3.0539488576557873e-08 7.86899131504013e-08 1.3448723324749684e-08 -9.644356139713911e-08 -6.606735473872821e-08 -1.4232729526083447e-08 6.653657296880627e-08 -1.738782793733598e-07 -5.8255293115083e-07
PC5 -1.8515162476457845e-07 -2.8481196276687546e-08 -1.8097588956310468e-07 2.544644753563265e-07 4.3773452891713615e-07 4.814139128932895e-06 5.3963570648075795e-08 5.081585666922684e-07 -9.21606947516346e-09 -6.183900856468756e-08 -8.760159229992838e-08 -3.018456129592366e-07 1.6197318809902618e-07 -2.672856747449128e-07 1.8102381290221868e-08 6.067432423577015e-08 -5.926826286743049e-08 2.555479570759857e-07 -1.0771439370607513e-07 8.788395434594406e-08 6.50025103067523e-08 -6.700269014927905e-07 6.0108196846879e-07 -3.2288465179376445e-07
PC6 4.5566974702026954e-08 3.975834653999062e-09 -9.63461317211798e-08 1.409879275666144e-08 -2.049250196901037e-07 5.396357064807574e-08 5.752284507136605e-06 2.0129454150739886e-08 -1.7834926071586022e-09 1.0751493662511242e-07 -1.9343079361936383e-08 -1.4012776418449263e-07 2.1351372268310934e-08 -2.0014888168054814e-07 -1.2851487472165692e-08 -3.54770265559574e-08 -2.9336696545879272e-08 2.3877705153989813e-07 -5.8432184393751335e-08 -4.105919223231031e-08 -8.2658197363832e-08 1.0859711406337712e-06 -8.319110510873706e-08 -3.5036734928662994e-08
PC7 5.006442044455143e-07 3.412680016540763e-08 1.9903023541649856e-08 6.60259221138008e-08 -1.594285777584005e-08 5.081585666922686e-07 2.0129454150739952e-08 4.756153982536119e-06 2.405317574845576e-07 -6.521826689370029e-08 -3.179458699815414e-08 3.8412494900998465e-07 6.895594157548795e-08 2.997160799208513e-07 -5.314682232177824e-08 -1.6669984223203407e-07 -1.2041959146586821e-07 -2.6094637838091995e-08 6.394745534056e-08 -4.6486421693081866e-08 -1.08622809865172e-07 -2.3526929350624974e-08 3.1976554395925e-07 -8.913063080131186e-07
PC8 6.89178192410381e-08 9.038119936804507e-08 9.857023523587526e-08 -5.789143467519235e-08 -3.7669582867372883e-07 -9.216069475163406e-09 -1.7834926071586483e-09 2.405317574845577e-07 4.825589435735308e-06 3.3273082648606484e-09 1.648039820048913e-07 -2.3547708480376738e-07 8.60903311347313e-08 -5.917244897621454e-08 5.7975626651629457e-08 -1.112052714538812e-07 3.4592267421634153e-08 9.46951513735725e-08 -3.566434419902481e-08 -3.436452439333758e-08 9.290415160380229e-08 -7.312429957133345e-07 4.909105684510329e-07 1.0585323365635057e-06
PC9 7.588503212313415e-07 -1.6968204361137965e-08 5.266844747136427e-09 -3.2742094342996195e-07 2.3539867739589705e-07 -6.183900856468758e-08 1.0751493662511246e-07 -6.521826689370034e-08 3.3273082648607443e-09 4.5682095451684104e-06 -5.055944713412489e-08 -1.4836604832291411e-07 -5.472062706678893e-08 -1.475749083666933e-07 -7.269880949089869e-08 1.1310870249193226e-08 8.679444463631066e-08 1.407283690092484e-07 -1.45835027361565e-07 -6.259166413161065e-08 -8.057302288856205e-08 2.506581770968611e-07 5.573031725351825e-07 -7.219575797033642e-07
