 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gmp gpm gmm
intercept 0.0005232167739679571 1.3356951799810496e-06 -5.67453502154222e-07 4.240551902829214e-07 9.398548754948527e-07 -4.310056253378793e-08 1.4914215536522016e-06 5.194605972783086e-07 1.6817005223401285e-06 1.0706148968687422e-06 2.9223977482288674e-07 3.833995900368311e-06 -2.657087657337161e-06 1.5467434407309507e-06 -1.8453269640764497e-06 -2.351179249140444e-06 -1.8166895317195288e-06 -1.6418234164641024e-06 -6.571006050251657e-07 2.365001590979058e-06 -4.248309277976904e-07 -5.443887167630159e-06 3.7585691119019314e-05 3.246590240484437e-05 -4.162808911060627e-05 -3.8746802346717337e-05 -0.00012524774527157553 5.6349733399937025e-05
PC1 1.335695179981048e-06 1.8485986282712467e-06 -1.6962266859786355e-06 -1.6667956153048422e-07 -9.369811324088042e-08 -2.872962537260637e-07 1.0476000467844052e-07 1.0402039323508197e-07 6.557959885447205e-08 -5.993041687810093e-08 5.780031146961221e-08 -3.850369960380496e-08 5.571327201811133e-07 -1.5597933783382193e-07 -3.369575171417669e-07 -6.320647176836571e-07 -5.562154853076146e-07 2.2636789556642273e-07 -9.561475821567363e-09 1.7199489990651743e-07 -7.859751740142172e-08 1.5034457015172262e-07 7.549361219008308e-07 2.994510682098897e-06 -1.4472364933730763e-06 2.947538915419905e-06 -1.0951028998852309e-06 -5.674096161147451e-07
PC2 -5.674535021542186e-07 -1.696226685978636e-06 4.4076367764534445e-05 9.798272022063128e-07 1.2474210038626442e-06 -3.953429335342102e-07 -1.2263613123792326e-07 -3.577302105429484e-07 1.1428206274388406e-06 -2.093500793516117e-07 4.803488792676277e-07 -5.747291868201558e-07 -8.877264571348855e-07 5.270179514776179e-07 -9.242310788848063e-07 2.466239031729873e-07 1.4080495965273716e-08 7.610193445342394e-07 2.2801530901543625e-07 -4.88739281779341e-07 -2.6435964951476137e-07 8.840638332081404e-07 6.27074128795894e-06 3.2674043220260506e-06 -1.4982095060563945e-05 1.7180201923020035e-06 5.616450947030346e-06 -8.402268225435805e-06
PC3 4.2405519028292046e-07 -1.6667956153048427e-07 9.798272022063124e-07 3.730966573817312e-06 1.3806948021630427e-07 9.847464744540311e-07 -3.4241065367596344e-08 3.9461251730204304e-07 -1.2933919308698153e-07 -8.838104855391861e-07 1.3491677827209134e-07 3.0091915349664027e-07 1.9317418843616653e-08 -5.49872402798292e-07 3.692056357739234e-08 -2.8240598137810516e-08 1.6630026474383522e-07 -4.120351267073022e-07 -4.486758739498561e-07 3.838941130309905e-07 8.74334782000499e-08 -1.3495732164772129e-06 -2.5236029479817405e-06 -1.0825786177702814e-06 -7.900018953772319e-07 -1.4777923837922886e-06 -5.731054694436723e-06 2.8155192134402023e-06
PC4 9.398548754948521e-07 -9.369811324088035e-08 1.2474210038626442e-06 1.380694802163043e-07 6.910407188740324e-06 1.5533146988302435e-06 -3.360656657324477e-07 1.8999167555966446e-07 -1.139007230343671e-06 3.8298457156662006e-07 2.4707825237563775e-07 2.0750940525440052e-07 -8.137498417343479e-07 -4.0241177326925027e-07 -9.45881976352457e-08 -1.3259255292526016e-07 1.0618662353180754e-07 6.089346899004985e-08 -4.561436889452488e-07 -1.7157132295964928e-07 1.5829683604377566e-07 9.909599118754758e-07 1.2833818515192591e-06 -4.881077088510309e-06 -4.839764263009266e-06 2.7515686060806654e-06 -5.988428921879265e-07 5.5079683120522576e-06
PC5 -4.3100562533787454e-08 -2.872962537260639e-07 -3.953429335342107e-07 9.847464744540314e-07 1.5533146988302432e-06 1.40804686665125e-05 3.1112541262875694e-07 1.0400762267491826e-06 -7.97564074787583e-07 -4.125829221236073e-07 -2.760976150097135e-07 -1.1692222941297258e-06 4.87293955423884e-07 -1.0625950180011877e-06 5.48676673855709e-07 -8.675171451694029e-08 -1.4115608237318128e-07 7.20559139000442e-07 -3.200014039145266e-07 2.8264375050907664e-07 1.1251486715850253e-07 -2.3144323829814282e-07 5.372879902327142e-06 1.4784393777981504e-06 -1.7734343905385974e-06 -8.799212814035828e-06 -7.269843597013029e-06 6.068728062433464e-06
PC6 1.4914215536521999e-06 1.0476000467844048e-07 -1.22636131237923e-07 -3.424106536759634e-08 -3.3606566573244735e-07 3.1112541262875715e-07 1.360419564134866e-05 -1.1749270969966567e-07 2.940338448078292e-07 2.0023726537062951e-07 -1.7295889515665928e-08 -3.8897430807945077e-07 1.6436571269424008e-07 -3.6937729316444384e-07 -2.0934062146668392e-07 -1.9448573564498153e-08 -6.907507340330608e-08 2.636670004099276e-07 -2.89000172570662e-07 -2.0257392685937368e-07 -4.930808419034838e-07 1.335944245858248e-06 -3.982248206108944e-06 -1.6047163848472805e-06 5.719436725202803e-06 4.716444050055652e-06 2.996246513567285e-06 1.0862893650036066e-06
PC7 5.19460597278308e-07 1.0402039323508188e-07 -3.577302105429482e-07 3.9461251730204346e-07 1.8999167555966435e-07 1.0400762267491826e-06 -1.1749270969966554e-07 1.1355512064237064e-05 7.695830741384662e-07 -2.6046022775483915e-07 -1.7876717986057244e-07 1.2755343818025093e-06 1.4408187760687323e-07 4.896009029865134e-07 -1.5516979797781617e-07 -3.412660034260312e-07 -3.846705088326049e-07 -2.0000192136492233e-07 1.3309019039460638e-07 6.07405205689678e-08 -2.720414906239328e-07 2.68696050915413e-06 3.6862921918639413e-06 3.385564281115272e-06 -2.769513805267457e-06 -8.004246416791985e-06 -6.608554542277079e-06 -1.0044133990743477e-05
PC8 1.6817005223401304e-06 6.557959885447211e-08 1.142820627438841e-06 -1.2933919308698137e-07 -1.139007230343671e-06 -7.975640747875835e-07 2.9403384480782963e-07 7.695830741384653e-07 1.2200030927657138e-05 3.8664276920594533e-07 1.505454602706575e-07 -7.70670593481537e-07 4.996607800511685e-08 3.206103454635664e-08 -8.774291044357539e-08 -5.727348600935397e-07 2.7779905290029455e-08 9.273978660284624e-08 -5.102276035469572e-07 -3.087730007545283e-07 3.167022895155349e-07 -9.269197207733792e-07 1.5365700638232624e-06 1.1218484405287626e-06 -3.854067998794791e-06 1.4118046899111255e-06 -2.5657533224526382e-06 2.9737847751344273e-06
PC9 1.0706148968687424e-06 -5.993041687810089e-08 -2.093500793516108e-07 -8.838104855391855e-07 3.8298457156662006e-07 -4.1258292212360685e-07 2.002372653706296e-07 -2.6046022775483904e-07 3.8664276920594575e-07 1.0616703041930878e-05 -3.76562769992162e-07 6.298979464290733e-08 -4.752055159062729e-07 -3.049380466443747e-08 -7.641283561239299e-07 2.6933124206968e-07 4.991632209424586e-07 6.064986640037229e-07 -1.8355625718773597e-07 -1.0286726279554788e-07 -5.277624739781321e-07 -7.129690572431988e-07 3.1943871684663885e-06 -1.4666015082208455e-06 -1.1995643678491927e-05 9.39620386995403e-06 2.4575903024469316e-06 -1.4792377635493886e-06
