(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband
(Intercept) 0.00165566132482252 0.682347869353657 -0.0471345384171544 0.0469193967483746 -1.38687381337291 0.704821855360908 2.56429196113039e-05 2.20628994248863e-05 -0.000123523160931377 -3.26885851899135e-05 -5.95584571634095e-06 2.53718874460291e-06 -2.96554449436648e-05 2.72168615593458e-05 -4.51128984406232e-05 -4.43590892029398e-06 1.21003899220204e-05 -3.07362697969267e-06 7.85898716088686e-06 3.91533307530137e-05 -2.09175750559118e-05 -3.116962764537e-05 4.59841130121523e-05 -6.08048695611383e-06 3.03410639070605e-05 2.40911112649544e-05 -1.12545616873938e-05
covarSEX 0.682347869353657 323847.44774841 4705.9456627005 -4705.67458861353 -648502.530785134 324703.206308528 0.46696937200496 -0.0961314645407209 -0.260839167208605 0.151383190759644 -0.099547955593538 0.197564307823751 -0.356211403025368 0.349447847022803 -0.438841525183467 0.418902428128393 -0.158676366088991 0.174143167548635 -0.148281271900455 -0.185372492552985 -0.355290054847004 -0.454519436194284 0.108545476684112 -0.0474349078757643 0.189360111013632 0.232858277523743 -0.274852054985828
covarYOB -0.0471345384171544 4705.9456627005 162.993493643201 -162.975388692593 -9418.87172323733 4713.620951663 0.0070384029970863 -0.00953689143329869 0.00325744672481092 -0.00283693524404456 0.000715687156932935 0.00791253778022954 0.00348132357379613 0.00814840407241151 -0.000189121987007756 0.00345153513055499 -0.00119300602428916 0.00409486412547491 -0.00309051791168629 0.00232989029962417 -0.0152260136038799 -0.0148096680521725 0.0109669649123713 0.00295152431831306 0.00191225436738827 -0.00634925479758717 -0.00164435575567011
covarYOBsq 0.0469193967483746 -4705.67458861353 -162.975388692593 162.960430988271 9418.50657581673 -4713.52675443043 -0.00715178394229037 0.00959573549607799 -0.00313006721606348 0.00287248993643026 -0.000718845543414504 -0.00794431223328348 -0.00346290237250549 -0.00813820642745432 0.000206043767771279 -0.00341888390556642 0.00120434670849068 -0.00412576472485867 0.00312008428134562 -0.00240117386981884 0.0152242359415997 0.0148304567516177 -0.01101243425898 -0.00294859843136714 -0.00194911315211399 0.00636729611253587 0.00164500037977668
covarSEX_YOB -1.38687381337291 -648502.530785134 -9418.87172323733 9418.50657581673 1298646.2543889 -650240.092924712 -0.937031361288299 0.194351157700767 0.523073799368657 -0.301049907113528 0.201055180976274 -0.397928556183337 0.714868916510296 -0.701557680471453 0.880815703965334 -0.83577095785152 0.315865061983575 -0.345389422912874 0.299372271151919 0.367983063574603 0.712367445101168 0.908234756635714 -0.217593500443689 0.0936808419339508 -0.381206552462335 -0.465615615509832 0.552125555109611
covarSEX_YOBsq 0.704821855360908 324703.206308528 4713.620951663 -4713.52675443043 -650240.092924712 325585.141117511 0.470072267804335 -0.0982357771898272 -0.262287918648123 0.149713375300671 -0.101528737191782 0.200409664985455 -0.358721523213433 0.352162610435271 -0.442076532734806 0.416937821590092 -0.15717801232918 0.171297481975473 -0.151107875323073 -0.182648333366173 -0.357107645948501 -0.453767819281522 0.10910263359759 -0.0462185453520569 0.191876761674345 0.23276269802957 -0.277335677087275
covarPC1 2.56429196113039e-05 0.46696937200496 0.0070384029970863 -0.00715178394229037 -0.937031361288299 0.470072267804335 0.0017793015617976 -0.00029840355407796 0.000263617747524571 -7.57135595749948e-05 -4.15521332184154e-05 -1.08192415495216e-05 3.31407972241467e-05 8.246666747489e-05 -1.93012539060133e-05 2.90615748679137e-05 -4.43694682272957e-05 0.000219692036268582 8.68800006733825e-07 -9.15539872300432e-05 -0.000158128645766113 -0.000163842535294504 3.2283319618308e-05 5.55084881670035e-05 1.24030815199804e-05 1.73174008898765e-05 3.76141287590595e-05
covarPC2 2.20628994248863e-05 -0.0961314645407209 -0.00953689143329869 0.00959573549607799 0.194351157700767 -0.0982357771898272 -0.00029840355407796 0.00159637155867646 5.08727494315457e-05 0.000142098686237572 -3.87087496413263e-05 -2.85762817548289e-06 9.74259335894533e-06 1.75959646474725e-05 8.84687615730695e-06 3.67144715730858e-06 1.56911361192043e-05 -3.93778909746307e-05 7.62172011379423e-06 -5.85600454186626e-05 1.75348164068985e-06 -1.77981353410284e-05 1.54688730452005e-05 9.91207784939947e-07 1.11544399505126e-05 -8.97379524782918e-06 -1.44901206116061e-05
covarPC3 -0.000123523160931377 -0.260839167208605 0.00325744672481092 -0.00313006721606348 0.523073799368657 -0.262287918648123 0.000263617747524571 5.08727494315457e-05 0.00186395860472638 2.15467811087092e-05 0.000147954569497749 2.50410063991259e-06 4.7722765103907e-05 -3.53918804431531e-05 -0.00021189633628696 1.27775355405549e-05 9.37212688243168e-05 4.0447572151422e-05 -0.000111024550857511 -3.42799271046553e-06 3.20899029255542e-05 6.34247995461217e-06 -9.0369427268867e-05 -0.000109637858677631 7.28618417403274e-05 7.96680982342862e-06 -0.000126142506444003
covarPC4 -3.26885851899135e-05 0.151383190759644 -0.00283693524404456 0.00287248993643026 -0.301049907113528 0.149713375300671 -7.57135595749948e-05 0.000142098686237572 2.15467811087092e-05 0.0017683498837701 0.000202771905033355 -8.59732446706424e-05 -1.4873360971404e-05 -0.000178756585931196 0.000108486116756144 4.9308163183531e-05 4.67785870294458e-05 -9.15941966270716e-05 1.19698813029043e-05 -6.54695251536055e-05 -1.77393488521428e-05 3.97285274928891e-05 -1.04238488290934e-06 -6.40795543262494e-05 -2.62990079809406e-05 -1.19499377747631e-05 -2.22277938510355e-05
