 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.00026809899099850784 4.332921083021494e-07 -2.2198470183570566e-06 -4.5555534045119483e-07 2.6630952503383445e-08 -2.935661799934552e-07 -3.1918918773262135e-07 7.310338281150408e-07 2.36636979628267e-08 8.505769449714014e-07 -5.607924754855844e-08 -1.045402723983505e-07 7.780735387914658e-09 1.39593917565427e-07 1.3411183951590786e-07 -4.641005084648027e-07 -2.2341829022091055e-07 2.5724764422625127e-07 -1.500421097910063e-07 6.601191206240239e-07 2.71501125409544e-07 6.508280924951298e-06 -3.0008686827133238e-06 -9.895260506291766e-06
PC1 4.3329210830214915e-07 8.546295446582321e-07 -6.29747576223613e-07 4.824621901982067e-08 -6.44386929067815e-08 -4.322930556545346e-08 -6.65156664360425e-09 4.573508580684372e-08 1.0095637131195915e-07 -2.842132888466183e-08 4.303912016096458e-08 -4.4257365962579244e-08 2.2618021322494308e-07 -4.164245254795509e-10 -1.0224743313551229e-07 -1.8217076814808304e-07 -1.5603992806038042e-07 2.895675135087351e-08 5.364777153575472e-08 2.7261722129266238e-08 1.8903573814694772e-08 6.821159249406923e-08 1.3500359153794592e-07 5.223477462472107e-07
PC2 -2.2198470183570557e-06 -6.297475762236131e-07 1.7725022848625638e-05 2.1054455645430346e-07 5.84246567223166e-07 -2.1167533587282742e-07 -5.211889797915591e-08 1.4067370775335051e-08 1.198884018384706e-07 6.358357902195352e-08 -6.678070567876009e-09 7.023943754843591e-08 -1.2476045165600784e-07 4.373345276660633e-08 -1.8302686384008296e-07 1.1062775127517747e-07 -1.7094642813314846e-07 1.5287604817527434e-07 -9.00688907975458e-09 -6.461406702796445e-09 -8.427829123876672e-09 -1.3117282780358127e-06 4.83617352702736e-07 7.821769872305596e-07
PC3 -4.555553404511953e-07 4.8246219019820665e-08 2.1054455645430336e-07 1.8323583690206954e-06 2.1693422960253472e-08 2.7456568229412775e-07 1.3455989046886825e-08 5.8057745696898975e-08 -6.187663332302548e-08 -3.283180123287165e-07 3.6408764718574084e-08 1.3821503270565109e-07 7.084692249074537e-08 -1.668976033895038e-07 -5.42991294823772e-09 -8.130017981025297e-09 5.504925575540345e-09 -1.0809507503237508e-07 -1.4500991194089743e-07 1.1892516988795368e-07 3.8508340438463765e-08 -8.383430384592599e-07 -1.2689472074856024e-06 -7.556782403191757e-07
PC4 2.663095250338392e-08 -6.44386929067815e-08 5.842465672231656e-07 2.1693422960253472e-08 3.1313050889131094e-06 4.2433173502619485e-07 -2.1122151710141425e-07 -1.5191805354132146e-08 -3.505686304549736e-07 2.372514959158793e-07 9.854108309457898e-08 9.787486650082296e-08 -2.1053033207744817e-07 2.4656710391014212e-08 -9.175847364215852e-08 -3.0279205917659546e-08 5.495164933412478e-08 2.517568346253819e-09 -7.862459250760733e-08 -6.692858987935356e-08 -2.5081495258537518e-08 1.7565510966661344e-07 -3.2684950334609887e-07 -7.153943945061424e-07
PC5 -2.935661799934553e-07 -4.3229305565453464e-08 -2.1167533587282753e-07 2.745656822941277e-07 4.2433173502619474e-07 5.236901856768531e-06 3.170850613961358e-08 4.810119587732857e-07 2.0882133166635237e-08 -5.296687251476905e-08 -8.279559643946408e-08 -2.978687340194121e-07 1.763587447119466e-07 -2.3945618371966124e-07 3.259987010029193e-08 6.510327736433732e-08 -4.797797600104623e-08 2.354500855718708e-07 -1.0451430534069358e-07 8.463680853286694e-08 7.267067700586127e-08 -6.920987591088665e-07 5.966269788353674e-07 -3.9492795014032385e-07
PC6 -3.191891877326213e-07 -6.65156664360429e-09 -5.2118897979155974e-08 1.3455989046886792e-08 -2.112215171014143e-07 3.17085061396136e-08 6.0284220890718595e-06 6.807332003403759e-09 6.171008811437794e-09 7.782841739628676e-08 -1.088115557583486e-09 -1.4511284040889376e-07 1.9182733971149242e-08 -1.5364677513514546e-07 -2.4490375543557007e-08 -2.081060805223007e-08 -2.418437417117608e-08 2.431268385928127e-07 -6.11709213088464e-08 -2.9261292090320874e-08 -9.888033237407227e-08 9.646713515367334e-07 -1.283701672117074e-07 -1.1745020559134262e-07
PC7 7.310338281150409e-07 4.5735085806843705e-08 1.4067370775335116e-08 5.805774569689899e-08 -1.519180535413218e-08 4.810119587732858e-07 6.807332003403817e-09 5.028497387623783e-06 2.2132749633340938e-07 -7.872163069401595e-08 -3.899461759172831e-08 3.4960767813053287e-07 6.955600291716553e-08 2.7086167713894985e-07 -2.5101339480160045e-08 -1.6325506209229726e-07 -1.0633964416274676e-07 -3.140029187347269e-08 6.926761426712376e-08 -3.2607432743671774e-08 -1.123413127029483e-07 -1.332779595902205e-07 3.67401751304402e-07 -8.060288471012052e-07
PC8 2.3663697962825937e-08 1.0095637131195918e-07 1.1988840183847063e-07 -6.187663332302549e-08 -3.505686304549737e-07 2.0882133166635128e-08 6.171008811437773e-09 2.2132749633340946e-07 5.0656495490688285e-06 4.978852679037e-09 1.3737445016208112e-07 -2.2678221025723035e-07 9.868575406392654e-08 -6.616131401566773e-08 5.7712258428905685e-08 -9.233905845336923e-08 4.070588387402121e-08 6.804563457441381e-08 -3.9167931759227055e-08 -5.712826438658155e-08 8.722960196341574e-08 -5.201362123375666e-07 2.197860205195379e-07 1.0390084302127044e-06
PC9 8.505769449714017e-07 -2.8421328884661836e-08 6.35835790219536e-08 -3.2831801232871645e-07 2.372514959158793e-07 -5.2966872514769007e-08 7.782841739628667e-08 -7.872163069401589e-08 4.978852679036995e-09 4.780635380976787e-06 -3.6235045110800596e-08 -1.4536103118810895e-07 -4.3893452018997705e-08 -1.274547028628383e-07 -5.09467392116399e-08 3.528755377273506e-08 1.1511471820052185e-07 1.3384491386323096e-07 -1.6297618442471462e-07 -8.026172994351833e-08 -8.324411702571552e-08 4.443613171272033e-07 4.897643565363136e-07 -8.90358196871482e-07
