 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.0002404451569618504 2.850933280516638e-07 -2.3240812053041507e-06 -3.6644515430321244e-07 -3.7525418275049004e-07 -2.6503437377265273e-07 2.181105852269921e-08 6.11007042924119e-07 1.7263060040195883e-07 8.152134439454669e-07 6.490880193110823e-08 -1.8784505806598143e-07 -7.144520024212736e-08 3.0130598032917343e-07 -2.5815346188956905e-08 -4.618806776790962e-07 -2.03056976526368e-07 1.462547429593157e-07 -2.1644849880594225e-07 7.126010529863394e-07 1.9406325051124986e-07 4.956187811205434e-07
PC1 2.8509332805166395e-07 7.774925492952836e-07 -6.44698589941355e-07 4.9870883211110206e-08 -7.454213441076784e-08 -2.802819386467355e-08 5.8899972437619895e-09 4.143440849955105e-08 9.323812874202077e-08 -2.5840755340579644e-08 4.479066341243784e-08 -3.764711587657088e-08 2.3519115111284813e-07 9.20864293326724e-09 -1.0671543014719974e-07 -1.6601502831950836e-07 -1.4776165962949456e-07 1.8136061681149847e-08 6.719096740108279e-08 2.717929943318938e-08 1.8851399782937173e-08 4.029333814929828e-07
PC2 -2.3240812053041532e-06 -6.446985899413547e-07 1.7972836986092833e-05 2.061310232259583e-07 5.885917640798754e-07 -1.828665297748093e-07 -1.5059600200573718e-07 9.127559579416612e-09 9.205847813234398e-08 -7.743403939298305e-09 3.337627112136094e-08 1.3928557200595367e-07 -1.846558985108636e-07 -3.839328849698126e-08 -1.3044657536235222e-07 1.0152011258975067e-07 -1.6496574295715225e-07 2.0901548531697676e-07 1.342833198701223e-09 -1.0644865786371088e-08 -1.4914959751439497e-08 -4.987961974309408e-07
PC3 -3.664451543032121e-07 4.98708832111102e-08 2.0613102322595817e-07 1.680125401817888e-06 2.5282724633312026e-08 2.504519684822532e-07 7.885528910040612e-09 5.215909138706158e-08 -6.69801702209337e-08 -3.3509509902659343e-07 4.089735420009673e-08 1.465563871525766e-07 6.036057978926076e-08 -1.8025358625516704e-07 8.491004068721973e-09 2.9298385996576807e-09 9.845180699293587e-10 -1.0495134921855885e-07 -1.4308715557332428e-07 1.1635686670805883e-07 2.9412836039617786e-08 -4.919374982969338e-07
PC4 -3.752541827504904e-07 -7.454213441076784e-08 5.885917640798753e-07 2.5282724633312036e-08 2.9326341735886518e-06 4.544465321004514e-07 -2.1341637867509763e-07 -1.6451807760485846e-08 -3.4598651943319813e-07 2.5633642906501814e-07 8.77095182592428e-08 1.0501181273879609e-07 -2.059101026397771e-07 5.9301336021040005e-08 -1.1294875331236547e-07 -1.7600050835474307e-08 8.496928116585434e-08 -7.240759716302529e-09 -9.524906178352505e-08 -7.266669157353435e-08 -1.0383399394630909e-08 4.5523804278223655e-07
PC5 -2.650343737726527e-07 -2.8028193864673603e-08 -1.8286652977480913e-07 2.5045196848225325e-07 4.544465321004517e-07 5.058933435660435e-06 2.9051649342018287e-08 5.050504378116135e-07 3.6627130944387125e-08 -5.505992688492431e-08 -7.65810875533597e-08 -3.037278955932419e-07 1.9146954508704695e-07 -2.4027591597409057e-07 1.486852344886002e-08 6.748247127266983e-08 -7.871019509282257e-08 2.703824066302621e-07 -1.1444242962528211e-07 6.595371305913263e-08 9.401210729066247e-08 9.137069347023791e-08
PC6 2.1811058522699454e-08 5.88999724376201e-09 -1.5059600200573715e-07 7.885528910040567e-09 -2.1341637867509763e-07 2.9051649342018337e-08 6.1014007215290815e-06 1.366160200068568e-08 -6.456853742991882e-09 9.727667418386219e-08 -6.509938610553568e-09 -1.4990913430687528e-07 2.465246378003688e-08 -2.1691743553520973e-07 -5.068909323487398e-09 -5.9068790330932103e-08 -2.3393551727262578e-08 2.727503603557338e-07 -6.359247926962763e-08 -3.8049080499349306e-08 -1.0076525314866501e-07 7.238294360576244e-07
PC7 6.110070429241184e-07 4.143440849955106e-08 9.12755957941647e-09 5.215909138706162e-08 -1.6451807760485852e-08 5.050504378116138e-07 1.366160200068573e-08 5.012007647704886e-06 2.5424477764886514e-07 -6.884339905443474e-08 -5.0098362113443837e-08 3.7132074811609765e-07 8.189153838738101e-08 3.238733688891605e-07 -6.290515927275116e-08 -1.544768479348164e-07 -1.0528242001506049e-07 -3.475776530596073e-08 5.7550753939436394e-08 -4.688854585108465e-08 -1.0575172982297103e-07 3.194179425288258e-07
PC8 1.726306004019595e-07 9.32381287420207e-08 9.205847813234394e-08 -6.698017022093368e-08 -3.4598651943319813e-07 3.662713094438723e-08 -6.456853742991781e-09 2.5424477764886514e-07 5.077817337407728e-06 2.1958465794683366e-08 1.783983154689203e-07 -2.448791284215337e-07 9.985930333764795e-08 -4.781181548474979e-08 6.913046030364425e-08 -1.0107373167102694e-07 3.909193220393846e-08 9.620709022053778e-08 -4.130789507571798e-08 -6.187804374674671e-08 1.0171349612453078e-07 3.9244150608081403e-07
PC9 8.152134439454662e-07 -2.584075534057965e-08 -7.743403939298267e-09 -3.3509509902659317e-07 2.563364290650181e-07 -5.505992688492417e-08 9.727667418386213e-08 -6.884339905443466e-08 2.1958465794683426e-08 4.831337734115393e-06 -2.8484352723328664e-08 -1.5982994662556264e-07 -5.70810880956032e-08 -1.4251027726866614e-07 -7.573294713567604e-08 2.0095919347388892e-08 1.0321287078718129e-07 1.2774751999454402e-07 -1.7155038648337404e-07 -6.840182654308021e-08 -8.149761717922024e-08 9.422420798522859e-08
PC10 6.490880193110806e-08 4.479066341243785e-08 3.337627112136079e-08 4.089735420009667e-08 8.770951825924282e-08 -7.658108755335969e-08 -6.509938610553561e-09 -5.00983621134438e-08 1.7839831546892026e-07 -2.8484352723328625e-08 4.467178313397831e-06 -2.266983681729753e-07 1.5472001740185269e-07 -2.0601584651720635e-07 -1.1733921927224824e-07 -7.46994865181731e-08 -1.626949212447109e-07 4.198963065452537e-08 2.0729265323371663e-07 1.512791828723276e-07 5.0938608928399704e-08 9.091500640570467e-07
PC11 -1.8784505806598124e-07 -3.764711587657086e-08 1.392855720059537e-07 1.4655638715257663e-07 1.0501181273879599e-07 -3.0372789559324173e-07 -1.4990913430687522e-07 3.713207481160976e-07 -2.4487912842153375e-07 -1.598299466255627e-07 -2.2669836817297519e-07 4.330740792879691e-06 -5.282871760810688e-08 -6.879479934065718e-08 -1.410951291616527e-07 1.1486018452438369e-07 1.650699376217549e-08 1.7124265815370114e-07 -8.381071055516301e-09 9.138355763288747e-08 1.706558027248647e-07 -8.417514498691193e-07
PC12 -7.144520024212719e-08 2.35191151112848e-07 -1.8465589851086387e-07 6.036057978926074e-08 -2.059101026397771e-07 1.9146954508704698e-07 2.465246378003686e-08 8.189153838738098e-08 9.985930333764796e-08 -5.708108809560324e-08 1.5472001740185269e-07 -5.2828717608106944e-08 4.18202484031135e-06 1.7475630628244676e-08 -2.0117640325076104e-08 -8.021345411407043e-08 -1.0969855868991597e-07 -3.6212789497661546e-08 6.025978409196615e-08 -7.181828818334194e-08 -9.23362777280646e-08 3.838024270833841e-07
PC13 3.0130598032917306e-07 9.208642933267223e-09 -3.839328849698131e-08 -1.8025358625516706e-07 5.930133602103992e-08 -2.402759159740907e-07 -2.169174355352098e-07 3.2387336888916065e-07 -4.781181548474983e-08 -1.4251027726866611e-07 -2.0601584651720637e-07 -6.879479934065713e-08 1.7475630628244686e-08 3.9412567638110085e-06 -3.985956704988089e-08 1.853404607667344e-07 6.677538617812201e-08 3.7290586560842345e-08 -1.5913667046136535e-07 5.5646974305375673e-08 4.352498099821061e-08 2.550692645155081e-07
PC14 -2.5815346188956958e-08 -1.0671543014719979e-07 -1.3044657536235188e-07 8.49100406872198e-09 -1.1294875331236545e-07 1.486852344885998e-08 -5.068909323487469e-09 -6.290515927275124e-08 6.913046030364433e-08 -7.57329471356761e-08 -1.1733921927224825e-07 -1.410951291616527e-07 -2.0117640325076177e-08 -3.985956704988098e-08 4.3366722196254225e-06 -2.4337394390829004e-08 -6.687033421716136e-08 -1.7632459975558242e-08 1.0589216053422738e-07 1.1052547027328834e-07 -2.2563678097451544e-08 4.927381216841759e-07
