 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gmp gpm gmm
intercept 0.0006792270941384039 1.766866148453148e-06 1.875690619486526e-06 -2.1057829336736322e-07 2.072124745468592e-06 -1.6090112468111206e-06 1.0666482969721877e-06 1.3460272173156903e-06 1.6748475061893597e-06 1.5114956946002074e-06 2.60718960921149e-07 2.627652002913009e-06 -3.228331154830467e-06 1.6950343996849208e-06 -1.5688902850773436e-06 -1.9492505897565155e-06 -2.2670927280483784e-06 -7.950183839586742e-07 -4.84184528292582e-07 2.930748054082709e-06 3.738728393023374e-07 -7.158133700219423e-06 4.508300674793544e-05 5.966699936573524e-05 -5.4571966851245424e-05 -3.16785805358014e-05 -0.00011918048976689934 5.884045927000341e-06
PC1 1.7668661484531484e-06 2.306588688346697e-06 -1.7482418652780555e-06 -1.472996304539376e-07 -4.474433858534061e-08 -3.0672429601885263e-07 5.3152162892975945e-08 1.658042213006626e-07 3.829654117442492e-08 -1.100442603126883e-07 1.1146557017542869e-07 -5.619355772035666e-08 5.682574969058224e-07 -1.669701413856868e-07 -3.317630651754537e-07 -6.304654909992826e-07 -4.837596148786379e-07 1.7379664260018378e-07 -4.325533975338589e-08 1.876040876026591e-07 -6.845525941325438e-08 2.7719121126765384e-07 1.6986369117362043e-06 -1.9725817994328488e-06 -1.3867563162096124e-06 3.571775106249905e-06 5.689243154157134e-06 -6.437984152650353e-07
PC2 1.8756906194865288e-06 -1.7482418652780553e-06 4.454557604604431e-05 9.52115117465183e-07 1.2116827138550434e-06 -5.109253839736123e-07 -6.856614201527667e-08 -1.408965083723985e-07 1.0918971465396679e-06 -2.8323135589437957e-07 4.748789103251345e-07 -5.003014947472734e-07 -7.202975871448798e-07 5.29023846772058e-07 -8.139350243723832e-07 3.5716703737366796e-07 3.6963982757276585e-08 7.916716193873454e-07 3.0010010308330966e-07 -3.641242694325785e-07 -2.842287159814449e-07 8.863116732862389e-07 2.9258110458108013e-06 6.088702478976437e-06 -7.844668407664527e-06 4.104767476801134e-06 -6.2623722705000365e-06 -5.879523715898528e-07
PC3 -2.10578293367364e-07 -1.472996304539377e-07 9.521151174651832e-07 4.5234417231772014e-06 1.2206050088146143e-07 9.43847810912875e-07 -9.393459038096371e-09 3.3296914398332395e-07 -2.72242906306907e-07 -8.506923967032038e-07 1.1702563774200532e-07 3.126710694137632e-07 1.5143772286118472e-08 -5.382807177024713e-07 1.1940821816991336e-07 -4.415908196649405e-08 1.8343362166905018e-07 -2.7954444561700935e-07 -3.8710875251717307e-07 3.043181368234756e-07 1.1999332701678753e-07 -5.831366769489992e-07 -2.316426541334912e-06 -4.130174361129809e-06 1.3385250614366177e-07 3.769182717431263e-06 5.561815541575304e-07 3.383778138859556e-06
PC4 2.0721247454685917e-06 -4.4744338585340545e-08 1.2116827138550425e-06 1.2206050088146146e-07 8.238729961916794e-06 1.4431126539066952e-06 -3.492648206479718e-07 1.4312568550423157e-07 -1.0989987703522094e-06 4.263558284759683e-07 2.325998593660372e-07 1.4179413273624306e-07 -8.39619710784718e-07 -4.1365212843947007e-07 -7.647722673933598e-08 -9.255486825727089e-08 3.9851380384447045e-08 -8.385766013768088e-09 -3.654904356967015e-07 -1.8500940962660457e-07 1.156590738394183e-07 1.2581172059501947e-06 -3.83433731524785e-06 -1.3094239119609253e-06 -2.1216630712461574e-06 8.2515577967283e-06 -3.8475892658730414e-07 4.207413174965924e-06
PC5 -1.609011246811121e-06 -3.0672429601885263e-07 -5.109253839736139e-07 9.438478109128752e-07 1.4431126539066959e-06 1.504376625742541e-05 3.8382673882002307e-07 9.179353901181803e-07 -6.143184886421097e-07 -3.1782700274378986e-07 -1.2747640556151213e-07 -1.0575038202607243e-06 5.45948890676658e-07 -8.608171822798829e-07 5.149215988413752e-07 -1.6254225133806028e-07 -1.403269799624856e-07 6.713529249996927e-07 -3.189819531171135e-07 1.5696300156599642e-07 8.095244321941258e-08 5.741009725218547e-07 2.0815964667295527e-06 -9.193018957117099e-06 -1.4287744649101137e-05 1.0922191027005356e-05 1.2142927084750975e-05 3.670548866005049e-06
PC6 1.066648296972188e-06 5.315216289297579e-08 -6.856614201527606e-08 -9.393459038096345e-09 -3.4926482064797216e-07 3.8382673882002296e-07 1.413211344548036e-05 1.4257877227140266e-08 3.7175409393211434e-07 1.459618822689886e-07 8.834504490115764e-08 -4.0765645416868157e-07 2.3568781440764967e-07 -3.623320281530882e-07 -1.8978534337567407e-07 4.0813581034706466e-08 -3.484513779693894e-08 2.3651438558286438e-07 -4.009495695117365e-07 -1.7467613940879332e-07 -4.3339152313788056e-07 2.0796879548065256e-06 -4.7152682568335715e-06 -6.661843208650699e-06 6.098329581288989e-06 2.9276863493616105e-06 4.277028451237517e-06 4.045867380065357e-06
PC7 1.346027217315689e-06 1.6580422130066266e-07 -1.4089650837239852e-07 3.3296914398332416e-07 1.431256855042316e-07 9.179353901181805e-07 1.4257877227139703e-08 1.1734680192690332e-05 7.132137302593057e-07 -2.5695244891255864e-07 -2.0271929622597007e-07 1.0529950951611696e-06 1.6289463086116102e-07 4.875238284738026e-07 -5.165895509577742e-08 -3.3755380371186526e-07 -2.819164401697171e-07 -8.450610171393334e-08 1.0165009103670977e-07 2.472717464359566e-08 -1.7705403254692068e-07 2.822547512093387e-06 1.0989614812304708e-06 9.624436666070928e-07 -3.8568757579764404e-06 -1.7967648961320035e-06 1.9592612608452064e-06 -8.875416044694675e-06
PC8 1.6748475061893589e-06 3.829654117442493e-08 1.091897146539668e-06 -2.722429063069069e-07 -1.0989987703522094e-06 -6.143184886421095e-07 3.7175409393211434e-07 7.132137302593056e-07 1.2573379791972787e-05 3.3161058856875415e-07 1.635908874511554e-08 -7.385417855668467e-07 1.4617143752691036e-07 6.650515554078774e-08 -9.478035421278497e-08 -4.877242004226143e-07 -4.786769033747867e-09 6.611916289372944e-08 -4.511993935375696e-07 -3.408855357081184e-07 2.877607205504155e-07 1.9648173399530536e-06 4.177119852482686e-06 2.7255743587476855e-06 -8.59952282161133e-06 -6.525266416589022e-06 -4.689913258008469e-06 6.556381521187502e-07
PC9 1.5114956946002085e-06 -1.1004426031268843e-07 -2.8323135589437983e-07 -8.506923967032037e-07 4.263558284759685e-07 -3.178270027437898e-07 1.4596188226898867e-07 -2.5695244891255885e-07 3.316105885687543e-07 1.1145584537466152e-05 -3.3237052377830093e-07 9.488946971600341e-08 -4.799834133160343e-07 -4.812791938160959e-08 -7.457070237515366e-07 3.2896229137555207e-07 5.549277796210597e-07 5.524021364006266e-07 -2.704697957861573e-07 -1.3978838373729477e-07 -5.501840161326092e-07 -9.528506382865782e-07 6.495607004109074e-06 1.482204374084428e-06 -9.1329629863755e-06 2.509322576200079e-06 -2.7069889712777853e-06 -3.4929868115221754e-06
