(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband maternal gmm gpm
(Intercept) 0.00426236839313341 -3.42194223007481 -0.620149803261424 0.615830840472861 6.81620089959335 -3.39489425064476 0.000112866481410011 -2.94046742721751e-05 -8.69179312721856e-05 0.00015303920434335 2.26824747592842e-06 1.30414156758599e-05 7.92196094518233e-05 -2.83022838768119e-05 -1.10000884948286e-05 -5.34891447256962e-05 8.96724436814438e-07 -5.57493293164656e-05 3.62494163376899e-05 2.31637155117058e-05 1.70728207471197e-05 1.31514305061086e-05 8.00066391112353e-06 6.39692918350788e-05 7.62473858078425e-05 3.61627341498768e-05 7.17287059844402e-05 7.46037703042657e-05 -0.000194135029260344 -8.57407730437729e-05
covarSEX -3.42194223007481 722138.309736747 13020.0528335562 -12967.7067176541 -1439649.93415026 717640.610985697 -0.247764484409225 -0.0899729821517243 -0.472405638050521 -0.824027803118466 -0.211084312671998 0.365641415510955 -0.261071136403199 0.401426110395697 -0.207997138483018 -0.0148030024539268 0.216539525164945 0.37154529495025 0.836403674458495 -0.724596328889519 0.578319387467265 0.115139424596083 -0.816506409035652 -0.664513726901168 0.275169541389386 0.176465136224834 -1.367450361908 1.17734528609849 -0.815791184532802 0.171357829828918
covarYOB -0.620149803261424 13020.0528335562 450.917221533403 -449.111448650525 -25955.4256972521 12937.7059422129 0.00110496856323237 -0.00221017646524514 -0.00251435691353584 -0.0482680954261186 0.00677097803202573 0.0200209792371563 -0.0102204147012852 0.0266529589461928 -0.00444076787092636 0.00325734343144791 0.00168663097196843 0.0347331306561262 0.0163117202522348 -0.0017359411888819 -0.00453658617955664 -0.0215934601921754 -0.0134283042801892 -0.0169716805408599 -0.00148711111114646 -0.0146301011804238 -0.0324495689800336 0.00869055804746075 0.0523609056570133 -0.0341897516295819
covarYOBsq 0.615830840472861 -12967.7067176541 -449.111448650525 447.319527266835 25851.4519449346 -12886.0674426702 -0.0013864107022486 0.00227179345888193 0.00255229583737563 0.0480167133304561 -0.00675452971606675 -0.0199965232925896 0.0101167339054894 -0.0265367999173224 0.00447886288346945 -0.00315176807310926 -0.00164553305399678 -0.0346278652477183 -0.0162076293878709 0.0016638219596459 0.00459535086721182 0.0216094701260504 0.0132805903072863 0.0168354361849421 0.00138585544252546 0.0146004021643071 0.0322755110367893 -0.00852410865603997 -0.0521488959954771 0.0339737622865987
covarSEX_YOB 6.81620089959335 -1439649.93415026 -25955.4256972521 25851.4519449346 2870119.86808675 -1430726.90188721 0.481895977151627 0.176435840812217 0.94156432769422 1.6398866896896 0.424940532501961 -0.729471583185752 0.520060775670001 -0.802045674761947 0.414905516750207 0.0328788385940441 -0.434405670887375 -0.735854734928651 -1.66175386914937 1.4442528636386 -1.14366600143129 -0.224748810541329 1.62272719204914 1.32096484616492 -0.552607143713548 -0.355518455444473 2.72766441622923 -2.34364754758201 1.63023068156532 -0.352468334125321
covarSEX_YOBsq -3.39489425064476 717640.610985697 12937.7059422129 -12886.0674426702 -1430726.90188721 713214.297449982 -0.234293165631262 -0.0865185949101988 -0.469261479090375 -0.816013233925782 -0.213911571933591 0.363944970055743 -0.259072444895741 0.400677268702036 -0.206962260602077 -0.0180598221570496 0.217920635551716 0.364416087809242 0.825529666465924 -0.719795606806726 0.56554697473753 0.109694929314039 -0.806359542358857 -0.656556128464895 0.277482305413967 0.179047071193352 -1.36051068556143 1.16655703924341 -0.814511042672102 0.181078414797753
covarPC1 0.000112866481410011 -0.247764484409225 0.00110496856323237 -0.0013864107022486 0.481895977151627 -0.234293165631262 0.0022359377322095 -0.000389883660833893 7.30270540866335e-06 -7.12680238605278e-05 -0.000133211015746229 2.28028378529703e-05 9.02526867510679e-05 0.000100615548171359 -3.48142816200189e-05 9.04580790027953e-05 -6.82500141495108e-05 0.000243969230340845 -7.00333748060014e-05 -0.000116856480587823 -0.000262954769629442 -0.000205957505873013 4.56703069773339e-06 -1.98123218633268e-05 7.18436333865751e-05 -3.26713041397212e-07 0.000102760698191925 -0.000127295147188512 5.4416719367547e-05 0.000236357370338966
covarPC2 -2.94046742721751e-05 -0.0899729821517243 -0.00221017646524514 0.00227179345888193 0.176435840812217 -0.0865185949101988 -0.000389883660833893 0.00194503830331346 0.000112460507681077 0.00017838604030992 -1.64906057683031e-05 -9.87280879344225e-06 -3.58372380657362e-05 3.90282971755117e-05 -8.28368708196482e-07 -7.80967642188862e-06 -1.73833298094147e-05 -5.62060617016781e-05 3.99906485909815e-05 -5.82201501401921e-05 4.02108844357762e-05 -1.28050559306278e-05 9.98204130165349e-05 9.75501516024498e-06 -5.54079299093956e-05 1.91065289752409e-05 -1.38381731665208e-05 7.00406425006957e-06 3.72257683647884e-05 -5.01314489586622e-07
covarPC3 -8.69179312721856e-05 -0.472405638050521 -0.00251435691353584 0.00255229583737563 0.94156432769422 -0.469261479090375 7.30270540866335e-06 0.000112460507681077 0.00203095958719295 4.09872735911888e-05 0.000255611209941935 5.13824634396009e-06 5.50018242590339e-05 -5.06171000847493e-05 -0.000235049013386889 1.20371772914343e-05 8.1806361158558e-05 5.23750273205664e-05 -0.000215026593289101 -5.08141496516685e-05 4.12670554604818e-08 2.34629291747895e-05 -8.57378400074368e-05 -0.000175812301373139 0.000108281683896107 3.63893624147876e-05 -3.08187181054959e-05 -7.52021120220591e-05 8.17892221926759e-05 -1.64109788894334e-05
covarPC4 0.00015303920434335 -0.824027803118466 -0.0482680954261186 0.0480167133304561 1.6398866896896 -0.816013233925782 -7.12680238605278e-05 0.00017838604030992 4.09872735911888e-05 0.00215803206369245 0.000383265987740985 -0.000103892353624775 3.77777413649352e-05 -0.000308795606997891 6.28103946857765e-05 5.58204171278937e-05 3.46405042203622e-06 -0.000166299682504912 -8.71405298726659e-05 -4.28000809671606e-05 -1.73887316268264e-05 3.57365305164851e-05 6.30151974511423e-05 -7.58629570812155e-05 -3.95604991376187e-05 1.10215460834602e-05 1.61958533993595e-05 -9.32440439985628e-06 0.000102084383747549 -6.18683489834257e-05
covarPC5 2.26824747592842e-06 -0.211084312671998 0.00677097803202573 -0.00675452971606675 0.424940532501961 -0.213911571933591 -0.000133211015746229 -1.64906057683031e-05 0.000255611209941935 0.000383265987740985 0.002506502215077 4.42179862278351e-05 0.000221743005781353 -0.000149290442668253 -5.33305329313535e-05 -7.1798785206831e-05 -0.000208636173921346 0.000114471876564095 -0.000169784271000474 7.51478498896813e-05 -1.51512282243673e-06 -2.67133450837749e-05 0.000137776871746013 -4.47512786246913e-05 0.000100159210797546 4.33233022810035e-05 2.93439092948941e-05 -0.000160589163743735 -5.15701354724424e-05 0.00033186431089839
covarPC6 1.30414156758599e-05 0.365641415510955 0.0200209792371563 -0.0199965232925896 -0.729471583185752 0.363944970055743 2.28028378529703e-05 -9.87280879344225e-06 5.13824634396009e-06 -0.000103892353624775 4.42179862278351e-05 0.00170768431766478 -3.40181021008204e-06 1.79941959845162e-05 1.27594647678669e-05 4.43055517973201e-06 -3.62461258880193e-05 3.76575044601985e-05 -5.85131383660639e-05 -4.93689707646668e-06 6.70949312270487e-06 -1.21882260105435e-05 7.49250350001783e-05 -2.63009657935993e-05 -5.46579352201656e-06 -6.16641741523911e-05 3.33883693023279e-05 -0.000124125351805382 5.98041775601329e-05 0.000110277469577321
covarPC7 7.92196094518233e-05 -0.261071136403199 -0.0102204147012852 0.0101167339054894 0.520060775670001 -0.259072444895741 9.02526867510679e-05 -3.58372380657362e-05 5.50018242590339e-05 3.77777413649352e-05 0.000221743005781353 -3.40181021008204e-06 0.0018794610368965 0.000113940239772536 -3.77881553955934e-05 -1.70339378119629e-05 0.000180818211375888 2.81603298424123e-05 9.50275946712475e-05 -2.59687341550521e-05 -9.87210247360501e-05 -1.00937041639848e-05 -2.01716851418282e-05 9.94498227110523e-06 7.84458685750986e-06 -4.8485542718192e-05 2.634600295008e-05 8.32036721546028e-06 -0.00012891113448159 7.87309191584121e-05
covarPC8 -2.83022838768119e-05 0.401426110395697 0.0266529589461928 -0.0265367999173224 -0.802045674761947 0.400677268702036 0.000100615548171359 3.90282971755117e-05 -5.06171000847493e-05 -0.000308795606997891 -0.000149290442668253 1.79941959845162e-05 0.000113940239772536 0.00205452682288202 4.20756365623226e-05 6.44875914318928e-05 -7.07183096267855e-05 5.97141366120387e-05 -3.32379297205852e-06 -4.94080536993422e-06 -6.12023069495206e-05 2.24660579458699e-05 3.24259123580533e-05 -3.99643124049421e-05 -6.48126276061986e-05 5.88099232509099e-05 -2.21306041443273e-06 0.00011196451100993 -7.3754969599413e-05 -8.35095673900298e-05
covarPC9 -1.10000884948286e-05 -0.207997138483018 -0.00444076787092636 0.00447886288346945 0.414905516750207 -0.206962260602077 -3.48142816200189e-05 -8.28368708196482e-07 -0.000235049013386889 6.28103946857765e-05 -5.33305329313535e-05 1.27594647678669e-05 -3.77881553955934e-05 4.20756365623226e-05 0.00188789491746955 -2.90137643907173e-05 -4.29330978694165e-05 -4.71560807731693e-05 -8.57549963447476e-06 -8.07840019014263e-05 3.88256641714296e-05 7.86987273576808e-05 9.16156400315724e-05 -5.0585013492752e-05 -5.0174718436004e-05 -6.74981836240364e-05 1.44054585110423e-05 1.78370228576955e-05 -5.72870820321188e-05 -3.06698113749973e-05
covarPC10 -5.34891447256962e-05 -0.0148030024539268 0.00325734343144791 -0.00315176807310926 0.0328788385940441 -0.0180598221570496 9.04580790027953e-05 -7.80967642188862e-06 1.20371772914343e-05 5.58204171278937e-05 -7.1798785206831e-05 4.43055517973201e-06 -1.70339378119629e-05 6.44875914318928e-05 -2.90137643907173e-05 0.00191118814403728 -6.09114508319609e-05 6.78206471323192e-05 -9.78263847700193e-05 -2.20271405459573e-05 -2.93223897319742e-05 -0.000103236034658731 5.40977873459087e-05 6.83951150638132e-05 6.60261843343116e-05 6.43504119137496e-06 6.35520996003538e-05 -5.96919887685602e-05 -1.63179380367366e-05 5.11213844462046e-05
covarPC11 8.96724436814438e-07 0.216539525164945 0.00168663097196843 -0.00164553305399678 -0.434405670887375 0.217920635551716 -6.82500141495108e-05 -1.73833298094147e-05 8.1806361158558e-05 3.46405042203622e-06 -0.000208636173921346 -3.62461258880193e-05 0.000180818211375888 -7.07183096267855e-05 -4.29330978694165e-05 -6.09114508319609e-05 0.00198106246344894 -4.69889937311263e-05 2.67216996807771e-06 -9.37116401001666e-05 5.11672936140548e-05 5.65623511961835e-05 4.2322048321268e-05 -4.54598955727609e-06 9.32984255344369e-05 6.74735268829991e-05 -2.3324729000773e-05 4.07085412516522e-05 -1.96952216589057e-05 -0.000111185942532174
covarPC12 -5.57493293164656e-05 0.37154529495025 0.0347331306561262 -0.0346278652477183 -0.735854734928651 0.364416087809242 0.000243969230340845 -5.62060617016781e-05 5.23750273205664e-05 -0.000166299682504912 0.000114471876564095 3.76575044601985e-05 2.81603298424123e-05 5.97141366120387e-05 -4.71560807731693e-05 6.78206471323192e-05 -4.69889937311263e-05 0.00183751932069496 9.52490219776619e-06 -2.30411895523527e-05 -5.22850266704713e-05 -2.26225474288252e-06 -1.96323911644922e-05 -6.04509270481281e-06 1.69648947256553e-05 -3.42236318317182e-05 2.87197300551622e-05 -0.000147887599982189 0.000132206970851179 0.00015309230816325
covarPC13 3.62494163376899e-05 0.836403674458495 0.0163117202522348 -0.0162076293878709 -1.66175386914937 0.825529666465924 -7.00333748060014e-05 3.99906485909815e-05 -0.000215026593289101 -8.71405298726659e-05 -0.000169784271000474 -5.85131383660639e-05 9.50275946712475e-05 -3.32379297205852e-06 -8.57549963447476e-06 -9.78263847700193e-05 2.67216996807771e-06 9.52490219776619e-06 0.00193543436239532 -5.98930222465416e-05 0.000154740223317009 7.2195382680626e-05 3.131974522319e-05 -2.08497580488967e-05 -1.82356367755331e-06 8.168403389062e-06 6.16603153401432e-06 -5.87129943572412e-05 -8.89934323730369e-05 7.1553942454588e-05
covarPC14 2.31637155117058e-05 -0.724596328889519 -0.0017359411888819 0.0016638219596459 1.4442528636386 -0.719795606806726 -0.000116856480587823 -5.82201501401921e-05 -5.08141496516685e-05 -4.28000809671606e-05 7.51478498896813e-05 -4.93689707646668e-06 -2.59687341550521e-05 -4.94080536993422e-06 -8.07840019014263e-05 -2.20271405459573e-05 -9.37116401001666e-05 -2.30411895523527e-05 -5.98930222465416e-05 0.00185332215463093 -2.15624230292715e-05 -1.95859297993967e-05 -1.050058153815e-05 5.54138955504583e-05 2.89695313632305e-05 -1.7059096181766e-05 -1.06826620056161e-05 5.56960692931753e-05 -4.64249089428856e-05 -7.4588249309697e-06
covarPC15 1.70728207471197e-05 0.578319387467265 -0.00453658617955664 0.00459535086721182 -1.14366600143129 0.56554697473753 -0.000262954769629442 4.02108844357762e-05 4.12670554604818e-08 -1.73887316268264e-05 -1.51512282243673e-06 6.70949312270487e-06 -9.87210247360501e-05 -6.12023069495206e-05 3.88256641714296e-05 -2.93223897319742e-05 5.11672936140548e-05 -5.22850266704713e-05 0.000154740223317009 -2.15624230292715e-05 0.00190601123575697 7.36051766195517e-05 -7.1972594723251e-05 -2.59440620696062e-05 1.42603014328478e-05 1.86379306607747e-05 3.33160437023025e-05 5.9875246968775e-06 -3.72414330087516e-05 -0.000115796464553527
covarPC16 1.31514305061086e-05 0.115139424596083 -0.0215934601921754 0.0216094701260504 -0.224748810541329 0.109694929314039 -0.000205957505873013 -1.28050559306278e-05 2.34629291747895e-05 3.57365305164851e-05 -2.67133450837749e-05 -1.21882260105435e-05 -1.00937041639848e-05 2.24660579458699e-05 7.86987273576808e-05 -0.000103236034658731 5.65623511961835e-05 -2.26225474288252e-06 7.2195382680626e-05 -1.95859297993967e-05 7.36051766195517e-05 0.00185906303635873 -1.36152860385054e-06 -6.8372840651843e-05 -7.37777768601291e-05 -2.59051362674758e-05 -4.04799637295073e-05 -9.0608279480988e-05 0.000118238635144812 3.70384065982172e-05
covarPC17 8.00066391112353e-06 -0.816506409035652 -0.0134283042801892 0.0132805903072863 1.62272719204914 -0.806359542358857 4.56703069773339e-06 9.98204130165349e-05 -8.57378400074368e-05 6.30151974511423e-05 0.000137776871746013 7.49250350001783e-05 -2.01716851418282e-05 3.24259123580533e-05 9.16156400315724e-05 5.40977873459087e-05 4.2322048321268e-05 -1.96323911644922e-05 3.131974522319e-05 -1.050058153815e-05 -7.1972594723251e-05 -1.36152860385054e-06 0.00190691421487301 5.47305208346335e-05 -4.58969577774782e-05 -6.05013670012883e-06 2.17240637666543e-05 -4.21161223217742e-05 3.51933223184524e-05 3.83871472120931e-06
