(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband paternal gpp gmp
(Intercept) 0.00841215509923494 -5.46031800495815 -1.31271497003292 1.30295233795123 10.8662105482621 -5.40692287228917 0.000269739683521906 -4.5078915983643e-05 -0.000201508363619067 0.000104982397780276 -0.000269287450582655 0.000148057763138293 5.2831781310043e-05 -0.000206148545838288 -3.00491026239418e-06 1.18153245566336e-05 -0.000148122817860663 -0.000151381250698821 -3.1019892395846e-06 -3.76712835109895e-05 -0.000164946405791628 -7.02498324662972e-05 7.44297220875609e-05 -4.26579679454123e-08 0.000135948251057972 8.121522470096e-05 -4.05491927367749e-05 0.000227728199394075 -9.70791640362376e-05 3.9641268518521e-06
covarSEX -5.46031800495815 1172282.78697398 20785.5743946832 -20679.4002480729 -2334557.04353818 1162497.76619158 -0.865271588302837 0.580263120984823 0.00744938596769668 0.0958843431439758 -1.24846362440305 0.659622470115014 0.947055377641951 -0.695558013506914 0.127700073578727 0.251732643169891 0.788527785543948 -0.367883613912286 0.607411587765001 -0.359415858204111 0.301247299783848 -1.75195332551605 -0.458694192786797 -1.36177541813793 -0.352588481532153 0.228085328152964 0.0870780760600794 0.112009996965202 0.763911590121547 -3.75329517240999
covarYOB -1.31271497003292 20785.5743946832 721.121485857852 -717.43740933278 -41390.6355178876 20609.0339657816 -0.0281880741636322 0.0166234303766978 0.0305382358500448 -0.0306598986056723 0.0270911124044151 0.00752569495935929 -0.00141497439863715 0.0251326442757629 0.00558707550217409 -0.00402374861662269 0.0517110085844773 0.0212661041031778 0.00940363184303343 0.00882394059764331 0.00435455709093383 -0.0467786706658618 -0.0136638909649124 -0.0202795373961648 -0.0134193064409105 -0.0151007732551735 -0.00511530282712076 -0.0264509094720101 0.079073432537155 -0.084410539489312
covarYOBsq 1.30295233795123 -20679.4002480729 -717.43740933278 713.781290175436 41179.7253914653 -20504.2752833205 0.0277463555565009 -0.0163306315839662 -0.0301112052681957 0.0306085787665846 -0.0268114057901222 -0.0076402092376357 0.00157279735027788 -0.0249275460813058 -0.00547839286753967 0.0040712210252652 -0.0513942544130541 -0.0211938538258458 -0.00916727951536254 -0.00889277043973828 -0.00410396291270207 0.0466490236158768 0.0134721601731038 0.0201569294270191 0.0132511322255762 0.0150928016102467 0.00520038910854188 0.0262949085077872 -0.0788787607152553 0.0838680697046714
covarSEX_YOB 10.8662105482621 -2334557.04353818 -41390.6355178876 41179.7253914653 4649243.36304412 -2315131.13612676 1.71948624185718 -1.15310419032484 -0.00322513447378558 -0.188185848474948 2.4932245772699 -1.31478307932007 -1.86927871171779 1.38062397948156 -0.251995436583273 -0.498721041910889 -1.57340959878715 0.735913907689061 -1.20045926147069 0.716328670511135 -0.595510971867654 3.48228048479544 0.909497176720853 2.71202920834404 0.700931447579018 -0.454867688608726 -0.166431296001191 -0.224698562638207 -1.51325292719634 7.47583994305367
covarSEX_YOBsq -5.40692287228917 1162497.76619158 20609.0339657816 -20504.2752833205 -2315131.13612676 1152854.72266055 -0.85444961598102 0.572943454544994 -0.00417477051918011 0.0923566253063252 -1.24502840122819 0.65531965218929 0.922510571956244 -0.685205194582981 0.124314773367195 0.247037713703938 0.785079570220399 -0.368089528787655 0.593201621948711 -0.356980053832089 0.294355111951805 -1.73065721993455 -0.450853586836581 -1.35047043762637 -0.348398887923669 0.226774330606276 0.0793948398597302 0.112732216282034 0.749424769226506 -3.72318196673268
covarPC1 0.000269739683521906 -0.865271588302837 -0.0281880741636322 0.0277463555565009 1.71948624185718 -0.85444961598102 0.00267192716722051 -0.000446146274395309 -0.000110725937143773 -9.98714273058499e-05 -0.000128341285866643 8.74290102111643e-06 2.10225320221595e-05 2.60767832954867e-05 1.6337092382646e-05 -1.62940863453625e-05 -7.45296643477183e-05 0.000342168304789975 -2.12315638095767e-05 -0.000210490644236523 -0.000356287300915055 -0.000309242933330879 9.10485763781958e-05 4.98979657561741e-06 0.000101008931010839 -3.71215122734662e-05 1.07036973484832e-05 0.000223265448209352 -1.79320894130251e-05 -9.5586121776983e-05
covarPC2 -4.5078915983643e-05 0.580263120984823 0.0166234303766978 -0.0163306315839662 -1.15310419032484 0.572943454544994 -0.000446146274395309 0.00232670719457051 0.00013421713072756 0.000206598706056626 -9.50623442890706e-05 -4.16549579254656e-05 -3.0514493762459e-05 0.000127023277388435 -2.93913264678049e-05 2.30955078055021e-05 -4.28306861032554e-06 -6.81108421868262e-05 2.97659968418813e-05 -3.11097716617873e-05 1.18078462479932e-05 -1.88057222352858e-05 4.52154296534421e-05 -2.97105110353473e-05 -5.57304622220296e-05 -2.5876519695963e-05 7.40444536556723e-06 6.84021405095045e-05 -0.000119693589105876 5.12728137991811e-05
covarPC3 -0.000201508363619067 0.00744938596769668 0.0305382358500448 -0.0301112052681957 -0.00322513447378558 -0.00417477051918011 -0.000110725937143773 0.00013421713072756 0.0024170793195556 4.7678250259695e-05 0.000382786456672211 1.7047269235361e-05 0.000136656488615621 -4.8278404271466e-05 -0.000330905151401536 8.20235505623096e-05 0.000131579086224368 2.12549648222759e-05 -0.00016154087375196 5.82766773173051e-05 -4.70836992353004e-05 1.23433527641507e-05 -0.000110264653896235 -0.000124050216320092 0.00012137834846991 5.43634003856821e-05 -5.94281399089937e-05 -3.27588464813723e-05 6.13972598945224e-05 -2.23473174170288e-05
covarPC4 0.000104982397780276 0.0958843431439758 -0.0306598986056723 0.0306085787665846 -0.188185848474948 0.0923566253063252 -9.98714273058499e-05 0.000206598706056626 4.7678250259695e-05 0.00274472831442064 0.000471859341312117 -4.47076618886394e-05 4.45077609215468e-05 -0.000228825152993508 0.000156760304640463 5.67373207642436e-05 8.84480875598325e-05 -0.000219474231332333 -5.10206655120349e-05 -5.02676873923486e-05 -3.22573910195893e-05 6.76438241904413e-05 -2.13125751465613e-05 -9.46349723906228e-05 -3.68511220866535e-05 -3.16348602361116e-06 7.50171606968957e-05 -8.67508270376594e-05 -9.37629702749245e-05 0.000204879265484619
