 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
intercept 0.000388508182037967 5.262196517097391e-07 -2.7354310734700436e-06 -7.261221928025869e-07 9.527029131380505e-07 -2.729966134071252e-07 6.642679998025857e-08 1.7790201502964428e-06 7.996091104755883e-07 3.753500127849927e-07 -5.1290936562077e-07 3.2066646423909586e-07 -4.404638169601749e-07 7.208326692871413e-07 3.139846767328178e-07 -8.356425841512359e-07 -2.3577675201768666e-07 -4.172525573715768e-07 5.579591338470778e-07 1.1398364738929573e-06 3.545144629521063e-07 2.9578232124255894e-06 1.2412461921502236e-05 -2.9568905248560986e-05 -3.498388094957941e-06
PC1 5.262196517097393e-07 1.3464778396482599e-06 -1.004265330715781e-06 -4.412058938347264e-09 -7.292373966595247e-08 -1.9125694639001687e-07 3.3579061750284006e-08 1.3248367406301437e-07 1.4207859836548657e-07 -6.46258703437075e-08 1.2859732665528718e-07 -8.810782868806333e-08 3.0490659263643204e-07 -8.56893002387297e-08 -1.311530442747409e-07 -2.9190292184971097e-07 -2.2576667818663734e-07 -6.629697163350641e-09 -1.570875828789413e-08 8.51844850210645e-08 1.84108662159066e-08 8.35339436267618e-07 -1.0323054578819598e-06 2.477470615126802e-06 6.321815211709566e-07
PC2 -2.735431073470041e-06 -1.004265330715781e-06 2.607436742730082e-05 4.317024575999282e-07 8.921333331309625e-07 -1.3906257164053083e-07 -5.2534934129138166e-08 -1.7649601843405603e-07 2.308260393073316e-07 -8.075685567469443e-09 -1.5518265904267555e-08 -1.1423799431420876e-07 -1.8152266670800584e-07 2.6987694252524355e-07 -3.516747545594166e-07 3.0845568961517735e-07 -7.081089277231418e-08 5.912012483224187e-07 3.311096489745876e-08 -2.4981191332058645e-07 8.219202341758702e-08 -6.624436442792526e-07 2.5259429747561265e-08 1.5121722203373005e-06 1.1833907553549286e-06
PC3 -7.261221928025862e-07 -4.412058938347303e-09 4.3170245759992787e-07 2.7410569453467997e-06 4.692904973270275e-08 5.011185342263598e-07 1.0795817806124375e-08 9.733333412450481e-08 -1.0253061140857914e-07 -4.6160269538024753e-07 1.1103024196338596e-08 1.4725815931636853e-07 1.2354995144172474e-07 -3.9007446814663745e-07 -4.49117586860856e-08 -6.659453530203938e-09 2.4160608890574247e-08 -1.245123693762401e-07 -2.98712616197447e-07 1.9625174158942084e-07 6.020041862429876e-08 -5.341752426502321e-07 -1.1085566919788234e-06 8.070570861601085e-09 4.2711756505614646e-07
PC4 9.527029131380509e-07 -7.292373966595238e-08 8.921333331309619e-07 4.692904973270271e-08 4.78021856244537e-06 9.764071182200715e-07 -3.08460804152112e-07 7.441741228902525e-08 -7.216960295300816e-07 1.6090269818923273e-07 1.5425670765267896e-07 -1.6096155968352623e-08 -4.07729859065268e-07 -1.7744688403217038e-07 -5.9531651348280186e-08 -2.3292558168870653e-08 5.785948639915744e-08 1.0427784122047136e-07 -1.5181832668203771e-07 -1.111356019177034e-07 1.547899331137298e-08 2.2414814945905196e-07 9.550166207815176e-07 -2.2693632239427556e-06 1.0727562120729057e-06
PC5 -2.729966134071245e-07 -1.9125694639001687e-07 -1.39062571640531e-07 5.011185342263597e-07 9.76407118220072e-07 8.692350581386945e-06 1.411717578591724e-07 7.244641190733007e-07 -4.382520121353483e-07 -1.6440691929439744e-07 -2.0550553876480323e-07 -6.195055265347125e-07 3.1883024392834285e-07 -4.905153523648652e-07 2.2429134011946605e-07 -2.76960828561603e-08 -7.265140403751852e-08 3.712689484613227e-07 -1.1792312355704059e-07 2.6988811745150603e-07 9.157739108128739e-08 7.038733154273813e-07 -3.5349668505689964e-06 8.367762787488179e-06 -1.6798456159265052e-06
PC6 6.642679998025798e-08 3.357906175028401e-08 -5.2534934129138404e-08 1.0795817806124393e-08 -3.08460804152112e-07 1.411717578591723e-07 8.482826548622553e-06 1.4391054303640921e-10 8.40544230368267e-08 9.665196517076904e-09 4.44019826497739e-08 -1.6532050270477768e-07 9.468885281452456e-08 -2.7164045028502813e-07 -3.293868658037993e-08 4.15955636579271e-08 -1.968194366425271e-08 2.4297022100546984e-07 -9.501991733863021e-08 -1.801180858356541e-08 -2.3617241424000935e-07 1.0807242880143408e-06 -3.4667331020693184e-06 3.0564749305611244e-06 1.720226222310151e-06
PC7 1.7790201502964428e-06 1.3248367406301445e-07 -1.7649601843405627e-07 9.733333412450483e-08 7.441741228902519e-08 7.244641190733003e-07 1.439105430362775e-10 6.923710078772828e-06 3.860077031120211e-07 -1.4675158482385737e-07 -8.62855117656022e-08 5.092268240936573e-07 8.984682913683019e-08 2.7791024045698333e-07 -2.091077925079593e-08 -3.187548873484426e-07 1.3280492577348844e-09 -1.919773939090951e-08 5.157780635444033e-08 1.976243179636522e-09 -1.4935344423639157e-07 5.830952991607364e-07 -3.1218592739785597e-07 2.3329617019867098e-06 -1.315231729488685e-06
PC8 7.99609110475589e-07 1.4207859836548655e-07 2.3082603930733208e-07 -1.0253061140857914e-07 -7.216960295300816e-07 -4.3825201213534823e-07 8.405442303682668e-08 3.8600770311202104e-07 7.520900679469219e-06 1.3356957368636227e-07 1.6704863416783357e-07 -1.978135525816523e-07 2.4065943857252885e-07 -3.3529817533233063e-09 -5.287410510151572e-08 -1.946708302229343e-07 9.0847250842704e-08 8.581551425297952e-08 -1.3872228223032446e-07 -2.0565389572029915e-07 1.5440524530591466e-07 6.311537407983198e-08 2.19560718535231e-06 -1.3918778606241126e-06 -1.8488781932910913e-06
PC9 3.7535001278499326e-07 -6.462587034370745e-08 -8.075685567469574e-09 -4.616026953802478e-07 1.609026981892328e-07 -1.6440691929439747e-07 9.665196517076716e-09 -1.467515848238574e-07 1.3356957368636227e-07 6.760365594075991e-06 -4.666437868921354e-08 -1.4913300211106367e-07 -1.2274094397391544e-07 -8.858412514142595e-09 -2.42491379155831e-07 1.4644997883774604e-07 2.779945749612238e-07 2.541432006881908e-07 -1.8524116041919103e-07 -1.4841495559894048e-07 -1.8205500289685427e-07 4.811288497154653e-07 3.2553339714397926e-07 -9.621320154054116e-07 -8.771602517191773e-07
