(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband paternal maternal
(Intercept) 0.00174442559430891 -1.70332611235778 -0.0809071619359888 0.0801235052119068 3.37650278383491 -1.67370691032924 5.56948631245575e-05 -8.58356833427797e-06 -0.000196442583235116 1.44025955251146e-05 -5.5581911681949e-05 4.57818688589243e-05 -4.56736169359652e-05 -4.39841527846013e-05 -1.1558624886984e-05 5.36471505279217e-05 1.03634622627882e-05 4.87128459048287e-05 3.55965298057035e-05 8.50784251146394e-05 4.44117725292829e-05 3.46906501589656e-05 -2.7529037107779e-05 5.77558278083824e-05 3.90914177219209e-05 -2.32168298745202e-05 3.29891879226246e-05 -7.16036578545579e-05 -3.13585435270645e-05
covarSEX -1.70332611235778 352933.1711403 7021.83667841171 -7012.85879259387 -705745.504295072 352863.805045013 0.294825195006659 0.118834491881308 -0.336228502471634 -0.0383123922212925 -0.227534446164698 0.271307299874608 -0.379903190287893 0.0574350053811317 -0.37637294836684 0.410738647968958 0.0853190097496601 0.166079491230381 -0.147633474453251 -0.410249056873792 -0.364101606712106 -0.409518372983231 0.0687339616088482 -0.170540700254601 0.227511197893635 0.33290311744758 -0.120952027211549 -0.833162490407934 -0.124140031674586
covarYOB -0.0809071619359888 7021.83667841171 230.642064246352 -230.349320589549 -14036.668886693 7015.87014111051 -0.00126455530959879 -0.00386577893783029 0.0020519183619665 -0.00914326838513623 0.00127409356684455 0.0103768909349909 -0.00150601721747872 0.00502595147140323 -0.000585921692500416 0.0038705678128125 0.00528639329174886 0.0048236961181893 -0.0016646972510654 -0.00209191747767494 -0.0157503024386256 -0.0173150413804784 0.00912376668248519 0.00471910454380323 0.00370539353077439 -0.00186791057945131 -0.00585662644866876 -0.00717181830924299 -0.00501360161977578
covarYOBsq 0.0801235052119068 -7012.85879259387 -230.349320589549 230.06160943121 14019.0049444265 -7007.18218782113 0.00112371401582884 0.00394229629119225 -0.00189143551712683 0.00919081822513024 -0.00127191025027135 -0.0104454799491334 0.0015264824159105 -0.00501546891571858 0.000648632354945893 -0.00383254697137248 -0.00526434456551756 -0.00484626630164671 0.00169957233701694 0.0019980642111991 0.015738980964125 0.0173406438522903 -0.00916658030938732 -0.00471973018658857 -0.00375175986545659 0.00189406513088037 0.00585510460723879 0.00713860575019314 0.00502764834830113
covarSEX_YOB 3.37650278383491 -705745.504295072 -14036.668886693 14019.0049444265 1411277.72515157 -705635.097875704 -0.59310601807918 -0.235812566430458 0.674657125113181 0.0783385583316523 0.457775762759188 -0.545895402029312 0.761567973976845 -0.115872249335599 0.75593958631658 -0.817354864638899 -0.171725544277858 -0.328903109858013 0.298167431708816 0.817458014149099 0.728473218420519 0.817228701569841 -0.136645637491043 0.339363331450636 -0.457771907490891 -0.666029387362709 0.2447031947483 1.6666154705774 0.244363601794438
covarSEX_YOBsq -1.67370691032924 352863.805045013 7015.87014111051 -7007.18218782113 -705635.097875704 352822.707074831 0.29825073063461 0.116996898289744 -0.338479011413081 -0.0400083677819659 -0.230271129937659 0.274653030249342 -0.381722716848624 0.0584543852203045 -0.379637459264167 0.406692639525931 0.0864545907677187 0.162868532295035 -0.1505473445779 -0.4072913489884 -0.364406416339306 -0.407759542787879 0.0679643904304773 -0.168823828336835 0.230296796441408 0.333136182187245 -0.123809940286035 -0.833557377774122 -0.120197868151699
covarPC1 5.56948631245575e-05 0.294825195006659 -0.00126455530959879 0.00112371401582884 -0.59310601807918 0.29825073063461 0.00185075283085265 -0.000309755688251157 0.000323242057130278 -7.25003042336916e-05 -4.54550413209364e-05 9.71338276308018e-06 3.90779443143942e-05 9.27492347188306e-05 -1.60199741495473e-05 2.91452969119376e-05 -4.51982320164318e-05 0.000246656981107747 -8.11777293532909e-07 -0.000111020304924547 -0.000181632306545716 -0.000188348066405028 3.31700709376487e-05 6.83061001782755e-05 2.76509259483929e-05 3.04317763779269e-05 -1.31770271113195e-07 8.96572351847511e-05 3.42670839597155e-05
covarPC2 -8.58356833427797e-06 0.118834491881308 -0.00386577893783029 0.00394229629119225 -0.235812566430458 0.116996898289744 -0.000309755688251157 0.00175007619364326 6.76052520485145e-05 0.000180002628584999 -2.93959186667502e-05 -3.58217691869592e-05 5.21793378033209e-06 1.41771224837721e-05 -4.27573128617492e-06 -2.9686497859223e-06 2.4136719117306e-05 -5.95053924424875e-05 -1.34841057222298e-05 -3.72001662855487e-05 6.00159329464748e-06 -3.27360331280947e-05 5.49307779824592e-05 2.38366139957804e-07 -1.34775141546767e-05 7.28783016296756e-06 -5.05120707359892e-05 3.87535687880692e-05 5.25267063548788e-05
covarPC3 -0.000196442583235116 -0.336228502471634 0.0020519183619665 -0.00189143551712683 0.674657125113181 -0.338479011413081 0.000323242057130278 6.76052520485145e-05 0.0019539080023457 1.63580724164443e-05 0.000167311841176175 1.2177388320208e-05 6.80720344883851e-05 -3.8053954721346e-05 -0.000212572460764185 3.38252176804657e-05 9.12504553269551e-05 3.4729584145694e-05 -0.000130863801969764 -2.96121673708407e-05 -6.66890665701942e-06 5.82136659219631e-06 -9.90847463246248e-05 -0.000113791103028823 7.50031282719747e-05 1.86046542459283e-05 -3.85685756540693e-05 3.91396453623197e-06 2.33132344354915e-06
covarPC4 1.44025955251146e-05 -0.0383123922212925 -0.00914326838513623 0.00919081822513024 0.0783385583316523 -0.0400083677819659 -7.25003042336916e-05 0.000180002628584999 1.63580724164443e-05 0.00174215010085751 0.00022133926339758 -0.000100129060854725 1.5790558082742e-05 -0.000210861780828993 0.000111381355121759 3.29257380184328e-05 3.80872810040388e-05 -0.000116958436665806 1.16876938952919e-05 -6.7633607395319e-05 -8.91168775419297e-07 5.89943743555898e-05 1.78424840679605e-05 -6.67605485400956e-05 -3.7439658183844e-05 7.75447163307177e-06 -1.84123329325366e-06 6.38433009873681e-07 5.41905413939493e-05
