 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.0007475934927004742 -1.2995364846263343e-06 -1.1972132297612383e-05 -9.912631357868798e-07 1.739050338094455e-06 -6.469588398362775e-07 2.7520451241998518e-06 4.927475129622997e-06 -1.794095272652571e-06 -1.255935830463231e-06 7.206395757410625e-07 4.215418234415319e-06 -2.1253823003199516e-06 1.824110516476329e-06 -2.1400314520818636e-06 -4.786548682578699e-07 1.1733064125601582e-06 1.5555316720624883e-06 5.088464071873326e-06 5.665973271854953e-06 -1.308980175056024e-06 2.2814314151925565e-05
PC1 -1.2995364846263334e-06 2.7710259710175485e-06 -2.23746676657383e-06 1.332550459508666e-07 -1.6367635319089862e-07 -1.4195926782010293e-07 -6.820260826436977e-09 -9.059083046693812e-08 4.716364123807746e-07 1.5312908374079511e-07 1.6950400901698308e-07 -2.0504872379860739e-07 7.839318001844596e-07 -7.019395767534104e-08 -3.493654924183217e-07 -7.20719036369504e-07 -6.418800186480284e-07 9.941624938699366e-08 -1.1706450698525623e-07 2.7292428209768286e-08 2.7947267468933046e-07 3.2617190925963204e-06
PC2 -1.1972132297612383e-05 -2.23746676657383e-06 6.234509339059272e-05 1.3861759572172607e-06 1.495969691777148e-06 -1.5148394511452682e-06 -1.1459112958686593e-06 6.975609297619424e-07 3.290183678580804e-07 1.4169906412728958e-06 6.686478918369004e-07 -3.7588491008692034e-08 -3.4142660363363763e-07 4.436938416263044e-08 5.897301230299176e-07 4.850891485218829e-08 -1.627764971832239e-06 9.494692460810473e-07 3.283957984213311e-07 -1.6274971742799766e-06 -4.3809780919384405e-07 3.6160860604957013e-06
PC3 -9.912631357868785e-07 1.332550459508665e-07 1.3861759572172609e-06 6.0838122219128706e-06 1.5365873266503907e-07 1.4199637276028412e-06 4.214616332337776e-08 1.0482821389048698e-06 1.1165748189290225e-07 -8.932171445214474e-07 2.9298893723547e-07 -1.423249078726706e-07 8.375593902587542e-08 -1.1547355213427126e-06 4.380598832834841e-08 -4.71542557236166e-07 5.3904264530837694e-08 -3.5414667938039996e-07 -3.89316752177466e-07 5.477946820689572e-07 1.856633319942025e-07 1.1100108173785781e-05
PC4 1.739050338094455e-06 -1.6367635319089875e-07 1.4959696917771491e-06 1.5365873266503897e-07 9.576043436460566e-06 2.6356062083319318e-06 -1.026332816691325e-06 2.516187977995186e-07 -1.4943766672064014e-06 3.7608865542503893e-07 2.1515462280494256e-07 3.6529418217764154e-07 -1.0219097954028804e-06 -4.3272241462967947e-07 -3.215176327360732e-08 3.8540049458936876e-08 -2.3605946740339323e-08 1.3228221744060103e-07 -6.332816240095843e-07 -3.762694952104394e-08 -2.4977376803938645e-07 -4.636599766917513e-06
PC5 -6.469588398362756e-07 -1.4195926782010296e-07 -1.5148394511452701e-06 1.4199637276028412e-06 2.6356062083319305e-06 2.0145001376693635e-05 4.259553315966859e-07 3.001986438106778e-06 -1.3566133573509003e-06 -1.3222351216632057e-06 -4.5982903247460616e-07 -1.286632680473997e-06 1.4573783843508295e-07 -1.7670111271415375e-06 3.526567744868373e-07 -3.1029797958390554e-07 -2.679473917475453e-07 8.666112552113078e-07 -3.4881478521560504e-07 9.522211458742615e-07 2.97624238989552e-07 -7.070134271862676e-06
PC6 2.752045124199848e-06 -6.8202608264369575e-09 -1.145911295868661e-06 4.21461633233779e-08 -1.0263328166913257e-06 4.259553315966857e-07 2.0791439840095906e-05 1.9391827923308667e-07 -9.318915635524517e-08 4.703323792664492e-08 8.099595878528173e-09 -1.82781022745804e-07 3.736533618059059e-08 -7.93137374337669e-07 2.0472830747835302e-07 3.8677675645251985e-07 -8.673421243664818e-07 6.951930451647135e-07 -2.2985361999065203e-08 -1.5513989306582116e-07 -4.967333449484374e-07 -4.0166016181604025e-08
PC7 4.927475129622998e-06 -9.059083046693848e-08 6.975609297619426e-07 1.0482821389048696e-06 2.5161879779951816e-07 3.001986438106777e-06 1.939182792330869e-07 1.635202522741411e-05 6.182944809961706e-07 -9.192660934585109e-07 -4.919734901405574e-08 1.426235004781603e-06 5.842691618229513e-07 6.320703434669301e-07 2.0034285351010762e-07 -9.928245410575714e-07 -4.92328312261294e-07 1.6308895277921978e-07 2.910611516029537e-07 -3.575893834350076e-07 6.718711567844851e-08 3.303963879734595e-06
PC8 -1.7940952726525725e-06 4.716364123807742e-07 3.2901836785808114e-07 1.1165748189290242e-07 -1.4943766672064016e-06 -1.3566133573509009e-06 -9.318915635524535e-08 6.182944809961705e-07 1.7960427388824805e-05 -3.8462258324217425e-08 6.318576939241197e-07 -9.971288265049783e-07 3.040469530861822e-07 2.39936484729138e-07 1.3059470363634583e-07 -4.7235580803014925e-07 3.539195780654609e-07 -2.461806331963311e-07 -1.3635911438932582e-06 1.9338884552048677e-07 7.263890535271277e-07 -2.8740784794474567e-06
PC9 -1.255935830463234e-06 1.5312908374079496e-07 1.4169906412728962e-06 -8.932171445214476e-07 3.760886554250393e-07 -1.3222351216632057e-06 4.703323792664468e-08 -9.19266093458511e-07 -3.846225832421748e-08 1.5970209976419886e-05 -1.054242435470001e-06 7.037096370667165e-08 1.552350657206903e-08 -8.66065027586237e-08 -1.448099927745347e-07 2.6178667239466236e-07 6.020984182662633e-07 4.0076222980336663e-07 -5.427682022577412e-07 -5.698938363684302e-07 -4.946235776388233e-07 6.186619606235604e-06
