 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gmp gpm gmm
intercept 0.0013985465430559325 -1.831177574929376e-06 -3.2485603090039836e-06 -1.6286442267273356e-06 7.1736831232265384e-06 -6.951736368896167e-07 1.5124167696947645e-05 1.3143509403891758e-06 5.100719637975484e-06 -3.3536100363070735e-06 9.792140361411154e-06 1.3215536853888067e-05 -3.6034718710096782e-06 4.124175806293568e-06 -6.3331943749050716e-06 -3.332655304492592e-06 2.514951857672119e-06 3.6401646882915273e-06 5.46988815699121e-06 7.518762023555717e-06 -3.581476997633327e-06 -4.934611218590417e-05 -1.9394036666504388e-05 -2.0765452643069634e-05 8.396999076063543e-05 8.212721871170589e-05 0.00012168364962696894 -2.9405849248410965e-05
PC1 -1.831177574929374e-06 5.529765891461714e-06 -3.9740049299512095e-06 4.645764075652035e-07 -5.807439793307885e-07 -3.96349041845621e-07 -1.9874165438156448e-07 5.0859525288154254e-08 3.66720826088514e-08 1.2792645127802472e-07 5.296884369396544e-07 -4.1408639482471645e-07 1.6488322197898528e-06 -4.401445285776437e-07 -7.397944696586198e-07 -1.6993776683772944e-06 -1.838417767960682e-06 2.868185948490131e-07 -5.931187549211164e-07 6.566998314847319e-07 9.3846196425123e-07 -8.643806769187755e-06 1.0280568315222346e-05 4.133348350896558e-06 2.060486320740828e-06 2.3902728417758867e-06 3.3688198003153805e-06 8.361499941515254e-06
PC2 -3.2485603090039828e-06 -3.974004929951208e-06 0.00011472065697495828 2.845566638868597e-06 4.394628760356105e-06 2.2922499378775395e-08 3.8569830323517214e-07 1.1679132581062193e-06 2.0285983528506306e-06 1.642059448252587e-06 -2.0476965065082637e-07 -1.6673929887647932e-07 -4.3891703561749137e-07 2.0981716121083677e-06 2.5634539436671503e-06 -4.3532737174394206e-07 -1.406153286052708e-06 3.2614638360758113e-06 1.5218485809381432e-06 -3.0523016890487934e-06 -2.164653852314672e-06 2.68146679245332e-05 -4.987220765891033e-05 -2.7845243326997743e-05 1.6611608553052684e-05 1.4783244427951995e-05 3.003895176717216e-05 -3.208591050787451e-05
PC3 -1.6286442267273375e-06 4.645764075652026e-07 2.8455666388685957e-06 1.3232953329912425e-05 1.4924207762803824e-07 3.5545580873868462e-06 -6.991475806827794e-07 2.876951857825986e-06 2.2879649607859672e-07 -1.2234718261153956e-06 1.3667572655946466e-07 -5.30802324755497e-07 3.0539397564777134e-07 -2.5395265401266396e-06 2.8125851674848493e-07 -9.368532995604566e-07 7.880326177070483e-07 -1.2779444886071495e-06 -1.3348841860697565e-06 1.3320782026206778e-06 1.7255555939238734e-06 -2.562949335750795e-06 2.3933023142196163e-05 7.820691527366855e-06 -1.32804935777663e-05 1.98262682133734e-05 3.931557112888866e-06 2.6877221872695797e-05
PC4 7.173683123226534e-06 -5.807439793307884e-07 4.394628760356108e-06 1.4924207762803813e-07 1.7816193482553892e-05 4.119730458671525e-06 -1.1020349190986994e-06 1.3725708859300326e-06 -1.644808192419424e-06 5.933875891345597e-07 6.27036841391765e-07 9.510347535181813e-07 -3.0192406288947203e-06 -1.6246183373328393e-06 5.270193326743994e-07 5.702370343725935e-07 -2.1343567194747518e-07 3.008107227558787e-07 -8.08844272980823e-07 -7.691530015396523e-07 -3.4399967341944054e-07 2.0849815295796278e-07 4.538826803694667e-06 -1.1863627867809684e-05 -3.6144225055489242e-06 -1.2386318780529881e-05 2.0328701386824345e-05 -2.3386537719809163e-05
PC5 -6.951736368896152e-07 -3.9634904184562114e-07 2.2922499378776202e-08 3.554558087386846e-06 4.119730458671524e-06 4.0352985192869006e-05 1.2478288740929638e-06 5.7029100427478275e-06 -1.757243638985654e-06 -2.2194315523728266e-06 -2.0451778361750863e-07 -2.2346292951511965e-06 5.021077415675399e-07 -3.752973888533241e-06 1.311787842236137e-06 -3.112803887608202e-07 -5.460796438481712e-07 2.056743457379864e-06 1.9858599523267467e-07 6.690880800192682e-07 -2.1946197170880438e-07 -5.41386632174642e-06 8.25902798404479e-06 -2.817396132566457e-05 1.0316540245838309e-05 -3.453128028546008e-05 2.1613012855778824e-05 2.5663810573154663e-05
PC6 1.512416769694765e-05 -1.9874165438156403e-07 3.8569830323517177e-07 -6.991475806827795e-07 -1.1020349190986987e-06 1.2478288740929657e-06 3.7893055206749624e-05 -2.1025006634989043e-07 6.433938138436874e-07 7.040076442488391e-07 -1.0955326720634807e-06 -3.307507511883247e-07 -2.6551355670039373e-08 -8.579646873418583e-08 6.931861517941988e-08 1.5179186536890746e-06 -7.04621119346216e-07 4.6125404120862927e-07 -1.1479617235795681e-06 -2.563799628840273e-06 -7.344461533032016e-07 3.137266394979713e-06 -2.2924559589323253e-05 2.285606515935831e-05 6.0954414663471264e-05 -2.7293406711437895e-05 -1.5518507988921476e-05 -4.612573475354687e-05
PC7 1.3143509403891813e-06 5.08595252881544e-08 1.1679132581062178e-06 2.8769518578259853e-06 1.3725708859300305e-06 5.702910042747823e-06 -2.1025006634989101e-07 3.0427717141973798e-05 1.6886368494283437e-06 -1.709353334850678e-06 -3.3796842045883784e-07 2.497547220927836e-06 1.3093950104291774e-06 1.4000468628906673e-06 5.800703345250454e-07 -1.1272109691577542e-06 -1.982102337175391e-07 6.48308785586898e-08 7.484744578047408e-07 -4.733328521005994e-07 3.47161791797336e-07 -5.715166861272895e-06 1.387861400878268e-05 6.43280884288049e-06 1.097292176983135e-05 -1.2877259095278356e-05 -1.7706234714651218e-05 1.9610159747506076e-05
PC8 5.10071963797549e-06 3.667208260885134e-08 2.0285983528506285e-06 2.2879649607859765e-07 -1.644808192419424e-06 -1.757243638985654e-06 6.433938138436866e-07 1.6886368494283439e-06 3.56777280635792e-05 4.128848309018934e-07 1.64833534786e-06 -2.9219252616592796e-06 -8.448264042599439e-07 7.906774959078406e-08 1.1598372457791298e-07 -1.2321577951379257e-06 -3.3757675558328845e-07 -1.4281466896104473e-06 -3.1334205093490937e-06 3.3201766613870126e-07 1.2304806349059923e-06 5.087252827377583e-06 -1.1949744388808734e-06 -1.8778148418705303e-05 -4.93275176337982e-05 3.8706220965922336e-05 -1.7114317130918913e-05 4.7380594731914666e-07
PC9 -3.3536100363070723e-06 1.279264512780248e-07 1.6420594482525877e-06 -1.223471826115397e-06 5.933875891345602e-07 -2.219431552372826e-06 7.040076442488391e-07 -1.709353334850679e-06 4.1288483090189286e-07 2.9272132968137535e-05 -1.9624511829755533e-06 9.853293639819645e-07 -1.2390213390701872e-06 5.443260227160339e-07 -2.235924870654658e-06 1.6647459444235228e-06 6.041736247826632e-07 1.7520457534384488e-06 -1.0087252965670412e-06 -1.516616021884904e-06 -1.8791750307932891e-06 6.2742970515916515e-06 7.818542419601794e-06 1.8513623071008454e-05 -9.148389717943946e-06 1.9830514310147874e-05 -5.46352244097543e-06 -1.296108662201623e-05
PC10 9.792140361411162e-06 5.29688436939654e-07 -2.04769650650825e-07 1.3667572655946493e-07 6.270368413917653e-07 -2.0451778361750786e-07 -1.0955326720634801e-06 -3.379684204588391e-07 1.6483353478599993e-06 -1.962451182975554e-06 3.36219491663997e-05 -2.706538966882638e-07 1.1742148061010903e-06 -1.277049369300173e-06 -8.652694711298345e-07 3.7516773886238017e-07 -1.596017393936857e-06 1.8532195803470898e-07 3.1097594834862543e-07 8.838526249304965e-07 2.065656059671627e-10 -8.917795254573227e-06 -1.446499987909122e-05 1.0087424692631001e-05 4.972137139573656e-05 -1.1618935583009166e-05 -7.655906198313251e-06 1.1802280432167747e-05
PC11 1.3215536853888059e-05 -4.1408639482471635e-07 -1.6673929887647909e-07 -5.308023247554978e-07 9.510347535181811e-07 -2.2346292951512003e-06 -3.3075075118832395e-07 2.4975472209278352e-06 -2.9219252616592796e-06 9.853293639819647e-07 -2.7065389668826324e-07 2.803648373728474e-05 1.5615590163887454e-07 1.520412728511642e-07 -9.528179531281764e-07 2.015548555688174e-06 1.4128173655388525e-06 8.1020471633059e-07 5.56848272008726e-07 3.6529511007159325e-07 2.768250756202624e-07 6.750400676396201e-06 -2.7752502220043165e-05 5.301384213056118e-06 3.278757051050499e-05 -8.849341895261794e-06 -4.148463100617233e-05 3.4112508138482336e-05
