 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
intercept 0.00029685784236210204 1.4899601705027329e-07 -2.443760771158553e-06 -2.0754826232168201e-07 3.7260768552489035e-07 -1.6296613979467925e-07 7.522604501209443e-07 8.34300941573018e-07 2.3047682378759646e-07 -5.183513180060918e-09 7.992756157948611e-07 1.2345465719490158e-06 -3.7333194653847037e-07 7.831858334589241e-07 -4.974271828408054e-07 -7.857755515521359e-07 -6.284363080817754e-07 -4.842998956601451e-07 4.7503665992608373e-07 6.661316709276814e-07 -5.7665661536713185e-08 -5.842579720127325e-06 -1.4945499721468984e-07 2.3371060136599724e-05 -7.911195320764597e-06
PC1 1.4899601705027352e-07 1.064159978556285e-06 -9.00885073637163e-07 5.5024698942733536e-08 -1.1705121805285921e-07 -1.5691515429356995e-07 1.8639489347929205e-08 1.225597614672379e-07 1.2770857474295275e-07 -2.1320953151776778e-08 1.1653003510594946e-07 -6.628574521162328e-08 3.0379383949743894e-07 -9.416613069273648e-08 -1.4550862397187636e-07 -2.709196857242718e-07 -2.2825355094034944e-07 -4.091412277310191e-09 -1.314818363535129e-08 4.960448554486548e-08 2.9439336349248967e-08 8.195862438020287e-07 1.3108847851088397e-06 -7.314590148823648e-07 2.119994372876176e-06
PC2 -2.4437607711585518e-06 -9.008850736371629e-07 2.406059091524783e-05 3.9022163035821017e-07 8.787222575778809e-07 -2.1545928260974976e-07 3.7640974740755006e-08 -2.1928093208760233e-07 1.26156705617556e-07 2.998365860614592e-07 -1.2003517627008295e-07 -1.1531810913593725e-08 -5.377228931793098e-07 3.4357386732822045e-07 -5.943179622075854e-07 1.338965296943007e-07 7.73216955777394e-08 4.1615906999452367e-07 -5.718433074701422e-08 -2.801430903138925e-07 -6.779034542259438e-08 -1.3340914566609896e-06 1.8774982476828978e-06 5.7495977957880275e-06 -3.6802346450592937e-06
PC3 -2.075482623216817e-07 5.5024698942733596e-08 3.902216303582101e-07 2.3515796972736806e-06 3.603734420991318e-08 4.786504311508956e-07 -1.0330156988007475e-08 1.3828047588895165e-07 -1.7378701788984326e-07 -3.79803889739778e-07 1.928161201052439e-08 2.1543730876764826e-07 4.11352567714729e-08 -3.860073408584972e-07 -5.120138616420533e-08 4.021601659273213e-08 2.3275952549907882e-08 -1.667833852052281e-07 -2.970704658362287e-07 1.957248890291709e-07 5.288962400522785e-08 2.976384958031946e-06 2.360836229138206e-06 1.157024104968112e-06 2.293447326081492e-06
PC4 3.726076855248899e-07 -1.1705121805285917e-07 8.787222575778812e-07 3.603734420991325e-08 3.937228245096016e-06 1.0501627537860093e-06 -2.12428640667747e-07 1.0408828648544824e-07 -7.481191715866665e-07 1.752664900422724e-07 1.2329281647420701e-07 -1.2487468261335426e-08 -3.43616208379979e-07 -1.928536913870405e-07 -6.711330163943534e-08 -6.986097540917063e-08 6.279869145457596e-08 1.2472587219691934e-07 -1.9757221166923675e-07 -1.0301256937360971e-07 -7.754782351350379e-09 -1.1136433920091663e-06 -1.8185621111546703e-06 2.9269607381775065e-06 -2.86978227767678e-06
PC5 -1.6296613979467975e-07 -1.5691515429356992e-07 -2.1545928260974986e-07 4.786504311508957e-07 1.0501627537860097e-06 7.895688312365e-06 2.4521733701861164e-07 7.621141562605618e-07 -5.084824608444679e-07 -1.6856996232372099e-07 -2.445914040854818e-07 -5.82771396117345e-07 1.706638232277084e-07 -5.778408986483184e-07 2.4756967255222637e-07 9.346038469006645e-08 -1.541242508814835e-07 3.4986225350047503e-07 -1.295397629818826e-07 2.3099901264168093e-07 2.2009964523082705e-09 -2.4284316224232715e-08 -1.8649949098754403e-06 -2.3151034896239595e-06 2.281600335816803e-06
PC6 7.522604501209452e-07 1.863948934792921e-08 3.7640974740754795e-08 -1.033015698800746e-08 -2.1242864066774717e-07 2.4521733701861143e-07 8.201906804062893e-06 -3.585074690062955e-08 5.029433673785554e-08 1.0501258092614651e-07 1.330324340763308e-08 -2.80026168705153e-07 1.0010125061968323e-07 -2.8977015032818196e-07 -3.789067988567875e-09 -5.218383894679461e-08 4.729351565317626e-08 2.7252363470518813e-07 -1.1737701873457383e-07 -3.0679887442707316e-08 -1.6097544317985439e-07 -3.00449986293315e-07 -1.1571913448118792e-06 2.736257583793815e-06 -4.415719769307412e-06
PC7 8.343009415730183e-07 1.225597614672379e-07 -2.1928093208760235e-07 1.3828047588895162e-07 1.0408828648544831e-07 7.621141562605619e-07 -3.5850746900629486e-08 6.6074874441612535e-06 3.874327061133352e-07 -8.09855620116191e-08 -2.6920515441161273e-08 6.058166340591314e-07 6.987628782698961e-08 3.4379157958035727e-07 -3.740525873811706e-08 -2.5448465889401145e-07 -8.42797023133307e-09 1.9806007053177547e-08 2.498997930888523e-08 -1.4729214204847533e-08 -5.435162131474252e-08 9.79382400869282e-08 2.459589155791253e-06 -1.4033747809956357e-06 -1.3747009956231525e-07
PC8 2.3047682378759678e-07 1.2770857474295273e-07 1.2615670561755597e-07 -1.7378701788984332e-07 -7.481191715866664e-07 -5.084824608444679e-07 5.029433673785553e-08 3.8743270611333517e-07 7.260836837965331e-06 2.1359803936998443e-07 1.8975998868026104e-07 -2.6245830578819187e-07 1.575136248477484e-07 -1.070056226700241e-08 2.648238744964356e-08 -1.7515604844510512e-07 1.9141385543980613e-07 2.1031730454252043e-07 -1.480806769463577e-07 -6.52295749353228e-08 2.0927413140140698e-07 2.9669816120346393e-07 -2.744102355779964e-06 -2.1184863979496775e-06 2.9535046643098685e-06
PC9 -5.183513180060931e-09 -2.132095315177673e-08 2.9983658606145904e-07 -3.7980388973977795e-07 1.752664900422723e-07 -1.685699623237209e-07 1.0501258092614659e-07 -8.09855620116191e-08 2.1359803936998446e-07 6.49758814275276e-06 -4.913167653686431e-08 -1.7263395052887614e-07 -6.918996807357864e-08 -8.63569781511486e-09 -3.5233301036493863e-07 1.8473190548042998e-07 2.810294758752345e-07 2.972715671266895e-07 -1.827350061932576e-07 -1.6608488147408327e-07 -2.315973923839667e-07 4.377267349762643e-07 3.2409395838271364e-06 -2.1980679375437535e-06 1.201335620334933e-06
PC10 7.992756157948608e-07 1.1653003510594935e-07 -1.2003517627008276e-07 1.9281612010524324e-08 1.2329281647420693e-07 -2.445914040854818e-07 1.330324340763304e-08 -2.69205154411614e-08 1.8975998868026098e-07 -4.9131676536864353e-08 6.395870223642614e-06 -3.1094948385637746e-07 1.8756413693577547e-07 -3.058198343303667e-07 -1.114795450509048e-07 -9.816930043052959e-08 -3.228184326443522e-07 1.6532591720823857e-07 2.1045911405520488e-07 2.1115719235290725e-07 4.743307865978203e-08 -7.718680605201025e-07 1.7120412710631581e-06 -2.477089941628755e-06 1.8771228928774726e-06
PC11 1.2345465719490162e-06 -6.628574521162323e-08 -1.1531810913593767e-08 2.154373087676484e-07 -1.248746826133547e-08 -5.82771396117345e-07 -2.800261687051533e-07 6.058166340591314e-07 -2.6245830578819155e-07 -1.726339505288762e-07 -3.1094948385637735e-07 6.018603681538782e-06 -4.6503204174599763e-08 -2.2180601732213946e-08 -3.2209508425924334e-07 1.959013441280364e-07 2.0192621374803945e-07 2.5368195749890895e-07 -9.225946764946515e-08 2.970831434243229e-07 2.6263900770986673e-07 -3.9488031535709636e-07 1.3035708229818492e-06 -3.4515434569166307e-06 2.377284957712027e-06
PC12 -3.7333194653846974e-07 3.0379383949743905e-07 -5.377228931793103e-07 4.113525677147288e-08 -3.4361620837997915e-07 1.7066382322770863e-07 1.0010125061968324e-07 6.987628782698956e-08 1.5751362484774827e-07 -6.918996807357863e-08 1.8756413693577557e-07 -4.6503204174599856e-08 5.385474805341949e-06 3.915366459896816e-08 -3.002402784659071e-08 -6.771227724887643e-08 -9.73182036813716e-08 -1.3129388367702047e-07 3.1115702772064096e-08 -1.2828495182268556e-07 -2.2027940983149822e-07 -1.581929037797459e-06 1.1559120642068871e-06 7.021269504623904e-07 -7.078759587783787e-07
PC13 7.831858334589248e-07 -9.416613069273647e-08 3.4357386732822066e-07 -3.8600734085849726e-07 -1.928536913870405e-07 -5.778408986483182e-07 -2.897701503281819e-07 3.437915795803573e-07 -1.070056226700249e-08 -8.635697815114853e-09 -3.058198343303667e-07 -2.2180601732213744e-08 3.91536645989682e-08 5.751529737188186e-06 -2.5940954555019317e-07 4.4471403692543076e-07 2.716269405775551e-07 4.811190450571763e-08 -9.267630886214529e-08 -1.27485267423392e-08 8.536099907597085e-09 -6.80125536031851e-07 9.694114219029802e-08 3.4372953951728773e-06 -2.1050375092823328e-06
PC14 -4.97427182840806e-07 -1.455086239718764e-07 -5.943179622075854e-07 -5.120138616420533e-08 -6.711330163943517e-08 2.4756967255222637e-07 -3.789067988568045e-09 -3.7405258738117116e-08 2.648238744964343e-08 -3.5233301036493863e-07 -1.1147954505090475e-07 -3.2209508425924345e-07 -3.00240278465907e-08 -2.5940954555019317e-07 6.080777000562348e-06 -1.3181652607267092e-07 -6.178250534987156e-08 -5.741960580957059e-08 1.632309951609197e-07 1.2679386836143975e-07 -5.741015968547212e-08 8.464598506717591e-07 -1.561087713754501e-07 -1.379641083103093e-06 -9.980519840981916e-07
PC15 -7.857755515521358e-07 -2.7091968572427184e-07 1.338965296943009e-07 4.0216016592732176e-08 -6.986097540917048e-08 9.346038469006642e-08 -5.218383894679482e-08 -2.5448465889401145e-07 -1.7515604844510525e-07 1.8473190548042982e-07 -9.816930043052963e-08 1.9590134412803653e-07 -6.771227724887635e-08 4.447140369254308e-07 -1.3181652607267092e-07 5.714296203518922e-06 1.956032390394665e-07 -1.8215563417015267e-07 -6.479639740878301e-08 1.1426630761647177e-07 2.3087721665112905e-09 1.6291936784995133e-07 1.8596981108521305e-06 8.496363851071548e-07 -2.174583126289541e-06
PC16 -6.284363080817754e-07 -2.282535509403494e-07 7.732169557773932e-08 2.327595254990786e-08 6.279869145457606e-08 -1.5412425088148354e-07 4.729351565317627e-08 -8.427970231333089e-09 1.914138554398061e-07 2.810294758752345e-07 -3.2281843264435216e-07 2.0192621374803953e-07 -9.73182036813716e-08 2.716269405775551e-07 -6.17825053498715e-08 1.9560323903946655e-07 5.6362310943732305e-06 -2.9320178830856856e-08 -2.3241623309590685e-07 -2.802535732718031e-07 -1.6419577147453188e-07 -5.843120616028325e-07 1.3004142328278204e-06 -1.2111920929344633e-06 2.410110997446562e-06
PC17 -4.842998956601442e-07 -4.091412277310107e-09 4.161590699945235e-07 -1.6678338520522823e-07 1.2472587219691927e-07 3.4986225350047477e-07 2.7252363470518813e-07 1.9806007053177504e-08 2.103173045425206e-07 2.972715671266895e-07 1.6532591720823857e-07 2.5368195749890895e-07 -1.3129388367702045e-07 4.811190450571757e-08 -5.741960580957059e-08 -1.8215563417015278e-07 -2.9320178830857074e-08 5.400885449568804e-06 1.490140053216043e-07 -1.5066608920499056e-07 -5.181292076416381e-08 -6.514748937496718e-07 -7.44335702121711e-08 -1.2299447369213297e-06 3.9751811947545736e-07
PC18 4.7503665992608267e-07 -1.3148183635351258e-08 -5.71843307470143e-08 -2.9707046583622877e-07 -1.9757221166923675e-07 -1.2953976298188257e-07 -1.1737701873457387e-07 2.4989979308885223e-08 -1.4808067694635765e-07 -1.8273500619325774e-07 2.1045911405520498e-07 -9.225946764946518e-08 3.111570277206401e-08 -9.26763088621453e-08 1.6323099516091982e-07 -6.479639740878301e-08 -2.3241623309590695e-07 1.4901400532160428e-07 5.311198500003705e-06 -4.731876089484895e-08 -7.64215463468571e-09 -7.653095784110165e-07 -7.974585581926114e-07 -1.254976192468068e-06 3.02772909170523e-06
PC19 6.661316709276808e-07 4.960448554486549e-08 -2.8014309031389247e-07 1.9572488902917082e-07 -1.0301256937360965e-07 2.309990126416809e-07 -3.0679887442707316e-08 -1.4729214204847602e-08 -6.522957493532283e-08 -1.6608488147408332e-07 2.1115719235290733e-07 2.970831434243226e-07 -1.282849518226855e-07 -1.2748526742339093e-08 1.2679386836143967e-07 1.1426630761647176e-07 -2.8025357327180305e-07 -1.506660892049905e-07 -4.731876089484908e-08 5.399750953380154e-06 1.9027884214998162e-07 3.6004573112995155e-07 3.8631321383260044e-07 -3.867294311780644e-06 1.2945712792483373e-06
PC20 -5.766566153671292e-08 2.943933634924904e-08 -6.779034542259451e-08 5.288962400522784e-08 -7.754782351350243e-09 2.2009964523084624e-09 -1.609754431798545e-07 -5.435162131474249e-08 2.0927413140140695e-07 -2.3159739238396678e-07 4.7433078659781965e-08 2.6263900770986663e-07 -2.2027940983149814e-07 8.536099907597105e-09 -5.741015968547215e-08 2.3087721665112603e-09 -1.6419577147453198e-07 -5.181292076416391e-08 -7.642154634685775e-09 1.9027884214998165e-07 4.899305197186318e-06 7.019606986008183e-08 -2.1693753756631235e-06 -1.3246450538043447e-06 3.1905770545442343e-06
proband -5.842579720127314e-06 8.195862438020292e-07 -1.3340914566609872e-06 2.9763849580319465e-06 -1.113643392009165e-06 -2.42843162242322e-08 -3.004499862933141e-07 9.79382400869296e-08 2.966981612034636e-07 4.377267349762651e-07 -7.71868060520104e-07 -3.948803153570949e-07 -1.5819290377974595e-06 -6.801255360318495e-07 8.464598506717583e-07 1.6291936784995427e-07 -5.843120616028332e-07 -6.514748937496719e-07 -7.653095784110173e-07 3.600457311299531e-07 7.019606986008121e-08 0.00043071556951735545 -0.0001606179059593237 -0.00011824610427184006 -8.610500947953358e-05
maternal -1.4945499721470236e-07 1.3108847851088393e-06 1.8774982476828952e-06 2.360836229138208e-06 -1.8185621111546698e-06 -1.86499490987544e-06 -1.1571913448118822e-06 2.459589155791251e-06 -2.7441023557799626e-06 3.2409395838271364e-06 1.7120412710631598e-06 1.3035708229818494e-06 1.1559120642068871e-06 9.694114219029611e-08 -1.5610877137545048e-07 1.8596981108521273e-06 1.3004142328278227e-06 -7.443357021217065e-08 -7.974585581926109e-07 3.863132138325971e-07 -2.169375375663124e-06 -0.00016061790595932367 0.0005003593343317841 -0.0001705745034833164 -0.00010347124163700407
gpm 2.3371060136599724e-05 -7.314590148823637e-07 5.749597795788033e-06 1.1570241049681225e-06 2.926960738177501e-06 -2.315103489623963e-06 2.736257583793811e-06 -1.403374780995633e-06 -2.1184863979496804e-06 -2.1980679375437505e-06 -2.4770899416287524e-06 -3.4515434569166307e-06 7.0212695046239e-07 3.437295395172875e-06 -1.3796410831030904e-06 8.496363851071544e-07 -1.2111920929344576e-06 -1.2299447369213297e-06 -1.254976192468067e-06 -3.867294311780639e-06 -1.3246450538043453e-06 -0.00011824610427184015 -0.0001705745034833161 0.0015077015872429296 -0.0009228160811446276
gmm -7.911195320764592e-06 2.1199943728761763e-06 -3.680234645059305e-06 2.29344732608148e-06 -2.8697822776767793e-06 2.281600335816807e-06 -4.415719769307405e-06 -1.3747009956231647e-07 2.953504664309872e-06 1.201335620334928e-06 1.8771228928774707e-06 2.3772849577120257e-06 -7.078759587783791e-07 -2.1050375092823328e-06 -9.980519840981924e-07 -2.1745831262895416e-06 2.410110997446555e-06 3.975181194754571e-07 3.0277290917052307e-06 1.2945712792483375e-06 3.1905770545442373e-06 -8.610500947953333e-05 -0.00010347124163700446 -0.0009228160811446279 0.0014176575945047583
