 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.0004052639161315109 7.976414366744018e-07 7.977045116421037e-07 -1.6915407289441925e-08 8.555769544970231e-07 -1.1366963364817365e-06 6.29058667059188e-07 1.2946247380807e-06 -4.857591132446248e-07 1.4985321107151647e-06 5.502316971077757e-07 8.581610813938913e-07 -9.320399213237899e-07 8.610435679727708e-07 -9.351920172866967e-07 -1.4347664625199595e-06 -6.803910398300761e-07 7.133331395640238e-07 -1.0174212842456976e-07 1.5408814715998615e-06 6.739481910440799e-07 -5.481058506907836e-06 -2.589612177814465e-05 3.2925180961217535e-05 2.6884775007596656e-06
PC1 7.976414366744014e-07 1.3531700579127813e-06 -1.0604071363466456e-06 -1.1803308832950853e-09 -7.857666385831965e-08 -1.7361319485707222e-07 1.0192896627463765e-08 2.6362325665968778e-08 3.815054021849142e-08 -2.6588374288773314e-08 7.482053486458369e-08 -9.468744177897246e-08 3.957770561024356e-07 -3.2460330830043756e-08 -1.6532939945436796e-07 -3.4449331396425784e-07 -3.097444775268059e-07 8.408939464375799e-08 2.0890171695700266e-08 8.997037414632992e-08 1.1111274260353434e-08 7.313467707700686e-07 1.1463132932088588e-06 9.711177407367235e-07 1.7337932589864968e-06
PC2 7.977045116421043e-07 -1.0604071363466456e-06 2.695335273472388e-05 3.6313710186270605e-07 7.072539867102238e-07 -6.707210006834475e-07 -2.0825813314681986e-07 -5.485351224839169e-08 8.048585045644945e-07 2.1097683596008972e-07 2.054145259736502e-09 -5.7856337806049923e-08 -4.212163278517073e-07 2.246777745223287e-07 -2.721154624567368e-07 1.0211823967857064e-07 -1.0347493627287293e-07 6.742731231166709e-08 -2.3479206004437186e-07 -2.431073683275523e-07 -1.3452789562165986e-07 -5.94018033420153e-07 -2.9223949563394274e-06 -2.585224493107549e-06 3.928175722174339e-06
PC3 -1.6915407289442302e-08 -1.1803308832950305e-09 3.63137101862706e-07 2.9808326460658106e-06 5.426759967214357e-08 7.136126875676178e-07 -6.38254526237876e-08 2.948753143612232e-07 -1.5443408487487974e-07 -5.602317253345061e-07 7.666972804705045e-08 2.094718168811424e-07 3.0427216478601476e-08 -2.8336598575274634e-07 1.2899251566100697e-07 -1.1722326527431899e-07 1.0603127030818728e-08 -1.305351647733741e-07 -2.2203270574150863e-07 2.031360212713048e-07 7.161154485337239e-08 2.7394312370108133e-06 4.348779832860704e-06 1.4513579465371558e-06 5.281938797799086e-06
PC4 8.555769544970229e-07 -7.857666385831962e-08 7.072539867102238e-07 5.4267599672143614e-08 5.284021093891854e-06 1.115802607725867e-06 -1.752846188570567e-07 8.679070255464983e-08 -5.376106958785903e-07 4.020109624824109e-07 1.5243287976246768e-07 1.8558003706891865e-07 -5.057040449695936e-07 -1.5433324865471402e-07 -6.334284021471712e-08 -1.1382619487653233e-07 1.1968160849241266e-07 -5.6350151036966275e-08 -2.1983902145402018e-07 -1.4758877295431436e-07 -5.0404846174400455e-08 -2.417219468405485e-06 2.4008415625098238e-06 7.026144907721171e-07 -1.7105416086518843e-06
PC5 -1.1366963364817372e-06 -1.7361319485707222e-07 -6.707210006834482e-07 7.136126875676182e-07 1.1158026077258668e-06 9.751380855427633e-06 2.855564133525869e-07 7.73603847667513e-07 -3.8029596815140335e-07 -1.8595194621632246e-07 -2.2254553163323765e-07 -6.557120772885124e-07 3.165515122739711e-07 -7.726450507085076e-07 3.319968517553239e-07 -2.80228876471357e-08 -2.9208648156246888e-08 4.253634258551748e-07 -2.209135599838036e-07 1.1254058063628807e-07 -9.59648321478589e-08 -1.7859123703160878e-06 2.036388529811689e-06 4.373315694246462e-06 -4.477065098847325e-06
PC6 6.290586670591866e-07 1.0192896627463742e-08 -2.082581331468199e-07 -6.38254526237877e-08 -1.7528461885705667e-07 2.8555641335258666e-07 9.060695495754763e-06 -2.6008053106025338e-08 3.724981973723564e-08 2.118673242388723e-07 2.477382090969862e-08 -2.409483309964977e-07 -9.569789852442572e-08 -2.0821598117753678e-07 -7.369540076516275e-08 -7.150539952581633e-08 -4.786763612524884e-08 2.440928898680794e-07 -1.8700521006217054e-07 -7.133092260106826e-08 -2.650406706827877e-07 -8.495028057160871e-07 9.894102590963208e-07 3.862983786211627e-06 -4.70261113062999e-06
PC7 1.2946247380807002e-06 2.6362325665968858e-08 -5.4853512248392014e-08 2.9487531436122313e-07 8.679070255464955e-08 7.736038476675128e-07 -2.60080531060253e-08 7.524024092451109e-06 3.1821295311852427e-07 -2.524936067187128e-07 -1.463998993538861e-07 5.668966682570984e-07 1.204626290190133e-07 4.0407385778355175e-07 -6.584830888851524e-08 -3.2171159595871377e-07 -2.3640021585101023e-07 -1.0012997250880823e-07 1.1158455086668193e-07 -4.380919312297e-08 -4.040842169121947e-08 -2.4240669901041914e-07 1.2877938553385472e-06 2.519848575221541e-06 -1.5487118932668994e-06
PC8 -4.857591132446253e-07 3.815054021849146e-08 8.048585045644943e-07 -1.5443408487487972e-07 -5.376106958785904e-07 -3.802959681514033e-07 3.7249819737235684e-08 3.182129531185245e-07 8.01161455790304e-06 1.7604420023796342e-07 1.4762431550969385e-07 -4.054845902577825e-07 4.341024149885169e-08 9.134065003610086e-08 -1.2054753767839627e-09 -6.256360799513203e-08 1.4486199681748434e-07 4.5979090230559046e-08 -2.3241674139808926e-07 -2.0114099997754004e-07 2.4461597466680015e-07 -1.5920254991169444e-06 2.759638279746414e-07 -2.124731405928979e-06 3.414337152504587e-06
PC9 1.4985321107151655e-06 -2.6588374288773384e-08 2.1097683596008975e-07 -5.602317253345062e-07 4.020109624824108e-07 -1.859519462163223e-07 2.1186732423887212e-07 -2.524936067187129e-07 1.7604420023796347e-07 7.208174688414248e-06 -8.910730300444518e-08 -1.0235242468589788e-07 -8.268279274915507e-08 -1.078777623297395e-07 -3.149472297722345e-07 1.8634148471758503e-07 2.1280926492501187e-07 1.378501412542463e-07 -3.72550283977693e-07 -2.1202008475066426e-07 -2.4233346405107063e-07 -1.0943637004523314e-06 1.7587259571137798e-06 -1.0494129818421528e-06 9.671334324568948e-07
PC10 5.502316971077763e-07 7.482053486458374e-08 2.0541452597366827e-09 7.66697280470504e-08 1.5243287976246765e-07 -2.2254553163323752e-07 2.477382090969858e-08 -1.4639989935388612e-07 1.4762431550969377e-07 -8.910730300444529e-08 7.251676685340197e-06 -1.9202834440067788e-07 4.6887764773529917e-08 -2.313891438876282e-07 -1.3089706038642688e-07 1.6413939889507422e-07 -8.432137467482775e-08 -5.648074013536399e-08 2.362094965169119e-07 1.9314743675756924e-07 -2.610491229261985e-08 -1.1271164281823826e-06 5.976006790261819e-08 5.7345936218573885e-06 -3.518458153498035e-06
PC11 8.581610813938914e-07 -9.468744177897246e-08 -5.785633780604994e-08 2.0947181688114257e-07 1.8558003706891873e-07 -6.557120772885128e-07 -2.409483309964976e-07 5.668966682570985e-07 -4.0548459025778254e-07 -1.0235242468589765e-07 -1.9202834440067798e-07 6.913387965217714e-06 -1.0166609201912391e-07 -6.853356640490186e-08 -2.064118110275804e-07 6.354706119666622e-08 -2.5124757529001805e-08 1.7402912303005228e-07 -3.298250674512928e-08 9.599012435507047e-08 2.4249822518403916e-07 1.5986170257390162e-07 -3.3308788278065224e-06 2.32930001755745e-06 -3.663418578845431e-07
PC12 -9.320399213237905e-07 3.957770561024358e-07 -4.212163278517073e-07 3.042721647860137e-08 -5.05704044969594e-07 3.16551512273971e-07 -9.569789852442587e-08 1.2046262901901313e-07 4.341024149885172e-08 -8.268279274915513e-08 4.688776477352986e-08 -1.0166609201912391e-07 6.537096419512081e-06 1.493013488151353e-07 -4.087601530400595e-08 -2.836546951564304e-07 -1.3383222648603256e-07 5.7890392775571454e-08 -3.0158154311100796e-08 8.195894808541919e-08 -5.5670233277654654e-08 -9.376229353129758e-07 -1.3239900816388533e-06 1.4947752370897003e-06 1.236189658520925e-06
