 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.0005626254241498902 1.181353786982739e-06 1.1439264363244568e-06 1.273015004050619e-07 1.5162946626320182e-06 -1.4314445329631526e-06 2.656969285292927e-07 1.5998368884670634e-06 -9.448720828767042e-07 1.6305494743525537e-06 4.801315549705411e-07 3.1480769164876137e-07 -7.301864148447559e-07 6.336101750153071e-07 -7.950336061011786e-07 -1.4160074530279598e-06 -5.504686812370504e-07 9.276973434100483e-07 -1.3119470084933413e-07 1.4102064894183803e-06 8.546776626116715e-07 -3.799745990392438e-06 -3.052830952833475e-05 4.0435046553112346e-05 5.795538638646051e-06
PC1 1.1813537869827375e-06 1.7877640288886468e-06 -1.0950997509814616e-06 2.678171392877052e-08 -7.053131411401763e-08 -1.8366168467986714e-07 6.759431218572128e-10 1.9711854378177465e-08 8.383518514789052e-08 -5.69699303514378e-08 7.92005664698813e-08 -9.847145960879329e-08 4.0078475007067536e-07 -4.379306939360497e-08 -1.439757587759066e-07 -3.403371633286376e-07 -2.951825202884257e-07 6.331804102978717e-08 1.1671173751140241e-09 7.776764461231054e-08 2.3284278355011898e-08 9.230224333833412e-07 1.348592054594315e-06 1.8313904371783547e-06 1.7059379753078923e-06
PC2 1.1439264363244612e-06 -1.0950997509814612e-06 2.6416172646022715e-05 3.525555211162444e-07 6.223840728337896e-07 -6.579926132274264e-07 -1.7261146036925373e-07 2.384125623184938e-08 6.622769039943389e-07 2.939295256340641e-07 -4.258157233830342e-09 -1.0482100904005073e-08 -4.062248136124994e-07 1.6781537178778137e-07 -2.752043030743273e-07 8.853221815532011e-08 -1.1747957481157867e-07 1.334328991999928e-07 -1.9829853921192922e-07 -1.0108239448520928e-07 -1.6116984945703731e-07 1.6428809538718897e-07 -1.8305861005535291e-06 -3.98807173395462e-06 3.5146525727644293e-06
PC3 1.2730150040506084e-07 2.6781713928770468e-08 3.525555211162443e-07 3.770742677033363e-06 3.075704945245721e-08 7.187897398426401e-07 -9.618069455979952e-08 3.104883530205536e-07 -1.8293215720042263e-07 -5.340498760969165e-07 7.052017779732764e-08 1.980576827560187e-07 5.252571230890528e-08 -2.701007281515315e-07 1.3445817516961186e-07 -1.2335093139330198e-07 9.154190366644453e-09 -9.479460432077986e-08 -2.0498460860858543e-07 1.7678129027483429e-07 7.710722474081604e-08 2.9853032227210483e-06 5.639485722971053e-06 2.1804464604326063e-06 5.641530880400287e-06
PC4 1.5162946626320182e-06 -7.053131411401763e-08 6.223840728337897e-07 3.0757049452457175e-08 6.247522602998647e-06 9.915032146528339e-07 -1.994766173792292e-07 5.031414596876212e-08 -5.262161354293506e-07 3.8667433964230384e-07 1.9255285196594624e-07 1.578411654435648e-07 -5.051954563290201e-07 -1.8568916035124716e-07 -2.6779428633668678e-08 -1.0347007211426028e-07 7.654482974628788e-08 -8.399347701212755e-08 -1.430808278172831e-07 -1.1778930393192578e-07 -5.3776301387451106e-08 -2.1997000699909896e-06 1.8252703653665267e-06 9.175180507853596e-07 -1.2860962087211216e-06
PC5 -1.4314445329631526e-06 -1.8366168467986722e-07 -6.579926132274263e-07 7.187897398426399e-07 9.915032146528337e-07 1.0141887507737054e-05 2.897841899995643e-07 6.719394370016602e-07 -3.0343498651531514e-07 -1.6484052224926703e-07 -1.2141834258133587e-07 -4.659646858791948e-07 3.185022739079774e-07 -6.624586009844296e-07 2.765859122837709e-07 -5.670908070851135e-08 2.702589959355553e-09 3.5283739904586346e-07 -1.424955480509072e-07 5.8255717255030286e-08 -1.2763471641243357e-07 -1.6623727411512221e-06 2.3883425243681842e-06 3.4482464241001567e-06 -3.4033885124237453e-06
PC6 2.656969285292939e-07 6.759431218572353e-10 -1.7261146036925389e-07 -9.618069455979958e-08 -1.9947661737922893e-07 2.8978418999956457e-07 9.182813675252507e-06 -8.791792151821052e-09 3.048690256832042e-08 1.1953455092707526e-07 3.351924771926288e-08 -2.2307328381853942e-07 -3.461917654817625e-08 -1.456129061046975e-07 -1.0137575441222799e-07 -4.2689695322182394e-08 5.2275391366909725e-09 2.6593286963676795e-07 -1.3853685830325244e-07 -2.8943781837316256e-08 -2.9243458251442183e-07 -1.076527340752364e-06 9.60483953932136e-07 2.866698883640344e-06 -4.096201615348531e-06
PC7 1.5998368884670628e-06 1.9711854378177306e-08 2.3841256231849614e-08 3.1048835302055344e-07 5.0314145968762156e-08 6.7193943700166e-07 -8.791792151820702e-09 7.767111215131285e-06 2.5738265173151097e-07 -2.2122412939437975e-07 -1.49330928166451e-07 4.668059513056467e-07 1.101494315906284e-07 3.14215888320486e-07 -4.777140714210881e-09 -2.703463577120996e-07 -1.6556528070453344e-07 -4.093191763351945e-08 1.0531660558881617e-07 -4.83942845528773e-08 -2.290701821687171e-08 -1.0948957229782987e-07 1.1457596910924326e-06 2.1582141402713173e-06 -2.303760335973232e-07
PC8 -9.44872082876705e-07 8.383518514789063e-08 6.622769039943391e-07 -1.8293215720042269e-07 -5.262161354293507e-07 -3.0343498651531525e-07 3.0486902568320523e-08 2.5738265173151113e-07 8.084934475271727e-06 1.4998328944549202e-07 1.0020163926383709e-07 -4.151109576972027e-07 1.3657234392021925e-07 7.05143067810184e-08 3.845870249364897e-09 -7.094244143616032e-08 1.5642474827916524e-07 1.9042034139899886e-09 -2.1133502978705114e-07 -1.962212851944967e-07 1.8962141276411317e-07 -1.4496843046598553e-06 4.4760042314977095e-07 -1.9510158139458327e-06 3.413162343458837e-06
PC9 1.6305494743525552e-06 -5.696993035143786e-08 2.9392952563406436e-07 -5.340498760969165e-07 3.866743396423038e-07 -1.6484052224926684e-07 1.1953455092707544e-07 -2.2122412939437977e-07 1.4998328944549205e-07 7.378636504857603e-06 -8.901629372488721e-08 -7.717100856310468e-08 -4.31731485145146e-08 -9.045858798979105e-08 -2.736055943146881e-07 2.0061613021803967e-07 2.438438696246666e-07 1.6424745727475723e-07 -4.000689688584013e-07 -2.3800133825119577e-07 -2.1658577553475258e-07 -1.4143687759823114e-06 1.2321677375569693e-06 -5.588577414379827e-07 1.5077611610655974e-06
PC10 4.801315549705411e-07 7.92005664698813e-08 -4.258157233830487e-09 7.05201777973277e-08 1.9255285196594603e-07 -1.2141834258133587e-07 3.351924771926283e-08 -1.493309281664509e-07 1.0020163926383692e-07 -8.901629372488729e-08 7.2603584772237285e-06 -1.6969136658558364e-07 -5.135079116797567e-09 -2.0681407423316127e-07 -9.563493688158608e-08 1.0413497969544809e-07 -4.048277826291448e-08 -9.060780619788136e-08 1.8753808552896362e-07 1.7599684936976863e-07 -4.866729097236254e-08 -1.4102087724541531e-06 -1.1330441334762626e-07 6.935888914529528e-06 -3.7232880507292387e-06
PC11 3.148076916487621e-07 -9.847145960879334e-08 -1.0482100904005253e-08 1.9805768275601867e-07 1.5784116544356474e-07 -4.659646858791953e-07 -2.2307328381853942e-07 4.668059513056466e-07 -4.151109576972024e-07 -7.717100856310454e-08 -1.6969136658558375e-07 7.123667731938011e-06 -5.2916912846447616e-08 -1.3201549380120587e-08 -1.8333851035756508e-07 1.077009062924618e-07 2.7062067609662544e-09 1.392401193223834e-07 -3.4522621227467316e-08 6.10343267932084e-08 2.783964408610958e-07 3.071930298465111e-07 -2.991940343254455e-06 2.8109296773641988e-06 -1.3130775981751738e-06
PC12 -7.301864148447574e-07 4.007847500706751e-07 -4.062248136124993e-07 5.252571230890531e-08 -5.051954563290201e-07 3.185022739079776e-07 -3.461917654817615e-08 1.1014943159062853e-07 1.3657234392021915e-07 -4.317314851451441e-08 -5.1350791167976516e-09 -5.291691284644751e-08 6.677731473111908e-06 5.1492049973434524e-08 -7.624841128919982e-08 -3.4246654168547853e-07 -9.584232785725579e-08 5.144288443628015e-08 -4.834668499545182e-08 8.63643050157723e-08 -3.978675291862235e-08 -1.0198983757781915e-06 -6.517704762112334e-07 1.6605337142489128e-06 9.673742749782476e-07
PC13 6.336101750153074e-07 -4.3793069393605e-08 1.6781537178778108e-07 -2.7010072815153124e-07 -1.8568916035124708e-07 -6.624586009844295e-07 -1.4561290610469774e-07 3.14215888320486e-07 7.051430678101831e-08 -9.045858798979106e-08 -2.0681407423316143e-07 -1.3201549380120532e-08 5.14920499734347e-08 6.5144762268694226e-06 -3.495038355159156e-07 4.28346521938683e-07 1.5935044411813643e-07 6.332961314397335e-08 -1.1392395917784525e-07 1.0465295720991129e-07 9.421912088853627e-08 -1.9206565712759156e-07 -4.4446314350399447e-07 -4.747036023037786e-07 6.703041856068652e-07
PC14 -7.950336061011781e-07 -1.4397575877590668e-07 -2.7520430307432684e-07 1.3445817516961173e-07 -2.6779428633668837e-08 2.7658591228377087e-07 -1.0137575441222797e-07 -4.777140714210991e-09 3.845870249364921e-09 -2.73605594314688e-07 -9.563493688158611e-08 -1.8333851035756516e-07 -7.624841128919983e-08 -3.4950383551591553e-07 6.991986870499692e-06 -1.4758512065587541e-08 3.8642807530583985e-08 -3.678024029701168e-08 1.2833869721150305e-07 1.3583772867488607e-07 -3.760171384975801e-08 1.592235932919533e-06 -7.253588247561415e-07 1.7197656874425194e-06 -2.6614431606696718e-06
PC15 -1.416007453027958e-06 -3.403371633286376e-07 8.853221815532032e-08 -1.2335093139330203e-07 -1.0347007211426035e-07 -5.6709080708511496e-08 -4.2689695322182136e-08 -2.7034635771209975e-07 -7.094244143616024e-08 2.0061613021803988e-07 1.0413497969544817e-07 1.077009062924618e-07 -3.4246654168547864e-07 4.2834652193868326e-07 -1.4758512065587674e-08 6.641392602608352e-06 1.5808790593953557e-07 -2.9779580470071124e-07 -7.933986397993517e-08 -1.071723119042682e-08 1.404703316792008e-07 6.111741505639743e-07 5.759185756961898e-07 -1.698757138657342e-06 2.1176265796954774e-06
PC16 -5.504686812370485e-07 -2.9518252028842585e-07 -1.174795748115785e-07 9.154190366644451e-09 7.654482974628798e-08 2.702589959355538e-09 5.227539136691197e-09 -1.655652807045334e-07 1.564247482791651e-07 2.438438696246666e-07 -4.0482778262914674e-08 2.7062067609661655e-09 -9.584232785725596e-08 1.5935044411813638e-07 3.864280753058393e-08 1.5808790593953551e-07 6.827929996166567e-06 -5.897957147422089e-08 5.857347002431111e-08 -2.98004734680316e-07 9.130451520989851e-08 5.8843756970118015e-09 -4.1868517577790084e-07 4.5507464092251037e-07 6.750857363329764e-08
PC17 9.276973434100495e-07 6.331804102978723e-08 1.3343289919999282e-07 -9.479460432077996e-08 -8.39934770121275e-08 3.528373990458635e-07 2.65932869636768e-07 -4.093191763351938e-08 1.9042034139898203e-09 1.6424745727475723e-07 -9.060780619788132e-08 1.392401193223835e-07 5.1442884436280296e-08 6.33296131439733e-08 -3.678024029701169e-08 -2.9779580470071135e-07 -5.8979571474220834e-08 6.25991403237245e-06 1.6194496736056504e-07 -1.4398297415395373e-07 5.1244767261909226e-08 -5.845684802730073e-07 7.069488463816193e-07 -3.4171367692410306e-06 2.074653319574375e-06
