 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0002778879730665867 5.808903938699463e-08 -6.586227503347638e-07 5.2570244947983596e-08 4.0531943850018424e-07 -2.3391256563571884e-07 -4.070887532498439e-07 1.0774679924302917e-06 -1.7313054262650856e-08 3.3582412821725865e-07 -1.1003353484306768e-07 -3.2662205478422247e-07 -1.6665464727308673e-07 1.0244823467067332e-07 -3.008621799187982e-07 -2.5985411744177707e-07 -7.755106862255521e-08 2.89506954737579e-07 3.811972119646108e-07 2.2945089007540097e-07 4.864892707740771e-07 -3.7875504422973e-06 1.7534979915037195e-06 9.27149177676582e-06
PC1 5.8089039386994505e-08 8.841532426765361e-07 -5.790998359294318e-07 8.973543468051022e-08 -5.4329938926986906e-08 -6.915794875950129e-08 -8.730540586602663e-09 4.714223160514877e-08 7.220236879243802e-08 -2.2633486638774043e-08 5.7844114383996155e-08 -6.894324214039688e-08 2.4797850597324107e-07 -5.168589242039707e-08 -1.0261864562540786e-07 -1.794261956073921e-07 -1.6792313007015572e-07 -1.8632727375547464e-08 4.941266590698782e-08 1.0642228033187679e-08 3.948675082259781e-08 7.78026919731375e-07 1.3000035473781018e-06 1.208351623895359e-06
PC2 -6.586227503347618e-07 -5.790998359294319e-07 1.5383208375384237e-05 2.1123286475849816e-07 4.516084433814058e-07 -5.589653147323659e-07 1.1786389772580272e-07 1.404399456146826e-07 1.990661333815068e-07 4.1019373466063513e-07 1.8420556554278357e-09 1.7232575780851534e-07 -1.0604620070290152e-07 2.0872452752446998e-07 -2.7644673540299634e-07 -1.7265624821954386e-08 -9.614889678337005e-08 3.847143281707883e-08 -3.212304272142186e-07 1.0359755345204067e-07 1.1725718204494631e-08 -1.0178411816344099e-08 -6.417684066872772e-07 1.797636622575829e-06
PC3 5.257024494798374e-08 8.973543468051027e-08 2.1123286475849805e-07 2.0380365712958534e-06 2.301859215496979e-08 4.038686880535386e-07 1.6916100383767285e-08 1.2377853737745564e-07 -1.2164192979567618e-07 -3.2873131852115457e-07 5.521799671968252e-08 1.0771953075555165e-07 3.361471771807201e-08 -2.3698185011253432e-07 4.448046527234873e-08 -2.9803481428199285e-08 -2.3608399377231857e-08 -1.0285961386959472e-07 -1.9031550334054694e-07 1.0924407310297977e-07 3.2577529294128175e-08 2.133572198464198e-06 3.3621443920433847e-06 2.478785887901814e-06
PC4 4.053194385001844e-07 -5.43299389269869e-08 4.516084433814056e-07 2.3018592154969798e-08 3.28258429084284e-06 8.093856050999722e-07 -1.724461543284017e-07 1.1505462173900366e-07 -5.057423969650623e-07 2.3348447173756534e-07 4.279699031073692e-08 3.847663639288039e-08 -2.4718153319112e-07 -9.34897502804183e-08 -3.970397710883887e-08 -8.301768702275677e-08 6.584194690468928e-08 6.18708625055435e-08 -1.3205245688024962e-07 -8.55663525504573e-08 -4.224410579974001e-08 -1.3344955801536513e-06 9.934939219867053e-07 -5.572080560067531e-07
PC5 -2.3391256563571845e-07 -6.915794875950124e-08 -5.589653147323661e-07 4.0386868805353845e-07 8.093856050999721e-07 6.494153121342119e-06 2.0438558400709458e-07 6.742315040125585e-07 -3.8851437753177716e-07 -1.5271460148303797e-07 -2.347434271215654e-07 -4.549263978193725e-07 1.5084224812241981e-07 -4.149636442901101e-07 1.8889540785127446e-07 -1.8978602485529823e-09 -1.1045330509157089e-07 1.9135439754370133e-07 -1.1739752515638806e-07 1.5321091060300402e-07 -3.940873401214837e-08 -7.35183274292872e-07 9.37201970882441e-08 -1.2200687399221313e-06
PC6 -4.0708875324984354e-07 -8.730540586602686e-09 1.17863897725803e-07 1.6916100383767255e-08 -1.7244615432840173e-07 2.0438558400709458e-07 6.492894434140321e-06 -3.8033546963402436e-09 -4.0588953647127694e-08 6.26230622248353e-08 4.838407183412441e-08 -2.0225146312958737e-07 -5.670727827052069e-08 -1.825523954208753e-07 -3.058247447058184e-08 2.5479497364297564e-08 2.7521082814984572e-09 2.663617208143733e-07 -4.839047287791158e-08 -5.218725755575742e-08 -9.312243411685529e-08 -2.3500010666798849e-07 -4.856295128213472e-07 -1.006561553673127e-06
PC7 1.077467992430292e-06 4.714223160514878e-08 1.4043994561468283e-07 1.237785373774557e-07 1.1505462173900371e-07 6.742315040125584e-07 -3.8033546963402245e-09 5.300230919219459e-06 2.3362203660648488e-07 -1.6409675763691786e-07 -3.632454615975052e-08 4.2165261327127307e-07 8.765393299031462e-08 2.986749104780268e-07 1.4324697194730691e-08 -2.387447862631423e-07 -6.824128514597902e-08 -2.924573858118429e-08 5.0143812975666833e-08 -6.323193124569927e-08 -4.6973040026394036e-08 -2.175419649191796e-08 3.487141746056472e-07 9.479993850372227e-07
PC8 -1.7313054262650476e-08 7.220236879243806e-08 1.9906613338150684e-07 -1.216419297956761e-07 -5.057423969650622e-07 -3.8851437753177705e-07 -4.058895364712755e-08 2.3362203660648485e-07 5.5043363686797615e-06 4.421172663442492e-08 9.781462796453492e-08 -1.9766115444701347e-07 1.9882983438352145e-07 9.870583320573261e-09 9.055630231670213e-08 -1.0296862466992994e-07 7.862079166262308e-08 9.251527714193823e-08 -8.507066842207592e-08 -3.904909383678959e-08 1.1875820301964213e-07 -6.920080101483148e-09 6.743651837871097e-07 -1.6878874155306314e-06
PC9 3.358241282172589e-07 -2.2633486638774102e-08 4.101937346606353e-07 -3.287313185211545e-07 2.3348447173756536e-07 -1.5271460148303812e-07 6.262306222483525e-08 -1.64096757636918e-07 4.4211726634424995e-08 5.111393559672739e-06 -6.317791233725675e-08 -1.5460389327039984e-07 5.590775522118804e-08 -5.247928665246396e-08 -1.2613623857264147e-07 6.37861847456872e-08 1.3215108884266803e-07 7.73617654971294e-08 -2.3454626836962007e-07 -1.6472179954746624e-07 -7.184736772793435e-08 -1.1138272303790605e-07 5.554760780321178e-07 1.2783721404183086e-06
