 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
intercept 0.00035953575510583644 3.392268533180278e-07 -2.557294148834608e-06 -2.0195018829091807e-07 7.012591696413096e-07 -3.6381367319078815e-07 4.704431530512655e-07 1.2205106270832395e-06 1.837029607730211e-07 5.4422264174106035e-08 5.315502671268529e-07 8.796330056650088e-07 -2.672388916581418e-07 6.148513650809668e-07 -3.408393410793971e-07 -7.519766515475411e-07 -5.722098607579353e-07 -1.442367396681971e-07 5.452824175652648e-07 6.226757280873556e-07 6.254583678058981e-08 -4.219906667839192e-06 -1.0299288850882275e-06 2.330773834348809e-05 -5.640853012499105e-06
PC1 3.3922685331802775e-07 1.2361524441240249e-06 -9.165203830774248e-07 6.556367158785421e-08 -9.099147547880131e-08 -1.7422327715877856e-07 8.724797296161166e-09 1.4030602148020136e-07 1.2857740682598827e-07 -4.641085348460378e-08 1.2909081785042642e-07 -7.27123880259437e-08 2.9654849937200925e-07 -9.739926989830779e-08 -1.5133907504994412e-07 -2.884529263060499e-07 -2.097746104104412e-07 -2.5545512384831105e-08 -1.7990558057087744e-08 5.0870631725441934e-08 3.801943441011934e-08 9.59923445932229e-07 1.5273414282519884e-06 -6.804264991042278e-07 2.4166821802280495e-06
PC2 -2.5572941488346095e-06 -9.165203830774252e-07 2.4040161392339336e-05 4.03655401212283e-07 9.134354279190743e-07 -2.6021385357452966e-07 3.769255786825399e-08 -1.3090904837906698e-07 1.646673150199275e-07 2.965274030445205e-07 -1.4474093892250517e-07 1.1027913242491202e-07 -5.176316210262089e-07 3.534403850465756e-07 -5.026451858267502e-07 1.5323413842974887e-07 -1.0114083947811209e-08 3.9631080311142484e-07 -5.22057241393771e-08 -1.908393384540743e-07 -3.037700550547865e-08 -6.02451955369587e-07 1.4819188252491591e-06 5.221700436856666e-06 -2.8446231586660718e-06
PC3 -2.0195018829091863e-07 6.556367158785406e-08 4.036554012122835e-07 2.6784623955643572e-06 1.1774335142366488e-08 4.797476933117588e-07 -1.1661402039186672e-08 1.2676047519670006e-07 -1.896445341290355e-07 -3.8156640295193524e-07 -1.3848546635387073e-09 2.0667971413355146e-07 4.657568596444811e-08 -3.6603049719370686e-07 -4.15787727527193e-08 3.986515133995681e-08 6.089879050521045e-10 -1.308909661372203e-07 -2.965866925372439e-07 1.7588671602916686e-07 6.127700341310282e-08 3.164460220687703e-06 2.9267674701240497e-06 1.2258431740722063e-06 2.766206102155949e-06
PC4 7.012591696413099e-07 -9.099147547880135e-08 9.134354279190741e-07 1.1774335142366457e-08 4.348211237624498e-06 1.001786286194306e-06 -2.2483724254397207e-07 1.372043905247613e-07 -7.235312928347315e-07 1.7399497382462744e-07 1.0796521178334862e-07 -3.906786217293344e-08 -3.4018774107009784e-07 -1.9262075404086698e-07 -6.08494659930134e-08 -5.5625467005120926e-08 5.3103186118419893e-08 1.0899365480861236e-07 -1.738772319621051e-07 -1.1585791283757851e-07 -2.3954759509271123e-08 -1.650160850229284e-06 -1.4182375189006209e-06 2.919518267521009e-06 -2.7889530101571203e-06
PC5 -3.638136731907885e-07 -1.7422327715877845e-07 -2.602138535745295e-07 4.797476933117586e-07 1.0017862861943059e-06 8.300293243159869e-06 2.2327461516177937e-07 7.667115087506143e-07 -4.5448617731924507e-07 -1.1475086836533876e-07 -2.390035671190942e-07 -5.432231503538317e-07 1.676226597309168e-07 -5.113507681594639e-07 2.3380094369785871e-07 6.5623632313358e-08 -1.2546014970767654e-07 3.113571907246542e-07 -1.0736473270767286e-07 1.8985349498687535e-07 -6.655734376933135e-09 -2.513253290934581e-07 -1.2162709149090542e-06 -2.8774215167220273e-06 2.060660430492948e-06
PC6 4.7044315305126526e-07 8.724797296161141e-09 3.7692557868254133e-08 -1.1661402039186777e-08 -2.248372425439722e-07 2.2327461516177924e-07 8.326638541678088e-06 -1.5522364234723912e-08 6.05777506983295e-08 9.801367683477218e-08 4.395999959102269e-08 -2.75909320440207e-07 1.1326319649184934e-07 -2.8515332228978407e-07 -5.636345276539184e-08 -3.531834021369678e-08 4.595200794626276e-08 2.6635082527460345e-07 -1.3616339595068104e-07 -3.8454401148691565e-08 -1.850696997578524e-07 -8.545995708121913e-07 -5.727498751167252e-07 2.306804474132869e-06 -3.933122874157672e-06
PC7 1.2205106270832402e-06 1.403060214802014e-07 -1.309090483790668e-07 1.2676047519670017e-07 1.3720439052476124e-07 7.667115087506147e-07 -1.5522364234723883e-08 6.795743409911667e-06 3.579970196648402e-07 -1.0598500716123545e-07 -3.707760378761925e-08 5.596681982591764e-07 5.091699660735702e-08 2.975048013663475e-07 1.1143470099978197e-08 -2.790318536156474e-07 2.4241624140946854e-08 1.5292751368706897e-08 3.008366558415402e-08 -3.8869802135011284e-09 -6.564215573762214e-08 7.092364347300604e-08 2.3829477377229057e-06 -2.0213748910337567e-06 4.077574320777583e-07
PC8 1.8370296077302104e-07 1.2857740682598835e-07 1.6466731501992733e-07 -1.8964453412903534e-07 -7.235312928347311e-07 -4.544861773192447e-07 6.057775069832952e-08 3.579970196648401e-07 7.323994701029281e-06 1.6671544020116922e-07 1.7349871984925418e-07 -2.522250425585776e-07 2.2243131687338012e-07 -2.7053677241520665e-09 2.6565044709459802e-08 -1.8038514585410772e-07 1.6310982003851585e-07 1.674788594534622e-07 -1.456203143122423e-07 -9.967687709184514e-08 1.8000683978460313e-07 6.53238981275681e-08 -2.5516654858608105e-06 -1.8779581473153406e-06 2.533666233601612e-06
PC9 5.4422264174105876e-08 -4.6410853484603855e-08 2.965274030445204e-07 -3.815664029519356e-07 1.7399497382462765e-07 -1.1475086836533884e-07 9.80136768347722e-08 -1.059850071612355e-07 1.6671544020116916e-07 6.6512395810755836e-06 -2.3202422052761722e-08 -1.9701147290215524e-07 -6.42710245553548e-08 -1.609215374175106e-08 -3.0050548620045444e-07 2.0024986881260924e-07 2.9960045795403584e-07 2.4369758798221673e-07 -2.1222478123824692e-07 -1.9549547311101827e-07 -1.9895392712983006e-07 2.93128567897025e-07 2.8471009100591876e-06 -2.084562015067568e-06 1.2466833640228661e-06
PC10 5.315502671268517e-07 1.2909081785042648e-07 -1.4474093892250498e-07 -1.3848546635386e-09 1.0796521178334872e-07 -2.390035671190942e-07 4.3959999591022706e-08 -3.7077603787619375e-08 1.734987198492543e-07 -2.320242205276189e-08 6.4492126659937235e-06 -2.6536979168213737e-07 1.575790394802801e-07 -3.0300709060218155e-07 -8.559499323307772e-08 -1.0734161581262863e-07 -2.863161409969205e-07 1.490137229827286e-07 1.9736945828320858e-07 1.9184076141476986e-07 2.7485654089240156e-08 -6.530170280586504e-07 1.2215353697726172e-06 -2.2914680755900918e-06 2.2558906543524598e-06
