 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0007110505302070142 -1.5130220354356023e-06 -1.2863922157652534e-05 -2.0786585516149245e-06 -8.570797951767269e-08 -1.9069980441392497e-06 2.558070801058178e-06 2.6372969582887966e-06 -1.6522890109853456e-07 1.1201005138136179e-06 -1.4124168619611908e-07 3.081813929582088e-06 -2.223471076653343e-06 1.2253585122644077e-06 -9.008953001013086e-07 3.0478808091194054e-07 4.0537146491321274e-07 1.1200465086132872e-06 2.753222281979723e-06 5.069378672500806e-06 -2.027401322253455e-06 1.3976603329784872e-05 -2.2261751963568923e-05 -3.550958465300833e-05
PC1 -1.5130220354356019e-06 2.6934483027016143e-06 -1.962178656562851e-06 1.2981676924332547e-07 -1.320953661292918e-07 -9.232157939853156e-08 -2.1245867120356626e-08 1.327202495103822e-08 5.0482223249215e-07 8.037571951720657e-08 2.0134349986338385e-07 -8.17539397513182e-08 7.401055070534201e-07 1.7383818807157166e-07 -3.220863834299653e-07 -6.478383494480736e-07 -5.29656989812808e-07 1.8128447283322463e-07 -5.243400814857653e-08 1.1960106668828416e-07 2.887025039276085e-07 -9.375614229712075e-07 4.734205425799765e-06 5.918795725759891e-06
PC2 -1.286392215765253e-05 -1.962178656562852e-06 5.881073459464589e-05 1.4907059154330944e-06 1.7353216135975772e-06 -1.1041365669097308e-06 -4.0846147842206795e-07 6.594803666665632e-07 -3.716670860328983e-07 -3.5109532699636077e-08 1.0165591739395143e-06 2.0955529847695909e-07 2.5229037465173814e-08 -5.548799044604282e-07 9.57993776824734e-07 -1.192875822505879e-07 -1.8658688073762895e-06 9.029676795204299e-07 7.78069620909417e-07 -1.4914635680332848e-06 -1.350745630835701e-07 5.928782955902769e-06 -3.5575147135051147e-06 1.4096301984108274e-06
PC3 -2.078658551614924e-06 1.2981676924332547e-07 1.4907059154330942e-06 5.688171257803721e-06 3.1363378454447966e-07 1.3939971366854306e-06 -1.3186486375847745e-08 8.075862474265668e-07 1.0608789306290599e-07 -1.0682995757967821e-06 1.1334900503128483e-07 -6.869208152204667e-08 2.4784837068511074e-07 -9.53658709359612e-07 -2.6658920733824463e-09 -1.487123805917181e-07 9.244904300649401e-08 -4.445474727025179e-07 -3.456992184537883e-07 5.192917420018744e-07 2.729151869063414e-07 1.6517493764204853e-06 -1.2262646825191334e-06 -1.1670123711042519e-06
PC4 -8.57079795176728e-08 -1.3209536612929171e-07 1.7353216135975765e-06 3.136337845444798e-07 9.347954042613843e-06 2.5345485194352805e-06 -8.167811179253577e-07 2.1299349044651237e-07 -1.265204339077605e-06 5.382249577688757e-07 -3.0105362393391737e-09 4.639200655063725e-07 -8.93452090664586e-07 -1.9191146877538638e-07 -8.539974840865263e-08 -9.913293126867155e-08 -9.101162911935819e-08 1.5928921099257853e-08 -3.6048889696995753e-07 7.714943593071903e-09 -1.0588093688487993e-07 1.6132156219747642e-08 4.0058001094495425e-06 8.897908794676311e-06
PC5 -1.9069980441392471e-06 -9.232157939853136e-08 -1.1041365669097306e-06 1.3939971366854308e-06 2.534548519435281e-06 1.9070303052525178e-05 1.1542168296496123e-07 2.6937765205640357e-06 -9.51275773032116e-07 -1.0077078813959998e-06 -2.870923791002223e-07 -1.1120806669011608e-06 -4.536385208994961e-08 -1.6042585637041418e-06 1.742401149046966e-07 -2.433545299299623e-08 -2.005900439948122e-07 9.779082379911335e-07 -3.0164098277397075e-07 8.57378354032982e-07 1.9128406486050194e-07 -2.462949250590754e-06 4.142447520570286e-06 4.720027858537471e-06
PC6 2.5580708010581776e-06 -2.124586712035647e-08 -4.084614784220684e-07 -1.3186486375847796e-08 -8.167811179253586e-07 1.1542168296496064e-07 1.9331474988080767e-05 3.1994322181851364e-07 -1.1360590030544225e-07 2.302302519632267e-07 1.1741677362416586e-07 7.858599970244587e-09 6.570619825201038e-08 -5.195549514720558e-07 2.899583053307785e-07 3.0112740756783714e-07 -9.767315951534174e-07 6.690446301075813e-07 -3.7782150108785026e-07 -5.167182472524073e-07 -3.0308013882409673e-07 3.2591211294929924e-06 -9.183607887968275e-06 -6.027024384718592e-07
PC7 2.637296958288797e-06 1.3272024951038527e-08 6.594803666665637e-07 8.075862474265667e-07 2.129934904465125e-07 2.6937765205640357e-06 3.1994322181851385e-07 1.5567334395506482e-05 3.238829009180197e-07 -4.2683080643488056e-07 -1.9215649543920057e-07 1.6005188841967379e-06 5.476011521170337e-07 6.470913253340656e-07 -1.0949168207934254e-07 -4.763581025936842e-07 -5.385369515379143e-07 1.211324724750821e-07 4.316767344642963e-07 -4.166782371969911e-07 -2.8257941656589025e-07 -1.870795884444945e-06 3.7421238402022717e-06 4.785446348932756e-06
PC8 -1.6522890109853718e-07 5.048222324921501e-07 -3.7166708603289803e-07 1.0608789306290575e-07 -1.2652043390776053e-06 -9.51275773032116e-07 -1.1360590030544233e-07 3.238829009180199e-07 1.6563327887887564e-05 3.101482296654153e-09 1.1851680554416908e-06 -7.915510812671057e-07 3.5543328883165873e-07 2.4377023242612196e-07 -2.34072872628662e-07 -2.9045596476733924e-08 8.131155304284282e-10 -1.501314385320349e-07 -1.2516134132145698e-06 -3.359317834129971e-08 6.452387962691623e-07 -1.0947863698549382e-06 3.342365976374686e-07 1.747809961916388e-06
PC9 1.120100513813616e-06 8.037571951720667e-08 -3.510953269963656e-08 -1.0682995757967828e-06 5.382249577688758e-07 -1.0077078813960002e-06 2.3023025196322692e-07 -4.2683080643488083e-07 3.1014822966542127e-09 1.4793807981105603e-05 -7.341724210085466e-07 6.085442502124052e-08 -2.83637810444231e-07 -2.661258226184703e-07 -3.320902825442166e-08 -5.7198725173248847e-08 6.205148006032148e-07 2.4772825174249057e-07 6.175352334193745e-08 -3.7785115864807934e-07 -3.5389784551532116e-07 3.891419350922415e-07 5.779655922623704e-07 6.873806211526115e-06
PC10 -1.4124168619611744e-07 2.0134349986338393e-07 1.0165591739395139e-06 1.1334900503128497e-07 -3.0105362393392093e-09 -2.870923791002224e-07 1.174167736241661e-07 -1.9215649543920023e-07 1.1851680554416914e-06 -7.341724210085466e-07 1.4198404600108835e-05 -7.017173376827694e-07 1.2820969014562995e-06 -3.7220509570577476e-07 -8.211062301850651e-07 -2.4853935532636875e-07 -7.138489844212171e-07 5.810003058326472e-09 5.494698989803093e-07 7.035428469650325e-07 6.071443621835049e-07 4.833222110342697e-06 8.592884325825041e-07 -1.7955475909309907e-06
PC11 3.0818139295820886e-06 -8.175393975131822e-08 2.0955529847695874e-07 -6.869208152204687e-08 4.6392006550637293e-07 -1.112080666901161e-06 7.858599970244314e-09 1.6005188841967383e-06 -7.915510812671057e-07 6.085442502124057e-08 -7.017173376827694e-07 1.3334475047134601e-05 -2.722385451378343e-07 -4.827680583624765e-08 -6.925185254794176e-07 3.4823539568458036e-07 -4.627335875528918e-08 1.2488127086614727e-07 -7.08870069603671e-08 -1.3946576019517875e-07 3.751974103164271e-07 2.263463393391966e-06 4.222243616643821e-06 -5.770723886577114e-07
PC12 -2.223471076653341e-06 7.401055070534199e-07 2.5229037465174314e-08 2.4784837068511074e-07 -8.934520906645857e-07 -4.536385208994955e-08 6.57061982520102e-08 5.47601152117034e-07 3.5543328883165836e-07 -2.836378104442312e-07 1.2820969014562986e-06 -2.72238545137834e-07 1.331058102015075e-05 5.69237249406755e-07 -3.092846609306708e-07 -6.897133615617246e-08 2.1399890195098665e-07 9.448477710505099e-08 4.3216769572379096e-07 -3.6155299663907383e-07 4.698156399952662e-07 2.2816857039904907e-06 6.793508985665126e-06 -6.277676620472856e-07
PC13 1.2253585122644088e-06 1.7383818807157158e-07 -5.548799044604274e-07 -9.536587093596124e-07 -1.9191146877538657e-07 -1.6042585637041431e-06 -5.195549514720563e-07 6.470913253340651e-07 2.4377023242612175e-07 -2.661258226184702e-07 -3.7220509570577487e-07 -4.8276805836247885e-08 5.692372494067551e-07 1.2632102911769262e-05 2.440222449524597e-07 9.756084334681268e-07 -3.1397427497447873e-07 1.1102936433686382e-07 -6.137497481568811e-07 -2.742047725704202e-07 3.217463321385507e-07 6.546572042975843e-07 -5.4131777578403064e-06 4.46474337695533e-06
