(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband paternal maternal
(Intercept) 0.00187323432538802 2.79295180857226 -0.0471112467569312 0.0467209153457048 -5.50259714815688 2.71074457663629 -5.18064881756933e-05 -4.60422802850011e-06 -0.000113786272629375 -5.31011720128634e-05 2.34395731445694e-05 2.13147423159716e-05 -3.40038738061186e-05 1.44475274811885e-05 -1.55561085906263e-06 -1.65439103338848e-05 -1.61041904318105e-05 -2.87665400330699e-07 3.06276163980061e-05 3.49148789385524e-05 2.53169930582484e-05 -3.37639859450492e-06 2.22225709110862e-05 -1.4918547393146e-05 -3.15692142837586e-06 1.61618673080536e-05 -2.58837226410868e-06 -1.75886971354918e-05 -7.38258104832184e-05
covarSEX 2.79295180857226 302431.581677365 3728.28447722234 -3724.16779717796 -603890.60724524 301505.891639149 0.27190143536334 0.103690414237805 -0.410263838997643 0.0606338089009707 -0.245801790048207 0.107841544167699 -0.0531329025589765 -0.0359473265838463 -0.11863301670479 0.279285015207478 -0.0895067247783324 0.0429845825007145 -0.0608223057321488 -0.47819053859752 -0.24152001808759 -0.243143369962753 0.211594105401053 -0.191279775492033 0.171323280596131 0.263543887734418 -0.12424758567302 0.539642081935332 0.236965220463328
covarYOB -0.0471112467569312 3728.28447722234 125.494205303003 -125.356301431683 -7454.16056679005 3726.43398514275 -0.000702840829414048 -0.0053895503843211 -0.0052574114938441 -0.00536107986243305 -0.000671812999647703 0.00892520934059473 3.50899506779062e-05 0.00506314196207011 -0.00117655410226868 0.00490941873815827 -0.000870141537320441 0.00281038372860531 -0.000894187404824538 -0.000879926091535363 -0.0126426822033956 -0.0147742357257667 0.00748000959954121 0.00559693696448505 0.0039313298278517 -0.00311363411727461 0.00963406568784499 -0.0102941301692384 -0.0104863397095663
covarYOBsq 0.0467209153457048 -3724.16779717796 -125.356301431683 125.22105640172 7446.07747016505 -3722.46670829514 0.000677935697889643 0.00543663595762077 0.00540812473161965 0.00542118872751256 0.000646723524431038 -0.00897036802411171 1.1243408995191e-05 -0.00507291330002768 0.00122613655722823 -0.00487112600383357 0.000894479421605294 -0.00281910777485269 0.000888965342186107 0.000799997380454935 0.0126207766540173 0.0147804942745093 -0.0075214744077938 -0.00559194174944596 -0.00395638663226038 0.00311991393324137 -0.00962199314933153 0.0103681508762866 0.0104830424988699
covarSEX_YOB -5.50259714815688 -603890.60724524 -7454.16056679005 7446.07747016505 1205865.19636439 -602068.07628724 -0.544947102705876 -0.206561697604715 0.824070126777097 -0.120176906206995 0.493375165696004 -0.21840939748387 0.108040870215648 0.0706187099666931 0.239785936747605 -0.556571597567482 0.177494711385818 -0.0830939836673453 0.123267756495894 0.954007856848986 0.484253329508211 0.485540537072775 -0.422999545865961 0.381719080036502 -0.345991808580204 -0.527398236997146 0.243024502370708 -1.0746317814785 -0.472332014048892
covarSEX_YOBsq 2.71074457663629 301505.891639149 3726.43398514275 -3722.46670829514 -602068.07628724 300608.814533249 0.272971611012224 0.102884169512386 -0.413897957060826 0.0595410795896442 -0.24759294824732 0.110604810098367 -0.0549479660398376 -0.0346639037102704 -0.121193105810803 0.277318388207611 -0.0879939623658034 0.0401348100213943 -0.0624223845426597 -0.475876030599999 -0.242721845651385 -0.242412185723582 0.211470752150627 -0.190441210542324 0.174671436885051 0.263874927005329 -0.1188679348175 0.535060839797288 0.235409517958349
covarPC1 -5.18064881756933e-05 0.27190143536334 -0.000702840829414048 0.000677935697889643 -0.544947102705876 0.272971611012224 0.00152474084196539 -0.000247818015436857 0.000166406137249183 -6.22733500797931e-05 -1.91149542686309e-05 4.19328940665911e-07 5.07861025865927e-05 6.1070205682135e-05 -3.67519653504451e-06 3.93568478409269e-05 -2.12851545115407e-05 0.000181466787425134 -1.0615030259103e-05 -7.88389340468914e-05 -0.000155268784305484 -0.000126852310134249 1.13384584331632e-05 5.1372053484846e-05 4.47218646300648e-05 -1.45835922799494e-05 -1.53417317456041e-05 0.000172271054941037 0.000156107242368728
covarPC2 -4.60422802850011e-06 0.103690414237805 -0.0053895503843211 0.00543663595762077 -0.206561697604715 0.102884169512386 -0.000247818015436857 0.00132858614067972 5.17428525287392e-05 0.000122837184592795 -3.51911158285194e-05 -1.83207303151758e-05 1.87352842876396e-06 2.87198862359947e-05 -1.10880637089026e-05 6.4473134374998e-07 1.83510771358053e-05 -3.61997814577663e-05 -3.22378022516141e-06 -3.99629256328322e-05 1.91383688935874e-05 -1.80805504074908e-05 3.60896675600094e-05 -1.36111247776744e-06 7.44386187663392e-06 6.5390488451314e-06 3.47217868647896e-05 1.46342377718845e-07 -2.59445295484565e-06
covarPC3 -0.000113786272629375 -0.410263838997643 -0.0052574114938441 0.00540812473161965 0.824070126777097 -0.413897957060826 0.000166406137249183 5.17428525287392e-05 0.00151311469633549 3.47483631762064e-05 0.000108942047270865 -5.62617856943875e-06 4.12501499791287e-05 -2.47609065513895e-05 -0.000180998308269438 7.42326086851234e-06 9.47125802842092e-05 3.13608165426072e-05 -9.8081008324022e-05 1.87902664346221e-05 8.10974068530146e-06 -6.17695940443687e-06 -5.46221182744997e-05 -6.9091380020952e-05 5.90401827508371e-05 2.26201063747013e-05 4.54129364643404e-05 1.02736035894103e-05 -2.21273503471465e-05
covarPC4 -5.31011720128634e-05 0.0606338089009707 -0.00536107986243305 0.00542118872751256 -0.120176906206995 0.0595410795896442 -6.22733500797931e-05 0.000122837184592795 3.47483631762064e-05 0.00143253519205065 0.000169456866158313 -5.69807110605593e-05 -8.22343043391118e-06 -0.000131325114207748 9.63415161793965e-05 4.77316271460533e-05 7.34315900520268e-05 -8.64475204602929e-05 1.46929041466612e-05 -4.84841940307798e-05 -1.30190716442708e-05 3.25747447715875e-05 5.8626296831964e-06 -4.68693618516613e-05 -2.74625322486311e-05 6.35099511748054e-06 7.34478643948017e-05 2.97193276196194e-05 7.8428292755197e-05
