 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.0002612656761713505 4.64410079831176e-07 -2.19422073912413e-06 -4.7125886295833684e-07 2.9294247654114463e-09 -2.88354414280909e-07 -2.9440920555309904e-07 6.954852072656451e-07 6.172885933969182e-08 8.316927674520691e-07 -4.027302241715776e-08 -3.4676249323520994e-08 2.6306586208537856e-08 1.2251247276489828e-07 1.1874816059139391e-07 -4.752409442229707e-07 -2.284332253072325e-07 2.474939203300153e-07 -1.5770623723819997e-07 6.588499620039062e-07 2.4441965767179924e-07 1.788507029514013e-06
PC1 4.6441007983117584e-07 8.404159694577309e-07 -6.207492642937572e-07 5.2279511052374345e-08 -5.1482996761181655e-08 -4.095033051349606e-08 -8.478098133936874e-09 4.675085667977143e-08 1.018407297202052e-07 -2.3186555866963416e-08 4.7038460012095076e-08 -3.553943095817585e-08 2.294379627447113e-07 -2.2842636970179267e-09 -1.0357945199428839e-07 -1.8257126314432253e-07 -1.5863136844891653e-07 2.4624024515221386e-08 5.3125827083228435e-08 3.128679953990981e-08 1.8194069247609697e-08 1.0975387699686182e-06
PC2 -2.194220739124131e-06 -6.207492642937573e-07 1.771627399636806e-05 2.1029075509019667e-07 6.040116048332287e-07 -2.080457124908597e-07 -5.0566272824675795e-08 1.21888225277339e-08 1.211164886054864e-07 6.419333675698423e-08 -4.918557928854625e-09 7.356859702968927e-08 -1.3463953001501496e-07 4.444296153116536e-08 -1.84091675641191e-07 1.093646727000616e-07 -1.720636974006697e-07 1.4964189978208512e-07 -6.1936477335894945e-09 -6.17523364212352e-09 -1.0244690480502708e-08 1.3218161821774284e-06
PC3 -4.712588629583365e-07 5.2279511052374345e-08 2.1029075509019686e-07 1.7786171753531453e-06 2.193052425321107e-08 2.7283976930223756e-07 2.1250090108060206e-08 5.6907691664426785e-08 -5.767166790060542e-08 -3.274871200002184e-07 3.211521004368236e-08 1.3375464443583914e-07 6.935639200566735e-08 -1.716530121852316e-07 -1.977229927904293e-09 -6.88455350029998e-09 6.209470306333344e-09 -1.0558709309368976e-07 -1.4023787369134676e-07 1.1559634930362814e-07 4.3099374076634076e-08 2.664961222378774e-07
PC4 2.9294247654109624e-09 -5.148299676118169e-08 6.040116048332289e-07 2.1930524253211096e-08 3.105931709523434e-06 4.272557873547099e-07 -2.1312195935387454e-07 -1.493641918386943e-08 -3.482422821464206e-07 2.421194495584001e-07 1.0197566906749425e-07 1.1063002996369595e-07 -2.047448228689494e-07 1.4517129531244265e-08 -9.508626274769527e-08 -3.352122808649777e-08 5.723000237880827e-08 -3.260371955991923e-09 -7.96960754745583e-08 -6.260772185281646e-08 -2.173060533286095e-08 2.2136017879190186e-06
PC5 -2.8835441428090925e-07 -4.0950330513496074e-08 -2.0804571249085953e-07 2.728397693022375e-07 4.272557873547098e-07 5.207290822859848e-06 3.6910450416959984e-08 4.848375557008892e-07 1.3324309687572475e-08 -5.534983407623741e-08 -8.512466748370719e-08 -3.0013092714059667e-07 1.7417908699028084e-07 -2.466860040615928e-07 3.196383607504296e-08 6.338033802325166e-08 -4.790944166274991e-08 2.384219811694472e-07 -1.0647545188160529e-07 8.570961531745896e-08 7.059425668145752e-08 8.691688727981612e-09
PC6 -2.94409205553099e-07 -8.47809813393688e-09 -5.0566272824675696e-08 2.1250090108060262e-08 -2.1312195935387454e-07 3.691045041696003e-08 6.012849658819259e-06 1.0031492600100394e-08 5.169218587992286e-09 7.985772958125338e-08 -3.576013672652825e-09 -1.455476021344476e-07 2.1660087613667338e-08 -1.5421949132733617e-07 -2.67726511920844e-08 -2.1393625488156608e-08 -2.2974399781559887e-08 2.42702906267117e-07 -6.161195920305522e-08 -2.837757257819662e-08 -9.924277042123204e-08 -3.2031220715906167e-07
PC7 6.954852072656452e-07 4.675085667977145e-08 1.2188822527733873e-08 5.6907691664426805e-08 -1.4936419183869376e-08 4.848375557008893e-07 1.0031492600100475e-08 5.012085623243359e-06 2.2566859376182568e-07 -7.976653618308063e-08 -3.948640501115648e-08 3.5456139952066497e-07 6.745040354931405e-08 2.7172936836161276e-07 -2.7714570806351274e-08 -1.6679693874452123e-07 -1.0991142912970363e-07 -3.455512175757338e-08 6.980674943832491e-08 -3.389162567859009e-08 -1.1345917589101396e-07 1.016057261129334e-07
PC8 6.172885933969117e-08 1.0184072972020516e-07 1.2111648860548618e-07 -5.7671667900605424e-08 -3.482422821464203e-07 1.3324309687572688e-08 5.169218587992217e-09 2.2566859376182576e-07 5.053773501606729e-06 9.460222804062355e-09 1.4529613890532576e-07 -2.243158115813665e-07 9.50630037963194e-08 -6.444909943554723e-08 5.739235960180594e-08 -9.480048028732871e-08 4.002636204661803e-08 6.836879487359307e-08 -4.104488423759446e-08 -5.2647886121759186e-08 8.717365506657576e-08 4.711443923361659e-07
PC9 8.3169276745207e-07 -2.3186555866963416e-08 6.419333675698429e-08 -3.274871200002184e-07 2.4211944955840024e-07 -5.534983407623719e-08 7.98577295812534e-08 -7.976653618308057e-08 9.460222804062398e-09 4.768667736897803e-06 -3.590269273942774e-08 -1.4177615320312992e-07 -4.174672618646044e-08 -1.3190674191293542e-07 -5.5511318662918804e-08 3.1949871790611884e-08 1.130767697803394e-07 1.303417837893351e-07 -1.61563995730238e-07 -7.760810640040749e-08 -8.560984123644134e-08 7.085872924249281e-07
