 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.000315929149997411 3.1093543556776567e-07 -1.7754574485037457e-06 -3.505858810775331e-07 2.3684737211278016e-07 -2.899825836822529e-07 -6.248862558481455e-07 7.33617038769223e-07 -2.7529390122048914e-08 7.05430655854545e-07 -2.769822136024064e-07 -6.676018807934408e-07 1.1411142052528733e-07 1.1594742742662559e-07 1.5801744533405884e-07 -4.0260297325537387e-07 -6.055115211179086e-08 2.632722308685346e-07 7.131755852815259e-09 4.938278056442753e-07 4.5779453049108524e-07 1.7581646320988724e-06
PC1 3.109354355677653e-07 9.8492819555345e-07 -5.539445652673221e-07 6.348851231030076e-08 -4.4755442638022235e-08 -4.391453300931482e-08 -1.3002162035553296e-08 4.378690147231143e-08 9.422132041072507e-08 -2.7387945380507015e-08 3.0218549062356646e-08 -3.7669182091141946e-08 1.9287993274839083e-07 6.163527389641516e-09 -8.737259316157899e-08 -1.4892090530613747e-07 -1.21634968910054e-07 1.6201261099881468e-08 4.4874038479184194e-08 2.6230709119673303e-08 2.2078092385271332e-08 8.932752856328282e-07
PC2 -1.7754574485037483e-06 -5.53944565267322e-07 1.5321653953965528e-05 1.5985192099520434e-07 4.657577476651873e-07 -2.455585550874704e-07 -5.2116894230980824e-08 5.904116586412766e-08 9.058165812084062e-08 1.4663127929314176e-07 9.172852142610144e-09 9.56325328403712e-08 -3.803634640004026e-08 1.6524394787613715e-08 -1.7002323386273248e-07 8.034816678472371e-08 -1.247652653991844e-07 1.3050082981669924e-07 -2.0057111664337438e-08 3.5297572752775596e-08 2.152732909596731e-08 1.0191671215852335e-06
PC3 -3.5058588107753306e-07 6.348851231030074e-08 1.5985192099520442e-07 2.0266675308582495e-06 8.941089721635001e-09 2.1984448996761552e-07 4.876763745013456e-09 4.824269148863688e-08 -6.299644900138759e-08 -2.639898935979427e-07 3.328690986180838e-08 1.006152033386886e-07 6.736055034009588e-08 -1.266029683879172e-07 8.61227512970672e-09 -2.610744110664525e-08 -5.095657091059544e-10 -7.701508016535022e-08 -1.1209708333471851e-07 8.088974681495835e-08 2.787158149521228e-08 2.3349427542129026e-07
PC4 2.3684737211277985e-07 -4.4755442638022275e-08 4.6575774766518746e-07 8.941089721635019e-09 3.260254704079887e-06 3.2775162603425695e-07 -1.874060967494538e-07 -2.7133589250122746e-08 -2.541410063677138e-07 2.1211432059941124e-07 9.354506556871929e-08 7.608763740714504e-08 -1.8218638645788397e-07 5.4815920416164407e-08 -4.449966966862847e-08 -5.638162318335972e-09 2.4738145320333788e-08 -2.1087909810357202e-08 -3.297626298892104e-08 -6.119523340820104e-08 -2.9019039320518573e-08 1.9648422960040623e-06
PC5 -2.899825836822536e-07 -4.391453300931488e-08 -2.455585550874701e-07 2.1984448996761539e-07 3.277516260342569e-07 4.822297804844605e-06 2.1101188723874825e-08 3.554273430443215e-07 8.903290714851134e-08 -4.627471085875939e-08 -3.797578818084366e-08 -2.286706412736284e-07 1.4490157710594885e-07 -1.5996070489626867e-07 4.076207201929904e-08 3.915182206810304e-08 -3.8032529856345564e-08 1.6381913627740394e-07 -8.195259359989139e-08 5.7814943780683894e-08 7.00869517283158e-08 -2.22187731190499e-07
PC6 -6.248862558481459e-07 -1.300216203555332e-08 -5.211689423098083e-08 4.8767637450134355e-09 -1.874060967494536e-07 2.110118872387478e-08 5.287151241731665e-06 -1.958413810651152e-08 1.4023539881792958e-08 1.7035167489577444e-08 1.2799510142382726e-08 -1.2397008914512803e-07 1.7292981360446482e-08 -1.1285194405340269e-07 -2.3160654037351625e-08 -6.9995414469936626e-09 -1.9821993468304527e-08 2.1304081405827899e-07 -5.650646330964401e-08 -1.1111662120070716e-08 -9.503956092979537e-08 -2.0964700065301608e-08
PC7 7.336170387692223e-07 4.3786901472311446e-08 5.904116586412757e-08 4.8242691488636864e-08 -2.713358925012274e-08 3.5542734304432137e-07 -1.9584138106511484e-08 4.472002617454462e-06 1.583078954069877e-07 -7.385048867286084e-08 -3.0165179068096234e-08 2.463227672714111e-07 6.41860092508456e-08 1.9048316717646467e-07 1.1479237496716747e-08 -1.22416609835655e-07 -5.5002827140719464e-08 -1.4054742315838642e-08 4.5546660184335275e-08 -2.4468987282369277e-08 -8.153985714308426e-08 -1.3853041203970755e-07
PC8 -2.752939012204856e-08 9.422132041072509e-08 9.058165812084074e-08 -6.299644900138756e-08 -2.541410063677137e-07 8.90329071485114e-08 1.4023539881793006e-08 1.5830789540698772e-07 4.467511405834273e-06 2.0045062710118734e-09 5.757997826044958e-08 -1.7391419212990776e-07 1.1339562149399044e-07 -6.233625743851184e-08 4.1608214253978495e-08 -5.601477550933801e-08 3.299966614818385e-08 3.813457315632676e-08 -2.983861020883128e-08 -5.8189336510894963e-08 6.823272243155471e-08 2.820496095757397e-07
PC9 7.05430655854545e-07 -2.7387945380507015e-08 1.466312792931417e-07 -2.639898935979427e-07 2.1211432059941135e-07 -4.627471085875952e-08 1.7035167489577497e-08 -7.385048867286083e-08 2.0045062710118883e-09 4.218611101958844e-06 -3.038834507647195e-08 -9.623993279447811e-08 -1.9741715124922528e-08 -8.78646139604589e-08 -2.214322178306906e-08 5.30183608374479e-08 1.1047169682804602e-07 1.1104032154499599e-07 -1.734835826517845e-07 -6.59080919600239e-08 -5.444558547819836e-08 4.867964235559356e-07
