 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.0006737302977686362 5.12677720710335e-07 -1.9276074739496284e-06 7.012772706383927e-07 1.5512540056440906e-06 -4.714391757805617e-06 4.584176472282564e-06 2.0773176112290695e-06 7.362365080061785e-07 1.4364790696450462e-06 -4.433969476287317e-07 6.181699480842182e-06 -3.594468929812788e-06 2.856317625794406e-06 -2.6698371628318962e-06 -2.3239022347515102e-06 3.3926185764533587e-07 1.169641128649306e-06 1.5835119355435317e-06 3.964380284560712e-06 -5.806816133496064e-07 1.4003939402684125e-05 0.0001428750980870205 -0.00017566899890518638 -4.2197248018100946e-05
PC1 5.126777207103347e-07 2.452658582223244e-06 -2.1285720121756026e-06 -1.2239572063216882e-07 -2.175809444088499e-07 -3.082842046361142e-07 -2.41835929150974e-08 -2.0667190499446754e-07 -6.249215779147372e-09 3.350366167650692e-08 7.184257904581012e-08 -2.0840310309970374e-07 8.686659670752207e-07 3.268488941376041e-08 -5.040818129852698e-07 -7.818984066701011e-07 -7.620195538869617e-07 1.6631016478842483e-07 -1.6063756725371937e-08 1.9293513490274835e-07 -7.105120286253882e-08 2.661147379065738e-06 2.426261715661171e-06 2.9343884677328237e-06 1.9120358542804e-07
PC2 -1.9276074739496322e-06 -2.1285720121756017e-06 5.876726159687516e-05 1.1881417995793617e-06 2.259482764601975e-06 -6.6342790433576e-07 1.1283029592345518e-07 -2.2209165413397948e-07 1.0597536768225572e-06 -2.4388788187465007e-07 5.780374674412663e-07 4.895307551167072e-07 -7.846845885340398e-07 -1.6978057442503972e-07 1.0074961862032712e-06 -2.60626508442494e-07 -1.3708344000752416e-06 1.1365322209493995e-06 -1.9987080465866786e-07 -4.331015656013417e-07 -5.402112145752059e-07 6.464492587961107e-06 4.069689664382213e-06 8.032950569353237e-06 -1.8494917146056142e-05
PC3 7.012772706383928e-07 -1.223957206321688e-07 1.188141799579362e-06 5.083845776566002e-06 9.384028683975605e-08 1.5129512088414652e-06 4.1276984411296383e-08 7.319692658925452e-07 -1.8430423891344147e-07 -1.0146695008415752e-06 2.0195792338273522e-07 4.242341607771096e-07 1.0492329473831656e-07 -8.26076717884152e-07 -4.28949879445068e-09 -4.470421808333727e-07 1.1325541123612114e-07 -5.558263585961287e-07 -3.046469224451214e-07 4.1811912997364966e-07 2.2468205642449e-07 2.0207855867252103e-06 4.204330083586904e-06 2.053713399544151e-06 -1.0852821385306485e-05
PC4 1.5512540056440915e-06 -2.1758094440884965e-07 2.2594827646019756e-06 9.384028683975601e-08 8.905978017613324e-06 2.2463917938113745e-06 -1.9003106544078087e-07 3.9605302973014884e-07 -1.2305248088655312e-06 8.937737415516526e-07 5.067168217763311e-08 6.127671644244341e-07 -1.008887829335025e-06 -1.7557166841056486e-07 -1.2192814791832941e-07 3.041885538966373e-07 3.836082777471019e-07 -6.670129209403343e-08 -2.255071712951866e-07 -2.3469783462828355e-07 -6.164201995482293e-08 6.285910420938841e-06 -5.420807914254108e-06 9.045501705476624e-06 2.1292895407861286e-06
PC5 -4.714391757805615e-06 -3.082842046361138e-07 -6.634279043357606e-07 1.5129512088414654e-06 2.2463917938113745e-06 1.9620623856607397e-05 9.382144472524002e-07 2.6292461858863902e-06 -7.515631925977931e-07 -8.893121679385136e-07 -6.389902449832951e-08 -1.253424750208018e-06 7.452912357438955e-07 -1.499300407592964e-06 6.803755503678377e-07 4.395090602292614e-08 -4.4303968371689845e-07 8.807893287673159e-07 -4.5157669315996423e-07 -1.834356214546294e-08 -2.789928191459431e-08 7.180367425913124e-07 5.106622543621559e-06 -5.645919335966962e-06 2.6748780548356025e-06
PC6 4.584176472282569e-06 -2.4183592915097248e-08 1.1283029592345484e-07 4.1276984411296476e-08 -1.900310654407808e-07 9.382144472523994e-07 1.8687476095663926e-05 5.0074422773493346e-08 -4.3947248524134496e-07 8.062622990390999e-07 -2.3450788219412052e-07 -2.974850174214962e-07 -2.6369021502592687e-07 -8.221572426742189e-07 1.341683613898487e-07 -1.8739867516346585e-07 -5.246773972065777e-07 1.2814162958671678e-06 -5.278791876741559e-07 -5.085318332199643e-07 -3.9415999098297326e-07 2.195352080538565e-06 -7.309881861555045e-06 -7.131463790061195e-06 6.797305796785805e-06
PC7 2.07731761122907e-06 -2.066719049944674e-07 -2.2209165413397855e-07 7.319692658925453e-07 3.9605302973014857e-07 2.6292461858863894e-06 5.007442277349291e-08 1.546660646277218e-05 5.087159132247192e-07 -7.997946666813989e-07 -4.786441134987768e-08 1.4271380138193752e-06 3.819695618975354e-07 1.2750843235260251e-06 -4.3598407910952765e-07 -8.019682535126879e-08 -5.428388072811341e-07 -2.534907750481681e-07 3.3849997464417277e-07 -1.9848726159261566e-07 -4.369778227666598e-07 -1.8875278478118057e-06 4.107522040246657e-06 -1.9503916361400808e-06 -3.6473196726575326e-06
PC8 7.36236508006178e-07 -6.24921577914733e-09 1.059753676822557e-06 -1.843042389134413e-07 -1.2305248088655318e-06 -7.515631925977934e-07 -4.3947248524134517e-07 5.087159132247188e-07 1.6857220649951626e-05 3.631450060813012e-07 5.823430963987911e-07 -8.581520059367817e-07 2.4782685005580786e-08 4.205523480000336e-07 -1.6601090922542348e-07 -1.074802680538842e-07 -8.564116696856915e-08 -6.203920091961224e-08 -1.115865923846406e-06 -6.558329575439185e-08 4.021229477077103e-07 6.983521264267851e-08 1.0939112345848283e-07 2.739542683243144e-06 4.35858697091579e-07
PC9 1.4364790696450468e-06 3.350366167650704e-08 -2.43887881874651e-07 -1.0146695008415758e-06 8.937737415516527e-07 -8.89312167938514e-07 8.062622990391005e-07 -7.997946666813989e-07 3.631450060813009e-07 1.3898122081536794e-05 -1.2792188982820881e-06 -6.789188654075632e-08 -4.206859980798447e-07 -5.119026308617619e-07 -3.2274405325908586e-07 -1.10006320521274e-07 1.2788524160422763e-07 5.283809039392887e-07 -5.489077178930382e-07 -4.888237651398166e-07 -5.264693425846537e-07 5.785056985190241e-06 -4.1562820697495865e-06 -5.0270613536532305e-06 6.181384617489287e-06
