 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gmp gpm gmm
intercept 0.0009049670738632937 4.932198213133534e-07 -6.9716782181451874e-06 3.4721801888851884e-07 2.820737067267797e-06 -2.3201237712935325e-06 8.876390205206897e-06 -1.8886842720336547e-06 1.7883186826327284e-06 1.7262299391458474e-06 9.470499162896047e-07 1.1652585823466934e-05 -4.732022978752858e-06 2.0926894188725717e-06 -1.1322781120150731e-06 -1.5661946985846528e-06 7.85191309582552e-07 -1.217342736582876e-06 1.2226432096445875e-06 4.249288833555051e-06 -3.724387211034813e-07 2.752201122165852e-05 0.0001899427836646787 7.326394405359595e-05 -0.0002679018082490421 -2.4350259942188816e-05 -5.5340732296034015e-05 -8.755204295866007e-05
PC1 4.932198213133557e-07 3.4469632941677284e-06 -3.0220306038220774e-06 -1.407212710968816e-07 -2.0215228796938268e-07 -5.637297832321163e-07 2.5235015147934666e-07 1.0277347998665488e-08 1.9421433340164252e-07 1.0230534434779909e-07 1.805367571875714e-07 -1.734434035845404e-07 1.227673882154504e-06 -1.6640876128893697e-07 -6.197461824772775e-07 -1.228618050545973e-06 -1.0893445689441095e-06 2.7462719919043076e-07 -2.162818181636916e-07 2.4169304772526204e-07 -2.704699948509726e-07 -8.846324423785653e-07 2.590247568127166e-06 2.3415242585874437e-06 7.4788044724370415e-06 2.39382994627887e-06 2.8891204530669948e-06 7.349012074995712e-06
PC2 -6.971678218145205e-06 -3.0220306038220757e-06 8.314080776723357e-05 2.1215220374972318e-06 2.3410291657268923e-06 -8.93406764748345e-07 1.828033575924253e-07 -1.206429542213441e-07 2.3238758019806813e-06 -6.679643640420251e-07 6.717267068008675e-07 -9.938787305233891e-07 -1.5415731236645884e-06 1.3229323824584606e-06 -2.823116837075483e-07 -1.5634923273825037e-07 -1.538627422134239e-06 1.5491847328559546e-06 6.789033289474238e-07 -7.924001297142797e-07 -9.545499664539899e-07 -3.4920473087820014e-06 1.2153990507439627e-05 5.84184879919393e-06 1.2560786870354565e-05 -3.0045812295111072e-05 -4.2533981240525256e-06 4.547448436966757e-06
PC3 3.472180188885165e-07 -1.407212710968814e-07 2.1215220374972318e-06 7.1229972704999805e-06 3.252042048614624e-08 2.056011415104604e-06 -1.5096807590895798e-09 1.0619256557675206e-06 4.293949298165454e-08 -1.5844107555892662e-06 2.3836360755803953e-07 3.019937884843832e-07 1.499040069370199e-07 -1.4274656483352764e-06 -4.177984991856903e-07 -4.797868297086567e-07 3.9538561241931044e-07 -9.407352464489642e-07 -7.60642786192836e-07 6.385446978361382e-07 4.2013665521279526e-07 2.361519826041789e-06 1.111794640142573e-05 4.996490928686347e-06 -7.033404426957522e-07 -2.048273413761529e-05 -1.0512193220003322e-05 -4.23356172446572e-06
PC4 2.8207370672677957e-06 -2.0215228796938241e-07 2.34102916572689e-06 3.252042048614596e-08 1.171699245462514e-05 2.978860463920376e-06 -3.776243135315441e-07 6.22981923559073e-07 -2.118921163572864e-06 1.109975488013779e-06 3.6816689310151626e-07 9.993744478285071e-07 -1.5175296209320166e-06 -5.758217594860909e-07 -3.8502114802698967e-07 3.548270771286719e-07 2.18731505420841e-07 3.4323897350093717e-07 -6.193483018476727e-07 -2.019346080580124e-07 8.339687221067273e-08 4.18776654339185e-06 -6.9863218172179655e-06 6.194324800161269e-07 7.284311448689213e-06 5.330317200298412e-06 2.373541084215819e-05 -9.624094392874672e-06
PC5 -2.32012377129353e-06 -5.637297832321161e-07 -8.934067647483452e-07 2.0560114151046025e-06 2.9788604639203756e-06 2.643982992605566e-05 1.2132988078116724e-06 3.4904992957600087e-06 -1.3471982153918675e-06 -5.610958128211269e-07 -1.8897019780777594e-07 -1.3664354119562904e-06 5.447067401002237e-07 -1.7074392497383844e-06 4.972592528992123e-07 2.863496910323237e-07 -3.472119305134278e-07 1.1060827763153481e-06 -3.704460666775865e-07 2.0023158579066192e-07 4.3944904359695664e-07 -8.50928634746003e-06 9.421076414122443e-06 9.0064551324904e-06 -8.231123312670943e-06 5.556199871968362e-06 1.2760487766983452e-05 -2.9058034334249427e-06
PC6 8.876390205206897e-06 2.523501514793467e-07 1.8280335759242514e-07 -1.5096807590897903e-09 -3.776243135315445e-07 1.2132988078116711e-06 2.472660324123818e-05 -1.4209025358421632e-07 -1.7604870443873888e-08 7.721399466507791e-07 -2.780672774750501e-07 -1.7540534809249753e-07 -3.1806627733038254e-07 -8.680929952819271e-07 3.374221361852837e-07 2.0537861040184208e-07 -2.2388424945600638e-07 8.565210536404107e-07 -6.430148466194336e-07 -7.482802396141026e-07 -5.608098648945837e-07 4.443417219471185e-06 -5.5162032790495925e-06 -1.0472689786907396e-05 -1.188532145903061e-05 5.459666537254992e-06 1.669908075152255e-05 2.8554216524941535e-06
PC7 -1.8886842720336536e-06 1.0277347998665354e-08 -1.2064295422134392e-07 1.0619256557675202e-06 6.229819235590727e-07 3.490499295760008e-06 -1.4209025358421595e-07 2.1035149801649205e-05 1.1018757200546377e-06 -6.996218079527062e-07 4.274796154096482e-07 2.223829216850914e-06 5.782785763257575e-07 1.1155020731082586e-06 -4.9332252690565e-07 -5.199004240164975e-07 -4.13903190997856e-07 1.9454336344660642e-07 5.05225722586513e-07 -1.9710865415900845e-07 -6.970883606517821e-07 -1.0047182131215985e-05 -1.0883865936707034e-07 2.6613639891711e-07 1.065960025764335e-05 -3.137179024537221e-06 1.604363599734642e-05 -4.512042023927947e-06
PC8 1.7883186826327324e-06 1.9421433340164265e-07 2.3238758019806826e-06 4.293949298165464e-08 -2.118921163572863e-06 -1.3471982153918673e-06 -1.7604870443874672e-08 1.1018757200546377e-06 2.2940915319502112e-05 2.46989937445228e-07 7.26419351333916e-07 -1.4883220706450438e-06 2.6123212814369624e-07 -1.7371491824108083e-07 -4.686802650652772e-08 -7.029995231659216e-07 -1.975678888449573e-07 -3.7689819682894727e-07 -1.763881449512188e-06 -2.7928433954380976e-08 2.422323320761097e-07 -4.115720481254766e-07 5.614604036235557e-06 -5.407487872774547e-06 -2.208060430894677e-06 -9.332940988671072e-07 -8.087752620766464e-06 1.9921199254692838e-05
PC9 1.7262299391458478e-06 1.0230534434779899e-07 -6.679643640420248e-07 -1.5844107555892662e-06 1.1099754880137797e-06 -5.610958128211266e-07 7.721399466507791e-07 -6.996218079527076e-07 2.4698993744522736e-07 1.8730928990416686e-05 -1.2191678855224647e-06 3.402772649337898e-07 -9.29393429956027e-07 -2.847027809467716e-08 -1.4010077892105603e-06 5.090934182730766e-07 6.03600509355237e-07 1.4331862462466037e-06 -2.6715729966639683e-07 -1.8987685561681384e-07 -1.0843291151381367e-06 3.165576983385867e-07 -8.135844631764033e-06 1.571251423121567e-05 -9.691730234008242e-06 1.5616966897196807e-05 1.8364917471860836e-05 -2.0976831393718844e-05
