 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0002918895141548637 5.246896885352994e-07 -1.9825751197974882e-06 -5.07298784052018e-07 2.3222731442550952e-07 -2.644547513602426e-07 -4.5513881781598594e-07 8.565676247707446e-07 9.532396261713363e-08 7.951342583616566e-07 -1.3400568712925166e-07 -1.529247727412818e-07 6.140853761720355e-08 3.2809602999561742e-09 1.7371198149093958e-07 -4.831783453801999e-07 -1.2202070627696164e-07 3.4261940465113984e-07 -1.422920238193312e-07 6.013159321032645e-07 3.1699227110298567e-07 3.6068703212490395e-06 -9.130349258937291e-06 3.3873772102110735e-06
PC1 5.246896885352993e-07 9.325507053850364e-07 -6.03337435953176e-07 4.646078074826338e-08 -6.748969406009566e-08 -4.0738014506874027e-08 -8.498676722790101e-09 4.350264835819026e-08 1.002065754758053e-07 -3.096141131519267e-08 3.668307444143246e-08 -3.349851077717344e-08 2.209017111428179e-07 -2.784311737419405e-09 -1.0553205538910425e-07 -1.7427617128063848e-07 -1.5280686004952413e-07 2.647199365117916e-08 4.7832460396750605e-08 3.776074003340813e-08 1.8410787617859796e-08 -1.6319887253718982e-08 -1.326053598334465e-06 -1.1012339796333137e-06
PC2 -1.982575119797488e-06 -6.03337435953176e-07 1.7280234660177293e-05 1.8492624161660835e-07 5.52551694827503e-07 -2.1040539084371236e-07 -3.318945153137319e-08 7.009077702800974e-09 1.2491368708935195e-07 1.0533115940974099e-07 5.304727037940477e-09 5.3568663967413385e-08 -8.028464619795427e-08 6.690146447563833e-08 -2.1946246970806869e-07 1.2445839397100557e-07 -1.4608459867557458e-07 1.3073058726997414e-07 -2.457184359275961e-08 1.5039663295632355e-08 -1.711435909058148e-08 2.9747278671592652e-08 -1.5090686494166875e-06 -2.919533385926399e-07
PC3 -5.072987840520181e-07 4.6460780748263325e-08 1.8492624161660827e-07 1.950367552019926e-06 2.695913351297171e-08 2.714219394267232e-07 3.151263036162641e-08 6.555036560567953e-08 -5.704642844070996e-08 -3.1184356136119403e-07 3.4441597323439874e-08 1.1065762431004213e-07 7.155838806301708e-08 -1.6671430871290253e-07 8.657545247233844e-09 -2.0627923405729718e-08 7.635422199923139e-09 -9.822393995387534e-08 -1.3088155822321426e-07 1.0761499066007564e-07 4.52693925702996e-08 -3.300259134749677e-07 5.129780186563957e-07 2.2913194736079276e-06
PC4 2.32227314425509e-07 -6.74896940600957e-08 5.525516948275032e-07 2.695913351297172e-08 3.298133823920174e-06 3.941725021908944e-07 -2.0353352604730277e-07 -1.0141652027996977e-08 -3.235987258664964e-07 2.1942538139006984e-07 1.0295567061354808e-07 7.754117905199248e-08 -2.1360061657961217e-07 1.3613526546232387e-08 -6.003060805469704e-08 -3.6627388128150896e-08 4.260987414532853e-08 2.0946499617764632e-09 -7.517193454882852e-08 -7.309001253292254e-08 -2.5858791051349235e-08 2.7187993759641285e-07 7.661637553699485e-07 1.6916051770485228e-06
PC5 -2.6445475136024273e-07 -4.073801450687403e-08 -2.1040539084371241e-07 2.714219394267232e-07 3.9417250219089434e-07 5.27867545754446e-06 3.290007694306581e-08 4.431494009569864e-07 1.750415008375555e-08 -6.74252405184348e-08 -8.121141077113123e-08 -2.7560890883909887e-07 1.6085258425661643e-07 -2.2101334460558957e-07 3.640778007555606e-08 5.8661029468397604e-08 -2.937192281426726e-08 2.1488944851220614e-07 -1.0177088053724391e-07 7.98752758932075e-08 6.473106250616513e-08 -5.253234525959097e-07 -5.017732269316507e-07 -5.319491233837519e-07
PC6 -4.551388178159856e-07 -8.498676722790131e-09 -3.3189451531373085e-08 3.151263036162633e-08 -2.035335260473027e-07 3.2900076943065765e-08 5.914184452714918e-06 -1.0593851843532118e-08 5.436498109051346e-09 4.787001554474142e-08 1.012346975274571e-08 -1.4738138746625653e-07 1.0300070960929522e-08 -1.3763919320107757e-07 -2.401431509928947e-08 -4.524636483109042e-09 -1.9020274133266306e-08 2.2582016004685322e-07 -4.497954020330968e-08 -1.905324866030305e-08 -1.0126175794895891e-07 -9.986624336502518e-07 1.0811195754562184e-06 9.738592375679033e-07
PC7 8.565676247707447e-07 4.3502648358190265e-08 7.009077702801024e-09 6.555036560567957e-08 -1.0141652027996951e-08 4.4314940095698655e-07 -1.0593851843532192e-08 4.973031197553403e-06 2.0255374848294125e-07 -9.491875092602369e-08 -3.6452631872595e-08 3.0556161683818524e-07 6.914029335522402e-08 2.365663755570337e-07 -9.23149118702186e-09 -1.4593636686822158e-07 -8.539599769855525e-08 -3.60458922654871e-08 6.621286477585486e-08 -2.3523965847918072e-08 -1.1146736311083498e-07 -1.4373461096112966e-07 -1.726527420781451e-06 2.0108863725141793e-06
PC8 9.532396261713409e-08 1.0020657547580527e-07 1.2491368708935176e-07 -5.704642844070996e-08 -3.2359872586649617e-07 1.7504150083755376e-08 5.436498109051397e-09 2.0255374848294106e-07 4.994006778146626e-06 1.0683705867172914e-08 1.1026834598223376e-07 -2.0154906931878716e-07 1.0928066552448116e-07 -6.30426866264813e-08 3.8648892362131655e-08 -8.673767134507675e-08 4.974148277015061e-08 6.144376391883043e-08 -3.770498335604784e-08 -4.97744785848706e-08 8.570828659514995e-08 1.540383749492057e-07 -1.0679347676803324e-06 5.266494114309612e-07
PC9 7.951342583616557e-07 -3.096141131519266e-08 1.0533115940974104e-07 -3.1184356136119387e-07 2.1942538139006987e-07 -6.742524051843478e-08 4.7870015544741486e-08 -9.491875092602357e-08 1.0683705867172767e-08 4.678565111588787e-06 -2.5284053301907993e-08 -1.309387116790458e-07 -2.3889186161970937e-08 -1.0974144553296968e-07 -3.7549149663035585e-08 4.7921284661300096e-08 1.1246763905450356e-07 1.2480979829544152e-07 -1.644220737748489e-07 -6.798224662269145e-08 -7.916343001528843e-08 -4.1523033342645174e-07 -3.427509323601321e-08 5.411012183325027e-07
PC10 -1.3400568712925198e-07 3.6683074441432467e-08 5.304727037940502e-09 3.4441597323439854e-08 1.0295567061354815e-07 -8.121141077113115e-08 1.0123469752745686e-08 -3.6452631872594946e-08 1.102683459822338e-07 -2.5284053301907967e-08 4.3298657562255425e-06 -1.8320043285911188e-07 1.1121761853221465e-07 -1.7885513586826307e-07 -9.899042364334234e-08 -8.222493159342878e-08 -1.5123042184722176e-07 2.5806171681164707e-08 1.5032723521949834e-07 1.3434894602118072e-07 3.769466251005004e-08 -6.336115154019807e-07 8.085716223010581e-07 1.055065827886704e-06
PC11 -1.5292477274128135e-07 -3.349851077717344e-08 5.356866396741339e-08 1.1065762431004214e-07 7.754117905199253e-08 -2.7560890883909887e-07 -1.4738138746625655e-07 3.055616168381853e-07 -2.0154906931878716e-07 -1.3093871167904584e-07 -1.8320043285911177e-07 4.293599517275223e-06 -7.054434181590458e-08 -4.2063272689138626e-08 -9.53249530919059e-08 8.870822500434027e-08 1.0002725927996246e-08 1.5507049028287584e-07 -2.5946210336036506e-08 8.129530203126769e-08 1.4628015493854685e-07 6.359703799584213e-07 -1.3023391817568777e-06 -1.3790306407574927e-06
