(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband
(Intercept) 0.0018682330262571 2.77178942530734 -0.0476860546114488 0.0472960464318872 -5.46061309310323 2.6899158634362 -4.00547770036269e-05 -3.78062905886179e-06 -0.000111765190890608 -4.55005157926723e-05 2.41695510731074e-05 2.10636213891911e-05 -3.36480318895956e-05 1.6369339409988e-05 9.07984203050447e-07 -1.42515894133266e-05 -1.45159548929301e-05 1.11294683149149e-06 2.98642666474967e-05 3.74936417313421e-05 2.66486675743419e-05 -3.35426282571736e-06 1.9190565986588e-05 -1.62442602017517e-05 -1.46549831815755e-06 1.42302402438242e-05 -7.30399084057196e-06
covarSEX 2.77178942530734 301734.345653468 3736.86071343287 -3732.7550173625 -602502.365758824 300814.787200477 0.207881104056274 0.107107967630213 -0.40727524539783 0.0358471844868263 -0.232291400654012 0.132318536140936 -0.0760247053955612 -0.0592767442284307 -0.131215765475713 0.279569964709922 -0.0926513086819865 0.0341151601418338 -0.040859172252512 -0.480318251672214 -0.272878133277518 -0.288172920905653 0.242433725891102 -0.18389136816603 0.185907108334396 0.26365315435544 0.132097686244543
covarYOB -0.0476860546114488 3736.86071343287 125.665395712035 -125.526676718622 -7471.26433341645 3734.96302309037 0.000633126371619162 -0.00513045161146273 -0.00528259682706401 -0.00482061971855422 -0.000180466871785938 0.00859268273527542 0.000897819906885884 0.00516786794884334 -0.00171802822307958 0.00518683302117613 -0.000236756584656386 0.00243054753030701 -0.000819745452227207 -0.000944003455388152 -0.0134392593831022 -0.0149354432961807 0.00715495646513103 0.00530464813129527 0.00401531700032497 -0.00320203353193379 -0.00511191616334615
covarYOBsq 0.0472960464318872 -3732.7550173625 -125.526676718622 125.390615158453 7463.20318416006 -3731.00670786928 -0.000666891095099397 0.00517867443079793 0.00543187765751844 0.00487605602066856 0.000154225874820058 -0.00863560401251198 -0.000851573953882905 -0.00518045680167252 0.00176698474441083 -0.00514999592947873 0.000256044917191745 -0.00244403088722992 0.000818155722427496 0.000863675831224166 0.0134169305152297 0.0149410647179216 -0.00719378553965224 -0.00529844923687336 -0.00404086568102274 0.00320939812863943 0.00511533367632705
covarSEX_YOB -5.46061309310323 -602502.365758824 -7471.26433341645 7463.20318416006 1203101.10386703 -600692.028555857 -0.416940992634917 -0.213188837050228 0.818271036153843 -0.0704212823623042 0.466304254579479 -0.267266036529851 0.153551780145243 0.117197370130466 0.264880037466902 -0.557061723601715 0.183727573602119 -0.0654450857043525 0.0832740349036933 0.958435736045771 0.546895787108738 0.57538882942613 -0.484601383762079 0.366896119307616 -0.375078868941042 -0.527569620420477 -0.264427796999008
covarSEX_YOBsq 2.6899158634362 300814.787200477 3734.96302309037 -3731.00670786928 -600692.028555857 299923.773475742 0.208985174410446 0.106097539464156 -0.411083675428267 0.0345761378455182 -0.234030526594287 0.134987179196652 -0.0775706639055352 -0.0579137092087842 -0.133707896309008 0.277524914512478 -0.091079279737183 0.0313556728804115 -0.0423925135629142 -0.478175221538789 -0.274012334323326 -0.28723864242226 0.242233805800871 -0.183006612010417 0.189179126466575 0.263938889488678 0.132344208849029
covarPC1 -4.00547770036269e-05 0.207881104056274 0.000633126371619162 -0.000666891095099397 -0.416940992634917 0.208985174410446 0.00148710359284906 -0.00025035663131877 0.000160617112799371 -8.46839803173832e-05 -2.42887583164043e-05 6.55683105429312e-06 4.15440628897326e-05 5.67186593534919e-05 -8.11609961333117e-06 3.4132538248534e-05 -3.41835201363792e-05 0.000176515146452988 -4.15759714547117e-06 -8.07460358717985e-05 -0.000155475290120314 -0.00013102722941989 2.21166995136158e-05 5.56598562405875e-05 4.21500453617695e-05 -9.03567000443011e-06 5.1198135482067e-05
covarPC2 -3.78062905886179e-06 0.107107967630213 -0.00513045161146273 0.00517867443079793 -0.213188837050228 0.106097539464156 -0.00025035663131877 0.00132855118400152 5.11923375200702e-05 0.000119043353119566 -3.52872196290585e-05 -1.75171527759028e-05 7.09180565932502e-07 2.82539618335236e-05 -1.17330623650621e-05 -3.22235754107086e-07 1.693063346975e-05 -3.72526606809445e-05 -1.28591041487922e-06 -4.01651093238481e-05 1.97148238253675e-05 -1.72129855754552e-05 3.79214149788756e-05 -1.71088705859555e-06 8.40515015531934e-06 6.18546911689279e-06 4.3368957044114e-06
covarPC3 -0.000111765190890608 -0.40727524539783 -0.00528259682706401 0.00543187765751844 0.818271036153843 -0.411083675428267 0.000160617112799371 5.11923375200702e-05 0.00150712320356857 3.05868831638946e-05 0.000110468963672458 -2.85371186631271e-06 3.95065307879444e-05 -2.50810430793144e-05 -0.000177705774865176 7.52188042139336e-06 9.13901557547587e-05 3.0364093113936e-05 -9.4259198024947e-05 1.86105513012931e-05 9.70260467508494e-06 -5.84180989374419e-06 -5.28653177868794e-05 -6.91184390204268e-05 5.93004335956693e-05 2.41414827254366e-05 3.3573780024219e-05
covarPC4 -4.55005157926723e-05 0.0358471844868263 -0.00482061971855422 0.00487605602066856 -0.0704212823623042 0.0345761378455182 -8.46839803173832e-05 0.000119043353119566 3.05868831638946e-05 0.00141987690842484 0.000168129814435918 -5.59291423647845e-05 -1.06298010083028e-05 -0.000135079257656028 9.06858914239982e-05 4.42365431620882e-05 6.63543042159747e-05 -8.97240918349331e-05 1.67781457131718e-05 -4.88191377733078e-05 -1.50987310387484e-05 3.34848221625552e-05 1.21479734391403e-05 -4.59332550954807e-05 -3.18613801112947e-05 7.89696140875955e-06 -1.79576759192266e-05
covarPC5 2.41695510731074e-05 -0.232291400654012 -0.000180466871785938 0.000154225874820058 0.466304254579479 -0.234030526594287 -2.42887583164043e-05 -3.52872196290585e-05 0.000110468963672458 0.000168129814435918 0.00145175024243639 1.32992002825107e-05 0.000138142519309111 2.58017178736554e-06 -1.63573447319433e-05 -2.68342409280563e-05 -8.90850113389732e-05 6.06043080530959e-05 -9.07050048890605e-05 7.0507723817155e-06 1.1562471091999e-05 -2.31279350819546e-05 8.24350575241611e-05 -3.09037662284091e-05 1.07035428918288e-05 2.43871977008235e-05 3.33227606021574e-05
covarPC6 2.10636213891911e-05 0.132318536140936 0.00859268273527542 -0.00863560401251198 -0.267266036529851 0.134987179196652 6.55683105429312e-06 -1.75171527759028e-05 -2.85371186631271e-06 -5.59291423647845e-05 1.32992002825107e-05 0.00123240484514321 6.28265989944684e-06 1.17505632717392e-05 3.37199677694182e-05 3.74580074638399e-06 -5.08750256038698e-05 3.25097090281234e-06 -4.96744053262043e-05 2.34035112381274e-06 -1.08296859206464e-05 -4.29693214276559e-06 5.86565700787471e-05 -1.76500979869569e-05 -7.21530602236593e-07 -3.31159531069194e-05 3.28374775663895e-05
covarPC7 -3.36480318895956e-05 -0.0760247053955612 0.000897819906885884 -0.000851573953882905 0.153551780145243 -0.0775706639055352 4.15440628897326e-05 7.09180565932502e-07 3.95065307879444e-05 -1.06298010083028e-05 0.000138142519309111 6.28265989944684e-06 0.00134872999722984 7.68538831570998e-05 -2.5480643048385e-05 -2.40025329378447e-05 0.000109458295629416 1.25609014995867e-05 9.9275634209595e-05 -2.31828243885311e-05 -5.04266388201165e-05 -2.87023064261379e-05 -1.15309277683825e-05 2.09501213756763e-05 -1.1564516972478e-05 -2.33728167254201e-05 -2.90399121814914e-05
