 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gmp gpm gmm
intercept 0.0005429758694015389 1.6525114453779397e-06 -8.036146418140759e-07 3.917131007935693e-07 7.978438151690703e-07 -4.964168002703592e-07 1.98126776109698e-06 -7.086687199361297e-08 1.7805404530857528e-06 1.3882407997644188e-06 2.8413709665185766e-07 4.530236983085156e-06 -2.968493769325562e-06 2.2402126934455604e-06 -1.6996308931704573e-06 -2.5790508478479623e-06 -2.781127775894128e-06 -1.7535679100100794e-06 -6.644145934138682e-07 2.9471910878610055e-06 4.4756367947168636e-07 -1.1793896431823881e-06 5.8438045140876814e-05 3.729996021744732e-05 -9.470187404232322e-05 -3.4979600478244187e-06 -6.214945607319127e-05 3.251512185542319e-05
PC1 1.6525114453779403e-06 1.925296141078189e-06 -1.8686063623408895e-06 -1.77496198272825e-07 -8.832503518160468e-08 -2.723984050571093e-07 4.766235028644366e-08 1.408396173540696e-07 1.206601866742638e-07 -2.7054078942970252e-08 9.448274297414201e-08 -2.0956533758105738e-08 6.095087475835486e-07 -1.254896037506179e-07 -3.7016399898717426e-07 -6.956623597891445e-07 -6.450179128114938e-07 2.2256525935390097e-07 -6.024622697169768e-08 2.046872951548147e-07 -8.323006284621524e-08 -2.2294167960389665e-07 -1.5894677369076803e-06 2.9096594167371093e-06 3.657826142993684e-07 4.195589046389999e-06 2.8090987479407127e-07 -2.118971823427497e-08
PC2 -8.03614641814076e-07 -1.868606362340889e-06 4.788291612107688e-05 1.091211394402436e-06 1.4162495193265376e-06 -5.649935887858592e-07 7.744090217112121e-08 -4.5602996774188103e-07 1.2328357756023727e-06 -4.0672359729815936e-07 3.3750673866614237e-07 -6.509914606047551e-07 -9.888477155257505e-07 6.223549365757648e-07 -1.0745935988800525e-06 3.407639318710284e-07 5.634175342011919e-10 7.942613328460958e-07 2.329504713192831e-07 -5.959449801439179e-07 -4.1514584493099977e-07 -6.666399161358342e-06 1.0745746549022347e-05 -4.935438020839084e-07 2.232485857739704e-06 -1.0064231308257987e-05 -6.416660320280851e-06 6.588934400337473e-06
PC3 3.91713100793571e-07 -1.7749619827282504e-07 1.0912113944024364e-06 3.8060723546885626e-06 1.4107737202482652e-07 1.0591611733272783e-06 7.77497862088204e-08 3.74865871163332e-07 -7.062368256937389e-08 -1.009982515138998e-06 1.3279080031664167e-07 3.0634571511161375e-07 5.557962716023923e-08 -6.158212254432836e-07 3.034379291558881e-08 -4.44538885377262e-08 1.902754139262811e-07 -3.998145013778874e-07 -5.241169167694528e-07 4.195510154488225e-07 8.964620517397475e-08 -1.4822785821352347e-06 1.214461873928218e-07 7.806507534382272e-07 4.041893543584482e-06 -3.1292985727072946e-07 -6.051329293589075e-06 6.963432912822991e-06
PC4 7.978438151690704e-07 -8.832503518160475e-08 1.4162495193265378e-06 1.4107737202482652e-07 7.331805677488436e-06 1.7485798763328915e-06 -3.4614615295207586e-07 1.3076649600545028e-07 -1.25066435792298e-06 4.211410802907925e-07 2.484517012022865e-07 2.1765239397154384e-07 -9.10943947712537e-07 -5.037419398672565e-07 -9.999814601404935e-08 -1.8738011831789579e-07 1.2190281017721737e-07 9.58059801992561e-08 -5.006850077794751e-07 -1.822552497046929e-07 1.5697762731392504e-07 -6.950003724384721e-09 -5.907096464292567e-06 2.2742612913961673e-06 -2.77922771872057e-06 1.1307194496571745e-05 -7.940633115931578e-06 5.4511305228306745e-08
PC5 -4.964168002703589e-07 -2.7239840505710936e-07 -5.649935887858585e-07 1.0591611733272783e-06 1.7485798763328923e-06 1.5119005228516784e-05 3.6742985386872017e-07 1.2214821300198462e-06 -8.862537553333372e-07 -4.1532231686214865e-07 -3.356181757046269e-07 -1.1597758246450082e-06 4.4538072257858317e-07 -1.1777118670034473e-06 6.894715250385546e-07 -6.23903342179013e-08 -1.8392830548914016e-07 7.198125200857817e-07 -3.545996886647617e-07 3.606912634606117e-07 1.5823161303061048e-07 1.256964176072068e-06 1.5554411614486426e-07 4.738775614695302e-06 -1.6314032060225863e-06 6.329545021604275e-06 2.065063763157552e-07 -5.984440611061275e-06
PC6 1.9812677610969834e-06 4.766235028644361e-08 7.744090217112143e-08 7.774978620882044e-08 -3.4614615295207623e-07 3.674298538687199e-07 1.465003941532754e-05 -1.3577208973466353e-07 3.430809081372425e-07 1.6024042081973874e-07 1.7588709718715747e-08 -4.1885155523479324e-07 1.251635654688235e-07 -3.310257398573976e-07 -3.0957942473826955e-07 8.350479521112254e-09 -7.425878679182881e-08 2.549900614869301e-07 -4.3692331574380296e-07 -2.0369917738487616e-07 -5.380269921321224e-07 1.5509952998910487e-08 1.068301769196751e-06 -6.305901789547038e-06 8.378685741836523e-06 -8.156804700613213e-06 -2.5129708226922175e-06 8.303502780405615e-06
PC7 -7.086687199361388e-08 1.4083961735406932e-07 -4.5602996774188114e-07 3.748658711633322e-07 1.3076649600545017e-07 1.2214821300198465e-06 -1.3577208973466332e-07 1.227450470131135e-05 8.241718168527743e-07 -1.7136841710028963e-07 -6.26163227300712e-08 1.3440491361543295e-06 1.6929570774918543e-07 4.588571251602671e-07 -2.347981450705073e-07 -4.262122802521358e-07 -3.951130275701737e-07 -1.9523033383018287e-07 1.666510424911926e-07 4.271625702738498e-08 -2.414944259442574e-07 -8.918904986440509e-07 2.11268510526846e-06 3.6096807266214538e-06 -1.503702263807876e-06 -1.9996331699273006e-06 1.1975614828736716e-05 -1.5601972800623847e-05
PC8 1.78054045308575e-06 1.2066018667426396e-07 1.2328357756023717e-06 -7.062368256937373e-08 -1.25066435792298e-06 -8.862537553333365e-07 3.430809081372422e-07 8.241718168527742e-07 1.3228654542537032e-05 3.5362622222869935e-07 1.654445948301504e-07 -7.871321115828389e-07 7.07141370518428e-08 7.660098750471032e-08 -1.1720595600831569e-07 -6.049025525991263e-07 1.3847749992215545e-08 1.4184868353983615e-07 -5.276210837419527e-07 -2.7975368312490736e-07 3.3136935321586245e-07 -1.6495769747171762e-06 3.5296461576359118e-06 6.953684797720549e-06 6.096810547599368e-07 -2.4063872955875814e-06 -9.474550231916448e-06 4.477833067615888e-06
PC9 1.3882407997644193e-06 -2.7054078942970202e-08 -4.0672359729816005e-07 -1.0099825151389977e-06 4.211410802907922e-07 -4.153223168621482e-07 1.602404208197388e-07 -1.7136841710028916e-07 3.5362622222869935e-07 1.1555274159686591e-05 -4.2809103168141513e-07 5.898751035602905e-08 -4.802205614708046e-07 -5.363280039308083e-08 -7.934761913368357e-07 3.012765990434886e-07 4.340477871649047e-07 6.829033218384607e-07 -1.2124543431851442e-07 -1.1901925012206046e-07 -5.659426043331644e-07 3.123046019517597e-06 1.8742337143328809e-06 4.065233744763139e-06 -1.4088321997458133e-05 2.1438250285588337e-06 3.372695756386923e-06 -9.196940049109008e-06
PC10 2.8413709665186015e-07 9.448274297414209e-08 3.375067386661421e-07 1.327908003166413e-07 2.484517012022866e-07 -3.3561817570462726e-07 1.7588709718715796e-08 -6.261632273007124e-08 1.654445948301504e-07 -4.280910316814151e-07 1.2138643630248582e-05 -4.1768713040430566e-07 1.3520661843255793e-07 -4.1934080711703746e-07 -9.351531105091257e-08 2.7080747478714663e-07 -2.1618908146656545e-07 -5.1096180497978545e-08 3.065792763654201e-07 6.505733468488968e-07 -1.3012460781179612e-07 -2.110654849629291e-06 -1.5992662515958584e-06 3.2353249904443518e-06 4.078410294316973e-06 -1.7546949877359792e-07 3.901436097963641e-06 -6.823792847485491e-06
PC11 4.530236983085155e-06 -2.0956533758105943e-08 -6.509914606047542e-07 3.063457151116138e-07 2.1765239397154387e-07 -1.159775824645008e-06 -4.1885155523479335e-07 1.34404913615433e-06 -7.871321115828384e-07 5.8987510356028853e-08 -4.176871304043058e-07 1.148472032087861e-05 -2.1123659996783748e-07 -1.098875341161365e-07 -5.070975893266515e-07 3.066184158960786e-07 1.9409481700277336e-07 3.380605161382024e-07 -3.512771909336711e-08 6.378760557691669e-07 2.9268257696030785e-07 2.2176273551464837e-06 -2.5462441828266286e-06 -4.580480682277516e-06 4.327566369829317e-06 7.130775560436411e-06 8.944571870379191e-06 2.8744438580865897e-06
PC12 -2.9684937693255603e-06 6.095087475835488e-07 -9.888477155257505e-07 5.55796271602391e-08 -9.109439477125368e-07 4.4538072257858307e-07 1.2516356546882337e-07 1.692957077491852e-07 7.071413705184276e-08 -4.802205614708045e-07 1.3520661843255822e-07 -2.112365999678372e-07 1.0162391408420546e-05 3.987117918605996e-07 -2.566785565359911e-08 -5.210582646073636e-07 -1.4127481315206251e-07 9.901101144085745e-08 -1.479533328925342e-07 1.3501309734742107e-07 -2.423236495773015e-07 4.494480360284451e-06 -3.1544726675954816e-06 -2.835416464007108e-06 2.670843831806697e-06 -7.359490042576057e-06 2.3337606334406005e-06 4.78380328329395e-06
PC13 2.2402126934455575e-06 -1.2548960375061784e-07 6.223549365757643e-07 -6.158212254432838e-07 -5.037419398672572e-07 -1.1777118670034471e-06 -3.3102573985739763e-07 4.5885712516026755e-07 7.660098750471075e-08 -5.3632800393080856e-08 -4.1934080711703773e-07 -1.0988753411613642e-07 3.987117918606001e-07 1.0396425176449564e-05 -7.048067958393917e-07 1.0305692267123044e-06 5.626527154135112e-07 5.3144670755027287e-08 -1.8185271255951184e-07 -2.4318574879226735e-08 -3.6872469720480678e-09 1.4565898208194632e-06 6.322076878397728e-06 2.3828850745771356e-06 -6.105957818518906e-06 -6.225924980274527e-06 -4.699146963433151e-06 2.1136624959628827e-06
PC14 -1.6996308931704562e-06 -3.701639989871743e-07 -1.0745935988800513e-06 3.0343792915588925e-08 -9.999814601404962e-08 6.894715250385544e-07 -3.0957942473826955e-07 -2.3479814507050732e-07 -1.1720595600831524e-07 -7.934761913368355e-07 -9.351531105091212e-08 -5.070975893266519e-07 -2.5667855653599172e-08 -7.048067958393919e-07 1.1228130992545168e-05 -2.1155033831485638e-07 2.3254206396306988e-07 -2.9516330422131756e-07 1.276962174475797e-07 -9.043769851135205e-08 -9.440080015013518e-08 2.289064226870035e-06 -9.729841934963401e-07 2.7454006241344404e-06 -9.567921188335739e-06 1.1081879931087534e-05 -3.4411699895931662e-06 -3.2476679511999207e-06
PC15 -2.579050847847965e-06 -6.956623597891444e-07 3.4076393187102876e-07 -4.4453888537726267e-08 -1.8738011831789586e-07 -6.239033421790143e-08 8.350479521112128e-09 -4.262122802521357e-07 -6.049025525991261e-07 3.0127659904348895e-07 2.708074747871469e-07 3.066184158960786e-07 -5.210582646073637e-07 1.0305692267123048e-06 -2.1155033831485643e-07 1.0835744569638221e-05 5.520712837941707e-07 -8.105497315121659e-07 -8.371032240340172e-08 -1.1555549315308704e-07 7.424527124115956e-08 8.692446276635404e-07 1.4207651709632263e-06 5.192376390868664e-07 2.950518229655396e-06 -1.4239625834052766e-06 -1.287549560422274e-06 -7.064948823637536e-07
PC16 -2.7811277758941263e-06 -6.450179128114937e-07 5.634175342011264e-10 1.9027541392628084e-07 1.2190281017721716e-07 -1.839283054891401e-07 -7.425878679182914e-08 -3.951130275701736e-07 1.384774999221595e-08 4.3404778716490495e-07 -2.1618908146656574e-07 1.940948170027734e-07 -1.4127481315206217e-07 5.626527154135117e-07 2.325420639630696e-07 5.520712837941707e-07 1.0831539279183636e-05 -4.1871908947534214e-07 -1.293428194390387e-07 -5.684443766957092e-07 7.339639236413126e-08 1.13922364407974e-06 -6.117740966446322e-06 -5.249540801202572e-06 4.642681159132504e-06 1.8503436298145586e-06 -2.8004672109876425e-06 6.423421911478858e-06
PC17 -1.7535679100100821e-06 2.2256525935390087e-07 7.942613328460962e-07 -3.9981450137788744e-07 9.580598019925603e-08 7.198125200857814e-07 2.549900614869304e-07 -1.9523033383018273e-07 1.4184868353983636e-07 6.829033218384609e-07 -5.109618049797873e-08 3.38060516138202e-07 9.901101144085728e-08 5.3144670755026876e-08 -2.951633042213175e-07 -8.105497315121659e-07 -4.1871908947534225e-07 1.000911720168962e-05 3.55033648663608e-07 -2.571359640670721e-07 -1.6653139169923202e-08 2.133293170278425e-06 -1.0650544202980036e-06 -2.9801124149759344e-06 1.2653301754912724e-06 -4.374382693372584e-06 -2.0239807043061185e-06 4.560054024239734e-06
PC18 -6.644145934138694e-07 -6.02462269716978e-08 2.3295047131928319e-07 -5.241169167694528e-07 -5.006850077794747e-07 -3.5459968866476156e-07 -4.3692331574380306e-07 1.6665104249119268e-07 -5.27621083741953e-07 -1.2124543431851468e-07 3.065792763654198e-07 -3.5127719093366855e-08 -1.4795333289253435e-07 -1.8185271255951203e-07 1.2769621744757978e-07 -8.37103224034018e-08 -1.2934281943903867e-07 3.55033648663608e-07 9.630471503608468e-06 -1.3766976857992557e-07 3.6876806251667476e-08 -4.56488967578939e-08 6.460343362197516e-06 -3.961610464124525e-06 -1.3362902688841405e-05 2.2570386123414945e-06 9.140810724050998e-06 -1.896290229315029e-06
PC19 2.947191087861007e-06 2.0468729515481448e-07 -5.95944980143917e-07 4.19551015448822e-07 -1.822552497046927e-07 3.606912634606114e-07 -2.0369917738487614e-07 4.2716257027384935e-08 -2.797536831249074e-07 -1.1901925012206063e-07 6.505733468488974e-07 6.378760557691668e-07 1.3501309734742123e-07 -2.431857487922691e-08 -9.043769851135201e-08 -1.155554931530872e-07 -5.684443766957092e-07 -2.5713596406707173e-07 -1.3766976857992536e-07 9.918654438512368e-06 5.264377154652205e-07 9.527981814559606e-07 -6.730073304336768e-08 2.000969279059137e-06 -2.2077699302459225e-07 1.5646856928770355e-06 -2.9752227268585627e-06 4.827849478069425e-06
PC20 4.47563679471684e-07 -8.323006284621515e-08 -4.1514584493099956e-07 8.964620517397478e-08 1.5697762731392535e-07 1.5823161303061035e-07 -5.380269921321226e-07 -2.4149442594425776e-07 3.3136935321586213e-07 -5.659426043331649e-07 -1.3012460781179583e-07 2.9268257696030806e-07 -2.4232364957730125e-07 -3.687246972048332e-09 -9.440080015013512e-08 7.424527124115954e-08 7.339639236413108e-08 -1.6653139169923165e-08 3.687680625166742e-08 5.264377154652206e-07 8.986921414907862e-06 2.9756931278534457e-06 3.8519979211963805e-06 2.5069357407658266e-07 -1.1086537145156952e-05 -1.1977753710643362e-07 -9.300990964651661e-07 -3.6762538537890036e-06
proband -1.1793896431823504e-06 -2.229416796038939e-07 -6.6663991613583424e-06 -1.4822785821352375e-06 -6.950003724383537e-09 1.2569641760720718e-06 1.550995299890711e-08 -8.918904986440474e-07 -1.6495769747171775e-06 3.1230460195176e-06 -2.110654849629294e-06 2.217627355146489e-06 4.49448036028445e-06 1.4565898208194566e-06 2.2890642268700323e-06 8.692446276635345e-07 1.139223644079731e-06 2.1332931702784273e-06 -4.564889675789039e-08 9.527981814559589e-07 2.975693127853443e-06 0.000945438674645747 -0.0004739441087278517 -0.00043469099473897354 5.273574161648923e-06 1.5548046087211075e-05 -1.7301451996352265e-05 -7.611985872784249e-05
paternal 5.843804514087677e-05 -1.5894677369076789e-06 1.074574654902232e-05 1.2144618739282188e-07 -5.907096464292576e-06 1.5554411614485278e-07 1.0683017691967585e-06 2.112685105268449e-06 3.5296461576359063e-06 1.8742337143328804e-06 -1.5992662515958582e-06 -2.5462441828266295e-06 -3.1544726675954723e-06 6.322076878397727e-06 -9.729841934963312e-07 1.420765170963221e-06 -6.117740966446317e-06 -1.0650544202980008e-06 6.4603433621975215e-06 -6.730073304335726e-08 3.851997921196391e-06 -0.0004739441087278513 0.0021525800024611652 0.00033625692743526216 -0.001578709893471685 -0.0011193371264863552 -0.00012321340653867683 -2.3272316658477993e-05
maternal 3.729996021744727e-05 2.9096594167371033e-06 -4.935438020839083e-07 7.806507534382317e-07 2.274261291396166e-06 4.738775614695285e-06 -6.305901789547031e-06 3.609680726621451e-06 6.953684797720546e-06 4.065233744763131e-06 3.235324990444357e-06 -4.580480682277515e-06 -2.8354164640071024e-06 2.3828850745771496e-06 2.745400624134436e-06 5.192376390868733e-07 -5.249540801202549e-06 -2.9801124149759344e-06 -3.961610464124531e-06 2.000969279059145e-06 2.5069357407659187e-07 -0.00043469099473897267 0.0003362569274352617 0.002381181322524198 8.843589667295618e-05 -0.0001084569069405004 -0.0018507255381335773 -0.0013071169056333711
gpp -9.470187404232319e-05 3.65782614299371e-07 2.232485857739718e-06 4.041893543584481e-06 -2.779227718720561e-06 -1.6314032060225755e-06 8.378685741836523e-06 -1.5037022638078638e-06 6.096810547599412e-07 -1.4088321997458136e-05 4.078410294316978e-06 4.327566369829303e-06 2.6708438318066957e-06 -6.105957818518898e-06 -9.567921188335747e-06 2.9505182296553976e-06 4.642681159132505e-06 1.2653301754912794e-06 -1.3362902688841407e-05 -2.2077699302459952e-07 -1.1086537145156955e-05 5.2735741616491055e-06 -0.0015787098934716846 8.843589667295618e-05 0.003954741055345977 -0.0008097010134516451 -2.59158625881243e-05 -6.42094877944391e-05
gmp -3.4979600478244013e-06 4.1955890463899905e-06 -1.0064231308257965e-05 -3.129298572707275e-07 1.1307194496571747e-05 6.329545021604279e-06 -8.156804700613218e-06 -1.999633169927297e-06 -2.4063872955875776e-06 2.1438250285588387e-06 -1.7546949877359665e-07 7.1307755604364175e-06 -7.359490042576066e-06 -6.22592498027453e-06 1.1081879931087532e-05 -1.4239625834052667e-06 1.8503436298145624e-06 -4.374382693372593e-06 2.2570386123414826e-06 1.5646856928770325e-06 -1.19777537106444e-07 1.5548046087210712e-05 -0.0011193371264863554 -0.00010845690694050027 -0.0008097010134516438 0.0029211942186245067 3.7260042996031514e-07 5.304838268579041e-05
gpm -6.214945607319126e-05 2.8090987479407524e-07 -6.416660320280839e-06 -6.051329293589073e-06 -7.940633115931572e-06 2.065063763157677e-07 -2.5129708226922285e-06 1.1975614828736708e-05 -9.47455023191644e-06 3.372695756386928e-06 3.901436097963638e-06 8.944571870379179e-06 2.333760633440597e-06 -4.699146963433162e-06 -3.4411699895931645e-06 -1.2875495604222827e-06 -2.8004672109876637e-06 -2.02398070430612e-06 9.140810724051003e-06 -2.9752227268585716e-06 -9.300990964651775e-07 -1.7301451996353685e-05 -0.00012321340653867612 -0.0018507255381335762 -2.5915862588124374e-05 3.72600429960335e-07 0.003986400361066582 -0.00023174160401948625
gmm 3.2515121855423236e-05 -2.118971823427311e-08 6.588934400337467e-06 6.963432912822984e-06 5.451130522830562e-08 -5.98444061106127e-06 8.303502780405617e-06 -1.560197280062384e-05 4.477833067615885e-06 -9.196940049109005e-06 -6.823792847485494e-06 2.8744438580865918e-06 4.783803283293952e-06 2.1136624959628768e-06 -3.2476679511999143e-06 -7.064948823637523e-07 6.42342191147885e-06 4.560054024239736e-06 -1.8962902293150261e-06 4.827849478069425e-06 -3.6762538537890057e-06 -7.611985872784273e-05 -2.3272316658478007e-05 -0.0013071169056333713 -6.42094877944389e-05 5.304838268579044e-05 -0.00023174160401948627 0.002768563722680751
