 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.0005209221110157396 9.118245065634443e-07 1.3186141376942842e-06 5.064959346964742e-07 1.5877710298542206e-06 -2.1485771458731182e-06 1.4988010609897255e-07 1.6282636701961644e-06 -5.059237953237964e-07 1.9029485119830037e-06 -1.4218589431494547e-07 5.361763645571085e-07 -2.0799005438258268e-06 1.3268919867711048e-06 -1.5685765471853637e-06 -1.5167427202988959e-06 -4.690501818699926e-07 1.6850549358335575e-07 1.50225274053745e-08 1.5726567043908865e-06 1.5864453893384201e-06 -3.99220832337289e-06 2.924436125149616e-05 -6.018914491301497e-05 1.1079807624548064e-05
PC1 9.118245065634435e-07 1.7607368678778846e-06 -1.2738787778231176e-06 -1.4474687547503107e-07 -8.756192430964577e-08 -1.3270657228288987e-07 -4.950225133002992e-09 4.180362019193601e-08 4.862291962884999e-08 -2.963994623275151e-09 1.5545630755473626e-08 -1.0090894260657775e-07 4.5953193165870163e-07 -4.158981603259929e-08 -2.4491900912652613e-07 -4.217151207916492e-07 -3.761389820844369e-07 9.275697342571365e-08 1.1678797946186635e-08 1.329036455883475e-07 -2.7481378530136942e-08 6.984020821808052e-07 -2.2867474710377328e-06 1.1001529596476408e-06 4.723851026080777e-06
PC2 1.3186141376942848e-06 -1.2738787778231174e-06 3.3334328794446066e-05 5.260849622754874e-07 9.589594228113648e-07 -7.606412900647281e-07 -2.5423168868864986e-07 -7.18774081526953e-08 7.145570780934404e-07 -3.37159675337164e-07 2.5229300491303215e-07 1.6039583452083357e-09 -3.7860446721703845e-07 1.6023708669672168e-07 -1.379534989142712e-07 2.405037614347646e-07 -1.210671910745143e-07 2.7756410243810816e-07 -1.3442108138193255e-08 -1.2406137597512474e-07 -9.885303404315456e-08 -6.014215831802784e-07 4.115229720883397e-06 -9.559184577940772e-08 -3.806879194526562e-06
PC3 5.064959346964731e-07 -1.4474687547503097e-07 5.260849622754873e-07 3.4857497090236133e-06 3.771795642912773e-08 8.00653384041827e-07 2.1838194312235527e-08 2.3697168704988004e-07 -1.4331093855777696e-07 -7.079264909212947e-07 1.6311184972576832e-07 2.691731021723467e-07 5.63361427680321e-08 -2.9741105331847313e-07 1.9679217546849141e-07 -1.350046270879101e-07 -2.1695082372032646e-08 -1.4091628180171264e-07 -2.0535785564348993e-07 2.267505755179545e-07 1.1559813791479967e-07 3.51691320451697e-07 -3.649436903615557e-07 1.490123339032377e-06 1.994934301231799e-06
PC4 1.5877710298542218e-06 -8.75619243096458e-08 9.589594228113644e-07 3.77179564291276e-08 6.515163003508497e-06 1.1732854569386114e-06 -1.6876808538160635e-07 4.925406811717067e-08 -6.228825298803363e-07 4.939666080815389e-07 1.5486192244354235e-07 2.4506484940063537e-07 -5.548314298083357e-07 -1.076842173821726e-07 -8.060117321601998e-08 -9.621383765219955e-08 1.9732881688274343e-07 -7.324301554878167e-08 -1.7157019353093707e-07 -1.0283183587138867e-07 -6.285774770714273e-08 -1.6106568769261452e-07 -2.7437376644477115e-06 -3.5550913274436645e-06 6.095177607058856e-06
PC5 -2.148577145873119e-06 -1.3270657228288977e-07 -7.606412900647276e-07 8.006533840418267e-07 1.1732854569386108e-06 1.1550558223473708e-05 3.161892182370329e-07 7.504778838787332e-07 -2.3335506883038496e-07 -2.983195572431475e-07 -1.7008575580330346e-07 -6.836658900518761e-07 4.801094345952599e-07 -8.332371107810891e-07 3.669679050007322e-07 -3.250734073701442e-08 -1.0390644708545896e-07 5.326436668634187e-07 -2.227154919839917e-07 5.6254305776309974e-08 -4.7370902030061725e-08 1.8801524384473226e-06 9.84898676519609e-07 2.2099581538456245e-06 2.6390555361193973e-06
PC6 1.498801060989737e-07 -4.950225133002902e-09 -2.5423168868865e-07 2.1838194312235372e-08 -1.687680853816064e-07 3.161892182370329e-07 1.0847804749360388e-05 2.9278091092989707e-08 -8.547785292972615e-09 1.980599157428111e-07 1.4546100389126622e-07 -2.9651536528982993e-07 -4.6918304715612855e-08 -2.917094059397492e-07 -1.38636939462539e-07 -3.794276160676398e-08 -7.342385979825423e-08 3.6250481683945917e-07 -2.8081383685737985e-07 -7.220461849004769e-08 -2.8645863105020867e-07 1.0778070894998916e-06 -2.636604963985018e-06 8.231854166609958e-06 -3.304799460432502e-06
PC7 1.6282636701961646e-06 4.180362019193594e-08 -7.187740815269497e-08 2.3697168704987999e-07 4.925406811717058e-08 7.504778838787333e-07 2.9278091092989793e-08 8.829776256938457e-06 3.623203516004678e-07 -2.9996826006822077e-07 -1.6518061936525566e-07 5.499321641967491e-07 5.426203309303468e-08 4.662550295575724e-07 -1.1225606720669933e-07 -1.7702035233013505e-07 -2.7453403984818195e-07 -1.9926029545352575e-07 1.395606050600513e-07 2.1198194062526183e-08 -1.1135439366635626e-07 -1.138114341299742e-06 5.991142999539402e-07 2.1206552982278537e-06 -2.6911688699749495e-06
PC8 -5.059237953237967e-07 4.8622919628850014e-08 7.145570780934412e-07 -1.433109385577769e-07 -6.228825298803358e-07 -2.3335506883038501e-07 -8.54778529297262e-09 3.6232035160046746e-07 9.429169282955593e-06 2.927395637509358e-07 6.742580122783387e-08 -6.121836827478294e-07 1.910778648761031e-08 1.1346032040267385e-07 -5.321933366904799e-08 -1.6522978487939394e-07 9.453400861031303e-08 5.8382026925755906e-08 -2.6241888548144264e-07 -2.641795753601278e-07 2.424984958833088e-07 1.0570258671061641e-07 5.56064360024467e-07 2.280610807780517e-07 9.600187496019525e-07
PC9 1.9029485119830035e-06 -2.963994623275169e-09 -3.3715967533716387e-07 -7.079264909212944e-07 4.939666080815394e-07 -2.9831955724314734e-07 1.98059915742811e-07 -2.999682600682209e-07 2.927395637509355e-07 8.551069748482331e-06 -2.484904197037381e-07 -1.0668915877194038e-07 -1.0389325046839859e-07 -1.7377027460179149e-07 -3.4029943133685383e-07 -4.341258503299385e-09 2.8263091027456473e-07 1.915443571051684e-07 -4.7094497299597945e-07 -2.506915070530166e-07 -2.76609520976464e-07 2.250436421614335e-06 4.6606429798057145e-07 -8.68779636341756e-06 2.131081416232544e-06
