 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
intercept 0.0004058135312567148 7.183799035344574e-07 -3.1452343254669996e-06 -6.851442041126188e-07 9.562323250765482e-07 -1.1148138419006173e-07 1.5734184912917942e-07 1.8348993790915577e-06 8.913403697062797e-07 4.2178591561249193e-07 -4.795013972658277e-07 5.064634926723026e-07 -3.5007964200449086e-07 8.613154304158906e-07 3.3006083813066807e-07 -9.480202278675806e-07 -3.534935380882936e-07 -5.189181671377501e-07 5.74881330138535e-07 1.3498111232805644e-06 3.590921268875179e-07 -6.265803229114353e-07 1.5204367775567273e-05 -9.227845879328756e-06 8.173857799009925e-06
PC1 7.183799035344579e-07 1.4111907600622022e-06 -1.0944621267242982e-06 -4.676941217179754e-09 -8.228039368493576e-08 -1.9534063562594692e-07 2.613860320169237e-08 1.3721391983577972e-07 1.6111095209082732e-07 -6.099354148696427e-08 1.451395779838781e-07 -8.84205620283938e-08 3.289478482748054e-07 -8.711741038113344e-08 -1.4577184720663386e-07 -3.227352979105813e-07 -2.5770325742524595e-07 -5.531737858464016e-09 -1.6919609223021995e-08 9.958345085824086e-08 1.1759743447910933e-08 4.1647138118964904e-07 1.4779530265716038e-06 1.1982162679687617e-07 2.408931348271102e-07
PC2 -3.1452343254670017e-06 -1.094462126724298e-06 2.8461661451529878e-05 4.7623639482707037e-07 9.87600795700409e-07 -1.58704938908631e-07 -5.152404417850958e-08 -2.2598544747335134e-07 2.753887518313883e-07 -4.625703218188483e-09 -3.094633719899583e-08 -8.800622719968987e-08 -2.415283702291688e-07 2.8430976967400565e-07 -3.737804774497606e-07 2.943675646925331e-07 -1.2637509455600893e-07 6.730984983312632e-07 7.374233123608527e-08 -3.085643164976467e-07 1.0602125636711211e-07 -2.388746471339813e-06 -1.1182323095875469e-06 5.825919488419787e-07 3.982156184241407e-06
PC3 -6.851442041126189e-07 -4.676941217179785e-09 4.762363948270704e-07 2.872860712613245e-06 5.325138689723169e-08 5.650655374028369e-07 2.3659012438840002e-08 1.0063514754375082e-07 -9.412379644402611e-08 -5.183225265433015e-07 1.3720723860641453e-08 1.7481573017060776e-07 1.343833707954795e-07 -4.3144136144463715e-07 -7.187663710550024e-08 -6.8442815953773445e-09 1.8941872124167775e-08 -1.358317449588595e-07 -3.3315049652338837e-07 2.1803672095107824e-07 7.05495119680119e-08 3.337124044317844e-07 -6.021701966402913e-07 -7.952411204527461e-07 3.890773844272528e-06
PC4 9.56232325076549e-07 -8.228039368493576e-08 9.876007957004093e-07 5.3251386897231775e-08 5.067206004974446e-06 1.0664393757092178e-06 -3.297646353423285e-07 7.838445906882817e-08 -8.198433207744472e-07 1.6562340785897216e-07 1.6780609020892247e-07 -1.0914674735534926e-08 -4.389690427161587e-07 -2.072224875406418e-07 -8.097656104859922e-08 -4.108236580904855e-08 7.940426592788589e-08 1.343701996368556e-07 -1.7344184550656926e-07 -1.274312476075658e-07 1.6253556919757894e-08 -5.214980303194476e-07 -1.5247805163087858e-07 -2.7996688657269737e-06 2.324989926672267e-06
PC5 -1.114813841900609e-07 -1.953406356259468e-07 -1.5870493890863075e-07 5.650655374028372e-07 1.0664393757092178e-06 9.411086922112324e-06 1.6930887453660802e-07 7.849085483047661e-07 -4.859806458480214e-07 -1.749173513362564e-07 -2.490938556121464e-07 -6.627150353213878e-07 3.675261666797547e-07 -5.673212410438182e-07 2.48999007589388e-07 -1.1741891933859894e-08 -9.656013190357546e-08 4.2144903504760664e-07 -1.4258535837631432e-07 3.285277332376719e-07 1.1331719454688108e-07 1.2941472392970546e-06 1.5265416297904434e-06 6.920714948492282e-07 -4.78148726763396e-07
PC6 1.5734184912917985e-07 2.613860320169245e-08 -5.152404417850959e-08 2.3659012438840068e-08 -3.2976463534232867e-07 1.6930887453660817e-07 9.220129785581616e-06 -9.137807846528592e-09 8.750150571871254e-08 1.802761811523115e-08 1.9035011384851248e-08 -1.5598378143860256e-07 1.1112703806346624e-07 -2.651581400427781e-07 -4.409839947276462e-08 4.237890582289823e-08 -2.3658105679082486e-08 2.849871422594721e-07 -9.846138135748527e-08 -2.4751726026358055e-08 -2.609912532816349e-07 1.2158764409494671e-06 -1.489401057439818e-06 -1.1932625527045628e-06 3.6420512020713414e-06
PC7 1.8348993790915568e-06 1.3721391983577966e-07 -2.2598544747335131e-07 1.0063514754375111e-07 7.838445906882817e-08 7.849085483047666e-07 -9.13780784652859e-09 7.5793381795631e-06 4.2949197447617527e-07 -1.54836894928266e-07 -7.946869521889965e-08 5.921702114943481e-07 1.0389780112513864e-07 2.9510957565092274e-07 -4.2639281598905553e-08 -3.730977314019369e-07 -5.323656575162078e-10 -4.053835040273645e-08 5.114513120521941e-08 5.676237020325706e-09 -1.6176032103984783e-07 -1.4077112627698268e-06 5.191451431939418e-07 5.051489036002916e-06 -4.705188279324503e-06
PC8 8.913403697062792e-07 1.6111095209082732e-07 2.75388751831388e-07 -9.412379644402603e-08 -8.198433207744475e-07 -4.859806458480215e-07 8.750150571871253e-08 4.294919744761752e-07 8.180506180563283e-06 1.5255531392017025e-07 2.1221706607876814e-07 -2.3743436694343492e-07 2.4929586301673464e-07 -3.737139587415677e-09 -5.580373512738125e-08 -2.0797387318597455e-07 9.910174110278292e-08 8.332851708011734e-08 -1.4933552452348076e-07 -2.2410230654128862e-07 1.6244155069207357e-07 2.6902725320509824e-07 1.3772732145189296e-06 -1.4602954797429362e-06 2.050782883884416e-06
PC9 4.217859156124915e-07 -6.099354148696426e-08 -4.6257032181885635e-09 -5.183225265433011e-07 1.6562340785897208e-07 -1.749173513362563e-07 1.8027618115231317e-08 -1.54836894928266e-07 1.5255531392017033e-07 7.377703885867064e-06 -5.459843869041941e-08 -1.7021501533539254e-07 -1.3409229155591135e-07 3.96938305185361e-09 -2.6038137345269783e-07 1.624722467824235e-07 2.9409813427648196e-07 2.933240329645888e-07 -1.9008735707981287e-07 -1.5928465184420792e-07 -2.1618414000657936e-07 1.7450749606294107e-06 2.2922937224690584e-06 6.55737227574445e-07 -4.938382590470671e-06
PC10 -4.795013972658258e-07 1.4513957798387807e-07 -3.094633719899588e-08 1.3720723860641468e-08 1.678060902089225e-07 -2.4909385561214623e-07 1.9035011384851353e-08 -7.946869521889972e-08 2.122170660787683e-07 -5.459843869041938e-08 6.986721613797845e-06 -1.9008703956452338e-07 2.3194600410545676e-07 -3.1718306191445897e-07 -5.5469045903865294e-08 -1.3219965986244716e-07 -3.6349161283646373e-07 1.7111344950691237e-07 2.1197149696929054e-07 2.3591177504920314e-07 -1.6220556519079413e-08 -5.969972717872067e-07 1.3244961500177633e-06 2.2096433748666972e-06 -1.920277156093665e-06
