 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.0002944117447929163 5.127604336556159e-07 -2.0135026483861133e-06 -5.236578247151701e-07 2.2944289949456303e-07 -2.6940730452539346e-07 -4.5269731463258646e-07 8.223948758422693e-07 7.171010872302574e-08 7.939624225426042e-07 -1.326012983941278e-07 -1.7526877681791184e-07 5.119038618417994e-08 2.488456820291822e-08 1.9141825035965126e-07 -4.960626655835572e-07 -1.2115690914175265e-07 3.4879527853083764e-07 -1.412349410005088e-07 5.89099820813216e-07 3.27481018658511e-07 -9.86839225157905e-07
PC1 5.127604336556158e-07 9.324369414299152e-07 -6.145617486049276e-07 5.873754960944596e-08 -5.662574676608143e-08 -4.479768137736641e-08 -1.814782364601276e-09 4.1706402214585605e-08 9.922543364045553e-08 -2.8891508516422826e-08 4.205947474200195e-08 -4.247336837367727e-08 2.220539556059039e-07 -3.1926461079693787e-09 -9.76407050302964e-08 -1.7479621182867647e-07 -1.5801142144743228e-07 2.851613977970052e-08 5.0484797735950575e-08 3.102434566596445e-08 2.148036664628633e-08 6.163164693017616e-07
PC2 -2.0135026483861112e-06 -6.145617486049273e-07 1.7373416185329168e-05 1.9117356627962853e-07 5.620008633061172e-07 -2.171882219147664e-07 -3.02790112284339e-08 3.6799829128287367e-09 1.2230692705264359e-07 1.0642449566076297e-07 8.848523370603355e-09 4.8575757500442566e-08 -8.151156082096127e-08 6.711888190663213e-08 -2.1301368447542733e-07 1.2337474937914568e-07 -1.4893503408558923e-07 1.3264680914003107e-07 -2.391997919055972e-08 8.004047686952747e-09 -1.374845234212276e-08 4.1729447346396674e-08
PC3 -5.236578247151699e-07 5.8737549609445974e-08 1.9117356627962858e-07 1.9541574964374652e-06 1.3274684846991864e-08 2.8137506005992967e-07 2.847258783919054e-08 5.546908502001728e-08 -5.895877182094874e-08 -3.133842147493664e-07 2.8706460993691752e-08 1.2044381893876814e-07 7.174644327844487e-08 -1.626451966466266e-07 1.6409244605069924e-09 -1.6898887783689913e-08 7.0034727368226986e-09 -1.0014600129609929e-07 -1.3399294363812975e-07 1.1588884932080977e-07 4.13354165976682e-08 5.304981506822459e-07
PC4 2.2944289949456327e-07 -5.6625746766081405e-08 5.620008633061172e-07 1.3274684846991863e-08 3.30920227586589e-06 4.035007903406274e-07 -2.090890574000202e-07 -1.4768414786015357e-08 -3.2489871411804426e-07 2.2012189301050263e-07 9.794544613449234e-08 8.697177340562235e-08 -2.1457320328920044e-07 1.837009950124231e-08 -6.907651184115021e-08 -3.459046567702242e-08 4.517655122527755e-08 3.8862321269986405e-11 -7.756435069488062e-08 -6.422779312846431e-08 -3.039130328664212e-08 -7.407176079809157e-08
PC5 -2.694073045253935e-07 -4.479768137736646e-08 -2.1718822191476613e-07 2.8137506005992956e-07 4.0350079034062725e-07 5.311230895025797e-06 3.814360773315775e-08 4.4160432851736816e-07 1.8573026822675498e-08 -6.479929832853028e-08 -7.83843960110737e-08 -2.8189147227152e-07 1.6241901611807422e-07 -2.218371981414997e-07 4.199663702758584e-08 6.160367978112472e-08 -3.514321431883266e-08 2.1675779922869622e-07 -1.0054597702674623e-07 7.628535583006664e-08 6.685078699427896e-08 9.59911463392109e-07
PC6 -4.5269731463258614e-07 -1.814782364601224e-09 -3.027901122843407e-08 2.8472587839190524e-08 -2.090890574000203e-07 3.814360773315758e-08 5.948448150800272e-06 -1.5096392081491426e-08 6.939822395440898e-09 4.924766792469752e-08 7.057714915091255e-09 -1.4324373158223228e-07 1.1334122582597518e-08 -1.3806763468405154e-07 -2.7762414511510396e-08 5.435178014311996e-10 -2.223027597530966e-08 2.2625454330857253e-07 -4.637141772866941e-08 -1.4894724409023439e-08 -1.0401394916779304e-07 8.831925755879219e-07
PC7 8.223948758422692e-07 4.170640221458564e-08 3.679982912828764e-09 5.5469085020017284e-08 -1.4768414786015418e-08 4.4160432851736784e-07 -1.5096392081491453e-08 4.9916243027355414e-06 1.973875985805591e-07 -1.0063310641651154e-07 -3.885061503865437e-08 3.085739788787062e-07 6.45985541234703e-08 2.4117464190111577e-07 -5.385606349562941e-09 -1.5024246707237153e-07 -8.34553416379304e-08 -3.6745474729760284e-08 6.46710829292577e-08 -3.0620537476459455e-08 -1.0944685979767423e-07 -8.000770992623422e-07
PC8 7.171010872302529e-08 9.92254336404555e-08 1.2230692705264343e-07 -5.895877182094875e-08 -3.24898714118044e-07 1.8573026822675438e-08 6.939822395440781e-09 1.973875985805591e-07 5.020879109367109e-06 1.0017353613047963e-08 1.1048288270154853e-07 -2.037212296460391e-07 1.0890537904071512e-07 -6.133435570209259e-08 4.15780139054405e-08 -8.738641688338977e-08 4.892630612355841e-08 6.191046364627578e-08 -3.771450728560767e-08 -5.28182801459661e-08 8.701258497104367e-08 4.187110215152733e-08
PC9 7.939624225426037e-07 -2.88915085164228e-08 1.0642449566076291e-07 -3.133842147493664e-07 2.2012189301050257e-07 -6.479929832853046e-08 4.924766792469759e-08 -1.0063310641651152e-07 1.0017353613047877e-08 4.708134617364177e-06 -2.610820249424148e-08 -1.305445968784816e-07 -2.3693178795590624e-08 -1.0887033336541156e-07 -3.7521739615711594e-08 5.121813720045808e-08 1.1039983627592167e-07 1.2543211215385185e-07 -1.6592704957068497e-07 -6.742986165177244e-08 -7.997236516206237e-08 6.879865856621577e-07
PC10 -1.3260129839412759e-07 4.205947474200195e-08 8.84852337060334e-09 2.8706460993691756e-08 9.794544613449235e-08 -7.838439601107373e-08 7.057714915091245e-09 -3.88506150386544e-08 1.104828827015486e-07 -2.6108202494241425e-08 4.3517916093755566e-06 -1.7851179785052752e-07 1.111900344505165e-07 -1.7912288801293165e-07 -1.0297322867175741e-07 -8.104954613070221e-08 -1.5153192006470446e-07 2.466004647603955e-08 1.4962867356960785e-07 1.3782523001141254e-07 3.6057921853537177e-08 1.0357092526622672e-07
PC11 -1.752687768179113e-07 -4.247336837367725e-08 4.857575750044258e-08 1.204438189387681e-07 8.697177340562234e-08 -2.8189147227152015e-07 -1.4324373158223228e-07 3.08573978878706e-07 -2.0372122964603916e-07 -1.3054459687848145e-07 -1.7851179785052742e-07 4.311366653855719e-06 -7.137701349105778e-08 -4.288439413507901e-08 -8.893310462835376e-08 8.69383631909935e-08 9.047195605965404e-09 1.576220950403041e-07 -2.426052537602813e-08 7.558237681172178e-08 1.5006788321871033e-07 -9.414099596117803e-08
