 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
intercept 0.0010031094927294758 -1.830576356792354e-06 -1.585432039260017e-05 -4.871483581112445e-06 2.562532312473668e-06 1.2716993921188048e-06 6.13220174925228e-06 2.6433393900964056e-06 1.8551582834555943e-06 -1.0011932450120848e-06 8.312399916122089e-07 7.266923338543532e-06 -2.530040072822166e-06 4.379566795403959e-06 -1.5224869774796709e-06 1.5028937733644717e-06 2.358003767927419e-06 1.245513775467299e-06 5.006553226213814e-06 4.288373307125989e-06 -2.624572870431783e-07 -2.152505051249252e-05 8.98466547983712e-05 -8.357746239739747e-05 -0.00010181426231074794
PC1 -1.830576356792353e-06 4.060438386723145e-06 -3.0419192634252268e-06 4.49453712918712e-07 -2.4557991816799324e-07 -3.8536060753438084e-07 1.4359663945254127e-07 1.0549431977218154e-07 6.528006941689776e-07 2.0802925338852613e-07 2.630088847001336e-07 -1.5224735276937877e-07 1.1304131712040172e-06 -2.6905312330503244e-07 -3.876526610923029e-07 -9.763218162776407e-07 -8.713409951388208e-07 5.0542801454292024e-08 -3.126397770449455e-07 2.0524202055880156e-07 3.316631261163984e-07 -5.244198546257958e-06 4.464662349159535e-06 -1.503748735805588e-05 -2.122596839596276e-06
PC2 -1.585432039260017e-05 -3.041919263425225e-06 8.526705034714888e-05 2.1469407424905866e-06 2.2027616724571765e-06 -1.4119412792360648e-06 -1.1002807924056477e-06 1.2445039390220067e-06 7.207333861613668e-07 7.928101345342867e-07 6.027945655322928e-07 -4.249100214971474e-07 6.790869190672757e-08 1.4000946164865572e-06 1.1685748177599424e-06 -2.0340221009543407e-07 -1.6627345150363434e-06 2.5663659481341982e-06 1.3228401436485482e-06 -3.1016716462330727e-06 -4.11016649729481e-07 6.699664362618007e-06 3.1255142189624354e-06 -1.2003838174125942e-06 -5.263843337746947e-06
PC3 -4.871483581112446e-06 4.494537129187118e-07 2.1469407424905874e-06 8.855458290992931e-06 2.3105715528031466e-07 2.073766181827186e-06 1.318634769555051e-07 1.1461436448138467e-06 3.628233118849015e-07 -1.2857689599096083e-06 1.9372569807688943e-07 -3.866714255702097e-07 2.6735036204467814e-07 -1.7467598929940734e-06 -2.7106588696297255e-07 2.1605953220579425e-10 3.9419714274950386e-07 -7.070759507027284e-07 -9.132034214892797e-07 5.259872809150877e-07 6.229344721854384e-07 -2.353473119612449e-06 1.5372854552134415e-06 -8.802836389723816e-06 -4.589504293762405e-06
PC4 2.562532312473668e-06 -2.455799181679934e-07 2.202761672457177e-06 2.310571552803139e-07 1.3065278543635288e-05 3.479456932117365e-06 -1.398880254943553e-06 3.750550447623302e-07 -2.087883988530276e-06 -3.3573097769331095e-08 6.292427679698027e-07 3.336840549514263e-07 -1.631643333065581e-06 -4.675580299208984e-07 -6.048674752417774e-08 1.1659143787438662e-07 -3.570812527317113e-07 4.7106285148442254e-07 -8.489754741813221e-07 -1.5087251679185888e-07 1.1724963859793193e-07 -3.68720036144424e-06 -6.7178526976196515e-06 -1.6636860502193492e-06 1.8065355544410608e-05
PC5 1.2716993921188044e-06 -3.853606075343816e-07 -1.4119412792360642e-06 2.0737661818271844e-06 3.4794569321173665e-06 2.791784390241984e-05 -5.094281452129302e-08 3.4659409999031246e-06 -1.8942226182856457e-06 -1.0977938234360903e-06 -6.99659163781339e-07 -1.6862756692252369e-06 3.994396737765457e-07 -2.2711488918965803e-06 5.260599023311436e-07 -6.857205684668163e-07 -2.7668137908550357e-07 1.69800310984424e-06 -3.1578988149830153e-07 1.3261641348280048e-06 6.940618977925157e-07 -2.701805633673902e-07 -1.1083885636425384e-05 1.6749801646394206e-05 3.1997234994087733e-06
PC6 6.132201749252278e-06 1.435966394525413e-07 -1.1002807924056465e-06 1.318634769555051e-07 -1.398880254943552e-06 -5.094281452129187e-08 2.673609228109079e-05 3.166934263671442e-07 6.57736603917465e-07 2.4445151016832627e-07 -6.999660681152703e-07 -8.429408243011975e-08 3.733065863828791e-07 -3.9542466554132135e-07 5.581056986877151e-07 1.1646808270794005e-06 -8.89390397884125e-07 8.796657181498715e-07 -8.595846021564953e-07 -8.841929030075137e-07 -6.828594313193565e-07 -1.5701502143130814e-06 -2.681593769095085e-06 4.19193774200468e-06 -2.923414602365528e-06
PC7 2.6433393900964064e-06 1.0549431977218146e-07 1.244503939022005e-06 1.1461436448138458e-06 3.7505504476233044e-07 3.4659409999031234e-06 3.1669342636714484e-07 2.1442246046459505e-05 6.313289051494223e-07 -7.725931529938518e-07 1.577407633156238e-07 2.1301081932481253e-06 1.0544693517508165e-06 7.861748840682653e-07 -1.86362294660795e-07 -1.1013660723320946e-06 -8.72280910611894e-08 7.717200031981663e-07 1.8171264290112572e-07 -5.279480112615783e-07 -2.7109560413340655e-07 7.630444985641222e-06 8.097887602016311e-06 1.443819798266478e-05 -2.996337063307374e-05
PC8 1.855158283455597e-06 6.528006941689774e-07 7.207333861613653e-07 3.6282331188490147e-07 -2.0878839885302772e-06 -1.894222618285645e-06 6.577366039174659e-07 6.313289051494217e-07 2.450477472990608e-05 3.3793222570607606e-07 1.317478815504896e-06 -1.4270414006111985e-06 2.681089893070225e-07 1.5007432552816653e-07 7.376921863725371e-08 -8.696668668080829e-07 2.2788636158644026e-07 -6.947473876517378e-07 -2.0892561748019743e-06 -1.3354922336445823e-07 9.988478691602643e-07 6.796669706717407e-07 2.17443412213554e-05 -6.858682646761836e-06 -2.7209582882255845e-05
PC9 -1.0011932450120846e-06 2.0802925338852616e-07 7.928101345342871e-07 -1.2857689599096077e-06 -3.357309776933119e-08 -1.09779382343609e-06 2.4445151016832664e-07 -7.725931529938509e-07 3.3793222570607643e-07 2.1070224093808173e-05 -1.5440103759206918e-06 2.803409699068962e-07 -1.8828748308043888e-07 -2.3944071524805723e-07 -3.9320306669732364e-07 2.1550721035282455e-07 9.034791773301009e-07 8.169741006597481e-07 -4.043147268520515e-07 -6.349365351294972e-07 -1.232620854725869e-06 3.7409658168846344e-06 1.0903672875374814e-05 -1.2427599071980585e-05 -1.2753512585817673e-05
