 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.0011623679203179725 -6.089145866150703e-07 -7.652951789576333e-06 5.426691397417284e-07 2.5839861581021726e-06 -2.921918818961622e-06 7.453584391679672e-06 4.968373596721425e-06 2.4132740903075196e-06 -2.7151581816657417e-06 -8.277121491454322e-07 1.107316770679675e-05 -6.8701817782044454e-06 6.21466856911205e-06 -3.5231784898207688e-06 -4.388177824221357e-06 2.010224753668805e-06 3.565946593745939e-06 2.4319745352672603e-06 1.0771691866025622e-05 -1.6668143621365115e-06 -5.268253144694386e-05 0.00017226261282827672 -0.00037953377506498744 3.115234721554693e-05
PC1 -6.089145866150705e-07 4.402727073477994e-06 -3.592919879511045e-06 -1.5898606817099975e-07 -5.178367962976366e-07 -2.572602773556335e-07 -2.7330283471603465e-08 -3.9785595843623414e-07 4.870252689875846e-07 1.1892152234998884e-07 1.4050090116160947e-07 -3.717615967332857e-07 1.2930735750522741e-06 3.5035096328470367e-07 -9.53970619314091e-07 -1.4153344381244897e-06 -1.243875688245943e-06 1.36700229226606e-07 -2.823706979827971e-07 2.7598102428382615e-07 4.7368469464413523e-07 -2.745580135821266e-06 -5.3940551974930805e-06 -6.274856994411117e-06 -2.504799203729024e-06
PC2 -7.65295178957634e-06 -3.5929198795110444e-06 9.834563746501629e-05 2.9543936505793143e-06 3.935684418282001e-06 -7.631778643511598e-07 2.0905250431003909e-07 1.0595249555634376e-06 7.732160828170863e-07 2.281596438996536e-07 2.531443600041636e-06 2.967692364448428e-07 7.224368269948596e-07 -7.489718847100513e-07 3.4601512507370947e-06 -3.2529664194749616e-08 -3.539450983678571e-06 2.101539371315017e-06 5.940113470043847e-07 -3.0581703782675156e-06 -1.3202286014736517e-06 7.5973226077422775e-06 1.8621857162985305e-05 2.6761595429437567e-05 -4.100701285857386e-05
PC3 5.426691397417282e-07 -1.5898606817099962e-07 2.9543936505793118e-06 9.237744359327575e-06 4.0027469830925466e-07 2.574053033559571e-06 -7.525130068604324e-08 1.9003967906438946e-06 3.8430362257817567e-07 -1.4974465412511592e-06 3.587662792635737e-07 -4.6482786282158267e-08 4.792645944319536e-07 -1.6139824266446782e-06 5.615407591163047e-07 -1.0895589689016913e-06 3.647091450151644e-08 -8.288941937104194e-07 -3.048938721044338e-07 1.1169232239597573e-06 8.427311216373671e-07 -8.1592830612466e-08 -5.0132525593564555e-06 1.2691536485266042e-05 -1.2429805141424124e-05
PC4 2.5839861581021705e-06 -5.178367962976368e-07 3.935684418282002e-06 4.0027469830925455e-07 1.534883736401757e-05 3.909206903520578e-06 -7.494190764308378e-07 8.151486768466168e-07 -1.5449532172407001e-06 1.037749340293633e-06 2.667091845599364e-07 1.1589404304062245e-06 -1.9584622474455973e-06 -6.029664985491731e-07 1.2249517589359463e-07 7.128359074135653e-07 4.4931924852261385e-07 -2.226893478919354e-07 -2.8193915392879396e-07 3.868805386463083e-08 -2.548026914752299e-07 -4.896122734554844e-06 1.4612322702857739e-05 1.1357881740964402e-05 -2.4550152113559176e-05
PC5 -2.9219188189616287e-06 -2.5726027735563357e-07 -7.63177864351162e-07 2.5740530335595705e-06 3.909206903520579e-06 3.2550280141405053e-05 1.528832075914855e-06 4.750346535172408e-06 -1.0685224157998902e-06 -1.9148219021863522e-06 -2.2376527147966943e-07 -1.939083089806182e-06 4.3464319982488086e-07 -3.059615075576678e-06 9.117389256239421e-07 -2.9781663556175265e-07 -7.285045359529985e-07 1.9203259658060824e-06 -5.588866346312526e-07 1.0581648558986143e-06 8.490928505860852e-08 1.78926662112073e-06 -8.558055516098475e-06 2.132239301403957e-05 -1.0501898545419112e-05
PC6 7.453584391679677e-06 -2.733028347160328e-08 2.0905250431004126e-07 -7.525130068604285e-08 -7.494190764308374e-07 1.5288320759148566e-06 3.169163108891339e-05 2.4279205673587873e-07 -3.228272957946931e-08 3.885754032228582e-07 -6.136395890541558e-07 -1.9483799381635118e-07 1.9006398319650094e-07 -7.956085660439825e-07 2.7541388917701435e-07 4.0089076073554567e-07 -1.269426877804443e-06 1.024371877195239e-06 -1.0513243814487873e-06 -1.1879588228370151e-06 -5.235222483646919e-07 5.303423814930174e-06 -1.9261537762913312e-05 -1.842270705021788e-06 1.0966580706970008e-05
PC7 4.968373596721424e-06 -3.9785595843623493e-07 1.0595249555634374e-06 1.9003967906438948e-06 8.15148676846617e-07 4.750346535172409e-06 2.427920567358777e-07 2.526558682310853e-05 1.0584797426088525e-06 -1.4722293206227794e-06 -6.132993047234058e-07 1.8180503540866732e-06 1.1746448054486047e-06 1.4994370972457043e-06 -2.0908354109772195e-07 -3.606678370011667e-07 -1.188689618628892e-06 -3.4714595511145887e-07 6.21059908453538e-07 -2.022137809810252e-07 -3.7463233802759885e-07 2.3529993397273192e-06 2.6635143633138533e-05 -1.754080569413229e-05 -3.133396211652125e-05
PC8 2.4132740903075226e-06 4.870252689875848e-07 7.732160828170867e-07 3.8430362257817657e-07 -1.5449532172407006e-06 -1.0685224157998904e-06 -3.228272957946884e-08 1.0584797426088533e-06 2.7771527721615625e-05 3.57816765671237e-07 1.4589582927965807e-06 -1.985826715778024e-06 -3.6802435794142223e-07 7.870474707614137e-07 -5.057394711362373e-07 -1.0539448498324506e-06 -3.0832380224102966e-07 -6.824130619927352e-07 -3.046472999563924e-06 -8.532987450875024e-08 1.2400127133893968e-06 8.992373139794245e-06 -6.471531136531595e-06 -7.549477724691511e-06 -1.4094486722577334e-05
PC9 -2.715158181665743e-06 1.189215223499888e-07 2.2815964389965458e-07 -1.4974465412511592e-06 1.0377493402936313e-06 -1.9148219021863527e-06 3.88575403222859e-07 -1.4722293206227788e-06 3.5781676567123743e-07 2.3710997806202858e-05 -2.34129905610505e-06 5.972892516208713e-07 -8.943620357632919e-07 -7.897326605204596e-07 -6.98363040068048e-07 1.8852756387843368e-07 7.951204139923559e-07 8.290072515398163e-07 -7.190126357114885e-07 -1.0927213675780405e-06 -8.126592406140885e-07 -3.1154199489885435e-07 -1.1460309751309727e-05 2.2030128363331758e-05 7.167160559986758e-06
