 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.0004085143960606087 9.945185375329787e-07 -1.131362036547079e-07 2.2987006443935933e-07 5.540151514132263e-07 -1.8067638313479018e-06 8.73667964633624e-07 9.766543748783657e-07 2.1512476839919513e-07 1.3270132996626148e-06 1.6788859257484283e-07 1.8438738347503962e-06 -1.988571729139985e-06 1.8219129544653803e-06 -1.8011373598832484e-06 -1.5088846367142093e-06 -8.041956084628486e-07 -7.838169606264468e-08 -9.774275813094603e-07 2.0301395829420193e-06 9.201815268825998e-07 -1.0127813267536592e-05 6.784325585883826e-05 -0.00010163459884851819 -1.619096557880268e-05
PC1 9.945185375329785e-07 1.4470417268347273e-06 -1.289013201603404e-06 -1.0030356013440352e-07 -9.826744031414727e-08 -1.40005630143588e-07 6.212082167274024e-08 3.466035151977449e-08 4.751914822873698e-08 4.5577614932171134e-09 1.9044316973243364e-08 -8.49635726545174e-08 4.5954638385742394e-07 4.4938875315001845e-08 -2.6968001055898637e-07 -4.3157562729846616e-07 -4.163202451699304e-07 1.0393128060620892e-07 1.3135650546345863e-08 1.0292819684880193e-07 -4.272783463103584e-08 -1.8575972567850708e-06 -1.0641661434027729e-06 -2.0850123833886234e-06 -1.4761171394838284e-06
PC2 -1.1313620365470638e-07 -1.2890132016034049e-06 3.355589924405732e-05 5.707162888435036e-07 1.1153669090782585e-06 -6.799406536124159e-07 -3.62891590473014e-07 -2.4067745900234544e-07 9.891952355096942e-07 -2.40020095760875e-07 3.2264219642736905e-07 9.25642232430354e-09 -5.494194101382181e-07 -2.8777014066546513e-08 -1.9541584394848883e-07 -1.4526200660243071e-09 -1.3147754564407978e-07 4.5202405743398643e-07 -1.4720455117714208e-07 -2.935695900676828e-07 -1.246511906970962e-07 1.5721928922461952e-06 1.6416293178931647e-06 1.0525027233512708e-05 -5.130804614535652e-06
PC3 2.298700644393585e-07 -1.0030356013440358e-07 5.707162888435037e-07 2.88553398233644e-06 9.010669482254797e-08 8.315004563019721e-07 5.3925454376751176e-08 3.0174735754543226e-07 -9.44298330420751e-08 -7.103112058929518e-07 1.7764382973129565e-07 2.502331695149703e-07 3.18855237343862e-08 -3.267776801127934e-07 1.411062570802663e-07 -1.238115777532247e-07 -1.6332757854589424e-08 -2.2653621231022284e-07 -2.5461701889096163e-07 2.4852050265274495e-07 1.032741778299644e-07 -8.059477106655384e-07 -6.501732841324029e-07 4.700724633333365e-06 -4.364424813682857e-06
PC4 5.540151514132263e-07 -9.826744031414734e-08 1.1153669090782594e-06 9.010669482254791e-08 5.566280598044669e-06 1.3084448658276571e-06 -1.2040946867089076e-07 1.5571698713655984e-07 -6.227397489153319e-07 4.1988091399307964e-07 1.412596730063533e-07 2.2364965806295323e-07 -5.785435382355916e-07 -1.0382855169039195e-07 -1.3065596199827298e-07 -6.932593889204883e-08 2.066355124454626e-07 -4.899881721045926e-08 -2.4695977778580445e-07 -1.4805032009360638e-07 1.00876619285355e-09 -1.6202830853599241e-06 3.8324812877043025e-06 2.7269541387827438e-06 -8.4803716169389e-06
PC5 -1.8067638313479023e-06 -1.400056301435881e-07 -6.79940653612416e-07 8.315004563019719e-07 1.3084448658276575e-06 1.1192745147927798e-05 3.3309210915571875e-07 9.085804917835652e-07 -4.44845435456976e-07 -3.3689941384026875e-07 -2.6101117116069877e-07 -8.661272988700307e-07 4.20849059341055e-07 -9.592986979488811e-07 4.6466782419208567e-07 -9.225843539127207e-08 -8.736123702629947e-08 5.660166421059666e-07 -2.8126994640102986e-07 1.212653327883295e-07 -3.3188007715281517e-08 1.1980885207274624e-07 -2.274695753566103e-06 7.329167534436234e-06 -5.71116386624337e-06
PC6 8.736679646336239e-07 6.212082167274033e-08 -3.6289159047301426e-07 5.392545437675134e-08 -1.2040946867089092e-07 3.330921091557187e-07 1.0728270290592086e-05 3.104995911452832e-08 4.288129681484826e-08 2.7776084449924864e-07 7.740667174840876e-08 -3.342752982549468e-07 -1.0997072143990887e-07 -3.050973488134258e-07 -1.133458544327135e-07 -8.701907720045869e-08 -1.0327440060272706e-07 3.8205281147076624e-07 -2.3934111024133485e-07 -1.2597853577808992e-07 -2.9636922865300873e-07 1.0788408888786445e-06 -3.4066167306561605e-06 2.0343684705521763e-06 -2.96566188514268e-06
PC7 9.76654374878366e-07 3.466035151977456e-08 -2.4067745900234575e-07 3.017473575454322e-07 1.5571698713655992e-07 9.085804917835653e-07 3.104995911452847e-08 8.655423933079658e-06 3.964251800421827e-07 -3.0048495394274033e-07 -1.4017260654621253e-07 7.432243529709112e-07 1.0395120389826822e-07 6.021617963237368e-07 -2.2338974103437596e-07 -2.2710955620642132e-07 -3.371337337988795e-07 -2.3614980347357197e-07 1.362350174325616e-07 3.424233724713107e-08 -1.6433797220898458e-07 -1.1299682036034726e-06 5.6069242056417055e-06 1.567875017444694e-08 -8.960421336888604e-06
PC8 2.1512476839919416e-07 4.751914822873694e-08 9.891952355096942e-07 -9.442983304207495e-08 -6.227397489153321e-07 -4.4484543545697594e-07 4.288129681484825e-08 3.9642518004218266e-07 9.380642475536727e-06 3.1637780930821626e-07 1.8222968461419505e-07 -5.92471087363411e-07 -4.65788292839138e-08 1.723458203553999e-07 -1.6904061879001033e-08 -2.3814505571747746e-07 1.3881548962445653e-07 8.823144881159485e-08 -3.0804711920384207e-07 -2.8662175171676336e-07 3.1848272863715134e-07 -5.652987734385278e-07 -1.424080510353173e-06 -2.7327844712218763e-07 -8.071920921627646e-07
PC9 1.3270132996626144e-06 4.557761493217177e-09 -2.400200957608752e-07 -7.103112058929517e-07 4.198809139930797e-07 -3.3689941384026875e-07 2.7776084449924864e-07 -3.0048495394274044e-07 3.1637780930821615e-07 8.33881591903236e-06 -2.853878325914518e-07 -1.243669999022547e-07 -1.6946846111639368e-07 -2.3394873107377978e-07 -3.8627948489880627e-07 3.557071898290932e-08 1.545829228217822e-07 2.044544671536096e-07 -4.033817603061432e-07 -2.0444092609953076e-07 -3.124930064446292e-07 4.559029008681485e-07 -5.50123104615751e-06 7.176272450442131e-06 2.229341796927664e-06
PC10 1.6788859257484278e-07 1.9044316973243328e-08 3.226421964273684e-07 1.7764382973129544e-07 1.4125967300635326e-07 -2.6101117116069877e-07 7.740667174840862e-08 -1.4017260654621242e-07 1.8222968461419508e-07 -2.853878325914517e-07 8.784864926599542e-06 -2.658664995673433e-07 1.377088519036692e-07 -2.3112819575862674e-07 -2.3438391360498637e-07 2.7899361102200555e-07 -1.0366401899049433e-07 -1.2617307258834575e-07 2.556329923550108e-07 3.2122224898107143e-07 9.799694715957813e-09 -8.851500347249085e-07 -1.650890236476395e-06 3.949789982960712e-06 -2.674645706678461e-06
PC11 1.8438738347503966e-06 -8.496357265451745e-08 9.256422324303825e-09 2.5023316951497024e-07 2.2364965806295334e-07 -8.661272988700304e-07 -3.3427529825494664e-07 7.432243529709107e-07 -5.924710873634106e-07 -1.2436699990225464e-07 -2.6586649956734324e-07 8.015503422207404e-06 -1.717976725166949e-07 -5.071497314823928e-08 -2.251516783780498e-07 1.89393833559521e-07 -3.616573817390257e-08 1.8984318611387236e-07 -3.924049056908952e-08 2.355576153179107e-07 3.2954278902288416e-07 -1.5552356191618615e-07 5.100520381994566e-06 -8.403988936352546e-06 2.1563847426317517e-08
PC12 -1.988571729139985e-06 4.595463838574237e-07 -5.494194101382177e-07 3.188552373438614e-08 -5.785435382355914e-07 4.208490593410548e-07 -1.0997072143990906e-07 1.0395120389826825e-07 -4.6578829283913623e-08 -1.6946846111639368e-07 1.3770885190366924e-07 -1.7179767251669496e-07 7.532067878012967e-06 1.4644688594776194e-07 -4.348589376859594e-09 -3.9995149764789085e-07 -2.2194538298044355e-07 1.2300005019605943e-07 -1.0774727788414313e-07 1.7032268877899605e-07 -1.1788551132571548e-07 2.3842650838366086e-07 4.780922949409295e-06 -3.5544555792887916e-06 -2.1022618597960822e-06
PC13 1.8219129544653803e-06 4.4938875315001825e-08 -2.8777014066546357e-08 -3.2677768011279336e-07 -1.0382855169039207e-07 -9.592986979488811e-07 -3.0509734881342603e-07 6.021617963237366e-07 1.723458203553998e-07 -2.339487310737797e-07 -2.311281957586267e-07 -5.071497314823918e-08 1.4644688594776197e-07 7.088965321810113e-06 -3.09519819428652e-07 4.804030812785222e-07 8.254521491386375e-08 1.1397394588343527e-07 -3.51948243995973e-07 6.89014074626877e-08 6.3485406884153e-08 3.381297145804287e-07 -1.784852943109008e-06 -3.968845065502687e-06 -2.4722824423632476e-06
PC14 -1.8011373598832486e-06 -2.6968001055898626e-07 -1.9541584394848907e-07 1.4110625708026643e-07 -1.3065596199827321e-07 4.6466782419208535e-07 -1.1334585443271347e-07 -2.233897410343759e-07 -1.6904061879001066e-08 -3.862794848988063e-07 -2.3438391360498629e-07 -2.2515167837805e-07 -4.348589376859504e-09 -3.095198194286519e-07 7.82078517799948e-06 2.560272428735278e-08 1.6699887160449915e-07 -6.128749892705141e-08 8.016403397404337e-08 8.583887576867867e-08 -1.1237780378027163e-07 -1.0973706718581762e-06 2.414714684493708e-06 -5.709591424500943e-06 2.459728695075836e-06
