 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.00024582261718101943 4.934254211449015e-07 -2.2239204860054722e-06 -4.973480620746156e-07 -6.722736547288273e-08 -2.666354042245494e-07 -2.0885553552175634e-07 6.213802106125736e-07 7.34894614888153e-08 8.0474022984164e-07 1.311962030892537e-08 1.460431494189738e-07 1.5484604683653198e-08 1.1711024651133848e-07 1.1934170673014108e-07 -4.781891491350933e-07 -2.5979798830902223e-07 2.445194863912106e-07 -1.9501038108697205e-07 6.599088579469833e-07 1.700232008482324e-07 2.8109285108666804e-07
PC1 4.93425421144901e-07 8.08590653429027e-07 -6.153142077617152e-07 5.3460471460320675e-08 -5.7897740712676174e-08 -3.59849635256012e-08 -2.087260388470891e-09 3.989651958006827e-08 1.0387207327077459e-07 -2.516657135748434e-08 5.021000807849578e-08 -3.8759761477353144e-08 2.2638197621528358e-07 5.1396793423318574e-09 -9.77111890374717e-08 -1.84237013756672e-07 -1.6483837845576636e-07 2.5421180963886364e-08 5.015272854615921e-08 1.7093091366903924e-08 1.8005635452128097e-08 -1.9513829623089717e-06
PC2 -2.223920486005472e-06 -6.153142077617153e-07 1.752559818812526e-05 2.128596096352439e-07 5.976573028606063e-07 -1.9126546440125041e-07 -4.7238824451972235e-08 1.7378876855384696e-09 1.2034113084185406e-07 4.979145249157251e-08 -1.1217032155926837e-08 5.311716256468379e-08 -1.5564603572932336e-07 5.824594228683616e-08 -1.9235695603718565e-07 1.0784988600805256e-07 -1.65092310493611e-07 1.599519310565597e-07 -1.2917521347691563e-09 -1.4034162069616249e-08 -1.7332961160853675e-08 -1.9810948910370785e-07
PC3 -4.973480620746151e-07 5.3460471460320636e-08 2.128596096352439e-07 1.6884163175951019e-06 2.2886248066155404e-08 2.8074880279617795e-07 2.829667027887031e-08 6.140920389375137e-08 -5.0156366257787926e-08 -3.317076863185054e-07 2.918264633611093e-08 1.3406182827592631e-07 6.716538155963272e-08 -1.7128912425025304e-07 -6.138920807511059e-09 -2.8432138907810656e-09 7.011111410951015e-09 -1.1045875304982632e-07 -1.431385879480499e-07 1.1654026196440538e-07 4.610950208402502e-08 -5.528336805196863e-07
PC4 -6.722736547288302e-08 -5.789774071267617e-08 5.976573028606066e-07 2.2886248066155394e-08 2.9623277330640015e-06 4.3345267031248094e-07 -2.0444042285061644e-07 -1.6375282819164872e-08 -3.6006542519897015e-07 2.2467307737816125e-07 9.894529820897716e-08 1.0099500736642853e-07 -2.0969327208774383e-07 6.537602487017309e-09 -9.605165367682609e-08 -3.924356671354335e-08 6.159753655461981e-08 1.2021790342864219e-08 -8.973031585349233e-08 -6.699391853980388e-08 -1.766218301968812e-08 -5.380185657639973e-07
PC5 -2.6663540422454956e-07 -3.598496352560121e-08 -1.9126546440125036e-07 2.8074880279617795e-07 4.33452670312481e-07 5.1202404980755535e-06 4.3437419327334835e-08 4.936147648995837e-07 -9.210749644813863e-09 -6.077176132601736e-08 -8.986707480759864e-08 -2.9877620916498195e-07 1.7224253573677538e-07 -2.6092318946095873e-07 3.193325181225611e-08 6.338514353848298e-08 -4.209883474190342e-08 2.443907635426132e-07 -1.1141024116650295e-07 8.980624806980245e-08 6.199165974522804e-08 -3.4406617544031285e-07
PC6 -2.088555355217564e-07 -2.0872603884708797e-09 -4.723882445197226e-08 2.829667027887033e-08 -2.0444042285061636e-07 4.343741932733481e-08 5.933651883321661e-06 1.3177726529417452e-08 3.966050100442538e-09 8.850443642759918e-08 -8.762034963047967e-09 -1.4338307950360082e-07 2.4553912096928843e-08 -1.516917901410337e-07 -2.7505503877480257e-08 -2.272895025638038e-08 -1.989208023793994e-08 2.3424088438030119e-07 -5.761292838777811e-08 -2.6095683131078516e-08 -9.751605070455132e-08 -2.0658162343238173e-07
PC7 6.213802106125741e-07 3.989651958006821e-08 1.7378876855387485e-09 6.140920389375135e-08 -1.6375282819164875e-08 4.936147648995833e-07 1.3177726529417517e-08 4.936741567346862e-06 2.2464620113082638e-07 -7.987052614887382e-08 -4.090647887952374e-08 3.6108635310837375e-07 6.089802172235726e-08 2.709260946740267e-07 -2.6416812018678434e-08 -1.6671718947745208e-07 -1.14233992446594e-07 -3.999955248641348e-08 6.866824659915886e-08 -3.0611849293484004e-08 -1.1646342980137731e-07 2.3752330289458343e-07
PC8 7.348946148881543e-08 1.0387207327077451e-07 1.203411308418541e-07 -5.015636625778792e-08 -3.600654251989702e-07 -9.21074964481403e-09 3.966050100442411e-09 2.2464620113082628e-07 4.991450975881613e-06 1.0221972842519898e-08 1.5765673770444556e-07 -2.2814713301184477e-07 8.476392231595288e-08 -5.76499113768961e-08 5.5105844164984324e-08 -1.0414713078750744e-07 4.19478934036873e-08 7.353640260930199e-08 -4.655591699346525e-08 -5.1147698978951664e-08 8.615002206880662e-08 -5.35081121988015e-07
PC9 8.047402298416404e-07 -2.5166571357484335e-08 4.979145249157246e-08 -3.3170768631850553e-07 2.2467307737816125e-07 -6.077176132601719e-08 8.850443642759914e-08 -7.987052614887381e-08 1.0221972842519893e-08 4.700586818806142e-06 -4.110782550169077e-08 -1.4707922152569845e-07 -4.1755897243560265e-08 -1.328177637428219e-07 -5.750189710383206e-08 3.124654449458707e-08 1.0574195158359772e-07 1.3652394623020847e-07 -1.5522590098212657e-07 -7.632583280480645e-08 -9.039050945689423e-08 3.191801443059331e-09
PC10 1.3119620308925043e-08 5.0210008078495774e-08 -1.1217032155926923e-08 2.9182646336110985e-08 9.894529820897722e-08 -8.986707480759853e-08 -8.762034963047983e-09 -4.090647887952373e-08 1.5765673770444556e-07 -4.110782550169083e-08 4.35312134679545e-06 -2.0859450111442315e-07 1.3834895963165642e-07 -2.0127813360529077e-07 -1.0991616812550428e-07 -7.200780033645261e-08 -1.6245577609706658e-07 2.661828671758711e-08 1.6868576664119913e-07 1.413245716660174e-07 5.5746435213952566e-08 -4.3059434019434754e-07
