 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0002476686705027712 4.762006250680796e-07 -2.2815861194579454e-06 -3.773245385792329e-07 -1.598709673008235e-07 -2.7978107516623653e-07 -1.4299126823814634e-07 6.187521801852774e-07 5.5113497287599484e-08 7.803478928759976e-07 9.33588381925752e-09 -5.430578811688608e-08 2.8485712611180506e-08 2.483697434129058e-07 5.553980403505614e-08 -4.7084655255899865e-07 -2.5320219022219926e-07 1.6980420963631438e-07 -1.847385661665474e-07 6.093829008718632e-07 1.4155743714836645e-07 1.339016904519014e-05 -1.4706369363409575e-05 -1.5068920156081278e-05
PC1 4.7620062506808e-07 8.26532726540385e-07 -6.306716315364781e-07 6.106376833218941e-08 -6.20046868042212e-08 -3.281983145017666e-08 4.353575801820404e-09 3.937000839876693e-08 1.0129174705708432e-07 -2.7745948095887153e-08 5.1967094815959625e-08 -3.585662795174642e-08 2.274439635977064e-07 2.1671268588646207e-08 -9.769467621676038e-08 -1.814438515473577e-07 -1.589653704041524e-07 1.763074388606168e-08 4.98994363090863e-08 7.974943976738161e-09 1.0465537989725473e-08 -3.7328022910941495e-07 -2.1796050396520722e-06 -1.665542785339436e-06
PC2 -2.281586119457946e-06 -6.306716315364778e-07 1.7620758017087996e-05 2.0674864747868745e-07 5.846142016342938e-07 -2.072424203611167e-07 -6.904541248750025e-08 1.8009050427029962e-08 1.052808729394534e-07 3.372818250360039e-08 -1.352070651203135e-08 7.086331584198657e-08 -1.61442805045493e-07 2.241280625154707e-08 -1.5940661599527263e-07 1.0350961480009003e-07 -1.7231430318471926e-07 1.6225398218545954e-07 -1.6332353530107378e-08 -9.732986490376908e-09 -9.461263410719272e-09 -5.456296610226052e-07 8.60146094995002e-08 5.175152573153956e-07
PC3 -3.773245385792329e-07 6.106376833218944e-08 2.0674864747868731e-07 1.7065432448200508e-06 2.297502731415061e-08 2.584044330202663e-07 2.007770326293949e-08 5.569665462551595e-08 -6.184621546141427e-08 -3.272345376359913e-07 3.8973205114721034e-08 1.3597856456740954e-07 6.666193497984311e-08 -1.6653337547574218e-07 5.368458001267377e-09 -3.664454382539224e-09 3.6543224518562303e-09 -1.0858972529602799e-07 -1.3849989243848774e-07 1.042408050314043e-07 3.578177915792944e-08 6.459283638934923e-08 -5.546455660554402e-07 -8.359318165753871e-07
PC4 -1.5987096730082336e-07 -6.200468680422122e-08 5.846142016342939e-07 2.2975027314150608e-08 2.9540439241507538e-06 4.299012506236873e-07 -2.1256406410433685e-07 -2.1656485703587793e-08 -3.569085774456068e-07 2.436711945605678e-07 8.978521795081575e-08 1.0012140244760682e-07 -2.0370571244602095e-07 3.2312291508893605e-08 -9.913980443142083e-08 -2.5705627641638468e-08 6.58893538123009e-08 -1.5890664388574746e-09 -8.095260873654053e-08 -7.268967229938141e-08 -1.9701632179859292e-08 -5.555163386804127e-07 3.869360098540256e-07 -2.855487318836266e-07
PC5 -2.797810751662369e-07 -3.281983145017662e-08 -2.072424203611167e-07 2.584044330202662e-07 4.2990125062368723e-07 5.0807308650293064e-06 3.7505505352354353e-08 4.889702315666872e-07 2.2325806906409333e-08 -5.0551454388107895e-08 -7.858244961272983e-08 -3.0671756852875794e-07 1.7093820163812035e-07 -2.4232660281167587e-07 2.814086390411461e-08 6.318975365638509e-08 -5.942792784398278e-08 2.427440019318436e-07 -1.0613104872537396e-07 8.127043350834174e-08 7.661993829746623e-08 -4.0988224911874933e-07 -3.377186968061675e-07 3.944656621858336e-07
PC6 -1.4299126823814594e-07 4.3535758018204046e-09 -6.904541248750041e-08 2.0077703262939505e-08 -2.125640641043368e-07 3.750550535235433e-08 5.966645544406466e-06 1.2482668529301595e-08 5.87957988960617e-09 9.236730752760685e-08 1.1909260231163504e-09 -1.4217415181003993e-07 2.4770222288474342e-08 -1.7147257378110835e-07 -1.8048379862992996e-08 -3.2287145527390877e-08 -3.061226757371848e-08 2.443488215762417e-07 -6.952080642200843e-08 -3.979603669861794e-08 -9.74866698536159e-08 8.319626117844929e-07 -1.3988798567572318e-06 -8.082067431348627e-07
PC7 6.187521801852772e-07 3.9370008398766916e-08 1.8009050427030015e-08 5.5696654625516025e-08 -2.1656485703587833e-08 4.889702315666873e-07 1.2482668529301528e-08 4.9461813978779525e-06 2.3487718818356373e-07 -7.518236362786984e-08 -3.9672988960972084e-08 3.666921129465163e-07 7.56087839175784e-08 2.8522356838997204e-07 -3.7194979869586596e-08 -1.6402970280595815e-07 -1.077450647105055e-07 -3.137092548156609e-08 6.79549084999186e-08 -3.642185430301518e-08 -1.0775919070687245e-07 1.6306222369874728e-07 9.898333649018683e-07 -6.47681701562831e-07
PC8 5.511349728759909e-08 1.012917470570843e-07 1.0528087293945335e-07 -6.184621546141427e-08 -3.569085774456067e-07 2.2325806906409267e-08 5.879579889606134e-09 2.3487718818356365e-07 5.004002386009878e-06 4.662303555802377e-09 1.487815117511059e-07 -2.29373778909396e-07 9.56191947874675e-08 -5.925415297212031e-08 6.443043248773235e-08 -9.33168708245062e-08 3.367490447941669e-08 7.709250627177044e-08 -3.8239488627173574e-08 -5.200251964646846e-08 8.931036159829529e-08 -3.6161324477237153e-07 -1.6681325499781182e-07 -6.073694523394916e-08
PC9 7.803478928759975e-07 -2.7745948095887186e-08 3.372818250360056e-08 -3.2723453763599124e-07 2.436711945605678e-07 -5.0551454388108015e-08 9.236730752760682e-08 -7.518236362786985e-08 4.662303555802364e-09 4.733822918166653e-06 -4.2899702284161413e-08 -1.4846693193444896e-07 -5.5046945675612546e-08 -1.43810407499061e-07 -6.476755645601581e-08 2.0565848152183542e-08 1.1075789341458638e-07 1.3611255550353652e-07 -1.5896338783779745e-07 -7.357718451004771e-08 -8.056312206459188e-08 -4.6356373043061544e-07 2.5876961430959246e-07 8.667236070066678e-07
