 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.0005227249422366838 1.0153349912428323e-06 1.0238469231134348e-06 4.317245265726995e-07 1.5275320570737238e-06 -2.31588404584515e-06 2.821003014745732e-07 1.8285206790378085e-06 -4.694069003580238e-07 1.4539068883350178e-06 -9.925867859788098e-08 7.923892953993066e-07 -1.909267068083464e-06 1.4424744903783162e-06 -1.3929471102266855e-06 -1.2857522408573017e-06 -3.509148803329208e-07 5.2512790002439185e-08 -4.414410839832052e-07 1.7050760644547309e-06 1.4481862147112105e-06 -8.36397587583055e-06 8.100658832266136e-05 -0.0001205219781060902 -2.225161452856312e-05
PC1 1.0153349912428315e-06 1.7928528537829255e-06 -1.3217767439839855e-06 -1.387541496185329e-07 -9.227529023641694e-08 -1.4443949810857998e-07 1.9372676499640668e-08 5.376815459228126e-08 6.09951241524683e-08 -7.957500696431973e-09 2.988678509284555e-08 -1.1432521038256174e-07 4.553062947833337e-07 1.742237985173508e-08 -2.480763707436839e-07 -4.186810314487514e-07 -3.891291933729475e-07 8.368386476481479e-08 -1.2814727102534343e-09 9.769690305966677e-08 -3.059372428083149e-08 -1.933017269194106e-06 -2.0159170581225207e-06 -2.0284312469890757e-06 -1.2730325742554037e-06
PC2 1.0238469231134377e-06 -1.321776743983986e-06 3.333072920179926e-05 5.312315759432938e-07 9.966394633819005e-07 -7.544224861151791e-07 -2.8000976525057e-07 -5.859757361727157e-08 6.925044892619364e-07 -3.104289180115422e-07 2.526663771778392e-07 -1.868137398029322e-08 -3.709949233637637e-07 9.12618761815646e-08 -1.518612868875894e-07 2.2063077968062655e-07 -9.194911198230614e-08 2.80134993658321e-07 1.827606079522258e-08 -1.1354033109446149e-07 -1.043292066743049e-07 5.151961684914992e-07 2.984282325725012e-06 1.0950305060069894e-05 -6.058439519583006e-06
PC3 4.3172452657270006e-07 -1.3875414961853288e-07 5.312315759432938e-07 3.4847629823431282e-06 5.719170640168217e-08 7.955641628875145e-07 3.062400241147295e-08 2.55064045221495e-07 -1.4191548094411108e-07 -6.934384429092114e-07 1.752613047425057e-07 2.4537086182173825e-07 5.656089861433606e-08 -2.800705225715971e-07 1.8242988984679027e-07 -1.4420981769042533e-07 -2.0047566423904914e-08 -1.4468511119048173e-07 -1.957842217985843e-07 1.998115494805887e-07 1.0811914354591998e-07 -9.325871037967987e-07 -4.622093241894398e-07 4.938902905349029e-06 -5.245177436686606e-06
PC4 1.5275320570737248e-06 -9.227529023641696e-08 9.966394633819003e-07 5.7191706401682227e-08 6.500369546125134e-06 1.1935749816566624e-06 -1.4504490630264293e-07 8.484016583080349e-08 -6.164796141648503e-07 4.7650121266176425e-07 1.692707682710781e-07 2.430509575002173e-07 -5.440748233890835e-07 -9.508242965233038e-08 -1.005512547281095e-07 -8.900003033284025e-08 2.0443832116524755e-07 -7.529238199062048e-08 -1.652650359414929e-07 -1.1982230728278375e-07 -7.629068685679838e-08 -8.014549574372493e-07 3.4920183173948707e-06 3.5548220644750413e-06 -8.613315886598444e-06
PC5 -2.315884045845147e-06 -1.444394981085801e-07 -7.544224861151791e-07 7.955641628875148e-07 1.1935749816566628e-06 1.1487595511554784e-05 3.219476942290985e-07 7.664855306916062e-07 -2.3979412260087287e-07 -2.7385174263060544e-07 -1.5397288212191943e-07 -7.264354182680245e-07 4.762450268154508e-07 -8.203606321439943e-07 3.4155623146642397e-07 -5.9135576833532134e-08 -1.0018050989461107e-07 5.341922985701523e-07 -2.1329931324309788e-07 2.5156897865190212e-08 -5.8267018362913e-08 6.335079025002366e-07 -2.7795828702032103e-06 6.8784002002779665e-06 -4.479342246155953e-06
PC6 2.8210030147457594e-07 1.937267649964077e-08 -2.8000976525057026e-07 3.062400241147301e-08 -1.4504490630264303e-07 3.2194769422909837e-07 1.0819629623651624e-05 3.166184228830971e-08 3.4710901397299752e-09 2.2084653046856932e-07 1.4324965306605258e-07 -3.036306522675942e-07 -5.825221058603995e-08 -2.598266048199734e-07 -1.4131011348186193e-07 -4.793706249513145e-08 -9.248212097065703e-08 3.6346145905168124e-07 -2.7554846912372346e-07 -9.432308744267645e-08 -2.8406713283659067e-07 1.1832090739557263e-06 -2.4414973966218396e-06 1.2771119018478142e-06 -3.81725856890459e-06
PC7 1.8285206790378087e-06 5.376815459228139e-08 -5.859757361727158e-08 2.550640452214951e-07 8.48401658308035e-08 7.664855306916061e-07 3.1661842288310036e-08 8.831356563451956e-06 3.6845354252561304e-07 -2.985155148977786e-07 -1.6137249632070856e-07 5.53359487559019e-07 6.542992783179351e-08 4.750074124202749e-07 -1.0997820209227294e-07 -1.6905115517435655e-07 -2.66520796303854e-07 -2.0757831867394192e-07 1.355108195282436e-07 1.2524511448632024e-08 -1.1978805646941158e-07 -9.501442516173961e-07 6.060468303882539e-06 -3.376288782355891e-07 -9.42455775855933e-06
PC8 -4.6940690035802457e-07 6.09951241524683e-08 6.925044892619362e-07 -1.419154809441111e-07 -6.164796141648498e-07 -2.397941226008732e-07 3.4710901397298797e-09 3.68453542525613e-07 9.406388390895425e-06 2.938667204341031e-07 7.472381329261011e-08 -6.200411501124065e-07 1.9613923624450475e-08 1.351455463029254e-07 -5.480008273794004e-08 -1.6580716214346076e-07 9.131967169193618e-08 5.562035183534125e-08 -2.7022655708849997e-07 -2.769778424827659e-07 2.352353772388045e-07 -1.2324018915460861e-07 -5.493934350778818e-07 -5.763135939333747e-07 -1.6385297045303591e-06
PC9 1.4539068883350178e-06 -7.95750069643198e-09 -3.104289180115427e-07 -6.934384429092116e-07 4.76501212661764e-07 -2.73851742630606e-07 2.2084653046856945e-07 -2.985155148977785e-07 2.9386672043410315e-07 8.507066298057557e-06 -2.2665165918350055e-07 -1.0069804051084089e-07 -1.3516529193657836e-07 -1.9772851915282763e-07 -3.585028168043477e-07 -1.0332990293335369e-08 2.837318595719447e-07 1.8471522082599633e-07 -4.657000876704977e-07 -2.535611284620254e-07 -2.9311735727150827e-07 8.793999455596382e-07 -5.391227771037242e-06 7.716660935954873e-06 1.0918354719417913e-06
PC10 -9.925867859788e-08 2.988678509284557e-08 2.5266637717783873e-07 1.7526130474250573e-07 1.692707682710781e-07 -1.5397288212191964e-07 1.432496530660526e-07 -1.6137249632070835e-07 7.472381329260996e-08 -2.2665165918350068e-07 8.638764052377555e-06 -2.515800677106296e-07 1.1480486462370111e-07 -2.393798198550043e-07 -1.7779456742309047e-07 1.7080014076246568e-07 -3.10392867411383e-08 -1.6691853136367291e-07 2.668875312750794e-07 2.5728112313051775e-07 -5.774583233423469e-08 -4.426039226282782e-07 -1.2055351673069145e-06 3.2905190699107808e-06 -3.299272205294592e-06
PC11 7.923892953993067e-07 -1.1432521038256172e-07 -1.8681373980293885e-08 2.453708618217383e-07 2.430509575002173e-07 -7.264354182680241e-07 -3.036306522675938e-07 5.53359487559019e-07 -6.200411501124068e-07 -1.0069804051084075e-07 -2.5158006771063e-07 8.119192397307353e-06 -1.1789735194054347e-07 -4.993147289650875e-08 -9.439453011898142e-08 1.131167883205956e-07 3.866066495540795e-08 1.389854458238507e-07 -3.829539204334659e-08 1.652400166946836e-07 3.3983257187534434e-07 -5.7084906985376596e-08 3.747948134492661e-06 -6.70442091946407e-06 3.864234733756202e-07
PC12 -1.9092670680834654e-06 4.553062947833341e-07 -3.7099492336376416e-07 5.6560898614335943e-08 -5.440748233890839e-07 4.7624502681545096e-07 -5.825221058603989e-08 6.542992783179368e-08 1.9613923624450475e-08 -1.3516529193657857e-07 1.1480486462370106e-07 -1.1789735194054356e-07 7.678759945033964e-06 6.777773831694382e-08 -5.2554493321017384e-08 -4.02370886687708e-07 -1.917058717217312e-07 1.1297535064374279e-07 -1.0899044214319742e-07 1.386106316349534e-07 -4.812636226887074e-08 3.30490004231151e-07 4.1344313173066985e-06 -3.954960482077724e-06 -1.52155863501162e-06
PC13 1.4424744903783158e-06 1.7422379851735125e-08 9.126187618156462e-08 -2.800705225715972e-07 -9.508242965233062e-08 -8.203606321439944e-07 -2.598266048199736e-07 4.750074124202751e-07 1.3514554630292546e-07 -1.9772851915282786e-07 -2.393798198550044e-07 -4.993147289650861e-08 6.777773831694394e-08 7.201397796652408e-06 -3.195201836233571e-07 5.482373231659136e-07 8.928708056466345e-08 5.15993653118946e-08 -2.1910448200056841e-07 1.0100451947726875e-08 8.495398035837362e-08 -7.263775380942584e-08 -1.48198623035427e-06 -4.035315027411891e-06 -2.6764510402489218e-06
PC14 -1.392947110226686e-06 -2.480763707436842e-07 -1.51861286887589e-07 1.8242988984679024e-07 -1.0055125472810955e-07 3.4155623146642386e-07 -1.4131011348186188e-07 -1.0997820209227302e-07 -5.480008273794006e-08 -3.5850281680434766e-07 -1.7779456742309063e-07 -9.439453011898142e-08 -5.255449332101742e-08 -3.19520183623357e-07 7.854796943885765e-06 5.1478152871607545e-08 1.0241686814119374e-07 -3.5218285214308156e-08 7.822483531784023e-08 1.038310911715351e-07 -2.8929106731974352e-08 -8.129962133252399e-07 1.6620436309120156e-06 -5.704376352575459e-06 2.9164926294665536e-06
