 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
intercept 0.00047481682673420077 8.858480218403704e-07 -2.4263173899144663e-06 -7.969079506213391e-07 1.3119144337021406e-06 -5.606136727227103e-07 -2.3014439100579983e-07 1.9224114613384354e-06 7.317234525514359e-07 3.22551107412568e-07 -7.1152250655112e-07 1.973071611620469e-08 -2.8544373166847944e-07 6.193545629347002e-07 6.384933449148554e-07 -7.312255334890981e-07 -7.410734610586169e-08 -3.1297403391538337e-07 6.300608304300989e-07 1.0981056577542204e-06 3.8521008484692085e-07 7.927386251839395e-06 5.269316590694031e-05 -5.160584868565351e-05 -7.249995330412744e-05
PC1 8.858480218403705e-07 1.6321048340642082e-06 -9.332103566943693e-07 2.940550235756221e-08 -5.025161513067799e-08 -2.0772583868079327e-07 1.7275027918260695e-08 1.283011037642928e-07 1.3155544956873072e-07 -7.50053193107523e-08 1.208953815516028e-07 -7.631620458125429e-08 2.718535882907744e-07 -7.120197255948668e-08 -1.1247051674370507e-07 -2.522065673696436e-07 -1.8867020105074614e-07 -2.3845098928895423e-08 -1.8521928171833152e-08 6.607262250821124e-08 1.809289590101494e-08 -1.9186567845607806e-06 1.5043626893486127e-06 -5.2248647456649125e-06 -2.3567053235849785e-06
PC2 -2.4263173899144663e-06 -9.332103566943695e-07 2.3994197242391234e-05 3.928157163265644e-07 7.519146272050062e-07 -2.2847931888661904e-07 -5.6890201173508297e-08 -7.392194132058726e-08 2.3313012728197082e-07 5.6698625632080006e-08 -4.528115141621297e-09 -2.3222010947402352e-08 -7.36078592453654e-08 2.1112347444242575e-07 -3.2159081961743997e-07 2.7011006221659796e-07 -1.0392373731847026e-07 5.622397642295979e-07 1.0009985523442613e-07 -1.7459928332895963e-07 1.0931584254912364e-07 7.963444115026645e-07 5.487605116826753e-07 -2.4470148071891645e-06 3.015082919303421e-06
PC3 -7.969079506213397e-07 2.940550235756219e-08 3.9281571632656446e-07 3.141116836858819e-06 2.5133675918429236e-08 4.4914584092073394e-07 3.2090146955038516e-09 8.748858539796279e-08 -7.321161217272179e-08 -4.221445090009344e-07 -5.87508374669038e-09 1.33327042054711e-07 1.3037437249210452e-07 -3.4438662522793806e-07 -4.828914086175653e-08 -1.6622316390077912e-08 -3.1744739925040088e-09 -1.0196994411507074e-07 -2.722417227133748e-07 1.4862708712812667e-07 5.437776043685119e-08 -3.7969080814983843e-07 9.274927062053706e-07 -2.93942336135862e-06 -1.7585606542165675e-06
PC4 1.3119144337021408e-06 -5.025161513067795e-08 7.519146272050062e-07 2.513367591842932e-08 5.227634165504752e-06 8.397195884319924e-07 -2.8633659941868305e-07 4.8589410103704114e-08 -6.215061869743039e-07 1.2167583780877745e-07 1.57385827421435e-07 -2.8964628181839765e-08 -4.0134640236984916e-07 -1.4766253162877438e-07 -1.0606791094802027e-09 -1.174288062822766e-09 8.797949461529819e-09 6.707956753338068e-08 -8.467025848686199e-08 -1.2641496699658934e-07 2.0382982573447028e-08 -3.6718672493135457e-07 -2.3455031768341224e-06 -8.128536076976399e-07 3.749595155639674e-06
PC5 -5.606136727227098e-07 -2.0772583868079324e-07 -2.284793188866194e-07 4.491458409207338e-07 8.397195884319923e-07 8.39666326959602e-06 1.201882998315925e-07 5.799043888392499e-07 -2.716508687485502e-07 -1.3502867407482752e-07 -1.336984138956496e-07 -4.559674411406903e-07 2.813588468770634e-07 -4.0379575926335543e-07 1.957315091711379e-07 -4.5308122372658316e-08 -5.749191283808862e-08 2.8286318927677295e-07 -7.109558734776085e-08 1.7410482817114295e-07 5.688321098380945e-08 -1.9165847151876874e-08 -4.92685069795023e-06 7.776517622674944e-06 1.8611635699158933e-06
PC6 -2.3014439100579965e-07 1.727502791826069e-08 -5.6890201173508184e-08 3.2090146955036945e-09 -2.8633659941868294e-07 1.2018829983159221e-07 7.986964485109086e-06 7.793632315783402e-09 7.810011307406588e-08 -3.433867396556499e-08 3.947484319663049e-08 -1.5243696972495742e-07 1.0675811885105201e-07 -1.752353656307395e-07 -6.671149340988706e-08 4.361105942776798e-08 -4.641069988755095e-09 2.2104949855637853e-07 -9.244199074597274e-08 -2.0439039206877002e-09 -2.140817374199421e-07 3.7997516155698527e-07 -2.158884169609173e-06 2.7388684686481917e-06 -8.109645014450794e-07
PC7 1.9224114613384366e-06 1.283011037642929e-07 -7.392194132058715e-08 8.748858539796295e-08 4.8589410103704054e-08 5.799043888392501e-07 7.793632315783568e-09 6.597596946864012e-06 3.015741576913361e-07 -1.2279510693688257e-07 -1.1700969450109677e-07 3.997136749829434e-07 7.600541874602813e-08 1.8384899009574883e-07 4.2996526883480026e-08 -2.64002045615465e-07 8.347686294683494e-09 -2.5802133366555302e-08 5.520199054679907e-08 -9.093860913056413e-09 -1.407688822670836e-07 6.009520961188947e-07 7.300825248076521e-07 3.6184768515426234e-06 -6.604811531621862e-06
PC8 7.31723452551436e-07 1.315554495687307e-07 2.3313012728197092e-07 -7.32116121727217e-08 -6.215061869743037e-07 -2.7165086874855017e-07 7.810011307406573e-08 3.01574157691336e-07 7.01275500130819e-06 9.147548777168068e-08 1.0666967415823388e-07 -1.9889719204527742e-07 2.6164409119643003e-07 -2.397648649031212e-08 -5.7875385679272064e-08 -1.8052100885170172e-07 9.711206636925146e-08 3.318502327245877e-08 -1.1915920153450893e-07 -1.9842200843005308e-07 9.043504413695876e-08 1.1725604590538389e-07 1.5273803400235096e-06 -2.3037337716861357e-07 -2.2686878139881407e-06
PC9 3.2255110741256866e-07 -7.500531931075226e-08 5.669862563208031e-08 -4.221445090009342e-07 1.2167583780877755e-07 -1.3502867407482752e-07 -3.433867396556495e-08 -1.2279510693688252e-07 9.147548777168063e-08 6.4118890037052816e-06 -4.389112335965508e-08 -1.2532072866382846e-07 -1.0028972098732467e-07 5.5540301090578446e-09 -1.7303683285581159e-07 1.5273077306270372e-07 2.8743341297803455e-07 2.2271794753006116e-07 -2.259165989757515e-07 -1.4842938192463249e-07 -1.4259520086697022e-07 -4.108328287707139e-07 2.4223149319983907e-06 -8.826871358633566e-07 -2.066102019244776e-06
