 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.0005655544028504381 1.1543994174276845e-06 8.163878947508744e-07 5.14337925456451e-07 1.968379081716668e-06 -2.259831353723025e-06 -7.640945246181933e-08 1.753797333897189e-06 -4.861392449159573e-07 1.5484879368929495e-06 -3.854708654530283e-07 8.823541166143844e-08 -1.6934758701675508e-06 1.217525540641765e-06 -1.2103375564578835e-06 -1.0076700088776387e-06 -4.0953585198954855e-07 4.925463457002313e-07 -3.6814297025361896e-07 1.7851551851837922e-06 1.3910167750650418e-06 -6.734801074130719e-06 8.618921505746256e-05 -0.00012542688600485427 -2.5099500465242302e-05
PC1 1.1543994174276845e-06 1.8909392731798327e-06 -1.1879243683628848e-06 -1.2228946922661847e-07 -7.277378235661445e-08 -1.7000383398762397e-07 6.5973860178991115e-09 2.1346834236423584e-08 5.517435891485609e-08 -1.4792553993501294e-08 2.303590572184712e-08 -1.0372173703739916e-07 3.9118858189303974e-07 2.918604113381849e-08 -2.1475885019310176e-07 -3.631952323858404e-07 -3.1966227324428026e-07 4.329368054780649e-08 3.3533133653627444e-10 8.18537268628275e-08 -2.6655562231945752e-08 -1.8018001180135706e-06 -2.4178680039334534e-06 -1.9508863164396755e-06 -9.592960947153008e-07
PC2 8.163878947508759e-07 -1.1879243683628852e-06 2.90652635991466e-05 4.093735882968038e-07 8.390380395956855e-07 -5.789133339547181e-07 -2.2645625845865872e-07 2.1316951747447826e-09 6.639898994278604e-07 -1.5203105122932463e-07 1.839830412018252e-07 -7.803017534489974e-08 -2.551577760447378e-07 1.55341243304258e-07 -2.2749933412052412e-07 1.5113376245866002e-07 -4.630738845469847e-08 3.47479481751471e-07 5.1528876759205455e-08 -1.1891355955452058e-07 -1.0946973146748474e-07 1.6959254130316933e-06 1.9196599035310896e-06 9.524961314885631e-06 -5.380330895916767e-06
PC3 5.143379254564516e-07 -1.2228946922661863e-07 4.0937358829680364e-07 3.6109642534345864e-06 4.6817588253746425e-08 7.100083464674531e-07 3.264982236729992e-08 2.39289505681326e-07 -1.5390807543245832e-07 -6.076036110982149e-07 1.4726080386500406e-07 2.2919998116457935e-07 3.0688672342250914e-08 -2.3326592118758545e-07 1.6385369346847725e-07 -1.2715494091271135e-07 -1.2128631148240274e-08 -1.2388262733048438e-07 -1.6083801340992318e-07 1.4685758228115532e-07 8.201126422190717e-08 -7.028054091477224e-07 -6.310181964005645e-07 4.966024653465944e-06 -5.555980344170264e-06
PC4 1.9683790817166694e-06 -7.277378235661453e-08 8.390380395956854e-07 4.681758825374638e-08 6.451483356935143e-06 9.786210603136468e-07 -1.4768627983786807e-07 8.693535133311268e-08 -4.869881968973384e-07 4.040449718263564e-07 1.691851651400072e-07 2.0032363591522682e-07 -5.289668568109267e-07 -7.112922302573799e-08 -7.511287796860374e-08 -2.2912395827793924e-08 1.1321548846842215e-07 -1.1676237720081224e-07 -6.804407847556616e-08 -5.984645769517898e-08 -5.150771518383757e-08 -5.830211101861788e-07 3.604573891334278e-06 2.7077478171808734e-06 -8.104211436017234e-06
PC5 -2.2598313537230244e-06 -1.70003833987624e-07 -5.789133339547188e-07 7.100083464674529e-07 9.786210603136468e-07 1.0431466858948892e-05 2.781699710424258e-07 5.726450560849837e-07 -1.7011762523925433e-07 -2.497775192660515e-07 -1.0241227291152037e-07 -4.703932210570358e-07 3.781432587911464e-07 -6.568183106618003e-07 3.1411668441808704e-07 -5.981188690782376e-08 -1.554531031157694e-08 3.526462632998939e-07 -1.384496936073346e-07 1.9279735511347427e-08 -6.337959261361538e-08 7.302852361585813e-07 -2.973917950665031e-06 6.7326785157631445e-06 -3.464985259756341e-06
PC6 -7.640945246181722e-08 6.597386017898981e-09 -2.2645625845865874e-07 3.264982236730001e-08 -1.4768627983786791e-07 2.781699710424258e-07 9.645854173367947e-06 5.029346581555626e-08 6.804486978458056e-08 1.7244479214417837e-07 1.169953518578888e-07 -2.817372915992694e-07 -3.3899094585524414e-09 -1.555134987167694e-07 -1.1505618683947998e-07 2.0462450384019395e-09 -9.214169378071179e-08 3.296242206673399e-07 -2.4372772036340526e-07 -9.747697665453464e-09 -2.6260684633418657e-07 8.624004249856908e-07 -1.8066950719424159e-06 8.86645690035561e-07 -4.229655707653824e-06
PC7 1.7537973338971896e-06 2.134683423642348e-08 2.131695174744939e-09 2.3928950568132596e-07 8.6935351333113e-08 5.726450560849834e-07 5.0293465815556116e-08 7.93284558399063e-06 2.4643974292985153e-07 -2.2026604429238158e-07 -1.4998516277243283e-07 4.676712200720565e-07 7.305767413057659e-08 4.0473391582195655e-07 -4.3249568001884014e-08 -1.7358866187356244e-07 -1.7894383513022578e-07 -1.2476923396691365e-07 1.361295777655208e-07 1.5297225244830612e-08 -1.1310989727824283e-07 -7.983685973523703e-07 5.131268810094465e-06 -5.88869457408914e-07 -8.170542719320581e-06
PC8 -4.861392449159559e-07 5.5174358914856004e-08 6.639898994278607e-07 -1.5390807543245848e-07 -4.869881968973381e-07 -1.7011762523925433e-07 6.804486978458041e-08 2.464397429298515e-07 8.332398505439855e-06 2.26375497915818e-07 -5.10914648850341e-09 -4.739587707831536e-07 1.0253743109067661e-07 9.222693574148065e-08 -2.1266857460419408e-08 -1.562761423622679e-07 1.467158734450689e-07 3.618270006444955e-08 -2.1546668628498445e-07 -2.3698707916890215e-07 1.7772186579222546e-07 -3.3920650622287105e-07 3.822446010454606e-08 2.4164899359213564e-07 -1.8823061529270967e-06
PC9 1.5484879368929478e-06 -1.4792553993501337e-08 -1.5203105122932477e-07 -6.076036110982154e-07 4.0404497182635676e-07 -2.4977751926605136e-07 1.7244479214417853e-07 -2.2026604429238185e-07 2.2637549791581794e-07 7.615913460912975e-06 -2.2291248141773082e-07 -9.538344642835732e-08 -7.893044371970801e-08 -1.7957972978162675e-07 -2.6385317779910375e-07 2.9538725778299627e-08 2.3135716502838192e-07 1.9205904628468591e-07 -4.396755806096725e-07 -1.768047595680016e-07 -2.2323662990109637e-07 5.270011225817092e-07 -4.06890195988387e-06 6.353007251088351e-06 8.286317826787388e-07
