(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband maternal gmm gpm
(Intercept) 0.00548499598382849 -4.10234998089062 -0.895922256820535 0.890976707989385 8.1135362098366 -4.01183435177645 0.000107729507068096 1.561333172436e-07 -0.000219972950872901 0.000121191331833622 -0.000152396004654839 1.78490883448467e-05 5.53917820119966e-05 7.98762562093956e-05 -0.000165776239468865 -9.43303912861841e-05 3.73969735111372e-05 -5.61073257369836e-05 0.000128054519653851 0.000111605564088595 -1.41120651005489e-06 -2.56172362914785e-05 9.10978812066724e-05 0.000129099749810015 0.00014093032290115 7.921883518523e-05 0.000106662562612545 0.000443821364895839 -0.000510951776571482 -0.000741311187188067
covarSEX -4.10234998089062 1232580.48014704 20002.2332332615 -19939.3263130946 -2460912.67010575 1228546.3452774 -0.58654315849053 -0.927537601883936 -0.569903187752258 -1.0027316100309 0.220427151150761 -0.0251823154649577 -0.288538825928719 1.7640081752649 -0.99721267604935 -0.0269534296123102 -0.172427455969744 0.607185046275766 1.10927490261361 -0.803235131027469 0.785786254822361 -0.612407672399813 -1.69008264204571 -0.0718413888163521 0.413594772548564 -0.458233776174762 0.956839369179478 -2.07361930050704 2.67715061456701 2.50072374330533
covarYOB -0.895922256820535 20002.2332332615 688.472224453365 -686.315228751923 -39910.0681529453 19911.3845148082 0.00641698012528582 -0.0160182770818142 0.00380250884369501 -0.0705472839820697 0.0376361252944151 0.024991913739901 -0.0128857676892243 0.0306512044838579 -0.00857739634077578 -0.00684697583774423 -0.014963122378917 0.0632135051646945 0.00953518411139546 -0.00930531588192799 -0.00867075261598063 -0.0361758217022027 -0.0271311665070571 -0.018210960328324 -0.0129816926140356 -0.0371243696490101 0.0198294590441336 -0.123832490983225 0.170113501990352 0.0821620531340582
covarYOBsq 0.890976707989385 -19939.3263130946 -686.315228751923 684.17450983508 39785.0973744012 -19849.3078041524 -0.00684635660277703 0.0160890782971364 -0.00375237066693653 0.0701694407177061 -0.0375965492759512 -0.0249904129437659 0.0127295282086308 -0.0305297763703162 0.00857186587601321 0.0069938995552757 0.0149965653203513 -0.0630727005469626 -0.00942457283511011 0.00913667139474549 0.00874018396585699 0.0362272557179837 0.0268488022492163 0.0180677191019629 0.0128008423777421 0.0370408435692619 -0.0197078088204482 0.123658943522706 -0.169961794040611 -0.0819483345803703
covarSEX_YOB 8.1135362098366 -2460912.67010575 -39910.0681529453 39785.0973744012 4913417.35405505 -2452932.05992615 1.15069567945931 1.84930478616713 1.13534127828887 1.99460026695661 -0.432411616764535 0.0482552095732751 0.578836522032199 -3.52482275502504 1.99278220330942 0.0565782096127174 0.341314875657718 -1.20179645787646 -2.20357812889815 1.59566737183275 -1.55239510372475 1.23413611593012 3.36014096612253 0.134025978261392 -0.831916716650034 0.911530396974871 -1.89166833607587 4.13497113331968 -5.36175982626777 -4.99042523924045
covarSEX_YOBsq -4.01183435177645 1228546.3452774 19911.3845148082 -19849.3078041524 -2452932.05992615 1224598.97524147 -0.564443114292557 -0.921995984495499 -0.565572865204487 -0.992074359097128 0.211984931230138 -0.0230144212983568 -0.290418085484089 1.76111050560465 -0.995805740547548 -0.0296085092687672 -0.168890133346406 0.594803912239415 1.09453712208171 -0.792585443248665 0.766877573501163 -0.621729123172226 -1.67034047916934 -0.062168940035552 0.418385453602323 -0.45343183363065 0.935091721232422 -2.06166510979631 2.68501132823617 2.4900161585092
covarPC1 0.000107729507068096 -0.58654315849053 0.00641698012528582 -0.00684635660277703 1.15069567945931 -0.564443114292557 0.00346987659526589 -0.000620555013785958 0.000264254208801415 -9.39960976278459e-05 -0.000231925152344675 -1.93745085329758e-05 0.000147437369643845 0.000143435042657831 -6.18963812930782e-05 0.000122416214629241 -0.000107258189191594 0.000322226046308131 -7.21067819274441e-05 -0.000140945879030308 -0.000319565750267991 -0.000321016118501978 -2.72866166002567e-05 -6.30555366788247e-05 4.58867739699868e-05 8.55441853134583e-06 -0.000300819011825018 0.000183129040599155 -0.000234810502193684 -0.000596481347629941
covarPC2 1.561333172436e-07 -0.927537601883936 -0.0160182770818142 0.0160890782971364 1.84930478616713 -0.921995984495499 -0.000620555013785958 0.0029363061245797 0.000125424172688037 0.000271736667827523 9.84116089653673e-07 8.45845809750293e-06 -6.22106061435595e-05 3.2806890097503e-05 1.09771783138877e-05 1.12092982700308e-05 8.2322818066734e-06 -8.21426561368234e-05 5.39874546558879e-05 -0.00013038667746472 1.31007122499408e-05 -1.28506885125168e-05 0.000137418260403506 2.90734680113199e-05 -5.96412501572854e-05 2.03159535745887e-05 -2.12066572576294e-05 3.68807584206827e-05 3.1931483200086e-05 1.77542046144265e-06
covarPC3 -0.000219972950872901 -0.569903187752258 0.00380250884369501 -0.00375237066693653 1.13534127828887 -0.565572865204487 0.000264254208801415 0.000125424172688037 0.0032788653401457 6.99872755970471e-05 0.00037780642234593 -1.44678594756154e-05 0.000104407645441834 -8.00218872268833e-05 -0.000378873851153498 -1.49931374821367e-05 0.000144591163874221 9.2238377720343e-05 -0.00032378469763557 -1.37412578099203e-05 4.42407591461647e-05 3.95523781044289e-05 -0.000144948967249894 -0.000328870031956699 0.000146604726110967 1.1904720300094e-05 2.72619922823248e-05 -0.00011909304546116 -4.8852381065388e-05 -2.86763235299429e-05
covarPC4 0.000121191331833622 -1.0027316100309 -0.0705472839820697 0.0701694407177061 1.99460026695661 -0.992074359097128 -9.39960976278459e-05 0.000271736667827523 6.99872755970471e-05 0.00334254446235642 0.000631261877326798 -0.000173340184440058 3.46718208067073e-05 -0.000492136101033019 8.51092243264153e-05 9.72906086364752e-05 -2.26199055329996e-05 -0.000199147767059958 -0.000119593836620495 -6.07565436916916e-05 -1.79808924275737e-05 7.3181014361056e-05 8.2548947615458e-05 -0.000137577111716256 -4.73172100487342e-05 1.0638820907379e-05 -6.70557011921599e-05 -0.000211223984740964 0.000337438691472606 -1.45855128865765e-05
