 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
intercept 0.00039126653634345487 6.895902263139738e-07 -2.7577807322037746e-06 -6.254726297985453e-07 8.470466874463171e-07 -4.166220355569008e-07 8.03930707104807e-08 1.9412091346472454e-06 8.773651650359551e-07 4.1404143871695753e-07 -4.6768213732444574e-07 4.26160269852754e-07 -3.9456876186672395e-07 6.966306563773278e-07 3.3418863050155606e-07 -8.209798772975575e-07 -1.1363182922656534e-07 -4.935860416820262e-07 4.244826621284661e-07 1.2516167445477372e-06 1.782240733522843e-07 7.908249803756568e-06 4.47154768607535e-05 -4.591215999053067e-05 -6.204160183497272e-05
PC1 6.895902263139741e-07 1.3808245795803022e-06 -1.0162985834557435e-06 1.8032044572287335e-08 -6.617226001448702e-08 -2.134193661401514e-07 3.269449507191315e-08 1.2658494299325695e-07 1.462681206308888e-07 -6.275799513961084e-08 1.3267780800482934e-07 -6.748124720175961e-08 2.918230217326914e-07 -7.661832358225717e-08 -1.2535723732855245e-07 -2.7759504356766223e-07 -2.1782106117585803e-07 -2.5930496100993294e-08 -1.4768729662596042e-08 7.083985163580522e-08 1.4140246384870966e-08 -2.0755360232638e-06 1.4612469937424477e-06 -4.3554362205879674e-06 -1.819775685404842e-06
PC2 -2.7577807322037763e-06 -1.0162985834557437e-06 2.6092669978753683e-05 4.288283075769305e-07 8.931423947462958e-07 -1.455713708472446e-07 -5.7994803796396435e-08 -1.88656536236794e-07 2.2866089840068217e-07 -4.091116590106207e-09 -1.0539021729749133e-08 -1.1124314455635581e-07 -1.8475547554566124e-07 2.6938294453534995e-07 -3.5475050258791164e-07 3.148306402520436e-07 -7.507893954677321e-08 6.02896816689624e-07 3.9118636944840084e-08 -2.533835482757207e-07 9.139899706433518e-08 -5.8402522988657726e-08 1.052019570805679e-06 -2.2849760311060724e-06 2.8576250174668583e-06
PC3 -6.254726297985455e-07 1.8032044572287395e-08 4.288283075769304e-07 2.74808970523577e-06 5.08099716003895e-08 4.940455935177343e-07 1.2458539106509795e-08 1.0215209216062475e-07 -9.751963591530948e-08 -4.617224812899609e-07 1.512209287461932e-08 1.5151366509401567e-07 1.2294384242896838e-07 -3.8949317255970613e-07 -3.8582285530144636e-08 -2.5388854828854283e-09 2.436000692097134e-08 -1.352460078522607e-07 -2.9731240965442243e-07 1.9459810498614838e-07 5.6276032118355005e-08 -4.008163652310633e-07 6.939499920705283e-07 -2.488763886879168e-06 -1.3910613368553043e-06
PC4 8.470466874463165e-07 -6.617226001448708e-08 8.931423947462952e-07 5.080997160038944e-08 4.789715956737875e-06 9.861827091431922e-07 -3.0503974939575087e-07 6.558734431509832e-08 -7.28458908333603e-07 1.5600947822798981e-07 1.5295824653516508e-07 -1.7083786714496786e-08 -4.0577533593532347e-07 -1.7185630155252285e-07 -5.9297986473286636e-08 -2.2048990732721505e-08 5.996398182906541e-08 1.0136229802472481e-07 -1.4489816208251118e-07 -1.225536817261951e-07 1.781839538789586e-08 -5.283222939118865e-07 -2.4508744831676477e-06 -3.415790315428985e-07 3.741007993824967e-06
PC5 -4.166220355569001e-07 -2.1341936614015144e-07 -1.4557137084724496e-07 4.94045593517734e-07 9.86182709143192e-07 8.700871296624847e-06 1.3723018884499918e-07 7.188138915835072e-07 -4.39894987671241e-07 -1.6709142132530588e-07 -2.183441447793426e-07 -6.256793616024025e-07 3.065664864374383e-07 -4.893863615917508e-07 2.2296719156557292e-07 -3.0809465674815195e-08 -8.294714601655872e-08 3.7064323852193697e-07 -1.1182968227596179e-07 2.662646721014976e-07 1.0533066868854713e-07 -5.355728217668349e-07 -4.712664858595411e-06 8.372662854985851e-06 1.7154409206425458e-06
PC6 8.039307071047992e-08 3.2694495071913213e-08 -5.799480379639662e-08 1.2458539106509765e-08 -3.05039749395751e-07 1.3723018884499923e-07 8.483528213537546e-06 3.4735706209771976e-09 8.841959581148575e-08 7.09218134900915e-09 3.537798464997378e-08 -1.622563988878998e-07 8.549471772693058e-08 -2.695919363735538e-07 -2.907659290863978e-08 4.0218244827426015e-08 -2.0426797957945125e-08 2.3244340394322917e-07 -8.833695228728334e-08 -2.1607770367480854e-08 -2.393880157174939e-07 6.394818422656964e-08 -2.1214945680999746e-06 2.6339521352802877e-06 -6.71655047633083e-07
PC7 1.9412091346472446e-06 1.2658494299325698e-07 -1.8865653623679413e-07 1.0215209216062469e-07 6.55873443150984e-08 7.188138915835069e-07 3.4735706209773022e-09 6.949176966341276e-06 3.9334680385650707e-07 -1.4392336160783013e-07 -9.164610951752283e-08 5.146273926037314e-07 8.799650735428528e-08 2.7958989638368525e-07 -2.3779044267397397e-08 -3.2053989133111446e-07 7.851131105561722e-09 -2.8094774169201156e-08 3.869261473041264e-08 1.7154942898095566e-08 -1.6060083864821943e-07 1.0424074543599637e-06 5.45946513161072e-07 4.019689419929629e-06 -7.066369184859131e-06
PC8 8.773651650359557e-07 1.4626812063088878e-07 2.2866089840068238e-07 -9.751963591530942e-08 -7.284589083336027e-07 -4.3989498767124104e-07 8.84195958114857e-08 3.9334680385650744e-07 7.526422154378365e-06 1.3625109047282536e-07 1.7038376378576524e-07 -1.95364850129113e-07 2.441003154892311e-07 -3.203232268962352e-09 -5.5641662442841406e-08 -1.9458150017454676e-07 9.663952036134999e-08 8.53453592171519e-08 -1.507132646242434e-07 -1.988688733008023e-07 1.4880175465514284e-07 -5.51743606057268e-08 2.08521214627173e-06 -3.852073801748937e-07 -3.4573042829242802e-06
PC9 4.1404143871695817e-07 -6.275799513961084e-08 -4.091116590106314e-09 -4.6172248128996096e-07 1.560094782279897e-07 -1.6709142132530598e-07 7.092181349008976e-09 -1.4392336160783007e-07 1.3625109047282541e-07 6.766791153055075e-06 -4.48360196330912e-08 -1.491623017472401e-07 -1.239179303751514e-07 -1.2939010038695756e-08 -2.419609706156272e-07 1.433669974841668e-07 2.791339799403174e-07 2.56314089311749e-07 -1.9224286338037115e-07 -1.4465501163362758e-07 -1.8633341644678868e-07 -3.440633977819471e-07 2.513543958898327e-06 -9.526339158920973e-07 -2.3192638393807767e-06
