 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.0011489743987032426 -1.1753424875173354e-06 -6.766118359734775e-06 6.835069795041281e-07 2.7542516917790884e-06 -2.1335248964160237e-06 7.5962157131359445e-06 3.6656572016166116e-06 2.0155038878616225e-06 -1.6808226994730964e-06 -2.820698544809629e-07 9.312279274235082e-06 -7.187145971855624e-06 4.609862784930891e-06 -5.241669100997357e-06 -4.056912669372314e-06 2.989704687035772e-06 3.4668535921861143e-06 4.182067678674914e-06 1.07394153853751e-05 -1.7077186615721026e-06 -4.065935418559689e-05 -2.1357058086757595e-05 -2.3744202428774757e-05 7.335624818924828e-05
PC1 -1.1753424875173348e-06 4.363415187239627e-06 -3.4845972221799402e-06 -2.162799100341877e-07 -4.786601269058894e-07 -2.5222554377894903e-07 -1.4603634834152617e-08 -4.441001967406761e-07 4.820714474941223e-07 1.3139093146745618e-07 2.2125313608250272e-07 -3.5228078833965325e-07 1.3275928568343206e-06 2.7960436868068627e-07 -9.965090928237758e-07 -1.3996722157351207e-06 -1.2336734964210073e-06 1.609100805989721e-07 -2.0108220233853534e-07 3.2415198346670853e-07 5.138687758028375e-07 -1.3726994476541612e-06 -5.866380480829056e-06 1.6187971567557596e-06 -4.541212470663686e-06
PC2 -6.766118359734783e-06 -3.484597222179941e-06 9.85937022272974e-05 3.0893510621801124e-06 3.897638377307141e-06 -7.404568947340093e-07 2.2550227256464395e-07 9.70409465294677e-07 7.31444561350671e-07 2.70551390553414e-07 2.511220109153474e-06 2.401977821643421e-07 5.703019042961842e-07 -5.978689260745305e-07 3.3161269636570146e-06 -1.1258889296648878e-07 -3.5102824123769473e-06 1.9456039717677686e-06 4.638985197773998e-07 -3.1804670763299044e-06 -1.3038542702890176e-06 1.2997525914465993e-05 -1.0695655096498932e-05 4.957424971271915e-05 -3.175055309442882e-05
PC3 6.835069795041296e-07 -2.1627991003418772e-07 3.08935106218011e-06 9.275703781825859e-06 4.414886243568141e-07 2.569752268478361e-06 -1.8640225998555025e-07 1.9034005282260054e-06 2.606511787185298e-07 -1.4647337540946385e-06 4.223768631358182e-07 -2.2499413547349327e-08 4.6381844930868355e-07 -1.741403972182165e-06 5.342706482799129e-07 -1.0438306274156595e-06 5.6247890250752815e-08 -8.282009133473351e-07 -2.3234851039659402e-07 1.1560616460149572e-06 7.951718766883167e-07 1.7588671991205903e-06 -1.7782234414530455e-06 2.0817785154653306e-05 -1.2953345809433719e-05
PC4 2.7542516917790914e-06 -4.786601269058894e-07 3.897638377307141e-06 4.414886243568144e-07 1.5445723805301365e-05 3.9017366289848034e-06 -7.580267909280185e-07 7.945763434682853e-07 -1.5344012053400517e-06 1.0133372714331063e-06 2.966408597934548e-07 1.190361502981875e-06 -1.9916846503479873e-06 -5.005992153670233e-07 1.0022364001293807e-07 6.616239712260452e-07 4.509804025956997e-07 -3.0362532654082377e-07 -3.2757294186724865e-07 -4.58218279871353e-09 -2.472493559596652e-07 -5.674664566233574e-06 1.2077781698311937e-05 1.8377346062690874e-05 -3.2099916435834357e-05
PC5 -2.1335248964160178e-06 -2.522255437789486e-07 -7.404568947340119e-07 2.569752268478361e-06 3.901736628984803e-06 3.2621016803228586e-05 1.5185829126089735e-06 4.7267116024079145e-06 -1.1156775285272047e-06 -1.9199090119469953e-06 -1.938283429944876e-07 -1.877642134275497e-06 4.037558850223779e-07 -3.0568807445453295e-06 9.169970235321936e-07 -2.871564422232919e-07 -7.335925125644985e-07 1.9295095877511578e-06 -5.936218432820371e-07 1.0737484863954256e-06 1.1043064717687592e-07 2.619601017587491e-06 -1.050028223695366e-05 1.8181416857091788e-05 -3.0792015655739124e-06
PC6 7.596215713135941e-06 -1.4603634834152758e-08 2.2550227256464422e-07 -1.8640225998555038e-07 -7.580267909280182e-07 1.5185829126089727e-06 3.190524480378062e-05 2.2368046585999858e-07 7.013516833380406e-08 3.36296001803999e-07 -5.983486151911711e-07 -9.579119009891827e-08 2.554863554967176e-07 -7.115161712245745e-07 3.27310657073333e-07 3.8513222547772185e-07 -1.313816585078298e-06 1.0603045489942456e-06 -1.0880045130419825e-06 -1.1735261728073104e-06 -4.070863813466297e-07 2.9911106023846438e-06 -1.565468697938968e-05 -1.601952867019677e-05 1.204734132865585e-05
PC7 3.665657201616618e-06 -4.441001967406754e-07 9.704094652946762e-07 1.9034005282260054e-06 7.945763434682845e-07 4.726711602407915e-06 2.236804658599991e-07 2.5402300620464714e-05 1.0259590163410207e-06 -1.456580175708898e-06 -6.681449772310772e-07 1.7452725309367032e-06 1.2090450342133732e-06 1.4012440395392072e-06 -1.946562967234572e-07 -3.6478170940743245e-07 -1.1677565075562018e-06 -3.6874754268498304e-07 6.548329007936435e-07 -1.5851379775117364e-07 -3.6449330295744493e-07 7.303510036054446e-06 2.7114013562845005e-05 -1.9588466583775945e-05 -2.814528913767849e-05
PC8 2.015503887861617e-06 4.820714474941223e-07 7.31444561350668e-07 2.6065117871852924e-07 -1.5344012053400527e-06 -1.1156775285272051e-06 7.013516833380335e-08 1.0259590163410197e-06 2.7897085301365412e-05 3.1670796596059096e-07 1.4823315582078516e-06 -1.8968854211361895e-06 -2.965837157712606e-07 8.365817809894931e-07 -4.5194020283559647e-07 -1.06629342373649e-06 -3.247008995958155e-07 -6.973481779341246e-07 -3.0528690317221668e-06 -7.739204678305535e-08 1.3879620348343522e-06 4.5774382292024435e-06 -2.4834457616907165e-06 -1.889343027514154e-05 -1.058800481346034e-05
PC9 -1.6808226994730854e-06 1.313909314674559e-07 2.7055139055341423e-07 -1.4647337540946392e-06 1.013337271433106e-06 -1.9199090119469953e-06 3.3629600180399876e-07 -1.4565801757088981e-06 3.167079659605909e-07 2.378158885774406e-05 -2.350432105385016e-06 6.307047606942468e-07 -9.374565464474222e-07 -7.896257092112263e-07 -6.893876965491004e-07 2.0521791194197181e-07 7.818654894711566e-07 8.57273059070923e-07 -7.662958583226559e-07 -1.0866107434852557e-06 -8.654794786330248e-07 1.6898434483761472e-06 -1.0250475366880445e-05 1.7540633817665234e-05 1.0218063621893716e-05
