 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
intercept 0.0006015737834847804 1.242637704117377e-06 -5.948633653537134e-06 -2.0505963806964715e-06 4.899360376100482e-07 -1.356396309431293e-06 4.6223808857955073e-07 3.1660346199635925e-06 1.1519984338260457e-06 -1.2362405104505966e-07 -2.217374153446237e-07 3.3991825265408377e-07 -2.0892380591507437e-07 1.9341781389728285e-06 -2.3554802414356715e-07 -1.6265413490452885e-06 -2.2414822530078905e-06 -7.913828960190914e-07 1.6903208480672332e-06 8.489546731621211e-07 3.4199178860902313e-07 8.43550348970778e-06 -6.021945216145698e-06 -5.046588351977708e-06 5.421602868343404e-06
PC1 1.2426377041173771e-06 2.0764061489336823e-06 -1.757462184196628e-06 6.966640602780862e-08 -1.4301150465637956e-08 -3.177897872126383e-07 -4.970017286827966e-08 2.475090580540887e-07 2.5108997934879095e-07 -9.7200833874531e-08 2.3615130587623296e-07 -1.2434567839129896e-07 4.6012060596621174e-07 -1.64620374844061e-07 -2.788031181003651e-07 -4.925592737967678e-07 -2.7069933996813155e-07 -5.338183988846806e-08 -2.2596674637106415e-08 1.2667060191055525e-07 4.869423590367743e-08 -2.5337416955671e-06 4.211195382695164e-06 -7.805546465740708e-06 -2.859019846228466e-06
PC2 -5.948633653537129e-06 -1.7574621841966276e-06 4.289769934362663e-05 9.383843875150193e-07 1.413539359879074e-06 -4.904136745848634e-09 -3.1216911857513934e-07 -4.4406763953810165e-07 1.4108112622149395e-07 -2.5964103639712792e-08 -3.0384170184403146e-07 -2.9765362188220104e-07 -1.1662366666592045e-07 6.212615230346975e-07 2.7350150093829293e-09 3.885152660974792e-07 -9.553238240586618e-08 6.862996359381566e-07 7.159703938903475e-08 -7.678044083969864e-07 -2.2641947182272996e-07 9.492265707292211e-08 -2.355832261991187e-07 -1.4024210290289677e-06 2.3924508019173055e-06
PC3 -2.050596380696474e-06 6.966640602780854e-08 9.383843875150202e-07 4.27229775637153e-06 2.117970517089119e-07 8.077316287929735e-07 -2.311977044191324e-07 2.2976208361611766e-07 -2.3626691232061338e-07 -7.542494044284104e-07 -3.2597237398740523e-09 2.7750913093458595e-07 1.5137660530615674e-07 -5.511461501384211e-07 -1.7777515370907075e-07 1.6893338005910776e-07 9.316586893322225e-08 -2.7294135894411686e-07 -3.937417287329105e-07 2.938988387126868e-07 1.3718045882536696e-07 1.3044563444985018e-06 -2.4623455206734463e-06 -6.51544432626675e-07 3.0333328444960762e-06
PC4 4.899360376100481e-07 -1.4301150465638003e-08 1.4135393598790746e-06 2.1179705170891194e-07 7.20358011248368e-06 1.7226446119907441e-06 -4.0951898394199264e-07 -2.7780680678755624e-08 -1.1259361931204811e-06 1.1130207477477491e-07 3.911832052324912e-07 8.323406190873261e-08 -6.298039371776413e-07 -2.8452367161035546e-07 9.583897797384414e-08 -1.4877044233821741e-07 1.8210403138664858e-07 8.027646571430084e-08 -3.6096874572312964e-07 -9.960208662796876e-08 1.1517902977798882e-07 -1.6251542749877663e-06 -5.847007316859235e-07 2.152286919154061e-06 -3.54689253628316e-06
PC5 -1.3563963094312955e-06 -3.1778978721263837e-07 -4.904136745848242e-09 8.077316287929735e-07 1.722644611990744e-06 1.3686261203022178e-05 2.3351146878656547e-07 1.0255279913912364e-06 -6.486157407781188e-07 -3.5820541028482584e-07 -2.5215908977281924e-07 -1.0327050335411844e-06 6.666447137586371e-07 -7.788734037759633e-07 1.6895912639551542e-07 -1.2505973497174113e-07 -6.978357072920426e-08 3.072097627180691e-07 -1.7943005300953634e-07 3.6149613459520773e-07 3.321004087702487e-07 -2.6716224624342534e-06 -6.818014063027877e-06 1.5932657920596224e-05 -1.5603327288936319e-06
PC6 4.6223808857955285e-07 -4.970017286827967e-08 -3.1216911857513934e-07 -2.3119770441913235e-07 -4.0951898394199285e-07 2.3351146878656523e-07 1.3352578296076368e-05 5.468964154984263e-07 2.7585248400229565e-07 3.6946038158012464e-07 3.218108998543118e-07 -1.9901961215347023e-07 5.524950301460556e-08 -4.0841021341652487e-07 -3.2119581193371437e-07 2.104021614192522e-07 -2.7273443279891403e-07 1.3390669563116069e-07 -5.480035417250369e-08 9.52763640832014e-08 -4.3894209561067085e-07 -1.3779023609852476e-06 -4.540997433559729e-06 1.0914437159469915e-05 -7.719165889350254e-06
PC7 3.1660346199635937e-06 2.4750905805408877e-07 -4.4406763953810176e-07 2.297620836161176e-07 -2.7780680678755757e-08 1.0255279913912364e-06 5.468964154984264e-07 1.0974488289813643e-05 8.059680411096885e-07 -1.0560332649660078e-07 6.895215207273351e-10 8.001304754455225e-07 -5.586360470479014e-08 3.811535247616596e-07 5.490103569784239e-08 -7.202253908876564e-07 1.2265217143420843e-07 -3.3769248089431295e-07 -5.8154786711443e-08 2.46284136659021e-07 -2.413026730140887e-07 2.9601713768462007e-06 2.8177503449907285e-06 5.7308902140569764e-06 -1.619270559277912e-05
PC8 1.1519984338260435e-06 2.510899793487911e-07 1.41081126221494e-07 -2.362669123206131e-07 -1.1259361931204811e-06 -6.486157407781187e-07 2.7585248400229587e-07 8.059680411096879e-07 1.1827064962169057e-05 2.722346261430214e-07 4.1377985615260897e-07 -1.7915969870044015e-07 6.695872078072196e-07 -8.022095321598571e-08 -2.6307114613436104e-07 -5.346217170060907e-07 2.720941701717656e-07 4.4131761079608333e-07 6.232225160198946e-08 -7.319365596998892e-07 1.4440604835002844e-07 -3.8040236759528316e-07 9.595759147843638e-06 -7.302326730031739e-06 -1.1660301359221215e-05
PC9 -1.23624051045058e-07 -9.7200833874531e-08 -2.596410363971277e-08 -7.542494044284105e-07 1.1130207477477494e-07 -3.5820541028482605e-07 3.694603815801251e-07 -1.0560332649660098e-07 2.722346261430214e-07 1.0734305363431658e-05 -4.7606069787632494e-08 -2.6094304058394274e-07 -1.7337701987935964e-07 -9.115044088178062e-08 -3.310864350693537e-07 8.729292336555704e-08 4.4121523211614817e-07 4.777146959021093e-07 -1.8522302275527672e-07 -5.78211883090301e-07 -3.664907208604799e-07 -5.433914810502262e-07 -2.398006489673212e-06 3.3429515465966625e-06 7.939323644095496e-07
