 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.00030847702715694177 3.914415802904286e-07 -2.4593160027379518e-06 -4.6100904315273237e-07 9.677288895802831e-08 -4.762996602254278e-07 -3.735257527003848e-07 1.000610198557568e-06 3.9929896252126405e-08 8.533627417254102e-07 -4.687650938437451e-08 -4.2157834255176876e-07 5.656043995577581e-08 9.911646650489873e-08 6.21802403695322e-08 -4.663212037205286e-07 -6.476652891275678e-08 2.658486825502174e-07 -1.3242525925434386e-07 5.652079950547799e-07 4.411239779413708e-07 5.240990985274797e-07
PC1 3.914415802904287e-07 9.904473072230164e-07 -6.929223680696352e-07 4.094939557751442e-08 -6.541433552876201e-08 -3.75631425709518e-08 -1.0183959431115619e-08 5.734814750187665e-08 1.2364884501850282e-07 -3.296885710827746e-08 4.8727546710821075e-08 -4.0379167228973524e-08 2.3584903760510066e-07 7.447614196058619e-09 -1.1622082702447662e-07 -1.8042669626206965e-07 -1.3762084893854664e-07 1.508170065390408e-08 4.970211893709077e-08 2.6387146770656102e-08 3.249730923319946e-08 -1.4483008800174982e-06
PC2 -2.459316002737952e-06 -6.929223680696354e-07 1.891207325647348e-05 2.3701109230023995e-07 5.845911900389363e-07 -2.841536540869738e-07 -1.4470777264973578e-07 1.660393811746087e-08 3.240581439499166e-08 -2.7309528470132187e-08 -6.531300515283045e-08 1.1968049037800124e-07 -1.1928923887887661e-07 2.7616428221776448e-08 -8.004117893384626e-08 1.6366568489813e-07 -1.7144630664483103e-07 1.7813207714751866e-07 3.7829950643100745e-08 4.610447055465116e-10 3.3891222592583694e-08 6.064449714145402e-09
PC3 -4.6100904315273237e-07 4.0949395577514444e-08 2.3701109230023987e-07 2.0474682176290343e-06 2.2653849838499508e-08 2.9718103795032054e-07 1.3755686735790324e-08 4.214251580438854e-08 -7.984183195464658e-08 -3.207911486967267e-07 3.081918605687713e-08 1.2173302807626043e-07 7.788146524370105e-08 -1.6897483936189386e-07 2.6727572011347765e-08 -1.2408530064307596e-08 -3.7988083805447286e-10 -8.665767667609882e-08 -1.3171793904882478e-07 1.127160665227268e-07 4.903884183339146e-08 3.7247337615480175e-07
PC4 9.677288895802844e-08 -6.541433552876201e-08 5.845911900389363e-07 2.2653849838499534e-08 3.5275421663429623e-06 5.205035853763195e-07 -2.0178309064964688e-07 -2.5302802228093156e-08 -3.705386236687256e-07 2.57572290870976e-07 9.083361633043015e-08 9.511561257516377e-08 -1.9870443572101223e-07 3.330668667081373e-08 -7.53996487608888e-08 -5.333331322305395e-08 6.869011493090765e-08 5.73693949060186e-10 -8.834878760497227e-08 -7.992617101503696e-08 -3.7828821085100566e-08 -6.131290524571581e-07
PC5 -4.762996602254278e-07 -3.756314257095181e-08 -2.841536540869741e-07 2.971810379503204e-07 5.205035853763194e-07 5.788887794632295e-06 7.193484238419144e-08 4.925459384992666e-07 -1.0720981032457634e-08 -7.135002090820812e-08 -1.072638785441642e-07 -3.5615056720789287e-07 1.9388051136631328e-07 -2.8215274296783733e-07 7.572421056980418e-08 5.3230976759171035e-08 -6.311992263477155e-08 2.460160620116546e-07 -9.512288709983638e-08 9.434611094191336e-08 7.617404019128641e-08 -6.630571947838618e-07
PC6 -3.7352575270038405e-07 -1.0183959431115629e-08 -1.4470777264973594e-07 1.3755686735790272e-08 -2.0178309064964686e-07 7.193484238419142e-08 6.3814465831901865e-06 1.0856835087686308e-08 -7.504952374846786e-09 4.121851809679273e-08 1.8163935776064307e-08 -1.5426651003769785e-07 1.2069373610503775e-08 -1.7264331951970552e-07 -2.7655927795759822e-08 -9.342536287400922e-09 1.1918204180384621e-08 2.638139238232928e-07 -5.446372031114116e-08 -2.4070314151048888e-08 -1.1593507157444714e-07 -4.0322608528185967e-07
PC7 1.0006101985575695e-06 5.734814750187659e-08 1.6603938117460902e-08 4.214251580438845e-08 -2.5302802228093183e-08 4.925459384992666e-07 1.085683508768631e-08 5.332703276739746e-06 2.419138633712527e-07 -8.935959358918169e-08 -4.675198686706401e-08 3.2059730442324173e-07 5.809813571965506e-08 2.5466713309441703e-07 -2.558599382371747e-08 -1.5483797380551002e-07 -9.288873667363204e-08 -1.908969863101216e-08 4.694219029070016e-08 -6.117050826043966e-08 -1.1840985021160676e-07 5.581364667786092e-07
PC8 3.9929896252126915e-08 1.2364884501850276e-07 3.24058143949918e-08 -7.984183195464654e-08 -3.705386236687255e-07 -1.0720981032457362e-08 -7.504952374846827e-09 2.419138633712528e-07 5.333164077580038e-06 9.399509142064484e-09 1.5380596901449764e-07 -2.3247804291405442e-07 1.1255057960393916e-07 -2.9674112669752615e-08 5.6526263689758246e-08 -6.70558681640554e-08 3.3950545561218787e-08 6.218742631442183e-08 -3.476455289015011e-08 -8.366653962604512e-08 1.0156797597409922e-07 -1.0140170034230103e-06
PC9 8.533627417254096e-07 -3.296885710827748e-08 -2.7309528470131952e-08 -3.2079114869672656e-07 2.575722908709759e-07 -7.135002090820799e-08 4.1218518096792776e-08 -8.935959358918174e-08 9.399509142064423e-09 5.069122280450664e-06 9.99602455031389e-09 -1.4983219095276134e-07 -3.153229994783607e-08 -9.451658940769657e-08 -7.780689857190784e-08 3.934363280043127e-08 1.478621221484978e-07 1.2847175103563336e-07 -2.1281537843506538e-07 -1.0726036011275728e-07 -9.576452167741822e-08 -4.025171710544721e-07
PC10 -4.6876509384374184e-08 4.8727546710821075e-08 -6.531300515283038e-08 3.081918605687708e-08 9.083361633043015e-08 -1.0726387854416424e-07 1.8163935776064307e-08 -4.6751986867063956e-08 1.538059690144976e-07 9.996024550313992e-09 4.63460448622948e-06 -2.154318547433815e-07 1.523548470020591e-07 -1.7317451343954638e-07 -1.3858088804845368e-07 -9.432808862967002e-08 -1.422112828026313e-07 5.498294377076188e-08 2.036019728667007e-07 1.3110555277158378e-07 2.1474381262216787e-08 -5.770418081136328e-07
PC11 -4.2157834255176786e-07 -4.037916722897352e-08 1.1968049037800108e-07 1.217330280762604e-07 9.511561257516375e-08 -3.561505672078928e-07 -1.5426651003769774e-07 3.205973044232417e-07 -2.3247804291405434e-07 -1.4983219095276134e-07 -2.1543185474338152e-07 4.587275073947649e-06 -6.844541118360768e-08 -4.216485965251913e-08 -1.0083072259609254e-07 9.202754803635022e-08 1.1163591946178687e-08 1.4811578816621576e-07 -3.719994519626445e-08 7.754802627706849e-08 1.8341886895737988e-07 -6.480316674003807e-07
PC12 5.656043995577649e-08 2.3584903760510066e-07 -1.1928923887887672e-07 7.788146524370096e-08 -1.9870443572101233e-07 1.938805113663134e-07 1.2069373610503838e-08 5.809813571965511e-08 1.1255057960393917e-07 -3.1532299947836075e-08 1.5235484700205913e-07 -6.844541118360768e-08 4.432149364338145e-06 -1.0434346433093012e-09 -1.5216762319334343e-08 -1.1246138001527037e-07 -7.20493628976741e-08 -2.6436476825309952e-08 3.752124435448502e-08 -3.06675629899012e-08 -4.9433057637793394e-08 1.1378220143882994e-07
PC13 9.91164665048991e-08 7.4476141960586235e-09 2.7616428221776385e-08 -1.6897483936189378e-07 3.3306686670813726e-08 -2.821527429678373e-07 -1.726433195197055e-07 2.546671330944169e-07 -2.9674112669752562e-08 -9.451658940769655e-08 -1.731745134395465e-07 -4.2164859652519235e-08 -1.0434346433093242e-09 4.2152945478232905e-06 -9.320103216236933e-08 2.2460330571697822e-07 4.251019144530368e-08 1.137072102174197e-08 -1.1454866595017933e-07 1.9119578590913894e-08 5.419166336125637e-08 -1.061602460366176e-06
PC14 6.218024036953153e-08 -1.1622082702447666e-07 -8.004117893384617e-08 2.6727572011347772e-08 -7.539964876088879e-08 7.57242105698042e-08 -2.765592779575985e-08 -2.558599382371748e-08 5.652626368975812e-08 -7.78068985719079e-08 -1.385808880484537e-07 -1.0083072259609259e-07 -1.5216762319334366e-08 -9.320103216236929e-08 4.594371170208555e-06 5.1897955365240944e-09 -7.77055515765407e-08 -3.2960612568137286e-08 1.0225082483799024e-07 1.198711803640496e-07 1.349294754506001e-08 -1.5221415776375481e-07
PC15 -4.663212037205284e-07 -1.8042669626206965e-07 1.6366568489812984e-07 -1.240853006430758e-08 -5.333331322305392e-08 5.3230976759171134e-08 -9.342536287400879e-09 -1.5483797380550994e-07 -6.70558681640554e-08 3.9343632800431266e-08 -9.432808862967008e-08 9.202754803635008e-08 -1.1246138001527034e-07 2.246033057169782e-07 5.189795536524086e-09 4.358124283252959e-06 1.1572272862029454e-07 -1.6683758695517672e-07 -7.290919885579737e-08 1.0146947857824443e-07 8.674206348344296e-08 -2.124112751147846e-07
PC16 -6.476652891275635e-08 -1.3762084893854654e-07 -1.7144630664483103e-07 -3.798808380544497e-10 6.869011493090766e-08 -6.311992263477154e-08 1.1918204180384608e-08 -9.288873667363196e-08 3.3950545561218826e-08 1.478621221484977e-07 -1.422112828026313e-07 1.1163591946178597e-08 -7.204936289767404e-08 4.2510191445303656e-08 -7.770555157654072e-08 1.1572272862029445e-07 4.464385158717156e-06 4.295263869062685e-09 -4.43569855474476e-08 -1.4245935754440223e-07 -9.396088703254343e-08 3.153256285593102e-07
PC17 2.658486825502168e-07 1.5081700653904094e-08 1.7813207714751874e-07 -8.665767667609888e-08 5.736939490601191e-10 2.460160620116546e-07 2.6381392382329286e-07 -1.9089698631012226e-08 6.218742631442194e-08 1.2847175103563342e-07 5.498294377076187e-08 1.4811578816621587e-07 -2.6436476825309886e-08 1.1370721021741984e-08 -3.296061256813729e-08 -1.6683758695517662e-07 4.29526386906269e-09 4.097235934711825e-06 -5.3244848717104455e-09 -4.547912802410588e-08 2.990522670868612e-09 5.308733778247156e-07
PC18 -1.3242525925434338e-07 4.970211893709074e-08 3.782995064310065e-08 -1.317179390488248e-07 -8.834878760497235e-08 -9.512288709983644e-08 -5.446372031114104e-08 4.6942190290700105e-08 -3.476455289015007e-08 -2.1281537843506533e-07 2.0360197286670084e-07 -3.7199945196264464e-08 3.7521244354485e-08 -1.1454866595017936e-07 1.0225082483799028e-07 -7.290919885579734e-08 -4.435698554744759e-08 -5.324484871710448e-09 4.130929854742948e-06 -1.8814785361423116e-08 4.5742450217567663e-08 -3.815299963084438e-09
PC19 5.652079950547796e-07 2.6387146770656073e-08 4.6104470554654466e-10 1.1271606652272681e-07 -7.992617101503691e-08 9.434611094191327e-08 -2.4070314151048842e-08 -6.117050826043959e-08 -8.366653962604512e-08 -1.0726036011275731e-07 1.3110555277158372e-07 7.754802627706844e-08 -3.066756298990124e-08 1.9119578590913904e-08 1.1987118036404962e-07 1.0146947857824439e-07 -1.4245935754440223e-07 -4.5479128024105884e-08 -1.8814785361423083e-08 4.167823590841024e-06 1.089370015570377e-07 1.2250323132684185e-06
