 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
intercept 0.00031878492671104565 3.439577651688813e-07 -3.147460980413717e-06 -3.639882197006696e-07 1.6460762000472172e-07 -4.881916156587399e-08 3.906159021212491e-07 1.406908396276971e-06 7.429857769815134e-07 4.602044040454223e-07 -1.5203820369351177e-07 9.294028314498165e-07 -4.980726406798901e-07 9.416387709108428e-07 -9.26747760598403e-08 -9.996221930824236e-07 -7.187847511279534e-07 -6.245859852331358e-07 4.40564774763567e-07 1.2250564092875273e-06 9.972679636407947e-08 7.4468991267839335e-06 2.2180480094195743e-05 -4.2235911612696725e-06 -6.740095116184042e-05
PC1 3.439577651688812e-07 1.1239767695260766e-06 -1.0535836246132149e-06 -2.1203486119707686e-08 -6.671737046447025e-08 -1.66404893409914e-07 3.127427138508879e-08 1.2030389471897353e-07 1.3908350336893322e-07 -4.5927413902319344e-08 1.2598639475971425e-07 -7.063101458241587e-08 3.1682523119729374e-07 -8.034070151786041e-08 -1.4390248855901386e-07 -3.087874671903734e-07 -2.3973281703102866e-07 -3.359606184527954e-09 -2.0151077114682866e-08 7.625120438639561e-08 1.1945374486790181e-08 1.8845138367602757e-07 -5.862599311618711e-07 2.038820942658518e-06 1.0935122209256156e-06
PC2 -3.1474609804137174e-06 -1.0535836246132155e-06 2.6751339061478243e-05 4.61529635939964e-07 9.485408220022605e-07 -7.427042138099561e-08 -4.787418333744772e-08 -2.5609164147239836e-07 2.4921995677641846e-07 -2.8123440824391556e-08 -6.910339014553666e-08 -1.4676099798314412e-07 -3.391050135619239e-07 2.799858736129427e-07 -3.8755959458867114e-07 2.420401795772223e-07 -7.210365354030439e-08 6.491061483584485e-07 5.388976248070613e-08 -3.299254019180714e-07 7.350284594249016e-08 -2.5052627464474114e-07 -1.3650636631055463e-06 -2.3236282258451414e-06 2.2838270474483316e-06
PC3 -3.639882197006691e-07 -2.1203486119707703e-08 4.6152963593996403e-07 2.348625502866564e-06 2.760865466052527e-08 5.108935746991308e-07 2.4714668122085936e-08 1.1782628344581528e-07 -1.157378875077146e-07 -4.895216302465318e-07 3.558066689245505e-08 1.6848858257520214e-07 1.0654046590508643e-07 -4.1347382774508387e-07 -6.967906835670047e-08 -2.0918272980317715e-09 1.8262200434016684e-08 -1.4059044016710104e-07 -3.151792803169489e-07 2.2887601775730712e-07 5.832339552893746e-08 -7.934063657537188e-07 4.016148599222311e-07 -2.490849666754012e-06 -1.737429635745962e-06
PC4 1.6460762000472278e-07 -6.671737046447036e-08 9.485408220022611e-07 2.7608654660525257e-08 4.220854532175444e-06 1.0441300494439653e-06 -3.138759469226938e-07 9.357019434185346e-08 -8.194377569919967e-07 1.6028681301353034e-07 1.547297124443392e-07 1.6419070037494637e-08 -3.90524393265874e-07 -2.0387295372122897e-07 -1.095343938315985e-07 -4.245364657004761e-08 1.238986633093465e-07 1.3600740310485245e-07 -2.053660863401103e-07 -1.222521497555303e-07 4.59441333800847e-08 2.1484409350156015e-06 1.7801615122876307e-07 1.3146085872379036e-06 3.6386238775401896e-06
PC5 -4.881916156587324e-08 -1.6640489340991407e-07 -7.427042138099527e-08 5.108935746991307e-07 1.0441300494439657e-06 8.503242810491507e-06 1.7754739925310714e-07 7.916149879584209e-07 -5.818573697627147e-07 -2.1337519401223505e-07 -2.689082250719517e-07 -6.864496458378083e-07 3.729803140071614e-07 -6.096280576201346e-07 2.4444233491996755e-07 -1.1350157851262214e-08 -9.766235472191738e-08 4.643458784536783e-07 -1.7311942982148958e-07 3.6232529960945464e-07 1.3466525058193009e-07 1.8452697274793426e-06 -6.946973482615034e-06 6.6746829212698825e-06 2.369631771027706e-06
PC6 3.906159021212486e-07 3.127427138508881e-08 -4.787418333744764e-08 2.471466812208582e-08 -3.1387594692269397e-07 1.775473992531071e-07 8.482372696282388e-06 2.892828980767964e-09 7.741481204812792e-08 4.3459048862428414e-08 1.2255673485873702e-08 -1.524811131814762e-07 1.0350443729112494e-07 -3.0245215439925924e-07 -7.641136962328054e-09 1.572422804913801e-08 -1.468675896721028e-08 2.686469933252007e-07 -1.069714689080915e-07 -2.7543438196217354e-08 -2.5667286145307065e-07 -1.9646762103876418e-07 -2.1581238993291127e-06 1.5614804818370505e-07 3.239163939571444e-06
PC7 1.4069083962769698e-06 1.203038947189735e-07 -2.5609164147239846e-07 1.1782628344581511e-07 9.35701943418535e-08 7.916149879584207e-07 2.892828980767906e-09 6.953547315478066e-06 4.402008710512139e-07 -1.3344593443253532e-07 -4.6331787099976545e-08 6.430996837069485e-07 1.1353255321031923e-07 3.373146048233946e-07 -1.1042715333254676e-07 -3.608255574678946e-07 -2.3714849474866386e-08 -2.3193286961359284e-08 2.7188393761937567e-08 1.0905130149405366e-08 -1.495742178303082e-07 3.139032429707576e-07 7.469077463357481e-08 4.487443200347329e-07 -5.7932127374698533e-08
PC8 7.42985776981513e-07 1.3908350336893314e-07 2.492199567764186e-07 -1.1573788750771449e-07 -8.194377569919964e-07 -5.818573697627142e-07 7.741481204812783e-08 4.4020087105121386e-07 7.610607565142459e-06 1.828713452900515e-07 2.3336056378925175e-07 -2.3213123853051756e-07 1.86692279068852e-07 1.229934283361238e-08 -6.039868357069345e-08 -1.9529063940744605e-07 9.750636229174985e-08 1.198313397252829e-07 -1.5397783475485277e-07 -2.1231061189420084e-07 1.9468316147818123e-07 -1.7497914154576366e-07 2.0769160456200925e-06 -2.595513044352187e-06 7.208155058365674e-07
PC9 4.602044040454218e-07 -4.592741390231939e-08 -2.8123440824391536e-08 -4.895216302465318e-07 1.602868130135303e-07 -2.1337519401223505e-07 4.3459048862428156e-08 -1.3344593443253532e-07 1.828713452900515e-07 6.780312004519897e-06 -1.0652879406759215e-07 -1.55407722199428e-07 -1.623506131179615e-07 2.8314333246173863e-10 -3.0177414837367207e-07 1.259937974381651e-07 2.4506693467246216e-07 3.13939798100388e-07 -1.5025049497586714e-07 -1.3604652440519904e-07 -2.385862912295748e-07 -1.1558334405033328e-06 1.5329607227353108e-06 -6.329915978318889e-09 -1.3911269771053652e-06
