 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.0003155433413353842 2.961721970378008e-07 -1.7932737763272059e-06 -3.2959740286579286e-07 1.632428454351513e-07 -2.935741175679539e-07 -6.150505135289628e-07 7.339841364596284e-07 -2.7068366303390627e-08 6.953616174342052e-07 -2.8458599394404125e-07 -6.832447755852094e-07 1.2008828419736528e-07 1.20137114472702e-07 1.6735789483828187e-07 -4.004800965240016e-07 -5.601831134198706e-08 2.6971038379335976e-07 3.724956059126101e-09 4.927458836426777e-07 4.482304081752761e-07 -4.737713857971138e-06
PC1 2.961721970378011e-07 9.792911485562018e-07 -5.58414898612265e-07 6.124914271225343e-08 -5.2172855284966563e-08 -4.248871529697675e-08 -1.3263126284818407e-08 4.446667429930542e-08 9.262367825051458e-08 -2.954456565330989e-08 2.8168324918363867e-08 -4.143285747136408e-08 1.9151637654975172e-07 6.856611794818799e-09 -8.764713788504586e-08 -1.4783603044892548e-07 -1.2134696224326818e-07 1.850652313049259e-08 4.383794066089208e-08 2.4217584142134586e-08 2.1634937230857517e-08 2.066431318851502e-07
PC2 -1.7932737763272052e-06 -5.584148986122652e-07 1.5309860748099886e-05 1.5705411196741134e-07 4.5797382300461513e-07 -2.436995474357968e-07 -5.255657748626184e-08 5.969285783377316e-08 8.868716161355323e-08 1.4379616109327098e-07 6.83181391043176e-09 9.140880732229742e-08 -3.982309196952078e-08 1.7187086471540603e-08 -1.701985128679114e-07 8.154180670448601e-08 -1.2465445856164152e-07 1.3303938241814032e-07 -2.1265568364689746e-08 3.287225602141763e-08 2.110911562856774e-08 3.0609956011327876e-07
PC3 -3.295974028657929e-07 6.124914271225347e-08 1.5705411196741126e-07 2.0278817714939152e-06 -3.3213170775443684e-09 2.1884670574324345e-07 6.450483606292704e-09 4.832604170975567e-08 -6.276165812519848e-08 -2.6543535623821676e-07 3.2024680306155004e-08 9.802705771995546e-08 6.85727919701016e-08 -1.2596032672902063e-07 1.0460717598978445e-08 -2.579473471506817e-08 2.991302430052066e-10 -7.597039510732212e-08 -1.1253690408813307e-07 8.085226248291593e-08 2.6284158832204715e-08 -8.717387708123692e-07
PC4 1.632428454351517e-07 -5.217285528496656e-08 4.5797382300461523e-07 -3.321317077544414e-09 3.2580128255992167e-06 3.3274339898309163e-07 -1.9079563298141602e-07 -2.552993051356247e-08 -2.585936447128254e-07 2.0893688218346864e-07 9.022087986565434e-08 7.048746758787266e-08 -1.875820683753297e-07 5.551169246008765e-08 -4.8532696400941395e-08 -3.384571970004332e-09 2.4009361681082427e-08 -1.6657057319342055e-08 -3.49172227979552e-08 -6.647513694377406e-08 -2.7388178187658876e-08 2.034378923279661e-06
PC5 -2.9357411756795365e-07 -4.2488715296976735e-08 -2.4369954743579696e-07 2.1884670574324345e-07 3.327433989830918e-07 4.8188177148748605e-06 2.0592312338932813e-08 3.5531959390993466e-07 8.912483779170394e-08 -4.534108649594225e-08 -3.7296702585166416e-08 -2.272931909407033e-07 1.4468079089876895e-07 -1.6025723679295827e-07 4.01740183549623e-08 3.8972620924700044e-08 -3.837523152514953e-08 1.6312476200665433e-07 -8.157507988612448e-08 5.812631057567768e-08 7.068467486436234e-08 2.3486073295328585e-07
PC6 -6.15050513528963e-07 -1.3263126284818432e-08 -5.25565774862618e-08 6.45048360629281e-09 -1.90795632981416e-07 2.0592312338932796e-08 5.285237165787188e-06 -1.9487689281146745e-08 1.4236846083035635e-08 1.6936840609370994e-08 1.2562438626655077e-08 -1.2436840855767137e-07 1.78742882806038e-08 -1.1281072241479652e-07 -2.2423986769440916e-08 -7.0805687806303216e-09 -1.9587575315199786e-08 2.1307686249676902e-07 -5.659000950243534e-08 -1.095840447916986e-08 -9.547657115198204e-08 -3.301608887958623e-07
PC7 7.339841364596295e-07 4.44666742993054e-08 5.969285783377299e-08 4.832604170975568e-08 -2.5529930513562457e-08 3.5531959390993477e-07 -1.948768928114678e-08 4.4694035371686616e-06 1.586089905109552e-07 -7.340503281648679e-08 -2.979394540033685e-08 2.470544962708846e-07 6.431258809989164e-08 1.9053810212585073e-07 1.1301044156012547e-08 -1.2260395049315649e-07 -5.510871056702258e-08 -1.4405077281566433e-08 4.5719877098932163e-08 -2.4221955396916644e-08 -8.138162437108274e-08 7.801851498502856e-09
PC8 -2.7068366303390336e-08 9.262367825051462e-08 8.868716161355334e-08 -6.276165812519852e-08 -2.585936447128255e-07 8.912483779170406e-08 1.423684608303575e-08 1.5860899051095527e-07 4.46485438485989e-06 1.1126725208943755e-09 5.6930201197187313e-08 -1.7543039808031123e-07 1.1322005586125392e-07 -6.196859699053046e-08 4.199067156748905e-08 -5.567628920827417e-08 3.316609338008691e-08 3.900209134462458e-08 -3.017759945406843e-08 -5.8662535012552136e-08 6.780228070533996e-08 -1.2229642201571441e-07
PC9 6.953616174342052e-07 -2.954456565330998e-08 1.4379616109327125e-07 -2.654353562382169e-07 2.0893688218346867e-07 -4.5341086495942446e-08 1.6936840609370974e-08 -7.340503281648693e-08 1.112672520894357e-09 4.2154452511603995e-06 -3.141975777892689e-08 -9.822146728992916e-08 -2.0664403643605592e-08 -8.762435906539946e-08 -2.2532695821414247e-08 5.3409329601494243e-08 1.1049072056317746e-07 1.1217636805005456e-07 -1.7387087274050682e-07 -6.703446219721676e-08 -5.4534250282508395e-08 1.8943100592398318e-07
PC10 -2.845859939440419e-07 2.8168324918363814e-08 6.8318139104318185e-09 3.202468030615499e-08 9.022087986565439e-08 -3.729670258516651e-08 1.256243862665506e-08 -2.9793945400336882e-08 5.6930201197187333e-08 -3.1419757778926904e-08 3.890033976538698e-06 -1.395939953712059e-07 7.933941266843308e-08 -1.3296870924831322e-07 -7.826990370337548e-08 -7.413256770757109e-08 -1.170814721782557e-07 3.1237639217206855e-08 1.2741096232831034e-07 1.2343840033552782e-07 7.980950560039437e-09 1.4924249263707126e-07
