 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0002951276575406746 4.685895191776462e-07 -2.006140258092624e-06 -4.1322351860868957e-07 2.5565258077957353e-08 -2.455486817375892e-07 -3.9822009679296615e-07 7.938685512019811e-07 4.6162254846397985e-08 7.6754556308227e-07 -1.2621560830987017e-07 -1.8471626311686627e-07 5.6574036807937e-08 8.214865775384853e-09 1.78735001301164e-07 -5.207220187141411e-07 -1.8074572533105955e-07 3.965635555673734e-07 -1.0253082236375178e-07 6.112364544854268e-07 2.8581740368212797e-07 7.108003336682208e-06 -5.179358945525746e-06 -2.370274269966635e-05
PC1 4.68589519177646e-07 9.305795302537467e-07 -6.144427475394105e-07 5.248935632732392e-08 -4.7843842172220814e-08 -4.780498126407473e-08 -6.566908473471778e-09 4.5177719922073134e-08 9.995087058770352e-08 -2.9960436962466165e-08 4.168749138480793e-08 -4.1151030238529724e-08 2.207058716569231e-07 -4.2307559098831655e-09 -9.717178812000947e-08 -1.7641424914749214e-07 -1.5386647259421204e-07 2.6449238285188946e-08 4.863391656114196e-08 2.7992056100052774e-08 2.3840345708738352e-08 -1.1396750078346964e-07 2.5606508788135166e-07 7.872027284724109e-07
PC2 -2.0061402580926233e-06 -6.144427475394104e-07 1.7374391078342463e-05 1.894869799396045e-07 5.646161838059482e-07 -2.1356841696323594e-07 -3.217783327972241e-08 5.129200201611186e-09 1.2229285411295692e-07 1.0505552785827067e-07 8.597995691332587e-09 5.036296704240385e-08 -8.218783012024424e-08 6.431372604568725e-08 -2.1430761213295687e-07 1.2218045401186635e-07 -1.4913869884225196e-07 1.3317981353676765e-07 -2.4829492854301656e-08 6.792669656936646e-09 -1.5055941302004813e-08 1.401113074284068e-07 7.068002555102266e-07 -3.4969780152657246e-07
PC3 -4.1322351860868957e-07 5.248935632732395e-08 1.8948697993960453e-07 1.9617256832511706e-06 -9.496988466840937e-09 2.7653909709810703e-07 3.307765277657937e-08 5.360551523529281e-08 -6.082355178333094e-08 -3.170787240101433e-07 2.8748195524862513e-08 1.1649566711736536e-07 7.157105972172964e-08 -1.6143510511305547e-07 3.2636056945413106e-09 -2.016203060570717e-08 4.7232698022465385e-09 -9.695370924068794e-08 -1.2995361901329722e-07 1.1676167914906825e-07 3.993573440749416e-08 4.512027011406689e-08 -1.186252931738158e-06 -1.5553896315499937e-06
PC4 2.556525807795796e-08 -4.784384217222081e-08 5.646161838059482e-07 -9.496988466840948e-09 3.35144605053095e-06 4.0620889495289136e-07 -2.2015338985596052e-07 -9.2695362023346e-09 -3.2216134867656787e-07 2.2407126646001767e-07 9.767003707362845e-08 9.388583038572548e-08 -2.1711474346465002e-07 1.6292870574815183e-08 -7.267165467856386e-08 -3.076186053718677e-08 5.2985568812205954e-08 -7.323606505134658e-09 -8.378800052838868e-08 -6.784208673827089e-08 -2.3579961796013503e-08 8.200256306101743e-07 1.0969532911848924e-06 2.914461384851299e-06
PC5 -2.455486817375895e-07 -4.7804981264074705e-08 -2.1356841696323602e-07 2.7653909709810703e-07 4.062088949528914e-07 5.310875677344491e-06 3.0908111154918435e-08 4.4908057859602995e-07 1.738716259560044e-08 -6.963538813022236e-08 -7.94248775349992e-08 -2.777604214981716e-07 1.6103657832068555e-07 -2.2993218920466e-07 4.074706010809925e-08 5.555536938045874e-08 -3.196879698860211e-08 2.1766952192839687e-07 -1.0347995217637997e-07 7.14150880910166e-08 6.556388360041667e-08 3.602371001520076e-08 1.4790766039859585e-06 -7.006547209558693e-07
PC6 -3.982200967929669e-07 -6.566908473471808e-09 -3.2177833279722316e-08 3.307765277657936e-08 -2.2015338985596047e-07 3.090811115491831e-08 5.947975950275188e-06 -1.4364440372489303e-08 5.8096588682431334e-09 4.6228427584790113e-08 6.6777035323579425e-09 -1.4607955335969388e-07 1.004015180261171e-08 -1.367611731306622e-07 -2.5912811593459008e-08 -2.9251703584881154e-09 -2.070850623089595e-08 2.2695802091531217e-07 -4.387346795716129e-08 -1.635093346991403e-08 -1.0272266142432101e-07 7.468564365554454e-08 -1.0656325215633334e-06 -5.54731719395669e-07
PC7 7.938685512019809e-07 4.51777199220731e-08 5.129200201611148e-09 5.36055152352928e-08 -9.269536202334544e-09 4.4908057859602995e-07 -1.4364440372489323e-08 4.989816386401424e-06 1.9828325619756205e-07 -9.805098524967646e-08 -3.8748583273889706e-08 3.11154947066718e-07 6.602675560601664e-08 2.3989395963977333e-07 -6.90346657790966e-09 -1.4791194921111683e-07 -8.584204876830209e-08 -3.676019114779386e-08 6.283424538406112e-08 -2.907602212678589e-08 -1.116763101020638e-07 -2.3055504915235998e-07 1.017079863574388e-06 2.002684444609795e-07
PC8 4.6162254846398144e-08 9.995087058770358e-08 1.2229285411295676e-07 -6.082355178333091e-08 -3.2216134867656787e-07 1.738716259560045e-08 5.809658868243113e-09 1.98283256197562e-07 5.020654565853625e-06 1.0471829732675032e-08 1.1088958279506488e-07 -2.0360997010714192e-07 1.0862991395926339e-07 -6.10351969184718e-08 4.205572972240622e-08 -8.732607717271669e-08 5.020687768357125e-08 6.12274711324757e-08 -3.880381504329946e-08 -5.324055443720028e-08 8.758570852945311e-08 -2.7306657148325347e-07 1.8681868740184453e-07 4.7510150446123217e-07
PC9 7.675455630822703e-07 -2.996043696246617e-08 1.0505552785827083e-07 -3.170787240101433e-07 2.2407126646001783e-07 -6.963538813022232e-08 4.6228427584790127e-08 -9.805098524967652e-08 1.047182973267511e-08 4.705801682602792e-06 -2.653402485233636e-08 -1.3078277119255563e-07 -2.518113082042769e-08 -1.0882288048125471e-07 -3.662030131449714e-08 4.939448639895453e-08 1.140642200433455e-07 1.238397704059746e-07 -1.6634383342078958e-07 -6.995596192400707e-08 -7.76857117772252e-08 -9.23690127552524e-08 -1.943943824256643e-07 5.752167703336167e-07
PC10 -1.262156083098704e-07 4.168749138480792e-08 8.597995691332744e-09 2.874819552486253e-08 9.76700370736284e-08 -7.94248775349991e-08 6.6777035323579565e-09 -3.874858327388969e-08 1.1088958279506484e-07 -2.653402485233631e-08 4.351137958859881e-06 -1.7890812056604185e-07 1.1116887319589763e-07 -1.7931510707882452e-07 -1.030835100480334e-07 -8.130599057759716e-08 -1.5144321516306425e-07 2.4612261250102872e-08 1.5002627130377013e-07 1.3764241026593546e-07 3.664033005740732e-08 9.981793145993859e-08 -1.3703976220241176e-07 -5.647452099883617e-08
