 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gmp gpm gmm
intercept 0.0005855097836326493 1.6503094087630339e-06 -3.160942876918309e-07 3.737433469355761e-07 5.998864924821147e-07 -1.0273425318175646e-06 1.4758781400608882e-06 9.783572683699732e-07 1.2309173699504505e-06 9.953721548568096e-07 2.193828961451954e-07 3.768399554643541e-06 -3.2980578767098487e-06 1.4964405593520667e-06 -1.6829439859552448e-06 -2.0760204811966304e-06 -3.0705928765128233e-06 -1.1456675653141265e-06 -5.120089672292911e-07 2.5611636991607472e-06 3.559151967861028e-07 -1.1064146936954248e-05 5.810813071001858e-05 0.00010631950926797333 -1.07002248965563e-05 -7.179756440013465e-05 -4.291247889383724e-05 -0.00013778554159868536
PC1 1.650309408763033e-06 2.0207140111884895e-06 -1.6988304179393875e-06 -2.1276855846337324e-07 -2.1459860954402308e-08 -3.019573100519386e-07 3.270395679276212e-08 1.6125273383636788e-07 1.152948810988282e-07 -4.206849911458767e-08 8.670990710986726e-08 -5.223467882675556e-08 5.881295888989077e-07 -1.2880088021271555e-07 -3.474313267753139e-07 -6.415150370272471e-07 -5.378214046259067e-07 1.865808428962487e-07 -5.6294000471207043e-08 1.6813660871739336e-07 -6.2341145137579e-08 -2.0592484495206403e-07 6.016357702508072e-07 -8.511078772976355e-07 -3.932184529210953e-07 3.255731389683879e-08 6.265115071434571e-06 7.609237827065279e-07
PC2 -3.160942876918336e-07 -1.6988304179393875e-06 4.4285161288041774e-05 9.151886994499313e-07 1.2715286499317376e-06 -4.6560494888277826e-07 -2.846657398382433e-08 -2.611817615289601e-07 1.0188329630207668e-06 -3.07462616612767e-07 3.847683254544531e-07 -4.868430194285823e-07 -7.727316937196821e-07 5.387739082906677e-07 -8.618624773043302e-07 3.373120312747158e-07 1.0888695624655168e-08 7.282626516934462e-07 3.3941854228876275e-07 -4.521844483069124e-07 -3.230388456233613e-07 -2.0804122230035474e-06 9.523866037570975e-07 -4.4572026044569065e-06 -2.6494508865216716e-06 6.1263690853880435e-06 2.2681741059617565e-06 3.20610782996781e-06
PC3 3.7374334693557566e-07 -2.127685584633734e-07 9.151886994499313e-07 3.977891356442041e-06 3.776915869702751e-08 9.952581879262319e-07 6.254467564566988e-08 3.6933029967144356e-07 -1.2059380674645553e-07 -9.049927927575072e-07 9.791024424271382e-08 2.268354547055439e-07 2.764660024077398e-08 -5.538756325510098e-07 3.9702927669538214e-08 -1.781113337516732e-08 1.1225111225174384e-07 -3.2002320483119873e-07 -4.219897333602805e-07 3.5796392050279377e-07 1.1794476692251686e-07 8.822940001507234e-08 -4.938574220449804e-07 1.357119083600336e-06 3.0663401602431736e-06 -8.88207925434284e-06 -7.23693608938365e-06 5.240619257391297e-08
PC4 5.998864924821102e-07 -2.14598609544023e-08 1.2715286499317367e-06 3.776915869702747e-08 7.680515813839483e-06 1.5095770875423953e-06 -3.6032602105105366e-07 1.2566111397541166e-07 -1.102516299914258e-06 4.354139525564576e-07 2.680807237292989e-07 2.3369147296839005e-07 -7.95782742443078e-07 -4.581777897378443e-07 -1.0743253798225184e-07 -1.395998861354009e-07 1.2938867934537334e-07 1.715538552275484e-08 -4.326270429058577e-07 -1.792153321240707e-07 1.5006392079953376e-07 3.0212139132221276e-06 -1.0380888877880477e-05 -3.2904756950979497e-06 7.826326484967946e-06 1.1459278110363318e-05 5.283917517402855e-06 1.0134131313379742e-05
PC5 -1.0273425318175675e-06 -3.019573100519387e-07 -4.6560494888277804e-07 9.952581879262323e-07 1.5095770875423951e-06 1.4568083018285009e-05 3.9290338232792136e-07 1.0257642031805612e-06 -7.70960790278863e-07 -3.6974228916225516e-07 -3.1682095343181254e-07 -1.0636466468964635e-06 5.031699333799556e-07 -1.0427269031518023e-06 5.832763152628495e-07 -9.084730900818317e-08 -1.4665073368145613e-07 7.014424698297611e-07 -2.855332602382363e-07 2.577927070549972e-07 1.0996041835522229e-07 1.5941747129552559e-06 3.744505100624807e-06 -1.0636563166052576e-05 1.6739010649232973e-07 -5.171418998867421e-06 1.576028972623184e-05 -3.5918726979290527e-06
PC6 1.475878140060891e-06 3.270395679276223e-08 -2.8466573983824717e-08 6.254467564566984e-08 -3.6032602105105355e-07 3.929033823279212e-07 1.384795733385287e-05 -2.498768250515382e-08 3.6370210599342726e-07 1.8356040523643016e-07 4.6297098631507597e-08 -4.353805703809437e-07 1.4468662733602821e-07 -2.885503809663506e-07 -2.710704537976256e-07 7.372987885763583e-09 -1.0628130227938808e-07 2.409168535832593e-07 -3.6915900704911246e-07 -1.3620410780209985e-07 -4.6006855270908315e-07 1.6576843402107295e-06 1.1267443756054857e-06 -5.370708296502566e-06 -1.8392716206407007e-06 -5.284285329951233e-06 -6.939077398395811e-06 9.70496591929622e-06
PC7 9.783572683699726e-07 1.6125273383636801e-07 -2.611817615289601e-07 3.6933029967144377e-07 1.2566111397541131e-07 1.0257642031805606e-06 -2.4987682505153823e-08 1.151932146209606e-05 7.207499794526115e-07 -2.008052680531771e-07 -1.558642084173595e-07 1.1284453260659269e-06 1.5315031335990924e-07 4.3247468886213514e-07 -1.4309365539495946e-07 -3.496095725873064e-07 -3.0435657846849735e-07 -1.339918239245701e-07 1.2539173093086717e-07 4.365132251403213e-08 -2.2461121338744418e-07 -2.063930845722551e-06 3.668588091605685e-06 5.5421069505653994e-06 -1.994878284411336e-06 -5.97106307273907e-06 5.009669607082183e-06 -9.353570516428835e-06
PC8 1.2309173699504505e-06 1.1529488109882825e-07 1.018832963020767e-06 -1.2059380674645553e-07 -1.102516299914258e-06 -7.709607902788638e-07 3.6370210599342763e-07 7.207499794526121e-07 1.2478116923616464e-05 3.3373501353778734e-07 9.530337688255942e-08 -7.40063104789693e-07 1.0523967807342307e-07 7.671183019293274e-08 -1.532875768209631e-07 -4.896826422215726e-07 -1.3055647706552605e-08 1.0664472032620543e-07 -4.7481737373274254e-07 -3.0000651117638926e-07 2.828588015610886e-07 1.3293118201491263e-06 1.845335518322414e-06 5.511212819418886e-06 1.0702080184082688e-06 -9.335357709201021e-06 -1.0861678600829793e-05 6.532936831358829e-06
PC9 9.953721548568103e-07 -4.206849911458767e-08 -3.074626166127673e-07 -9.049927927575071e-07 4.354139525564573e-07 -3.697422891622547e-07 1.8356040523642984e-07 -2.008052680531771e-07 3.3373501353778713e-07 1.0935886706986117e-05 -3.260898760240214e-07 7.016722602039377e-08 -4.244375294351415e-07 -5.054583881365445e-08 -7.322140444841603e-07 2.944242690560491e-07 5.441236406999642e-07 5.820298186717741e-07 -2.0697058345156018e-07 -1.4985981870556857e-07 -5.339525203677567e-07 -3.3202548788309075e-07 -1.3109799426910106e-06 -3.211564040474706e-07 -7.29467779516994e-06 5.3728184601662015e-06 7.296792342577712e-06 -1.9564256666243295e-06
PC10 2.193828961451959e-07 8.670990710986729e-08 3.8476832545445306e-07 9.791024424271392e-08 2.680807237292992e-07 -3.168209534318129e-07 4.629709863150771e-08 -1.558642084173597e-07 9.53033768825591e-08 -3.2608987602402117e-07 1.1335510247491929e-05 -3.6114141436438136e-07 1.0627716184049027e-07 -3.2629316145161766e-07 -5.163138216588065e-08 2.2352853348285967e-07 -1.7908633769827218e-07 -1.4444125611382529e-07 2.1996159318449857e-07 5.598626727032557e-07 -1.8719632499710377e-07 -1.4691746808374842e-06 -3.0564777069575853e-06 6.487645919007352e-06 -7.148669601923019e-06 1.2308682504331039e-05 -1.0213918778030987e-05 1.7906180184146038e-06
PC11 3.768399554643542e-06 -5.223467882675564e-08 -4.86843019428582e-07 2.2683545470554383e-07 2.336914729683899e-07 -1.0636466468964631e-06 -4.3538057038094404e-07 1.1284453260659266e-06 -7.40063104789693e-07 7.016722602039354e-08 -3.611414143643814e-07 1.085373122892176e-05 -1.8778743826466427e-07 -4.01426293159132e-08 -3.9513462269593884e-07 2.3624656176012023e-07 2.490341582142583e-07 2.890817784640146e-07 3.1461801238448973e-09 5.104906493923048e-07 3.061133595465981e-07 -2.08608731900388e-06 1.4978285573739039e-06 1.9524446348921104e-06 -4.4281250528033725e-06 8.393224461737738e-06 3.8633420779081455e-06 -3.644191071595916e-06
PC12 -3.2980578767098504e-06 5.881295888989078e-07 -7.72731693719682e-07 2.764660024077386e-08 -7.957827424430786e-07 5.03169933379955e-07 1.446866273360285e-07 1.5315031335990924e-07 1.0523967807342347e-07 -4.2443752943514146e-07 1.0627716184049035e-07 -1.877874382646646e-07 9.604131468961048e-06 2.7296413982845297e-07 9.206848484753441e-11 -5.130041412565196e-07 -1.0733382384627006e-07 2.981149142338755e-08 -1.4379641167036835e-07 8.948995719622321e-08 -1.986641097589279e-07 -5.672366160330537e-07 -3.141579064775975e-06 -5.279611930922643e-06 1.3851875052784676e-06 2.3240705513486196e-06 1.3184419796587833e-05 -1.0680003492481884e-06
PC13 1.4964405593520684e-06 -1.2880088021271547e-07 5.387739082906678e-07 -5.538756325510097e-07 -4.5817778973784417e-07 -1.042726903151803e-06 -2.885503809663501e-07 4.324746888621354e-07 7.67118301929328e-08 -5.054583881365405e-08 -3.2629316145161756e-07 -4.014262931591299e-08 2.7296413982845313e-07 9.81859768029512e-06 -6.727326691960318e-07 9.451703545921393e-07 5.279046500353188e-07 3.653173268162268e-08 -1.3739490166749971e-07 -7.495946818188325e-08 3.1558554624326666e-08 -7.086902086250453e-07 -4.458765437079729e-06 5.4661209878878905e-06 -7.357818823044784e-07 1.3267139967185509e-06 -3.018957464017945e-06 -2.4745429162337557e-06
PC14 -1.6829439859552463e-06 -3.47431326775314e-07 -8.6186247730433e-07 3.970292766953798e-08 -1.0743253798225205e-07 5.832763152628494e-07 -2.710704537976256e-07 -1.4309365539495944e-07 -1.5328757682096338e-07 -7.322140444841606e-07 -5.163138216588065e-08 -3.9513462269593905e-07 9.206848484727568e-11 -6.727326691960317e-07 1.056285599207261e-05 -1.4339970075151283e-07 1.9546768522900336e-07 -2.0407580455528021e-07 1.1404134543744337e-07 -6.584528093447314e-08 -6.219975902042777e-08 -2.19024058538693e-06 -1.0696389917195553e-06 -1.3091067284070135e-06 2.8125943319092787e-06 2.4839493283533083e-06 9.872516553880914e-06 -5.480374817835507e-06
PC15 -2.0760204811966266e-06 -6.41515037027247e-07 3.373120312747161e-07 -1.7811133375167372e-08 -1.3959988613540072e-07 -9.08473090081833e-08 7.37298788576366e-09 -3.496095725873064e-07 -4.896826422215725e-07 2.944242690560489e-07 2.2352853348285954e-07 2.3624656176012015e-07 -5.130041412565196e-07 9.45170354592139e-07 -1.4339970075151275e-07 1.01598270025601e-05 4.87743687852925e-07 -7.228435092529003e-07 -3.141369388539775e-09 -8.58883529333375e-08 1.1068881588897986e-07 -1.6702851891845368e-06 -5.894358182039839e-07 1.6942862181736327e-07 4.282491474888983e-06 -3.2617501802252226e-06 -6.965132335803104e-07 1.8686681317990129e-06
PC16 -3.0705928765128216e-06 -5.378214046259069e-07 1.0888695624655742e-08 1.1225111225174368e-07 1.2938867934537323e-07 -1.4665073368145613e-07 -1.0628130227938779e-07 -3.0435657846849735e-07 -1.3055647706552557e-08 5.441236406999642e-07 -1.790863376982721e-07 2.490341582142585e-07 -1.0733382384626991e-07 5.279046500353189e-07 1.9546768522900336e-07 4.877436878529248e-07 1.0210134647781569e-05 -3.8661639003459673e-07 -9.53722569958414e-08 -5.794496575099806e-07 2.9190082258684016e-08 -2.4960878326307695e-07 -1.5269272919041968e-06 -7.83164740230154e-06 -6.4487874571451456e-06 9.251756690013242e-06 7.76688604144578e-06 8.88742363844134e-06
