"PGS","PHENO","GEN_MOD","VAR","BETA","SE"
"ADHD_Demontis","HGT",1,"proband",-0.0266812696051606,0.021936037193248
"ADHD_Demontis","HGT",2,"proband",-0.0350792027672831,0.0265271559333976
"ADHD_Demontis","HGT",2,"paternal",0.000121383879758856,0.0316963913391195
"ADHD_Demontis","HGT",2,"maternal",0.0287418325996373,0.0310795468122308
"ADHD_Demontis","HGT",3,"proband",-0.0347270260926676,0.0265304332816949
"ADHD_Demontis","HGT",3,"paternal",-0.0119478169593301,0.0444436775091979
"ADHD_Demontis","HGT",3,"maternal",0.0571154390472318,0.0414272406496477
"ADHD_Demontis","HGT",3,"gp",0.0249930309527297,0.0413467064444487
"ADHD_Demontis","HGT",3,"gm",-0.0439401179746043,0.0384786732481076
"ADHD_Demontis","EA",1,"proband",-0.127845461948648,0.0229480059909827
"ADHD_Demontis","EA",2,"proband",-0.0789086578854507,0.0297967585994322
"ADHD_Demontis","EA",2,"paternal",-0.0520984182608143,0.0304937714295736
"ADHD_Demontis","EA",2,"maternal",-0.0730717390207517,0.029578231030744
"ADHD_Demontis","EA",3,"proband",-0.0780342921072769,0.0298000088959201
"ADHD_Demontis","EA",3,"paternal",-0.0931944739264005,0.0417165753007968
"ADHD_Demontis","EA",3,"maternal",-0.0861064345113823,0.0388230177660063
"ADHD_Demontis","EA",3,"gp",0.0525937818269804,0.0378636323785219
"ADHD_Demontis","EA",3,"gm",0.00950526956916991,0.0351262549927745
"ADHD_Demontis","COG",1,"proband",-0.0544134497938562,0.0292537704341241
"ADHD_Demontis","COG",2,"proband",0.00964689575323437,0.0382294521287375
"ADHD_Demontis","COG",2,"paternal",-0.0790900240719852,0.0388309770899978
"ADHD_Demontis","COG",2,"maternal",-0.0825719863651589,0.0377156215616301
"ADHD_Demontis","COG",3,"proband",0.00926389307247415,0.0382714491894957
"ADHD_Demontis","COG",3,"paternal",-0.0799326589862502,0.0535016300496731
"ADHD_Demontis","COG",3,"maternal",-0.0676447338160315,0.0494520402613837
"ADHD_Demontis","COG",3,"gp",0.00583369533827953,0.0490718832876192
"ADHD_Demontis","COG",3,"gm",-0.0216920525695374,0.0446466095175964
"ADHD_Demontis","AFB",1,"proband",-0.119934733343465,0.0379390510438602
"ADHD_Demontis","AFB",2,"proband",-0.0502226910631984,0.0530186929235706
"ADHD_Demontis","AFB",2,"paternal",-0.063924529220888,0.0496820452615174
"ADHD_Demontis","AFB",2,"maternal",-0.0852519873756296,0.0479958720368487
"ADHD_Demontis","AFB",3,"proband",-0.0503080766942047,0.0530834020296169
"ADHD_Demontis","AFB",3,"paternal",-0.0897189061318755,0.0668668539087478
"ADHD_Demontis","AFB",3,"maternal",-0.0951059483227961,0.0646008036038671
"ADHD_Demontis","AFB",3,"gp",0.0315127153710735,0.0578450613240143
"ADHD_Demontis","AFB",3,"gm",0.00822776240068266,0.0570049095529778
"ADHD_Demontis","NEB",1,"proband",-0.0300991047214162,0.0311287386805655
"ADHD_Demontis","NEB",2,"proband",-0.0405828359266278,0.0456419048378193
"ADHD_Demontis","NEB",2,"paternal",0.027760479295024,0.0401061230011972
"ADHD_Demontis","NEB",2,"maternal",-0.00666017018921613,0.0397695836379589
"ADHD_Demontis","NEB",3,"proband",-0.0425696374923841,0.0457301922849425
"ADHD_Demontis","NEB",3,"paternal",0.0591583118564926,0.0523213401766037
"ADHD_Demontis","NEB",3,"maternal",-0.0153043532316221,0.0518139694815353
"ADHD_Demontis","NEB",3,"gp",-0.044521394342957,0.0450628298132232
"ADHD_Demontis","NEB",3,"gm",0.0189840874602103,0.0441931802902894
"ADHD_Demontis","EVSMK",1,"proband",0.103651441663761,0.0231705616154133
"ADHD_Demontis","EVSMK",2,"proband",0.0557434133978123,0.030975523157913
"ADHD_Demontis","EVSMK",2,"paternal",0.044507875917378,0.0302209872687771
"ADHD_Demontis","EVSMK",2,"maternal",0.0689761047769531,0.0292651542936822
"ADHD_Demontis","EVSMK",3,"proband",0.0547307342572747,0.0309785436216089
"ADHD_Demontis","EVSMK",3,"paternal",0.0876276978900582,0.0410591526317596
"ADHD_Demontis","EVSMK",3,"maternal",0.0781258566993555,0.0382496133333953
"ADHD_Demontis","EVSMK",3,"gp",-0.0563430632720343,0.036885029213291
"ADHD_Demontis","EVSMK",3,"gm",-0.00328196915194358,0.0342636703377989
"ADHD_Demontis","CPD.Max",1,"proband",0.114181425398974,0.0230953195101366
"ADHD_Demontis","CPD.Max",2,"proband",0.0822471686898729,0.0310587219366831
"ADHD_Demontis","CPD.Max",2,"paternal",0.0207772394726307,0.0300899603600524
"ADHD_Demontis","CPD.Max",2,"maternal",0.0543508616843836,0.0291135995164241
"ADHD_Demontis","CPD.Max",3,"proband",0.0816584937581693,0.0310720805097456
"ADHD_Demontis","CPD.Max",3,"paternal",0.0481857374778769,0.0408435388878701
"ADHD_Demontis","CPD.Max",3,"maternal",0.070534922802487,0.0380526089164848
"ADHD_Demontis","CPD.Max",3,"gp",-0.0326753966062737,0.0366223233526108
