 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gpm gmp gmm
intercept 0.06419581884980445 0.09357274810498306 -0.0023910001366649184 2.0033510235941767e-05 0.790071767270518 -0.0610683942650982 0.0015499641313234949 -1.291618262589925e-05 -1.9028113896094736e-05 3.7850372396124664e-05 2.489847533379385e-07 -1.5892965848808358e-05 1.688376446131768e-05 -4.259184406962524e-05 4.7684955925336725e-06 1.1934404570753534e-05 -8.71949066582267e-06 -1.3650844763970278e-05 -5.4235931891344695e-05 -2.3136614912334464e-05 -8.689108436555787e-06 -1.6536472954748664e-06 1.5702250487974245e-05 1.7055211866209043e-07 -2.1419272001018097e-06 -7.196416934855975e-06 5.6943395300687915e-05 -3.767285757546158e-05 -0.00017489668855014362 0.0003707122526558287 0.00021769201727736486 0.0008298636700029639 -0.0010900667194829218 -0.0009422033296997744 0.000722904586036419
age 0.09357274810424075 0.26279295167355177 -0.006438212627886834 5.1617061922247166e-05 3.3964838634492973 -0.25367585754916616 0.006202139217985624 -4.9627596444979626e-05 -9.748522521948708e-05 5.470265027288323e-05 8.650915003757945e-06 -7.510643673881779e-06 -3.840098553249678e-06 -4.34524291166192e-05 1.3189144939033879e-05 3.08227767361307e-05 6.476400553979902e-06 -2.561169342622141e-05 -1.402344223180629e-05 -1.4392152545558559e-05 -6.302314103662194e-06 -2.4628543605131295e-05 2.0424332105122163e-05 3.089155075321062e-05 -2.013667991556587e-05 2.1613806584904927e-05 4.677805007690402e-05 -2.952937632992346e-05 -0.00018860968862845966 -0.0010651692487901269 0.00043090901995529045 0.007877510250853864 -0.005986975119973817 -0.0037918053027076494 0.0030261658804131295
age2 -0.0023910001366457406 -0.00643821262788902 0.00015830878309256902 -1.2739077720545218e-06 -0.08288757798053288 0.0062124508358950776 -0.00015243576132878962 1.2241815492437038e-06 2.2189624971880863e-06 -1.3367422464952136e-06 -1.6628638865194645e-07 1.9475737630838825e-07 9.729531945024312e-09 1.1043778123683665e-06 -2.7452381590027783e-07 -7.723441333128123e-07 -1.4296419430228226e-07 6.285022715959107e-07 5.149459434387064e-07 3.3125896073957295e-07 1.341465501222061e-07 5.537362756405807e-07 -5.28587046338354e-07 -7.052872886405569e-07 4.712612032265601e-07 -4.4412998162390295e-07 -1.2524445999198214e-06 8.268761679328335e-07 4.831637061069206e-06 2.367232312673661e-05 -9.44194388871197e-06 -0.00018379218269532917 0.0001405676568226724 8.825890974751241e-05 -7.246619443668551e-05
age3 2.0033510235790074e-05 5.1617061922282085e-05 -1.2739077720549121e-06 1.0290516842596733e-08 0.0006621568582782346 -4.98013459969498e-05 1.2264344039849642e-06 -9.886436984345015e-09 -1.6437812372507644e-08 1.0698393451916025e-08 1.0126840738686482e-09 -1.751256818172005e-09 5.022966550798609e-10 -9.214351379630664e-09 1.7527352970688125e-09 6.322936906942645e-09 1.035548507255418e-09 -4.939208605419601e-09 -5.6690833254243816e-09 -2.567894126620532e-09 -9.123774835394623e-10 -4.1574488334408165e-09 4.416593817219694e-09 5.167774737702657e-09 -3.4573051377534083e-09 2.9358978917948563e-09 1.1097605957858236e-08 -7.516350391069674e-09 -4.131512990215163e-08 -1.6898091796651307e-07 7.205265691448517e-08 1.400876648442039e-06 -1.083529029737621e-06 -6.757346106157145e-07 5.654815133588306e-07
sex 0.7900717672379375 3.396483863394863 -0.08288757797918088 0.000662156858267233 83.07573005163738 -6.1358044559415665 0.1481093480877223 -0.0011682297475508123 -0.000920999914395108 0.0010522481994066214 0.0005521455098735577 -2.4293749901950178e-05 -0.0008226417925814352 -0.0002890196730870585 0.00015958283799003415 0.0010800706274611252 2.3704100787464067e-05 0.000434934107963908 -0.0001208789799568794 0.00012330539359372623 0.00015051374049775728 -0.0005244956531799715 -0.00011800609265486427 0.0007722666098895913 0.00020786722008535598 0.0006462574460608877 3.612591215413927e-05 -0.0003727554779228107 0.0006168518774179627 -0.01092080431572745 -0.0006032062745093641 0.19400138946060536 -0.18307801755878436 -0.024147099673415506 0.023135100721703463
agesex -0.06106839426269833 -0.2536758575451183 0.006212450835793936 -4.980134599612423e-05 -6.135804455942608 0.45489396123196774 -0.011022230732773166 8.726589325201756e-05 6.336733502867699e-05 -7.549568317967903e-05 -3.7053494145239015e-05 3.0533425840195534e-07 5.7344109982609085e-05 1.876871362824315e-05 -8.839041489920387e-06 -8.061040729625215e-05 -4.9380663293656924e-06 -3.163075307822091e-05 9.087835271799815e-06 -1.2496458423327236e-05 -1.3096525318098286e-05 3.7703105382094674e-05 6.933452054098967e-06 -5.273915760888723e-05 -1.636833050342913e-05 -4.4414212945534685e-05 -6.7802448257143226e-06 2.8255160133960653e-05 -3.549494807345779e-05 0.0007518845738932272 6.617641864698164e-05 -0.013702762075923625 0.013017459805447844 0.0016780806768176438 -0.0017488185867969273
age2sex 0.0015499641312613766 0.006202139217877097 -0.00015243576132611028 1.2264344039632901e-06 0.14810934808777726 -0.011022230732775364 0.0002681206191567012 -2.131228335851652e-06 -1.414720362561424e-06 1.756285854171137e-06 8.050898655844265e-07 3.330592120455191e-08 -1.3129547769933122e-06 -3.844084544099007e-07 1.312993815946611e-07 1.9542121481983682e-06 2.0276915759263816e-07 7.594764079331745e-07 -2.542310890658096e-07 3.956777676286452e-07 3.725628901199906e-07 -8.933555776829604e-07 -1.3350794760508198e-07 1.1583890024830948e-06 4.277617036197038e-07 9.90639480949573e-07 2.6078575637776087e-07 -7.061507519454186e-07 4.901727879203982e-07 -1.699656511635293e-05 -1.7501953885813359e-06 0.0003167753280840094 -0.00030325862569631284 -3.842332786653074e-05 4.29500454828426e-05
age3sex -1.2916182625476963e-05 -4.962759644437623e-05 1.2241815492284803e-06 -9.88643698421923e-09 -0.001168229747551542 8.726589325205671e-05 -2.1312283358521787e-06 1.7010953679437133e-08 1.0185564778569447e-08 -1.3214873231542336e-08 -5.642336499123369e-09 -5.609882832231712e-10 9.854341312280546e-09 2.4612905879685923e-09 -2.4559102756135675e-10 -1.5416733567363287e-08 -2.2641230696329196e-09 -6.041924945850895e-09 2.505267123278869e-09 -3.913383460130819e-09 -3.4377912694958004e-09 7.066917160228949e-09 7.451265826829999e-10 -8.213728012210763e-09 -3.76136715321226e-09 -7.2203420569833815e-09 -2.935983437565216e-09 5.7968247880019554e-09 -1.5872635871223343e-10 1.2758350454191822e-07 1.2522971906613453e-08 -2.39853994099075e-06 2.313984175176582e-06 2.9077774092180687e-07 -3.43616673652106e-07
pcs.V3 -1.902811389596012e-05 -9.74852252197485e-05 2.2189624971942904e-06 -1.6437812372555604e-08 -0.0009209999144138606 6.336733503005886e-05 -1.4147203625946622e-06 1.018556477883004e-08 7.67002644717875e-06 3.442495325628358e-07 1.8874330541795997e-07 -7.073216922017395e-08 8.144782910231342e-08 4.263275932661879e-07 -3.0307446883433813e-07 2.512393978498253e-07 -4.3071503945529046e-07 1.6335857911541614e-07 -8.33461957204904e-08 6.836232206316848e-08 3.6476035724837146e-07 1.7183341661270785e-07 -7.921637489961729e-08 3.587592455979631e-08 -1.3973635335093428e-07 -2.465952755340727e-07 2.314328304381861e-07 -1.8764632193569878e-07 4.370146931770514e-06 7.186113191677153e-06 -9.385463748745825e-06 -1.3832226344704563e-05 1.558214371849767e-05 -3.618648586006729e-06 1.7761696171450136e-05
pcs.V4 3.7850372395876456e-05 5.4702650272858745e-05 -1.3367422464942266e-06 1.0698393451904863e-08 0.001052248199419308 -7.549568318060757e-05 1.7562858541932916e-06 -1.3214873231714264e-08 3.442495325629422e-07 7.138440399725738e-06 1.732190784504418e-07 2.97190870080253e-07 -1.9062762123839063e-07 -1.3954057991334835e-07 1.0145398046853902e-08 2.330286333140041e-07 1.642298887384504e-07 -2.818499313690038e-07 1.4239721968057242e-07 -2.0457671673795942e-07 -4.299155518384086e-07 1.3661402957889824e-07 3.545910241399552e-07 2.67476941198588e-09 4.1216132363288755e-07 2.47227965565889e-07 3.0319041934238084e-08 -2.766495991462563e-07 -2.078826368972093e-06 5.943878435743608e-06 -8.855622264435084e-06 -1.0898732236276758e-05 -6.961917745393534e-06 8.41558068973945e-07 1.4392042832764715e-05
