 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband maternal gpm gmm
intercept 0.002391960050929698 0.0008260539537522997 -2.521187704401414e-05 2.44116037164467e-07 -0.0024147363318346637 0.0002468830099315811 -7.883787846586061e-06 7.880700019428584e-08 -2.177966491704165e-06 2.356867159761121e-06 9.636589202016703e-07 1.155474743464342e-06 6.924935083722096e-07 -1.373108454208427e-06 1.920643224057323e-06 -5.336991434649593e-07 -6.79908607056121e-07 2.0567953148060416e-07 4.1082666891208467e-07 -9.447616978266789e-07 -5.255999695736545e-07 9.733862312624205e-07 1.1155827183295822e-06 7.209430045752396e-08 -1.4981576344623228e-06 3.5746497014063897e-07 -1.881329165691525e-06 -1.8409407360674414e-06 -4.76503012049527e-06 -3.534257533639691e-05 1.3805331165917139e-05 6.0384497559279026e-05
age 0.0008260539537541539 0.00167492951173837 -4.590830733229333e-05 3.932376656204714e-07 0.0161022811395386 -0.001425993349574452 3.900785478357607e-05 -3.335561981164036e-07 -1.3902085617607631e-06 6.922157710867034e-07 -8.006515277512399e-07 1.5592863785885445e-06 2.521199240683912e-08 -2.9429549560053937e-07 1.1739873450970137e-06 2.9529795922884343e-07 3.0191961135928857e-07 -1.6474990638972118e-06 4.3649275273445384e-07 3.479400272714694e-07 -5.05318868267603e-07 -1.4472978108010968e-07 3.1480598838377777e-07 1.0607905069979356e-06 -8.991097399589165e-07 -6.812611356638519e-08 -1.0977644659065053e-06 3.3165388635858075e-07 1.1664289913151618e-05 -2.041144005020836e-05 -1.521388060998622e-06 2.8503021440320752e-05
age2 -2.5211877044063852e-05 -4.590830733230596e-05 1.2746619257691634e-06 -1.1049435410585065e-08 -0.00043260943673286274 3.882398969365655e-05 -1.0755636849894206e-06 9.304442329750258e-09 3.877534142021582e-08 -1.427280887027474e-08 1.8095213891239778e-08 -4.257979610246186e-08 -3.4057505724639126e-09 8.750555203352325e-09 -3.1205824198778984e-08 -3.743277776917395e-09 -8.68000739970677e-09 4.062950226367848e-08 -1.3460437180111375e-08 -8.47752320329372e-09 1.1336257579291784e-08 -1.4342140271627303e-09 -1.2537425379489747e-08 -2.224857037543856e-08 2.6243386000344418e-08 -4.139799495297287e-10 3.33572644306921e-08 -5.534917428455486e-09 -2.7226716716314673e-07 6.271566193254978e-07 -4.7871224501416404e-08 -8.212929015159148e-07
age3 2.441160371649702e-07 3.9323766562079235e-07 -1.1049435410590218e-08 9.694139176536551e-11 3.6444401622475716e-06 -3.3075587511423896e-07 9.2710448478182e-09 -8.114514952961658e-11 -3.342208247361015e-10 1.0724588514587806e-10 -1.232526374692345e-10 3.6320849558994604e-10 5.119021427969758e-11 -9.194771989592028e-11 2.663920464009467e-10 3.111846756104779e-13 8.089632090397767e-11 -3.0309661690605283e-10 1.225392774799127e-10 5.648158638549278e-11 -8.757623147008513e-11 4.9152873285780236e-11 1.3008608755772892e-10 1.415535850938295e-10 -2.363675975568055e-10 2.316107944999234e-11 -3.057723757339739e-10 1.5261232765677893e-11 1.7847315965303773e-09 -5.420291227862369e-09 4.445903244128706e-10 7.457347111366671e-09
sex -0.002414736331782738 0.016102281139610857 -0.00043260943673482667 3.6444401622642366e-06 0.4750732425794913 -0.04184520197577538 0.0011430371650683522 -9.789642930675484e-06 -7.970090940294693e-06 -2.0779625102192563e-07 5.744983433789312e-06 1.4646433544728028e-05 -1.8947052058131474e-05 1.7622144848097145e-05 -1.2163834685886259e-05 -8.853620713712433e-07 -4.23905737407866e-06 -1.7162867750705658e-05 1.029298496104049e-05 1.872083557222249e-05 2.71815376927602e-07 1.839555910729195e-06 -1.0792017946518518e-05 -2.9145250807814266e-06 1.1344981008077205e-05 7.459229219097344e-06 1.0548079964922143e-05 2.0979459899943127e-05 -5.014528455177614e-05 -6.146928244201878e-05 -0.00024027865799841998 0.000613901688218982
agesex 0.0002468830099274014 -0.0014259933495814384 3.8823989693844006e-05 -3.3075587511580804e-07 -0.04184520197577691 0.0037445149129193794 -0.00010366425626556163 8.979678590296635e-07 7.258923570065546e-07 3.8847611417370326e-08 -4.803084199785297e-07 -1.2274983864268482e-06 1.5383280051726505e-06 -1.7102873887432457e-06 1.3605735093767004e-06 1.0532547996589673e-07 1.9376272229110371e-07 1.3780378357895422e-06 -8.603001023785103e-07 -1.6784670094663744e-06 -1.2469175362680914e-07 -1.957052743680223e-07 7.001978044441269e-07 5.871557535199085e-07 -1.095788712327247e-06 -8.172573149883159e-07 -9.40820653089864e-07 -1.954042915291004e-06 2.8788306463763137e-06 1.0465199377477021e-05 1.2344183761641702e-05 -5.175700417270997e-05
age2sex -7.88378784639029e-06 3.900785478384133e-05 -1.0755636849965704e-06 9.271044847878604e-09 0.001143037165068438 -0.00010366425626556536 2.9073818772563834e-06 -2.5486963333137317e-08 -1.9364497248797204e-08 -1.961166515419234e-09 1.18016444075667e-08 3.348344908826622e-08 -3.898117013753034e-08 4.943687330814646e-08 -4.3287287666511556e-08 -4.202051424748671e-09 1.086910416469282e-09 -3.254055839810528e-08 2.0488536324775577e-08 4.606254579336665e-08 4.070626602485079e-09 6.464354553384639e-09 -1.552337391165508e-08 -2.353655023210378e-08 3.1781560211487046e-08 2.6483704056305866e-08 2.6498628678337278e-08 5.5051112291767504e-08 -7.511562428973869e-08 -3.304135645538273e-07 -2.2857593876338776e-07 1.3414507243699888e-06
age3sex 7.880700019353107e-08 -3.335561981169732e-07 9.304442329766889e-09 -8.114514952976745e-11 -9.78964293067656e-06 8.979678590297254e-07 -2.5486963333138144e-08 2.2609796361276397e-10 1.4520218920569608e-10 3.565849768598904e-11 -9.226275289310273e-11 -2.9047729495481915e-10 3.0523483305904873e-10 -4.255980488022941e-10 4.1468164611193996e-10 3.933126843399717e-11 -6.579098430093902e-11 2.3258048588798085e-10 -1.4912132096181657e-10 -3.9215148865628325e-10 -2.7722035506115412e-11 -4.659972956112523e-11 1.1396810778865101e-10 2.5325378320462266e-10 -2.889961201883608e-10 -2.630300359417464e-10 -2.4975052841418023e-10 -4.905365341338845e-10 8.120557969830458e-10 2.75971279804868e-09 1.6629849497876932e-09 -1.0955335542956446e-08
pcs.V3 -2.1779664917057913e-06 -1.39020856176054e-06 3.877534142020859e-08 -3.342208247360289e-10 -7.970090940229014e-06 7.258923570005759e-07 -1.9364497248629078e-08 1.4520218920421912e-10 2.740616554357167e-06 2.442087983350228e-08 -8.88823899112601e-08 7.479359421515002e-09 3.6491675488415786e-08 3.562079683525162e-08 5.46500199528731e-08 7.374647159909075e-08 -2.9567489331446576e-08 3.4119401246094816e-08 -3.7563981123597495e-08 1.935152230818308e-08 2.422176894192065e-08 -6.285256013130081e-09 -3.0647056246572477e-08 1.3849905125225865e-08 1.429022173897035e-08 3.739377483747907e-09 3.29720513666622e-08 -4.763538317389787e-09 1.398217245377734e-06 -7.146894396488042e-07 1.0656781111768737e-06 1.9920918410337038e-06
pcs.V4 2.3568671597615544e-06 6.922157710849255e-07 -1.4272808870226079e-08 1.0724588514546192e-10 -2.0779625107441457e-07 3.884761142211606e-08 -1.9611665155518958e-09 3.5658497687147634e-11 2.4420879833502753e-08 2.698191487421835e-06 2.8320704185691967e-09 2.5140911215295673e-08 3.3540217405413316e-08 -1.3875183525541068e-08 -4.456693724101501e-08 -3.667484188842963e-09 -1.760333951153242e-08 -2.7755673536939256e-08 3.237887778278914e-08 -9.555132738080277e-08 -4.47326756704348e-08 4.512498964914824e-08 4.930330385423515e-08 1.242876089543582e-08 5.133655831632088e-08 -1.7079083418682573e-08 -3.1158754291670127e-08 1.775560677556855e-08 -9.643607475530683e-07 1.2500039135263389e-06 -1.5583528841280525e-06 -2.2130028524008406e-06
