 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal gpp gmp
intercept 0.012425197562636225 0.0045426561793526525 -0.0001435546738658694 1.439733763518917e-06 0.01270354434544133 -0.0012249378119852667 3.705033155242412e-05 -3.5583621868044775e-07 -1.6247831437207037e-06 3.3834595599445796e-06 1.2241900022308961e-06 -1.3999767523942537e-06 9.196231968193661e-07 -1.036882583159345e-05 -3.6729543562693716e-06 -2.3832111775488745e-06 -1.6596691337986558e-06 -4.227573907638024e-06 -1.294759722591896e-05 -5.9241224546198495e-06 3.366827442337322e-07 2.841394243043276e-06 5.198145924178568e-06 -1.7366182726194138e-06 -6.622044831118871e-08 -4.811735879338172e-06 9.24394309234971e-06 -5.986543218006486e-06 -7.847133405375266e-06 -0.0001253627396821541 9.71962837000164e-05 8.74279687208583e-06
age 0.004542656179468787 0.0051344211243441774 -0.00014877895124651105 1.3567315922000754e-06 0.0523887291746619 -0.004855576071321314 0.00014040784359849645 -1.2781215787419016e-06 -7.501485856507748e-07 -1.7725228252814105e-07 -3.639031408956984e-06 1.7670713956873442e-06 -7.493965436526957e-07 -1.6096595919176273e-06 5.284372548708099e-07 -7.90798328403806e-07 -1.3816360164996135e-06 -4.010606915936489e-06 -2.3301226558464934e-06 1.4469528573788264e-06 -9.359687758273812e-08 -1.2933644675678385e-07 1.8877380697018497e-06 4.093736106520522e-07 -3.0599169144036915e-06 -3.2136776312535857e-06 6.068552259540221e-07 7.481863421165446e-07 1.202701442145974e-05 9.344912124407146e-06 0.00012622459064837215 -0.00016034762012900506
age2 -0.000143554673869546 -0.0001487789512469446 4.363666147662175e-06 -4.025652568365433e-08 -0.0014973909331562289 0.0001404499811627538 -4.1098890125886114e-06 3.784141776891338e-08 1.6312058191835108e-08 2.390628246128587e-08 9.752332458897564e-08 -4.777363988889072e-08 1.7939871886253824e-08 5.159279692947111e-08 4.518445521098031e-09 4.113112482427354e-08 3.984353130804984e-08 1.184505605742947e-07 8.82467368870037e-08 -3.651722508554662e-08 -7.529929781452597e-09 -1.0305472426553578e-08 -5.9326788237714256e-08 3.6171909339110905e-09 7.632114998617442e-08 9.186403037502605e-08 -3.228085274971084e-08 -1.0967722578435063e-09 -2.820122097449194e-07 -3.14069193519848e-07 -3.1032096130532977e-06 4.35020065399996e-06
age3 1.4397337635493986e-06 1.3567315921980387e-06 -4.0256525683495865e-08 3.7585141118870096e-10 1.34910183669253e-05 -1.2788754814818964e-06 3.785169610618076e-08 -3.526596095917408e-10 -8.877499860874438e-11 -3.164419242860593e-10 -8.111801605453599e-10 3.8926914995262295e-10 -1.4033013206258202e-10 -5.544441783413486e-10 -2.2522185953138444e-10 -5.161625280287973e-10 -3.3890364483642125e-10 -1.0923071847619946e-09 -1.0125416331458842e-09 2.775899218104357e-10 1.5758046858571408e-10 1.8776735322673535e-10 5.777592402608591e-10 -1.7423361707395774e-10 -5.603295225018685e-10 -8.46217809746444e-10 4.5457631055076363e-10 -1.592697443065663e-10 2.2027586691074308e-09 2.516224406959744e-09 2.489995626822967e-08 -3.804557936275669e-08
sex 0.01270354434880718 0.05238872917696405 -0.0014973909332236023 1.3491018367545545e-05 1.1787495428217665 -0.1078823234255679 0.0030830777857140256 -2.774659262819643e-05 3.1397175598037383e-05 5.856599680319794e-06 -1.814373377019099e-05 3.675336137232788e-05 -4.7957848175595495e-05 5.1244094802402446e-05 -8.732805381373214e-06 -1.449314233450315e-05 -1.009647398283216e-05 -1.0213935070367873e-05 2.9554725744964053e-05 7.232101565784251e-05 -9.017425383177484e-07 -6.008695616590404e-06 -2.0839647011750598e-05 -3.0222761651242123e-05 -2.7704929465728004e-05 -2.9934367451758404e-05 3.0910785476326923e-06 4.6978468460048405e-05 0.0003646533400575216 0.00013908367763298295 0.002075410695170253 -0.002770815870288799
agesex -0.0012249378122782125 -0.004855576071501398 0.00014044998116808096 -1.2788754815315333e-06 -0.10788232342555289 0.010015217378104534 -0.0002898672867994713 2.638263315037174e-06 -2.737628732163127e-06 -1.9020682422085744e-07 1.829263457199605e-06 -3.3667978062179174e-06 4.165713176913684e-06 -4.922202898498325e-06 1.3157629285020658e-06 1.8711267772185104e-06 6.022568084374714e-07 1.1298477938140213e-06 -2.501630578290035e-06 -6.809381669171886e-06 -5.076667986118641e-07 9.271858633971239e-08 1.7913070518424928e-06 3.498240817827999e-06 1.8152354935209391e-06 2.765242579507138e-06 -5.505923840702327e-08 -4.168227328053383e-06 -3.289780774444675e-05 -1.3620584398471638e-05 -0.00017438951484796247 0.0002479809426233041
age2sex 3.70503315611107e-05 0.0001404078436041701 -4.10988901275562e-06 3.785169610772699e-08 0.0030830777857130546 -0.0002898672867994213 8.496937005801918e-06 -7.828608911051669e-08 7.501525070473773e-08 -6.477836302591076e-09 -5.5561599934354195e-08 9.790563624010288e-08 -1.1459637521915646e-07 1.4544381547191862e-07 -5.017610616151814e-08 -7.000975125427724e-08 -6.021522533981046e-09 -3.691824527949795e-08 6.058196798347722e-08 2.0094746863713004e-07 3.108009448490777e-08 7.222286717349859e-09 -5.0529561785112886e-08 -1.1985329621207476e-07 -3.4280835265387914e-08 -8.166639294264663e-08 -5.353777204914996e-09 1.1407304346013322e-07 9.171713049423357e-07 3.201986064130949e-07 4.721145335210467e-06 -7.013606862284852e-06
age3sex -3.558362187566505e-07 -1.2781215787864568e-06 3.784141777023584e-08 -3.5265960960411784e-10 -2.77465926281814e-05 2.6382633150361436e-06 -7.828608911050004e-08 7.304694065009845e-10 -6.774922125060688e-10 1.9469728348523524e-10 5.27970080925337e-10 -8.861535976173071e-10 9.946253561884542e-10 -1.3389997711110939e-09 5.80602595613971e-10 7.795318805536687e-10 -5.859151601400228e-11 3.6571733555137567e-10 -4.3473383345294316e-10 -1.876613340548427e-09 -4.3976390399931553e-10 -1.0575789061237641e-10 4.2261119435784666e-10 1.2383946515889152e-09 1.2238070682209193e-10 7.575002093401387e-10 7.023142233939817e-11 -9.821631574860966e-10 -8.209275437898821e-09 -1.5310907538041718e-09 -4.132199793929139e-08 6.26669137736176e-08
pcs.V3 -1.624783143627757e-06 -7.501485855454675e-07 1.631205818873842e-08 -8.877499858009941e-11 3.139717559927513e-05 -2.7376287322795275e-06 7.501525070815285e-08 -6.774922125375954e-10 3.693211374730029e-06 3.1472453282430285e-07 9.292118808948168e-08 -4.0623842134355105e-08 1.0030625751942456e-07 3.837353291632162e-08 -1.9112430331787915e-08 9.027050312850956e-08 -8.599835018930454e-08 1.0532190747650212e-07 -1.20186291182947e-07 1.1239341024709374e-08 4.725388669625824e-09 3.8798145939525e-08 -1.0253329752322436e-07 1.0284326300283954e-07 3.555873358113534e-09 9.134274435344039e-09 4.3993060498716384e-08 8.46217579712358e-08 2.7856849834019033e-06 3.275383877224314e-07 2.4004576931138542e-06 4.019448476941953e-07
pcs.V4 3.3834595599469395e-06 -1.772522825104189e-07 2.3906282460767172e-08 -3.1644192428128266e-10 5.85659968076825e-06 -1.902068242628479e-07 -6.477836301365269e-09 1.9469728347399015e-10 3.1472453282431534e-07 3.6261417178102687e-06 1.3632870884222908e-07 -5.043815406949311e-08 7.801455662206115e-08 -1.0967005941596665e-07 -4.108207215558254e-08 8.318566746159575e-08 1.0158330053909275e-07 -6.91753405212432e-08 1.9861691889142238e-08 -8.702305577884824e-08 -1.3968609215881949e-07 8.943758079548417e-08 1.2101056713146903e-07 1.278277119699498e-07 4.783293678777691e-08 7.952744356858088e-08 1.4513881586965925e-08 9.962945395153929e-08 -7.518114974765067e-07 7.000677411282222e-07 -2.341092273864166e-06 -2.823162512507928e-06
