 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
intercept 0.00010066567847988793 7.516519972215319e-06 -2.051076012496489e-07 1.9297390432754436e-09 -5.958513327422799e-06 5.940576241310472e-07 -1.8530244037159017e-08 1.9770164626460611e-10 2.591802915918404e-07 9.715492965825813e-08 -1.0943262009370786e-07 5.1349437816978775e-09 -5.3772481915215286e-08 7.91158548633772e-08 -3.459368184905077e-08 7.376646091621297e-08 -2.5798123465981938e-08 -7.236415739093404e-08 -9.62707178335014e-08 -3.057574201372184e-08 9.941518811776573e-09 5.8042710650213783e-08 -2.74347700313678e-08 -4.427353657804771e-08 -2.1617834581139907e-08 -5.279615249373236e-08 2.402087774880445e-08 -4.3001996709152e-08 -8.550503187233831e-06 1.0751690643285662e-05 6.720107710524606e-06
age 7.516519972211463e-06 0.00022804140616379786 -5.248657309522538e-06 3.753570265723087e-08 0.0027958304520515256 -0.00021158040806520527 4.855394866506702e-06 -3.4595301886113525e-08 -3.1050093936633975e-08 1.6172471296940093e-07 -1.0280406524613095e-07 1.795846075052783e-07 9.208206571621727e-08 8.151813643979987e-08 8.40723561510588e-08 7.256557242702925e-08 7.705783335107275e-08 -3.3986448727128956e-07 -5.6783728451163636e-08 5.974877580489795e-08 -1.6399583299790135e-07 -2.2510328612744596e-07 -1.9576418945899313e-07 2.1230472577485116e-07 1.4849780914820938e-07 -1.2360055857102452e-07 1.2110044240105626e-07 2.731436066860695e-07 1.8103796810821458e-06 1.756586422786307e-06 9.945016757417658e-07
age2 -2.0510760125009343e-07 -5.248657309522128e-06 1.2310241181132436e-07 -8.951508816394931e-10 -6.286906951191109e-05 4.860754259857584e-06 -1.1370219509372613e-07 8.239031616496666e-10 2.48211001864288e-09 -3.372702357602492e-09 1.7736148224947124e-09 -4.349495967843712e-09 -2.361330513263403e-09 -2.633069818979723e-09 -1.446086810359555e-09 -1.1186447314040208e-09 -1.6778124527071626e-09 7.797054307431468e-09 1.6638429537198145e-09 -1.2507551000097093e-09 3.5534700924528973e-09 4.470489106908609e-09 3.533963889131943e-09 -4.392003923238029e-09 -3.9244673586491e-09 2.4332285829573715e-09 -3.2498619681673463e-09 -6.3484432193541e-09 -4.134839660705599e-08 -5.093864640450682e-08 -1.3760719441420609e-08
age3 1.9297390432766488e-09 3.75357026572251e-08 -8.951508816394399e-10 6.613977990307148e-12 4.4077547315197073e-07 -3.466806109618568e-08 8.248002316103869e-10 -6.073631869197692e-12 -2.8064616886828584e-11 2.4916090648348417e-11 -1.20602026791578e-11 3.173201396698629e-11 1.6782104756206237e-11 2.3385372155289347e-11 7.966558084824893e-12 5.6514056970587234e-12 1.2877579669350314e-11 -5.5676305169146876e-11 -1.595153428600535e-11 6.961259184570487e-12 -2.488395264682749e-11 -2.6910484194572844e-11 -2.0443869520001822e-11 2.8181818049946732e-11 3.0846397509785443e-11 -1.4892265275304428e-11 2.5912591722044096e-11 4.497714900882475e-11 2.747193961958997e-10 3.9565570167515027e-10 6.099881233981905e-11
sex -5.9585133275057985e-06 0.0027958304520517923 -6.286906951192178e-05 4.4077547315207677e-07 0.09677240214789568 -0.007242224092793954 0.00016532368718990732 -1.1765016299526702e-06 1.1222614557974588e-07 -1.0070228296881333e-06 1.3116947003179133e-07 7.70431123064583e-07 -1.6396527892470527e-06 -4.2759442604372844e-07 1.8661394331373485e-06 1.3230086702740293e-09 -2.1555663321131183e-06 -3.0781712998807866e-06 -6.262738488476367e-07 3.346181594621973e-06 8.88019356495805e-08 -2.2906719446294304e-06 -4.326771510047222e-06 1.7621931099581418e-06 -1.6205452417788327e-07 -1.754043947269175e-06 2.7918614416353138e-06 3.189472472722156e-07 8.987168393624649e-06 3.5702512627805895e-06 6.401452544860756e-05
agesex 5.940576242601211e-07 -0.00021158040806530337 4.860754259860328e-06 -3.466806109620817e-08 -0.007242224092793421 0.0005566674344773945 -1.2969032376403122e-05 9.380565869024241e-08 2.6424057057409617e-08 9.453289900589653e-08 -1.2023849496278297e-08 -3.00961652245894e-08 9.272816881781256e-08 -1.1325041584208716e-08 -7.641976046023892e-08 1.2236665003095578e-08 1.5580826427178783e-07 2.415768434834736e-07 2.9118336734872915e-08 -2.4719039858706985e-07 -4.04598060707212e-08 1.5640111900182444e-07 2.822586261994181e-07 -8.432031202201495e-08 -5.220458532354004e-08 1.3502482964011553e-07 -2.415116512673939e-07 -3.7484665737404474e-08 -1.2390273289225624e-06 -8.733327591628055e-07 -4.55202158516485e-06
age2sex -1.853024403806145e-08 4.855394866506827e-06 -1.1370219509373954e-07 8.248002316105496e-10 0.00016532368718988265 -1.2969032376402173e-05 3.077787201365269e-07 -2.2625979384498895e-09 -1.4749988471996375e-09 -2.4798114495360315e-09 1.8364968444636432e-10 5.53074351444553e-10 -1.8317078154974955e-09 1.031176228295593e-09 8.529447159958841e-10 -7.232638229748097e-10 -3.0945975177137408e-09 -5.547191980587294e-09 -7.511840599816912e-10 5.38196831450437e-09 1.541707632463465e-09 -2.9005916283830354e-09 -6.034727119890716e-09 8.121944374790356e-10 2.1069450232516786e-09 -3.3851922140310315e-09 5.997535738353168e-09 6.480427528105111e-10 4.2726266836406866e-08 2.416565868882925e-08 1.000677548429573e-07
age3sex 1.97701646296166e-10 -3.459530188610662e-08 8.239031616496092e-10 -6.073631869197865e-12 -1.1765016299524089e-06 9.380565869022918e-08 -2.2625979384497415e-09 1.6890366153977184e-11 1.3546581333538497e-11 2.0377508996522663e-11 3.692161682276177e-13 -5.601450743353643e-12 1.3805169085774064e-11 -1.0569532057042792e-11 -2.451920790413519e-12 6.634067646996064e-12 1.785799004673209e-11 3.91832684547575e-11 6.242155317919546e-12 -3.601969513619108e-11 -1.3709464953605092e-11 1.6300005565999844e-11 4.171691453976448e-11 2.4231511443855387e-12 -1.9329258514103925e-11 2.6370180350957152e-11 -4.541253469576213e-11 -3.1513384935434192e-12 -4.242395097675239e-10 -1.6059668206873985e-10 -7.123102472045331e-10
pcs.V3 2.59180291591798e-07 -3.1050093936367934e-08 2.48211001863686e-09 -2.8064616886786353e-11 1.1222614558649226e-07 2.642405705690319e-08 -1.4749988471881313e-09 1.3546581333457333e-11 1.0600909415552607e-06 5.0861014358520505e-08 -2.413027996858292e-08 3.298036785541828e-09 3.880948887759272e-09 1.5665437351080306e-08 -4.776683924635816e-09 1.302520855950932e-08 6.601745004238071e-09 1.4934215739476436e-11 -1.3236347330982358e-08 1.3038175719070497e-08 -1.0095074428836293e-09 -8.126403500645484e-09 -1.3435244923299646e-08 -1.4852035633374535e-08 -4.606891354793981e-09 -8.996329435028325e-09 9.440799621084161e-09 1.7797636396409665e-10 2.551675129271044e-07 6.995519367584758e-07 5.85157676378088e-07
pcs.V4 9.715492965826653e-08 1.6172471296948404e-07 -3.3727023576044878e-09 2.4916090648363294e-11 -1.0070228296858917e-06 9.453289900572146e-08 -2.4798114495318964e-09 2.0377508996492384e-11 5.086101435852043e-08 1.109123032223643e-06 1.7251520430028222e-08 -4.770894259964637e-09 1.2744386342434121e-08 -1.694781703927547e-08 -6.911525736542798e-09 1.2869187742138719e-08 -4.0275624590030884e-09 -2.6233714166596142e-09 8.408155785131376e-09 -1.0488799819574613e-08 -5.130791612538364e-09 9.75509271492808e-09 8.088346400073525e-09 3.9828114337947256e-09 6.418698470789145e-09 -2.304738429080915e-09 1.4249040358201368e-09 3.071420650375341e-09 -6.305608405289163e-08 -5.758407240428753e-07 -4.5883308214054023e-07
pcs.V5 -1.0943262009370898e-07 -1.0280406524605525e-07 1.77361482249302e-09 -1.2060202679146062e-11 1.3116947003457119e-07 -1.2023849496491822e-08 1.8364968445133443e-10 3.6921616819169e-13 -2.4130279968582894e-08 1.725152043002818e-08 1.1394651589411149e-06 7.871858209072273e-09 -2.5492008563616714e-10 -1.567080866344852e-08 2.7469596136713017e-09 -6.856985512596092e-09 1.4633717414887545e-08 1.3356316291906152e-08 8.482512130607204e-09 2.973737831078415e-09 7.43696629596468e-09 9.965742879598522e-09 -9.57572404081795e-09 -5.986922713640233e-09 8.48681344214676e-09 6.0842037116266295e-09 5.614669176324267e-09 2.6935403506921937e-09 2.015102053839771e-08 3.779865742583154e-07 -6.772487681474612e-08
pcs.V6 5.134943781693675e-09 1.7958460750526543e-07 -4.349495967843612e-09 3.173201396698682e-11 7.704311230641943e-07 -3.009616522457186e-08 5.530743514444189e-10 -5.60145074335447e-12 3.2980367855417156e-09 -4.770894259964675e-09 7.87185820907227e-09 1.1305475419611437e-06 5.58222634480278e-09 -2.2143248153002756e-09 1.0265097871388763e-08 -6.891548208014531e-09 1.9440316459679098e-08 2.6895808628409905e-09 -1.539694259240712e-08 -1.1132592932287527e-08 3.225774033327886e-09 8.095982789390684e-09 -1.0280833723659768e-09 1.8021095633619226e-09 3.2901513502708624e-11 3.888114111656972e-09 -2.660159576087631e-08 -1.2179982952355285e-08 3.72181130876661e-08 3.79821345466498e-07 1.0288233223089024e-07
pcs.V7 -5.37724819151751e-08 9.208206571627412e-08 -2.361330513264772e-09 1.678210475621651e-11 -1.6396527892447435e-06 9.272816881763134e-08 -1.8317078154931985e-09 1.380516908574247e-11 3.880948887759265e-09 1.2744386342434093e-08 -2.5492008563612764e-10 5.582226344802783e-09 1.268077424738964e-06 7.861371101703798e-09 -7.446977863784926e-09 -1.940961985778565e-08 1.5412085675572747e-10 -8.069525164510878e-09 9.279214641319055e-09 -3.4661627566989573e-09 -5.5423973348567055e-09 -1.1432363833647289e-09 -2.0685120655438344e-08 7.206843583276839e-09 5.972519338621343e-09 -2.1936998195877973e-08 -1.0013875102333808e-08 -1.043820776551262e-09 -2.0430175601166253e-08 1.3111376364709292e-07 -2.2098542302919335e-07
pcs.V8 7.911585486338998e-08 8.151813643971103e-08 -2.6330698189777536e-09 2.3385372155275792e-11 -4.275944260451946e-07 -1.132504158410042e-08 1.0311762282931673e-09 -1.0569532057025886e-11 1.5665437351080276e-08 -1.6947817039275523e-08 -1.5670808663448505e-08 -2.2143248153003405e-09 7.861371101703775e-09 1.2540189107043244e-06 1.774233054123449e-08 -5.0981322146791616e-09 -1.9295465153855196e-09 3.507568776934807e-08 4.051761676775882e-09 -2.652395375820544e-08 3.92884865058641e-09 4.461474594729607e-09 -7.034232210902693e-09 1.6523620412386237e-08 2.1506077330410733e-08 8.401316972670401e-09 5.841838981453757e-09 1.5193536719539525e-09 -1.995718177883314e-08 6.483967801856147e-08 -9.374718033294109e-08
pcs.V9 -3.459368184900945e-08 8.407235615110502e-08 -1.4460868103607297e-09 7.966558084834131e-12 1.8661394331379414e-06 -7.641976046029107e-08 8.529447159972505e-10 -2.451920790424381e-12 -4.7766839246359265e-09 -6.911525736542782e-09 2.7469596136712777e-09 1.0265097871388801e-08 -7.446977863784918e-09 1.7742330541234535e-08 1.2408713802849952e-06 -5.136706487104819e-09 1.1099076945301468e-08 2.890951051733466e-09 3.134376237858886e-09 -1.2649524502069096e-08 -5.064091359553713e-09 -8.691854364221645e-09 2.3638840096743673e-09 -1.2822370053111662e-08 -2.000998196630601e-08 -1.084289389346977e-08 -8.399913546705442e-10 1.0600057444284794e-08 5.133888308283259e-08 1.4716549637979666e-07 -1.1468962980256869e-07
pcs.V10 7.376646091620102e-08 7.256557242712086e-08 -1.1186447314061677e-09 5.651405697074293e-12 1.3230086723321247e-09 1.2236665002937037e-08 -7.232638229711108e-10 6.634067646969295e-12 1.3025208559509277e-08 1.2869187742138746e-08 -6.8569855125960956e-09 -6.891548208014484e-09 -1.9409619857785647e-08 -5.0981322146791285e-09 -5.136706487104786e-09 1.2454592256723135e-06 7.012603265673046e-09 9.700095003982717e-09 6.2041271005213526e-09 -7.78362364280873e-10 -1.509527536551425e-08 4.97574524272482e-10 4.610590290896667e-09 6.882844459281596e-09 -8.494433568916521e-10 1.5625146903625207e-08 1.762707547620975e-10 -8.072717862997038e-09 6.818481461235338e-08 3.15082530225738e-07 2.1438866745708932e-07
pcs.V11 -2.5798123465967717e-08 7.70578333509936e-08 -1.6778124527053264e-09 1.287757966933713e-11 -2.1555663321159033e-06 1.5580826427200633e-07 -3.0945975177189388e-09 1.7857990046770453e-11 6.601745004238165e-09 -4.027562459003028e-09 1.4633717414887582e-08 1.9440316459679088e-08 1.5412085675580664e-10 -1.929546515385502e-09 1.1099076945301415e-08 7.012603265673056e-09 1.226345128240458e-06 1.132644585388986e-11 9.4153279743106e-09 -1.331373966003046e-08 -1.4308901739703136e-09 -1.0170495136265062e-08 4.891760981734106e-09 8.562703223207207e-09 -1.4784324100589293e-11 5.374165959390601e-09 -1.556337801685727e-08 1.200477662733548e-08 -4.3456488593563836e-08 1.3313287988500257e-07 1.6955470626916837e-08
pcs.V12 -7.236415739090777e-08 -3.398644872712081e-07 7.797054307429984e-09 -5.567630516913883e-11 -3.078171299878091e-06 2.415768434832944e-07 -5.547191980583764e-09 3.918326845473627e-11 1.493421573982552e-11 -2.6233714166595596e-09 1.3356316291906233e-08 2.689580862840987e-09 -8.06952516451084e-09 3.5075687769347954e-08 2.8909510517335453e-09 9.700095003982828e-09 1.132644585376404e-11 1.227494444405905e-06 -1.5648383048807754e-08 -7.256710524190466e-09 -3.472665258381472e-09 8.554496410875603e-09 -1.0146090751020458e-08 -5.221224514123242e-09 -1.1821832602422204e-08 3.620337276207371e-09 -1.3144795235839946e-08 1.410996049411656e-08 1.0862110675188293e-08 7.407006281126725e-08 -9.083389710827736e-08
