 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband
intercept 8.776587090362314e-05 8.11701409997139e-06 -2.1975029014044072e-07 2.0465655791053476e-09 -2.325111934399717e-05 2.119887511917389e-06 -5.965414338812064e-08 5.452359449592753e-10 2.094810946614823e-07 1.8530122127011715e-07 -1.8950701853735266e-07 -9.02427199986514e-08 -4.542991208574588e-08 7.416177807080007e-08 -6.953073888249534e-08 5.417154332044353e-08 -6.1022997481332166e-09 -9.963357031831372e-08 -8.717908663180366e-08 -4.4717637169929775e-08 -2.271520391872666e-08 2.3185328844112848e-08 -2.8788819216240437e-08 -2.7572976276209864e-08 8.998586411126497e-10 -4.6772286066825575e-08 4.533195848800674e-08 -2.2180762336342634e-08 -7.779882939470379e-07
age 8.117014099976358e-06 0.00026429526129163146 -6.08131545289882e-06 4.344569917974447e-08 0.003319152823314794 -0.00025138624085222747 5.77428606126719e-06 -4.117654781263245e-08 -3.782873733832388e-08 1.9526986517803668e-07 -1.0750775636235512e-07 1.6799650727844102e-07 4.1536737720686696e-08 5.367105624368428e-08 1.0494540929504886e-07 9.355947095624097e-08 1.245230004761061e-07 -3.1991979685408886e-07 -9.605028104244261e-08 6.467109816427023e-08 -1.7264478260907577e-07 -1.7331313108650801e-07 -2.0713038280462414e-07 2.1871898527311118e-07 1.6848344804585267e-07 -1.5179783007631228e-07 1.3430942876857843e-07 3.2320849848592046e-07 3.5044508095789125e-06
age2 -2.1975029014075828e-07 -6.081315452897678e-06 1.426316909203115e-07 -1.0363274273706348e-09 -7.465768305449277e-05 5.77615042057218e-06 -1.3523476444083795e-07 9.807183837858079e-10 3.1248346044304994e-09 -4.420989092290723e-09 1.8169615579633984e-09 -4.163484342228158e-09 -1.0855933715397306e-09 -1.957520240578794e-09 -1.778822650784382e-09 -1.489948081299757e-09 -2.844282424190726e-09 7.14940396101374e-09 2.4793383144197132e-09 -1.240233820987851e-09 3.7239416902980333e-09 3.0520267001578782e-09 3.792671217980074e-09 -4.212950140962576e-09 -4.485582407445316e-09 3.2209773642346374e-09 -3.6108924128050637e-09 -7.373648488826773e-09 -7.901362699997453e-08
age3 2.046565579097245e-09 4.3445699179739396e-08 -1.0363274273707169e-09 7.652069513790524e-12 5.235458967316549e-07 -4.120213474869261e-08 9.810530750017424e-10 -7.2296524250470986e-12 -3.5767733991295714e-11 3.47438912692805e-11 -1.21630501176163e-11 3.0634951045787494e-11 7.169463630640109e-12 1.8239050076769638e-11 9.184530744506977e-12 7.480046529591765e-12 2.1736625352261043e-11 -4.962750878015342e-11 -2.177408760089282e-11 6.394131890273018e-12 -2.599484533491161e-11 -1.5198796401393618e-11 -2.237032673730679e-11 2.4537057516241004e-11 3.543652739497232e-11 -2.1201365065286485e-11 2.896455081519817e-11 5.121529334072092e-11 5.247336896193441e-10
sex -2.3251119341189642e-05 0.003319152823313487 -7.465768305446995e-05 5.235458967315447e-07 0.11570067362778094 -0.008677341880262632 0.00019856145927002946 -1.4164226569107774e-06 -4.055442114953601e-07 -6.038820939428595e-07 4.4052632063984126e-07 1.0729297317003924e-06 -2.297436685741362e-06 -7.678249806646409e-07 2.4231101200762275e-06 -4.948506591219029e-08 -8.050852972161042e-07 -2.774100015858261e-06 -1.4814451632365477e-06 2.8669775702442707e-06 2.9983288337219896e-07 -1.540318100959155e-06 -3.4894745246758587e-06 2.1515801633759403e-06 -7.337406718522811e-07 -2.2022963210632833e-06 3.9040079993679e-06 6.410778516840474e-07 4.569448201115966e-05
agesex 2.11988751175158e-06 -0.0002513862408521726 5.7761504205715e-06 -4.1202134748691876e-08 -0.008677341880261383 0.0006682819338071682 -1.5605304746027713e-05 1.1313411243514335e-07 7.277035155474529e-08 6.411742916901686e-08 -3.3674830539704374e-08 -4.3615370259057274e-08 1.374209297624089e-07 8.878973108417675e-09 -1.0915261693881664e-07 1.775097135546475e-08 5.247626371225172e-08 2.249993751634671e-07 8.252486669645126e-08 -2.0893936859709774e-07 -6.853891026669664e-08 8.413131036078206e-08 2.2417288954526952e-07 -8.084324898358462e-08 -1.412925083497267e-08 1.7888047060068004e-07 -3.3238346534848284e-07 -4.7523398998499494e-08 -4.135093425840303e-06
age2sex -5.965414338157961e-08 5.774286061263206e-06 -1.3523476444075597e-07 9.810530750012364e-10 0.0001985614592699745 -1.560530474602572e-05 3.711600452210898e-07 -2.7345020362227885e-09 -2.670265492591148e-09 -1.7476115685760198e-09 6.989764425719125e-10 6.959078888100713e-10 -2.726241194882259e-09 5.351642511133338e-10 1.4104541466136544e-09 -9.908899355052077e-10 -6.901097323886462e-10 -5.145340895252766e-09 -1.891228505605011e-09 4.4659536537775976e-09 2.424090315648051e-09 -8.363312803529096e-10 -4.795415758168317e-09 -1.694500872966131e-11 1.2679726255117617e-09 -4.58589033473605e-09 8.31073761007026e-09 6.14775546068686e-10 1.0846417302866867e-07
age3sex 5.45235944978827e-10 -4.117654781262384e-08 9.80718383785734e-10 -7.229652425047281e-12 -1.4164226569102154e-06 1.1313411243511639e-07 -2.734502036222497e-09 2.0454669109795116e-11 2.256976303228372e-11 1.5027482364681646e-11 -3.6196869204735095e-12 -5.558170363663886e-12 1.8878894052511892e-11 -6.269237774217468e-12 -4.823212797402101e-12 1.005806964261495e-11 5.34298576938612e-13 3.5676642475216425e-11 1.3782643778690004e-11 -2.9281446807185e-11 -2.1989507760950965e-11 -1.031050511718455e-12 3.3344600134764444e-11 1.3540181435661458e-11 -1.3286788597144546e-11 3.6019378174302806e-11 -6.358183917580249e-11 -1.303315694253011e-12 -8.872492706952393e-10
pcs.V3 2.094810946614571e-07 -3.782873733821031e-08 3.124834604427967e-09 -3.576773399127818e-11 -4.0554421149225367e-07 7.277035155452277e-08 -2.6702654925862808e-09 2.256976303225046e-11 9.678110681762927e-07 6.419222336553884e-08 -2.9162921802852505e-08 1.5042869550299296e-09 5.14216745168174e-09 1.4466139868687849e-08 -4.5115023642802e-09 1.1898633199068942e-08 8.861728401515704e-09 -1.063446504190468e-09 -8.673294631983362e-09 1.4632504263927732e-08 -3.794760037696644e-09 -1.199929534953968e-08 -1.736139143482682e-08 -1.1528695058090327e-08 -4.857049800405483e-09 -1.3975167153339764e-08 6.831929718808358e-09 2.9452407808764717e-09 8.712771317857592e-07
pcs.V4 1.853012212701259e-07 1.9526986517822483e-07 -4.4209890922950345e-09 3.474389126931129e-11 -6.038820939358207e-07 6.41174291684819e-08 -1.7476115685636684e-09 1.5027482364592928e-11 6.419222336553877e-08 1.0206471630995333e-06 2.480416580650034e-08 -2.5706931240903446e-09 1.4248982927798617e-08 -2.0759926297031348e-08 -1.177650864240258e-08 1.7599050103077058e-08 -3.2802562161955653e-09 -3.5409420656364278e-09 6.69779019331568e-09 -9.3453519753667e-09 -9.210522397532198e-09 9.709355055426339e-09 7.065432120992297e-09 5.101437668948084e-09 8.792728900070601e-09 1.3234379982437317e-09 2.70519690890895e-09 3.3788972115525144e-09 -5.711781247977105e-07
pcs.V5 -1.895070185373405e-07 -1.0750775636218531e-07 1.8169615579593767e-09 -1.2163050117586838e-11 4.4052632064678926e-07 -3.367483054025963e-08 6.989764425853127e-10 -3.6196869205734404e-12 -2.9162921802852598e-08 2.4804165806500225e-08 1.0791461975230955e-06 6.472148136458055e-09 -1.403825128083237e-09 -1.8058421192355138e-08 6.468225427559452e-09 -4.378355789141953e-09 1.4201823146682292e-08 1.7579996560471604e-08 7.330495282940104e-09 5.569566390188539e-09 7.64537923054279e-09 1.1039012831409525e-08 -1.327946192220076e-08 -7.428392436376336e-09 3.9893809486052064e-09 9.066172745672389e-09 3.1365208214932097e-09 2.7158360909250486e-09 1.6704118342177298e-07
pcs.V6 -9.024271999864689e-08 1.6799650727847225e-07 -4.163484342228958e-09 3.063495104579373e-11 1.0729297317018283e-06 -4.3615370259174303e-08 6.959078888129199e-10 -5.558170363685154e-12 1.5042869550298484e-09 -2.5706931240903806e-09 6.472148136458054e-09 1.0621268572326362e-06 4.4178237678443136e-09 -2.627212407337153e-09 9.860459391746697e-09 -9.271560897526585e-09 2.0572481400938796e-08 9.722122603059264e-10 -1.0743380474236e-08 -1.0157600150075404e-08 1.977669500485339e-09 6.076914268324166e-09 -3.1956490439114402e-09 4.893401522525714e-09 3.227212705113149e-09 5.804424524888603e-09 -2.623747049150789e-08 -1.2558173733036622e-08 2.700940177918677e-07
pcs.V7 -4.5429912085728074e-08 4.15367377206293e-08 -1.0855933715382597e-09 7.1694636306286936e-12 -2.297436685744409e-06 1.374209297626645e-07 -2.726241194888675e-09 1.887889405256134e-11 5.142167451681807e-09 1.4248982927798741e-08 -1.4038251280831515e-09 4.417823767844334e-09 1.2044420578166207e-06 6.474716275088618e-09 -3.923200212501667e-09 -2.1072918661394043e-08 -6.634184346113675e-11 -6.071311513266552e-09 1.3823141316010433e-08 -5.717330672910232e-09 -3.4789478513365684e-09 -1.5910092734130985e-09 -1.9801129306755772e-08 8.898249124024036e-09 5.098510327680899e-09 -2.3817758464840304e-08 -8.819176460676167e-09 -4.631198706384678e-09 -6.030034087241316e-08
pcs.V8 7.416177807080661e-08 5.367105624359519e-08 -1.9575202405767243e-09 1.823905007675475e-11 -7.678249806674038e-07 8.878973108634506e-09 5.351642511081838e-10 -6.269237774179589e-12 1.44661398686879e-08 -2.075992629703132e-08 -1.8058421192355148e-08 -2.6272124073371834e-09 6.47471627508865e-09 1.186786446427702e-06 1.905439409339e-08 -7.10443815822806e-09 -1.1065576934555478e-09 3.3410248034556766e-08 7.599365774481809e-09 -2.3872097298688078e-08 3.3755393161658805e-09 6.256290080152471e-09 -6.748313063092229e-09 1.6596755250732828e-08 1.9322128496004356e-08 1.101661692379176e-08 6.1865044029435655e-09 -1.2995799722886723e-09 -3.213080707147158e-08
