 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband
intercept 0.00010712226865716643 4.3838435530403766e-06 -2.0277592335754513e-07 2.215894062378025e-09 -5.8944420924328464e-05 3.9991791894924925e-06 -9.152083894365153e-08 7.150964082383676e-10 5.501672663698654e-07 2.779660998475301e-07 -2.7677199402580903e-07 -2.2213965607153971e-07 3.840069560995632e-08 7.952215803656995e-08 -1.7242367830241758e-07 1.284724421687876e-07 5.3889366483964025e-08 -1.681501831947827e-07 -7.479148553535858e-08 4.06350954797377e-09 -6.544712240015649e-08 -1.7925333887874967e-08 6.101720282166965e-08 4.037065255850175e-08 6.332443283876426e-08 -1.1454356862742121e-07 4.780497231057974e-08 5.335858934252692e-08 -6.147385441263806e-07
age 4.38384355273325e-06 0.00044673423393961 -9.94070488585474e-06 6.914413837402472e-08 0.00593832466869153 -0.0004315654446655953 9.604143398918895e-06 -6.679479625065028e-08 3.7141265452349586e-07 2.2313107641788317e-07 3.4831479771355556e-08 1.7831501633404335e-07 1.2404595190187235e-07 2.7329193677215638e-08 -4.4124300380941793e-08 2.320589682785883e-07 2.9984606663692626e-07 -6.117705246449107e-07 -4.158099942257526e-08 1.4562811703517455e-08 -2.574240491739305e-07 -3.126610940309527e-07 -2.0107767036515666e-07 2.2977295741438883e-07 4.812388273967518e-07 -3.2154468990095027e-07 2.735618772227919e-07 4.02993619040929e-07 5.504277510621663e-06
age2 -2.0277592335406904e-07 -9.940704885856159e-06 2.2542269182631093e-07 -1.5941790554464054e-09 -0.0001293490792862801 9.608601554045036e-06 -2.1793597507745165e-07 1.5411257107254227e-09 -4.62361637419932e-09 -5.04273556346311e-09 -1.8049602661901876e-09 -4.497763340777152e-09 -3.085832104929363e-09 -1.7584753828759101e-09 2.267414429553844e-09 -3.5530238028481365e-09 -7.309634667863551e-09 1.29237257122372e-08 1.3001902874281312e-09 -7.173500137035146e-11 5.117541154356702e-09 5.4100005583409984e-09 3.891944539619414e-09 -4.661373452491101e-09 -1.1825805905864847e-08 7.049141177460585e-09 -6.998764477110362e-09 -9.74838815277629e-09 -1.182042269754003e-07
age3 2.215894062358313e-09 6.914413837401928e-08 -1.5941790554461386e-09 1.145173468216234e-11 8.842882580749371e-07 -6.685098350643087e-08 1.541740274224823e-09 -1.1074603946890218e-11 8.669294907530923e-12 3.9676749419368515e-11 1.4887406376002775e-11 3.3983470020204185e-11 2.074272730785744e-11 1.8617223911728736e-11 -2.177379563351013e-11 1.6540092031744956e-11 5.59612059915059e-11 -8.53936016694543e-11 -1.6304602941766206e-11 -1.5346381310141594e-12 -3.285558765178259e-11 -2.702361642516627e-11 -2.553084653537875e-11 2.73590187314805e-11 8.88434926430527e-11 -4.868667401637391e-11 5.355238524510552e-11 6.997614235566516e-11 7.668866695775453e-10
sex -5.894442093467341e-05 0.005938324668713878 -0.00012934907928677128 8.842882580783004e-07 0.21024950289094083 -0.015152223285532571 0.00033594843151949443 -2.3356567648062053e-06 -2.5158096506456663e-06 2.8221786763042525e-06 6.28477017217045e-07 1.5414973303353148e-06 -1.4188456683906323e-06 -7.91991219461891e-06 6.364566419901231e-06 3.1729385999770183e-06 -5.093905976014375e-06 -1.7674905332313244e-06 -5.630547078961408e-06 3.300200161204101e-06 6.171793350517204e-07 2.2141116574077764e-06 1.9422655439245844e-06 7.494769430818066e-07 -1.9824941663856646e-06 -4.690687339445265e-06 4.379646784825557e-06 -1.970358718279494e-06 8.976801482169078e-05
agesex 3.999179189444429e-06 -0.0004315654446665874 9.608601554066995e-06 -6.685098350658307e-08 -0.015152223285533038 0.0011221439564870572 -2.539725909051123e-05 1.7949609445689694e-07 2.6520935278176404e-07 -1.8503717011959915e-07 -8.31225842650743e-08 -2.3113298860718295e-08 6.706923437513991e-08 4.892234173254101e-07 -3.188335687115287e-07 -1.724319649763425e-07 3.053213769987857e-07 1.0866592073740894e-07 3.5543780232151304e-07 -2.5176791172809854e-07 -1.3086915584309857e-07 -2.7206547333618025e-07 -7.029574790171932e-08 1.5752591354925712e-08 2.5757162068516567e-08 3.1321095199370675e-07 -3.9948090971274846e-07 9.00844408654193e-08 -7.634379710177565e-06
age2sex -9.152083893837671e-08 9.604143398949333e-06 -2.1793597507812626e-07 1.5417402742295096e-09 0.00033594843151951357 -2.5397259090511877e-05 5.852680846826361e-07 -4.20204868511566e-09 -7.88150799893571e-09 3.4156860791003986e-09 2.7764952288607412e-09 -3.7627591038546797e-10 -1.041507966799132e-09 -9.771686263966463e-09 5.4089015407353545e-09 2.4525748892961673e-09 -5.466054546052418e-09 -1.86723256617933e-09 -7.810205506225807e-09 5.563569476241151e-09 4.586387775565228e-09 8.4906090652038e-09 -1.460006861518957e-10 -2.5888025594242205e-09 1.243996155674099e-09 -7.404029308462647e-09 1.0080742279846846e-08 -1.9925122299335964e-09 1.9248608935245337e-07
age3sex 7.150964083877579e-10 -6.679479625092563e-08 1.541125710731594e-09 -1.1074603946933207e-11 -2.335656764806396e-06 1.7949609445690578e-07 -4.202048685115758e-09 3.0617652914687987e-11 6.379742809496534e-11 -1.69844057337335e-11 -2.4576047710981957e-11 3.708742982344762e-12 7.067316038405574e-12 6.48605538258866e-11 -3.1067447495538846e-11 -1.054023203765263e-11 2.9515966642685366e-11 9.378030694110983e-12 5.483200427197262e-11 -3.81954382746858e-11 -4.162018509192657e-11 -7.296961099125972e-11 1.2579531575584357e-11 3.588557527939797e-11 -1.7946967698418115e-11 5.705284722768701e-11 -7.564368815408256e-11 1.5533156143465662e-11 -1.5346740349083657e-09
pcs.V3 5.501672663698223e-07 3.7141265452321607e-07 -4.623616374192719e-09 8.669294907482577e-12 -2.5158096506489803e-06 2.652093527820316e-07 -7.881507998942234e-09 6.37974280950147e-11 1.2912372894924206e-06 1.7595822078404797e-07 -3.189905180912123e-08 6.430449730106238e-09 2.6211800360739906e-08 2.3999773405918464e-08 -2.8404462035641124e-08 2.352064192305933e-08 1.8646833823575496e-08 -1.4507505921482277e-08 2.225502902904418e-09 1.9172280134748534e-08 -1.3780993093095635e-08 -1.947420909095426e-08 -3.3202153456774806e-08 -6.251559165123147e-09 -5.9146119266059376e-09 -2.4512083158933783e-08 9.627036350591303e-09 2.2212671419100877e-08 1.290744176131949e-06
pcs.V4 2.779660998473826e-07 2.2313107641869376e-07 -5.042735563481194e-09 3.967674941949437e-11 2.822178676323413e-06 -1.8503717012103603e-07 3.4156860791332633e-09 -1.6984405733967735e-11 1.7595822078404742e-07 1.4182037161880006e-06 7.890533566023853e-08 -1.3535537563641633e-08 2.611379443197657e-08 -5.830892538198374e-08 -1.6156708091473622e-08 4.1119312068120884e-08 -7.889783421157103e-09 2.1407987072783046e-09 6.118548760941644e-09 -1.7022581213779755e-08 -2.1515852213320885e-08 2.1902177044502066e-08 7.079156054212199e-09 6.969625315168954e-09 2.267862513138039e-08 1.7032446630113034e-08 5.717241203504005e-10 6.717521322921037e-09 -7.497664637227809e-07
pcs.V5 -2.7677199402580654e-07 3.483147977106788e-08 -1.804960266183675e-09 1.4887406375956828e-11 6.28477017205019e-07 -8.312258426416702e-08 2.7764952288398665e-09 -2.457604771083254e-11 -3.1899051809120904e-08 7.890533566023822e-08 1.4645618970618223e-06 1.8089235371733028e-09 -3.2460474517481817e-09 -4.180483101772838e-08 1.5770674606661916e-08 -1.0180774226563568e-08 5.362766102374726e-09 4.452791955686017e-08 1.2115200295479657e-08 1.1862141521190246e-08 1.2249014861542536e-08 2.7743341843493996e-08 -2.3657509731743976e-08 -9.17382389401153e-09 1.0261466567725813e-08 1.8098280867555475e-08 -1.0070333894211154e-08 5.301578815603367e-09 2.2477195502058903e-07
pcs.V6 -2.2213965607154024e-07 1.7831501633272028e-07 -4.497763340747629e-09 3.398347001999858e-11 1.5414973302886894e-06 -2.3113298857256114e-08 -3.762759104639902e-10 3.708742982901013e-12 6.430449730107072e-09 -1.3535537563642157e-08 1.8089235371730146e-09 1.4008534577045288e-06 5.8770551226667055e-09 -8.369919250970704e-09 1.976716588588757e-08 -1.3235425746448902e-08 3.7442604490176676e-08 -5.858316868083315e-09 -1.237882379453932e-08 -2.9703321952508516e-09 1.2826574750554667e-08 6.377390179422776e-09 3.603195089194685e-09 1.1732859683434347e-08 -3.975507604278473e-09 1.4823394473352866e-08 -2.7544716417820847e-08 -1.9877189577083955e-08 3.685273649632737e-07
pcs.V7 3.840069560997719e-08 1.2404595190149275e-07 -3.085832104920803e-09 2.0742727307797213e-11 -1.418845668401417e-06 6.706923437594817e-08 -1.041507966817635e-09 7.067316038537765e-12 2.621180036074014e-08 2.611379443197653e-08 -3.246047451748297e-09 5.877055122666491e-09 1.5946747509770974e-06 7.416421579808806e-09 8.877813848905563e-09 -3.873146671845596e-08 5.427299088914615e-09 -8.033295716435642e-09 2.5052631319669736e-08 -7.724939756860169e-09 -2.458456795205402e-09 1.4559923944811444e-09 -2.9863986196329946e-08 2.0198936936395877e-08 1.6574400395921998e-08 -5.003146469469149e-08 -6.078565980111435e-09 -8.097747973520542e-09 -1.1790092206652636e-07
